
Processing asymmErrorsEff.c...
eff_50_120_barrel.root
eleTruthEta
OK
eff_50_120_barrel.root; Seed barrel: eleTruthEta; eff = 0.704533; errorLow = 0.00763851; errorHigh = 0.0075275; xbin 0.0625
eff_50_120_barrel.root; UnSeed barrel: eleTruthEta; eff =  0.9552; errorLow = 0.00363855; errorHigh =  0.00338622; xbin 0.0625
eff_50_120_barrel.root; Seed endcap: eleTruthEta; eff =  0; errorLow = 0; errorHigh = 0; xbin 0.0625
eff_50_120_barrel.root; UnSeed endcap: eleTruthEta; eff = 0; errorLow = 0; errorHigh = 0; xbin 0.0625
eff_50_120_barrel.root; Seed barrel: eleTruthEta; eff = 0.701153; errorLow = 0.00777547; errorHigh = 0.00766309; xbin 0.1875
eff_50_120_barrel.root; UnSeed barrel: eleTruthEta; eff =  0.962678; errorLow = 0.00341097; errorHigh =  0.00314596; xbin 0.1875
eff_50_120_barrel.root; Seed endcap: eleTruthEta; eff =  0; errorLow = 0; errorHigh = 0; xbin 0.1875
eff_50_120_barrel.root; UnSeed endcap: eleTruthEta; eff = 0; errorLow = 0; errorHigh = 0; xbin 0.1875
eff_50_120_barrel.root; Seed barrel: eleTruthEta; eff = 0.713266; errorLow = 0.00754037; errorHigh = 0.00742564; xbin 0.3125
eff_50_120_barrel.root; UnSeed barrel: eleTruthEta; eff =  0.964852; errorLow = 0.00325531; errorHigh =  0.0029988; xbin 0.3125
eff_50_120_barrel.root; Seed endcap: eleTruthEta; eff =  0; errorLow = 0; errorHigh = 0; xbin 0.3125
eff_50_120_barrel.root; UnSeed endcap: eleTruthEta; eff = 0; errorLow = 0; errorHigh = 0; xbin 0.3125
eff_50_120_barrel.root; Seed barrel: eleTruthEta; eff = 0.701198; errorLow = 0.00765655; errorHigh = 0.00754749; xbin 0.4375
eff_50_120_barrel.root; UnSeed barrel: eleTruthEta; eff =  0.960053; errorLow = 0.00345769; errorHigh =  0.00320247; xbin 0.4375
eff_50_120_barrel.root; Seed endcap: eleTruthEta; eff =  0; errorLow = 0; errorHigh = 0; xbin 0.4375
eff_50_120_barrel.root; UnSeed endcap: eleTruthEta; eff = 0; errorLow = 0; errorHigh = 0; xbin 0.4375
eff_50_120_barrel.root; Seed barrel: eleTruthEta; eff = 0.71547; errorLow = 0.00769685; errorHigh = 0.00757564; xbin 0.5625
eff_50_120_barrel.root; UnSeed barrel: eleTruthEta; eff =  0.962431; errorLow = 0.0034331; errorHigh =  0.00316648; xbin 0.5625
eff_50_120_barrel.root; Seed endcap: eleTruthEta; eff =  0; errorLow = 0; errorHigh = 0; xbin 0.5625
eff_50_120_barrel.root; UnSeed endcap: eleTruthEta; eff = 0; errorLow = 0; errorHigh = 0; xbin 0.5625
eff_50_120_barrel.root; Seed barrel: eleTruthEta; eff = 0.71456; errorLow = 0.00768206; errorHigh = 0.00756202; xbin 0.6875
eff_50_120_barrel.root; UnSeed barrel: eleTruthEta; eff =  0.96456; errorLow = 0.00333649; errorHigh =  0.00306983; xbin 0.6875
eff_50_120_barrel.root; Seed endcap: eleTruthEta; eff =  0; errorLow = 0; errorHigh = 0; xbin 0.6875
eff_50_120_barrel.root; UnSeed endcap: eleTruthEta; eff = 0; errorLow = 0; errorHigh = 0; xbin 0.6875
eff_50_120_barrel.root; Seed barrel: eleTruthEta; eff = 0.692731; errorLow = 0.00784612; errorHigh = 0.0077381; xbin 0.8125
eff_50_120_barrel.root; UnSeed barrel: eleTruthEta; eff =  0.964482; errorLow = 0.0033437; errorHigh =  0.00307648; xbin 0.8125
eff_50_120_barrel.root; Seed endcap: eleTruthEta; eff =  0; errorLow = 0; errorHigh = 0; xbin 0.8125
eff_50_120_barrel.root; UnSeed endcap: eleTruthEta; eff = 0; errorLow = 0; errorHigh = 0; xbin 0.8125
eff_50_120_barrel.root; Seed barrel: eleTruthEta; eff = 0.700496; errorLow = 0.00779982; errorHigh = 0.00768724; xbin 0.9375
eff_50_120_barrel.root; UnSeed barrel: eleTruthEta; eff =  0.961942; errorLow = 0.00344953; errorHigh =  0.00318371; xbin 0.9375
eff_50_120_barrel.root; Seed endcap: eleTruthEta; eff =  0; errorLow = 0; errorHigh = 0; xbin 0.9375
eff_50_120_barrel.root; UnSeed endcap: eleTruthEta; eff = 0; errorLow = 0; errorHigh = 0; xbin 0.9375
eff_50_120_barrel.root; Seed barrel: eleTruthEta; eff = 0.682625; errorLow = 0.00800305; errorHigh = 0.00789835; xbin 1.0625
eff_50_120_barrel.root; UnSeed barrel: eleTruthEta; eff =  0.959448; errorLow = 0.00358696; errorHigh =  0.00331721; xbin 1.0625
eff_50_120_barrel.root; Seed endcap: eleTruthEta; eff =  0; errorLow = 0; errorHigh = 0; xbin 1.0625
eff_50_120_barrel.root; UnSeed endcap: eleTruthEta; eff = 0; errorLow = 0; errorHigh = 0; xbin 1.0625
eff_50_120_barrel.root; Seed barrel: eleTruthEta; eff = 0.667514; errorLow = 0.00810633; errorHigh = 0.00801002; xbin 1.1875
eff_50_120_barrel.root; UnSeed barrel: eleTruthEta; eff =  0.968362; errorLow = 0.00322329; errorHigh =  0.002946; xbin 1.1875
eff_50_120_barrel.root; Seed endcap: eleTruthEta; eff =  0; errorLow = 0; errorHigh = 0; xbin 1.1875
eff_50_120_barrel.root; UnSeed endcap: eleTruthEta; eff = 0; errorLow = 0; errorHigh = 0; xbin 1.1875
eff_50_120_barrel.root; Seed barrel: eleTruthEta; eff = 0.665231; errorLow = 0.00818691; errorHigh = 0.00809035; xbin 1.3125
eff_50_120_barrel.root; UnSeed barrel: eleTruthEta; eff =  0.96325; errorLow = 0.0034719; errorHigh =  0.00319394; xbin 1.3125
eff_50_120_barrel.root; Seed endcap: eleTruthEta; eff =  0; errorLow = 0; errorHigh = 0; xbin 1.3125
eff_50_120_barrel.root; UnSeed endcap: eleTruthEta; eff = 0; errorLow = 0; errorHigh = 0; xbin 1.3125
eff_50_120_barrel.root; Seed barrel: eleTruthEta; eff = 0.622449; errorLow = 0.0115672; errorHigh = 0.0114326; xbin 1.4375
eff_50_120_barrel.root; UnSeed barrel: eleTruthEta; eff =  0.957035; errorLow = 0.00523005; errorHigh =  0.00471121; xbin 1.4375
eff_50_120_barrel.root; Seed endcap: eleTruthEta; eff =  0; errorLow = 0; errorHigh = 0; xbin 1.4375
eff_50_120_barrel.root; UnSeed endcap: eleTruthEta; eff = 0; errorLow = 0; errorHigh = 0; xbin 1.4375
eff_50_120_barrel.root; Seed barrel: eleTruthEta; eff = 0; errorLow = 0; errorHigh = 0; xbin 1.5625
eff_50_120_barrel.root; UnSeed barrel: eleTruthEta; eff =  0; errorLow = 0; errorHigh =  0; xbin 1.5625
eff_50_120_barrel.root; Seed endcap: eleTruthEta; eff =  0.692162; errorLow = 0.0120428; errorHigh = 0.0117933; xbin 1.5625
eff_50_120_barrel.root; UnSeed endcap: eleTruthEta; eff = 0.965866; errorLow = 0.00520057; errorHigh = 0.004571; xbin 1.5625
eff_50_120_barrel.root; Seed barrel: eleTruthEta; eff = 0; errorLow = 0; errorHigh = 0; xbin 1.6875
eff_50_120_barrel.root; UnSeed barrel: eleTruthEta; eff =  0; errorLow = 0; errorHigh =  0; xbin 1.6875
eff_50_120_barrel.root; Seed endcap: eleTruthEta; eff =  0.70471; errorLow = 0.00813941; errorHigh = 0.00801346; xbin 1.6875
eff_50_120_barrel.root; UnSeed endcap: eleTruthEta; eff = 0.964372; errorLow = 0.00352009; errorHigh = 0.00322657; xbin 1.6875
eff_50_120_barrel.root; Seed barrel: eleTruthEta; eff = 0; errorLow = 0; errorHigh = 0; xbin 1.8125
eff_50_120_barrel.root; UnSeed barrel: eleTruthEta; eff =  0; errorLow = 0; errorHigh =  0; xbin 1.8125
eff_50_120_barrel.root; Seed endcap: eleTruthEta; eff =  0.726989; errorLow = 0.00809653; errorHigh = 0.0079521; xbin 1.8125
eff_50_120_barrel.root; UnSeed endcap: eleTruthEta; eff = 0.960374; errorLow = 0.00375337; errorHigh = 0.00345311; xbin 1.8125
eff_50_120_barrel.root; Seed barrel: eleTruthEta; eff = 0; errorLow = 0; errorHigh = 0; xbin 1.9375
eff_50_120_barrel.root; UnSeed barrel: eleTruthEta; eff =  0; errorLow = 0; errorHigh =  0; xbin 1.9375
eff_50_120_barrel.root; Seed endcap: eleTruthEta; eff =  0.741199; errorLow = 0.00803547; errorHigh = 0.00787939; xbin 1.9375
eff_50_120_barrel.root; UnSeed endcap: eleTruthEta; eff = 0.97431; errorLow = 0.00313715; errorHigh = 0.00281938; xbin 1.9375
eff_50_120_barrel.root; Seed barrel: eleTruthEta; eff = 0; errorLow = 0; errorHigh = 0; xbin 2.0625
eff_50_120_barrel.root; UnSeed barrel: eleTruthEta; eff =  0; errorLow = 0; errorHigh =  0; xbin 2.0625
