pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
25 <pt<30 	3<chiso range<8 	168.779	39.5011	0.23404	0.480746	0.0711004	3.46982
25 <pt<30 	3<chiso range<9 	168.779	39.5011	0.23404	0.495431	0.0733187	3.56513
25 <pt<30 	3<chiso range<10 	168.779	39.5011	0.23404	0.483941	0.071905	3.47543
25 <pt<30 	3<chiso range<11 	168.779	39.5011	0.23404	0.452994	0.0677341	3.23255
25 <pt<30 	3<chiso range<12 	168.779	39.5011	0.23404	0.4448	0.0664451	3.17194
25 <pt<30 	3<chiso range<13 	168.779	39.5011	0.23404	0.435303	0.0651884	3.0874
25 <pt<30 	4<chiso range<9 	168.779	39.5011	0.23404	0.505742	0.0746753	3.63844
25 <pt<30 	4<chiso range<10 	168.779	39.5011	0.23404	0.490429	0.072786	3.5225
25 <pt<30 	4<chiso range<11 	168.779	39.5011	0.23404	0.453798	0.0678443	3.23915
25 <pt<30 	4<chiso range<12 	168.779	39.5011	0.23404	0.444394	0.0663658	3.16961
25 <pt<30 	4<chiso range<13 	168.779	39.5011	0.23404	0.433836	0.0649715	3.07513
25 <pt<30 	5<chiso range<10 	168.779	39.5011	0.23404	0.465614	0.0694525	3.33427
25 <pt<30 	5<chiso range<11 	168.779	39.5011	0.23404	0.428357	0.0644268	3.01608
25 <pt<30 	5<chiso range<12 	168.779	39.5011	0.23404	0.42143	0.0632313	2.96356
25 <pt<30 	5<chiso range<13 	168.779	39.5011	0.23404	0.412018	0.061981	2.87149
25 <pt<30 	6<chiso range<11 	168.779	39.5011	0.23404	0.406725	0.0612415	2.81973
25 <pt<30 	6<chiso range<12 	168.779	39.5011	0.23404	0.401903	0.0603218	2.78279
25 <pt<30 	6<chiso range<13 	168.779	39.5011	0.23404	0.393444	0.0592287	2.69132
25 <pt<30 	7<chiso range<12 	168.779	39.5011	0.23404	0.413273	0.0620833	2.88697
25 <pt<30 	7<chiso range<13 	168.779	39.5011	0.23404	0.40154	0.0605476	2.76641
