pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
25  <pt<30 	3<chiso range<8 	75.5154	57.8775	12.8588	1.37166
25  <pt<30 	3<chiso range<9 	75.5154	56.0851	13.0343	1.49071
25  <pt<30 	3<chiso range<10 	75.5154	57.2356	12.993	1.4069
25  <pt<30 	3<chiso range<11 	75.5154	60.7378	12.7736	1.15689
25  <pt<30 	3<chiso range<12 	75.5154	61.551	12.6854	1.10082
25  <pt<30 	3<chiso range<13 	75.5154	62.7088	12.6205	1.01475
25  <pt<30 	4<chiso range<9 	75.5154	54.9597	13.1018	1.56892
25  <pt<30 	4<chiso range<10 	75.5154	56.502	13.0426	1.45779
25  <pt<30 	4<chiso range<11 	75.5154	60.6364	12.7804	1.1642
25  <pt<30 	4<chiso range<12 	75.5154	61.5775	12.6787	1.09932
25  <pt<30 	4<chiso range<13 	75.5154	62.8659	12.6073	1.00335
25  <pt<30 	5<chiso range<10 	75.5154	59.3931	12.8574	1.25393
25  <pt<30 	5<chiso range<11 	75.5154	63.6264	12.6052	0.943182
25  <pt<30 	5<chiso range<12 	75.5154	64.227	12.5163	0.901896
25  <pt<30 	5<chiso range<13 	75.5154	65.4042	12.4532	0.811936
25  <pt<30 	6<chiso range<11 	75.5154	66.0118	12.4147	0.765512
25  <pt<30 	6<chiso range<12 	75.5154	66.3585	12.3389	0.742116
25  <pt<30 	6<chiso range<13 	75.5154	67.4622	12.29	0.655264
25  <pt<30 	7<chiso range<12 	75.5154	65.0002	12.4676	0.843402
25  <pt<30 	7<chiso range<13 	75.5154	66.4952	12.3942	0.727776
25  <pt<30 	8<chiso range<13 	75.5154	68.2894	12.3349	0.585817
#######################################################################################
30  <pt<35 	3<chiso range<8 	49.4997	45.7661	9.62677	0.387835
30  <pt<35 	3<chiso range<9 	49.4997	46.3755	9.53119	0.327787
30  <pt<35 	3<chiso range<10 	49.4997	47.296	9.41863	0.233972
30  <pt<35 	3<chiso range<11 	49.4997	46.7356	9.46869	0.29192
30  <pt<35 	3<chiso range<12 	49.4997	47.6154	9.3505	0.201519
30  <pt<35 	3<chiso range<13 	49.4997	47.8802	9.32557	0.173662
30  <pt<35 	4<chiso range<9 	49.4997	48.8968	9.22723	0.0653392
30  <pt<35 	4<chiso range<10 	49.4997	49.5578	9.14523	0.00635304
30  <pt<35 	4<chiso range<11 	49.4997	48.6088	9.23736	0.0964453
30  <pt<35 	4<chiso range<12 	49.4997	49.3317	9.13627	0.0183882
30  <pt<35 	4<chiso range<13 	49.4997	49.4995	9.12204	2.19249e-05
30  <pt<35 	5<chiso range<10 	49.4997	49.3706	9.22482	0.0139949
30  <pt<35 	5<chiso range<11 	49.4997	48.1543	9.33117	0.144183
30  <pt<35 	5<chiso range<12 	49.4997	49.1151	9.18686	0.0418641
30  <pt<35 	5<chiso range<13 	49.4997	49.3497	9.16289	0.0163704
30  <pt<35 	6<chiso range<11 	49.4997	49.4676	9.09053	0.00353115
30  <pt<35 	6<chiso range<12 	49.4997	50.39	8.98691	0.0990663
30  <pt<35 	6<chiso range<13 	49.4997	50.554	8.97696	0.117445
30  <pt<35 	7<chiso range<12 	49.4997	50.785	8.927	0.143979
30  <pt<35 	7<chiso range<13 	49.4997	50.9358	8.91743	0.161044
30  <pt<35 	8<chiso range<13 	49.4997	50.6329	8.96239	0.126439
#######################################################################################
35  <pt<40 	3<chiso range<8 	34.814	31.5697	7.34857	0.441487
35  <pt<40 	3<chiso range<9 	34.814	32.4366	7.23254	0.328709
35  <pt<40 	3<chiso range<10 	34.814	31.3272	7.38739	0.471993
35  <pt<40 	3<chiso range<11 	34.814	30.7534	7.45336	0.544801
35  <pt<40 	3<chiso range<12 	34.814	30.3725	7.46527	0.594955
35  <pt<40 	3<chiso range<13 	34.814	30.6629	7.39834	0.561085
35  <pt<40 	4<chiso range<9 	34.814	32.861	7.24341	0.269624
35  <pt<40 	4<chiso range<10 	34.814	31.3761	7.42113	0.463258
35  <pt<40 	4<chiso range<11 	34.814	30.8256	7.47252	0.533742
35  <pt<40 	4<chiso range<12 	34.814	30.2624	7.50948	0.606114
35  <pt<40 	4<chiso range<13 	34.814	30.5925	7.42805	0.568319
35  <pt<40 	5<chiso range<10 	34.814	32.0911	7.37314	0.3693
35  <pt<40 	5<chiso range<11 	34.814	31.3025	7.4359	0.472236
35  <pt<40 	5<chiso range<12 	34.814	30.6102	7.48828	0.561384
35  <pt<40 	5<chiso range<13 	34.814	30.9407	7.398	0.52356
35  <pt<40 	6<chiso range<11 	34.814	30.7137	7.48882	0.547523
35  <pt<40 	6<chiso range<12 	34.814	29.8998	7.55426	0.65052
35  <pt<40 	6<chiso range<13 	34.814	30.3835	7.4393	0.595553
35  <pt<40 	7<chiso range<12 	34.814	29.3367	7.57776	0.722813
35  <pt<40 	7<chiso range<13 	34.814	30.0135	7.44169	0.645082
35  <pt<40 	8<chiso range<13 	34.814	29.6392	7.45081	0.694529
#######################################################################################
40  <pt<50 	3<chiso range<8 	45.1539	37.4376	9.18202	0.840371
40  <pt<50 	3<chiso range<9 	45.1539	37.5359	9.15313	0.832284
40  <pt<50 	3<chiso range<10 	45.1539	38.0714	9.03674	0.783745
40  <pt<50 	3<chiso range<11 	45.1539	38.9475	8.8556	0.700845
40  <pt<50 	3<chiso range<12 	45.1539	40.4174	8.53781	0.554768
40  <pt<50 	3<chiso range<13 	45.1539	39.8967	8.67552	0.605981
40  <pt<50 	4<chiso range<9 	45.1539	37.2253	9.08289	0.872916
40  <pt<50 	4<chiso range<10 	45.1539	37.9405	8.95117	0.805861
40  <pt<50 	4<chiso range<11 	45.1539	39.0207	8.74944	0.700982
40  <pt<50 	4<chiso range<12 	45.1539	40.7176	8.41458	0.527216
40  <pt<50 	4<chiso range<13 	45.1539	40.0806	8.57385	0.591718
40  <pt<50 	5<chiso range<10 	45.1539	39.3233	8.81913	0.661131
40  <pt<50 	5<chiso range<11 	45.1539	40.2824	8.60533	0.566103
40  <pt<50 	5<chiso range<12 	45.1539	41.8099	8.28404	0.403668
40  <pt<50 	5<chiso range<13 	45.1539	41.0783	8.45539	0.482012
40  <pt<50 	6<chiso range<11 	45.1539	41.2205	8.3144	0.473083
40  <pt<50 	6<chiso range<12 	45.1539	42.6918	8.04884	0.305895
40  <pt<50 	6<chiso range<13 	45.1539	41.7431	8.25247	0.413307
40  <pt<50 	7<chiso range<12 	45.1539	44.5468	7.84993	0.0773383
40  <pt<50 	7<chiso range<13 	45.1539	43.2711	8.07492	0.233166
40  <pt<50 	8<chiso range<13 	45.1539	42.8624	8.09259	0.28316
#######################################################################################
50  <pt<65 	3<chiso range<8 	36.2784	33.3622	7.80284	0.373736
50  <pt<65 	3<chiso range<9 	36.2784	32.7584	8.04332	0.43763
50  <pt<65 	3<chiso range<10 	36.2784	33.6859	7.68012	0.33756
50  <pt<65 	3<chiso range<11 	36.2784	35.4441	7.26465	0.114844
50  <pt<65 	3<chiso range<12 	36.2784	35.9485	7.11314	0.046379
50  <pt<65 	3<chiso range<13 	36.2784	35.8622	7.13679	0.0583175
50  <pt<65 	4<chiso range<9 	36.2784	33.5994	8.01165	0.334388
50  <pt<65 	4<chiso range<10 	36.2784	34.1818	7.63463	0.274617
50  <pt<65 	4<chiso range<11 	36.2784	36.0705	7.17583	0.0289723
50  <pt<65 	4<chiso range<12 	36.2784	36.5103	7.02389	0.0330159
50  <pt<65 	4<chiso range<13 	36.2784	36.3466	7.06146	0.00965806
50  <pt<65 	5<chiso range<10 	36.2784	33.2562	7.79611	0.387655
50  <pt<65 	5<chiso range<11 	36.2784	35.8	7.18062	0.0666238
50  <pt<65 	5<chiso range<12 	36.2784	36.3821	7.00708	0.0147993
50  <pt<65 	5<chiso range<13 	36.2784	36.2153	7.04963	0.00895082
50  <pt<65 	6<chiso range<11 	36.2784	35.8628	7.08728	0.0586403
50  <pt<65 	6<chiso range<12 	36.2784	36.509	6.9242	0.0333035
50  <pt<65 	6<chiso range<13 	36.2784	36.2881	6.98432	0.00138883
50  <pt<65 	7<chiso range<12 	36.2784	37.3534	6.78181	0.158512
50  <pt<65 	7<chiso range<13 	36.2784	36.9109	6.84007	0.0924698
50  <pt<65 	8<chiso range<13 	36.2784	37.6851	6.75647	0.2082
#######################################################################################
65  <pt<100 	3<chiso range<8 	31.2508	30.6179	6.09015	0.103922
65  <pt<100 	3<chiso range<9 	31.2508	30.2654	6.15779	0.160025
65  <pt<100 	3<chiso range<10 	31.2508	30.2082	6.221	0.167594
65  <pt<100 	3<chiso range<11 	31.2508	30.3959	6.23843	0.137038
65  <pt<100 	3<chiso range<12 	31.2508	31.1801	6.11312	0.0115653
65  <pt<100 	3<chiso range<13 	31.2508	31.2926	6.05326	0.00690537
65  <pt<100 	4<chiso range<9 	31.2508	30.3676	6.16429	0.143277
65  <pt<100 	4<chiso range<10 	31.2508	30.3305	6.23225	0.147667
65  <pt<100 	4<chiso range<11 	31.2508	30.5657	6.24257	0.109746
65  <pt<100 	4<chiso range<12 	31.2508	31.3895	6.08985	0.0227756
65  <pt<100 	4<chiso range<13 	31.2508	31.4795	6.03292	0.0379087
65  <pt<100 	5<chiso range<10 	31.2508	30.2976	6.20889	0.153522
65  <pt<100 	5<chiso range<11 	31.2508	30.5459	6.22481	0.11324
65  <pt<100 	5<chiso range<12 	31.2508	31.3827	6.05875	0.0217702
65  <pt<100 	5<chiso range<13 	31.2508	31.6008	6.03511	0.057994
65  <pt<100 	6<chiso range<11 	31.2508	30.8214	6.32663	0.0678718
65  <pt<100 	6<chiso range<12 	31.2508	31.9188	6.09199	0.109652
