pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
25 <pt<30 	3<chiso range<8 	168.779	39.5011	75.5154	52.4148	57.8775	1.68869	1.37166
25 <pt<30 	3<chiso range<9 	168.779	39.5011	75.5154	54.0159	56.0851	1.8406	1.49071
25 <pt<30 	3<chiso range<10 	168.779	39.5011	75.5154	52.7631	57.2356	1.71461	1.4069
25 <pt<30 	3<chiso range<11 	168.779	39.5011	75.5154	49.389	60.7378	1.35687	1.15689
25 <pt<30 	3<chiso range<12 	168.779	39.5011	75.5154	48.4956	61.551	1.25825	1.10082
25 <pt<30 	3<chiso range<13 	168.779	39.5011	75.5154	47.4602	62.7088	1.13479	1.01475
25 <pt<30 	4<chiso range<9 	168.779	39.5011	75.5154	55.14	54.9597	1.94724	1.56892
25 <pt<30 	4<chiso range<10 	168.779	39.5011	75.5154	53.4705	56.502	1.78427	1.45779
25 <pt<30 	4<chiso range<11 	168.779	39.5011	75.5154	49.4767	60.6364	1.36669	1.1642
25 <pt<30 	4<chiso range<12 	168.779	39.5011	75.5154	48.4514	61.5775	1.25357	1.09932
25 <pt<30 	4<chiso range<13 	168.779	39.5011	75.5154	47.3003	62.8659	1.11571	1.00335
25 <pt<30 	5<chiso range<10 	168.779	39.5011	75.5154	50.765	59.3931	1.50755	1.25393
25 <pt<30 	5<chiso range<11 	168.779	39.5011	75.5154	46.7029	63.6264	1.03884	0.943182
25 <pt<30 	5<chiso range<12 	168.779	39.5011	75.5154	45.9477	64.227	0.947546	0.901896
25 <pt<30 	5<chiso range<13 	168.779	39.5011	75.5154	44.9215	65.4042	0.812726	0.811936
25 <pt<30 	6<chiso range<11 	168.779	39.5011	75.5154	44.3444	66.0118	0.734948	0.765512
25 <pt<30 	6<chiso range<12 	168.779	39.5011	75.5154	43.8187	66.3585	0.665221	0.742116
25 <pt<30 	6<chiso range<13 	168.779	39.5011	75.5154	42.8964	67.4622	0.532732	0.655264
25 <pt<30 	7<chiso range<12 	168.779	39.5011	75.5154	45.0583	65.0002	0.831895	0.843402
25 <pt<30 	7<chiso range<13 	168.779	39.5011	75.5154	43.7791	66.4952	0.656581	0.727776
25 <pt<30 	8<chiso range<13 	168.779	39.5011	75.5154	42.0804	68.2894	0.40913	0.585817
#######################################################################################
30 <pt<35 	3<chiso range<8 	91.9508	19.4228	49.4997	21.6497	45.7661	0.436682	0.387835
30 <pt<35 	3<chiso range<9 	91.9508	19.4228	49.4997	21.0306	46.3755	0.325175	0.327787
30 <pt<35 	3<chiso range<10 	91.9508	19.4228	49.4997	20.1291	47.296	0.149196	0.233972
30 <pt<35 	3<chiso range<11 	91.9508	19.4228	49.4997	20.6005	46.7356	0.243637	0.29192
30 <pt<35 	3<chiso range<12 	91.9508	19.4228	49.4997	19.6641	47.6154	0.0523572	0.201519
30 <pt<35 	3<chiso range<13 	91.9508	19.4228	49.4997	19.388	47.8802	0.00765203	0.173662
30 <pt<35 	4<chiso range<9 	91.9508	19.4228	49.4997	18.4591	48.8968	0.221518	0.0653392
30 <pt<35 	4<chiso range<10 	91.9508	19.4228	49.4997	17.7992	49.5578	0.387142	0.00635304
30 <pt<35 	4<chiso range<11 	91.9508	19.4228	49.4997	18.6651	48.6088	0.172783	0.0964453
30 <pt<35 	4<chiso range<12 	91.9508	19.4228	49.4997	17.8618	49.3317	0.372629	0.0183882
30 <pt<35 	4<chiso range<13 	91.9508	19.4228	49.4997	17.6804	49.4995	0.419891	2.19249e-05
30 <pt<35 	5<chiso range<10 	91.9508	19.4228	49.4997	18.1363	49.3706	0.298882	0.0139949
30 <pt<35 	5<chiso range<11 	91.9508	19.4228	49.4997	19.2025	48.1543	0.0486059	0.144183
30 <pt<35 	5<chiso range<12 	91.9508	19.4228	49.4997	18.1258	49.1151	0.304145	0.0418641
30 <pt<35 	5<chiso range<13 	91.9508	19.4228	49.4997	17.8764	49.3497	0.367487	0.0163704
30 <pt<35 	6<chiso range<11 	91.9508	19.4228	49.4997	17.6554	49.4676	0.428468	0.00353115
30 <pt<35 	6<chiso range<12 	91.9508	19.4228	49.4997	16.7116	50.39	0.694889	0.0990663
30 <pt<35 	6<chiso range<13 	91.9508	19.4228	49.4997	16.5621	50.554	0.739019	0.117445
30 <pt<35 	7<chiso range<12 	91.9508	19.4228	49.4997	16.2861	50.785	0.82689	0.143979
30 <pt<35 	7<chiso range<13 	91.9508	19.4228	49.4997	16.1532	50.9358	0.868226	0.161044
30 <pt<35 	8<chiso range<13 	91.9508	19.4228	49.4997	16.4835	50.6329	0.763574	0.126439
#######################################################################################
35 <pt<40 	3<chiso range<8 	59.2137	9.44822	34.814	11.4593	31.5697	0.611367	0.441487
35 <pt<40 	3<chiso range<9 	59.2137	9.44822	34.814	10.5735	32.4366	0.370235	0.328709
