pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
25 <pt<30 	3<chiso range<8 	104.915	40.1555	0.382743	6.95335e-310	6.95335e-310	inf
25 <pt<30 	3<chiso range<9 	104.915	40.1555	0.382743	6.95335e-310	6.95335e-310	inf
25 <pt<30 	3<chiso range<10 	104.915	40.1555	0.382743	6.95335e-310	6.95335e-310	inf
25 <pt<30 	3<chiso range<11 	104.915	40.1555	0.382743	6.95335e-310	6.95335e-310	inf
25 <pt<30 	3<chiso range<12 	104.915	40.1555	0.382743	6.95335e-310	6.95335e-310	inf
25 <pt<30 	3<chiso range<13 	104.915	40.1555	0.382743	6.95335e-310	6.95335e-310	inf
25 <pt<30 	4<chiso range<9 	104.915	40.1555	0.382743	6.95335e-310	6.95335e-310	inf
25 <pt<30 	4<chiso range<10 	104.915	40.1555	0.382743	6.95335e-310	6.95335e-310	inf
25 <pt<30 	4<chiso range<11 	104.915	40.1555	0.382743	6.95335e-310	6.95335e-310	inf
25 <pt<30 	4<chiso range<12 	104.915	40.1555	0.382743	6.95335e-310	6.95335e-310	inf
25 <pt<30 	4<chiso range<13 	104.915	40.1555	0.382743	6.95335e-310	6.95335e-310	inf
25 <pt<30 	5<chiso range<10 	104.915	40.1555	0.382743	6.95335e-310	6.95335e-310	inf
25 <pt<30 	5<chiso range<11 	104.915	40.1555	0.382743	6.95335e-310	6.95335e-310	inf
25 <pt<30 	5<chiso range<12 	104.915	40.1555	0.382743	6.95335e-310	6.95335e-310	inf
25 <pt<30 	5<chiso range<13 	104.915	40.1555	0.382743	6.95335e-310	6.95335e-310	inf
25 <pt<30 	6<chiso range<11 	104.915	40.1555	0.382743	6.95335e-310	6.95335e-310	inf
25 <pt<30 	6<chiso range<12 	104.915	40.1555	0.382743	6.95335e-310	6.95335e-310	inf
25 <pt<30 	6<chiso range<13 	104.915	40.1555	0.382743	6.95335e-310	6.95335e-310	inf
