pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
25 <pt<30 	3<chiso range<8 	104.915	40.1555	27.3319	36.5675	31.9405	0.568549	0.438038
25 <pt<30 	3<chiso range<9 	104.915	40.1555	27.3319	33.707	34.917	1.10653	0.742247
25 <pt<30 	3<chiso range<10 	104.915	40.1555	27.3319	33.6037	35.0893	1.12508	0.758173
25 <pt<30 	3<chiso range<11 	104.915	40.1555	27.3319	32.138	36.4683	1.44091	0.906893
25 <pt<30 	3<chiso range<12 	104.915	40.1555	27.3319	32.2982	36.343	1.40389	0.892303
25 <pt<30 	3<chiso range<13 	104.915	40.1555	27.3319	30.7788	37.8637	1.7549	1.05679
25 <pt<30 	4<chiso range<9 	104.915	40.1555	27.3319	35.9004	32.7286	0.688259	0.518764
25 <pt<30 	4<chiso range<10 	104.915	40.1555	27.3319	35.4172	33.2924	0.77408	0.573655
25 <pt<30 	4<chiso range<11 	104.915	40.1555	27.3319	33.3936	35.2045	1.17221	0.77356
25 <pt<30 	4<chiso range<12 	104.915	40.1555	27.3319	33.4234	35.2156	1.16451	0.773458
25 <pt<30 	4<chiso range<13 	104.915	40.1555	27.3319	31.5276	37.1075	1.57832	0.974889
25 <pt<30 	5<chiso range<10 	104.915	40.1555	27.3319	32.7856	36.0199	1.29936	0.859254
25 <pt<30 	5<chiso range<11 	104.915	40.1555	27.3319	30.8691	37.7852	1.74013	1.05358
25 <pt<30 	5<chiso range<12 	104.915	40.1555	27.3319	31.2718	37.4183	1.64107	1.01115
25 <pt<30 	5<chiso range<13 	104.915	40.1555	27.3319	29.4084	39.264	2.10556	1.21457
25 <pt<30 	6<chiso range<11 	104.915	40.1555	27.3319	29.931	38.656	1.96973	1.14682
25 <pt<30 	6<chiso range<12 	104.915	40.1555	27.3319	30.5477	38.0948	1.81159	1.08238
25 <pt<30 	6<chiso range<13 	104.915	40.1555	27.3319	28.4996	40.1547	2.35054	1.31274
25 <pt<30 	7<chiso range<12 	104.915	40.1555	27.3319	30.4791	38.2885	1.82078	1.09808
25 <pt<30 	7<chiso range<13 	104.915	40.1555	27.3319	28.0954	40.68	2.45692	1.36675
25 <pt<30 	8<chiso range<13 	104.915	40.1555	27.3319	24.6241	44.1733	3.61075	1.78332
#######################################################################################
30 <pt<35 	3<chiso range<8 	53.2253	16.1687	18.8299	7.02454	26.1071	0.805319	0.331258
30 <pt<35 	3<chiso range<9 	53.2253	16.1687	18.8299	6.92337	26.1071	0.826132	0.331258
30 <pt<35 	3<chiso range<10 	53.2253	16.1687	18.8299	17.7169	17.4167	0.366565	0.194337
30 <pt<35 	3<chiso range<11 	53.2253	16.1687	18.8299	16.1579	18.967	0.00279586	0.0193918
30 <pt<35 	3<chiso range<12 	53.2253	16.1687	18.8299	15.7648	19.3639	0.107118	0.0760888
30 <pt<35 	3<chiso range<13 	53.2253	16.1687	18.8299	15.23	19.8864	0.256546	0.151254
30 <pt<35 	4<chiso range<9 	53.2253	16.1687	18.8299	16.2884	18.8012	0.0306826	0.00403622
