pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	414.063	171.353	0.413833	6.95271e-310	6.95271e-310	inf
20 <pt<25 	3<chiso range<9 	414.063	171.353	0.413833	6.95271e-310	6.95271e-310	inf
20 <pt<25 	3<chiso range<10 	414.063	171.353	0.413833	6.95271e-310	6.95271e-310	inf
20 <pt<25 	3<chiso range<11 	414.063	171.353	0.413833	6.95271e-310	6.95271e-310	inf
20 <pt<25 	3<chiso range<12 	414.063	171.353	0.413833	6.95271e-310	6.95271e-310	inf
20 <pt<25 	3<chiso range<13 	414.063	171.353	0.413833	6.95271e-310	6.95271e-310	inf
20 <pt<25 	4<chiso range<9 	414.063	171.353	0.413833	6.95271e-310	6.95271e-310	inf
20 <pt<25 	4<chiso range<10 	414.063	171.353	0.413833	6.95271e-310	6.95271e-310	inf
20 <pt<25 	4<chiso range<11 	414.063	171.353	0.413833	6.95271e-310	6.95271e-310	inf
20 <pt<25 	4<chiso range<12 	414.063	171.353	0.413833	6.95271e-310	6.95271e-310	inf
20 <pt<25 	4<chiso range<13 	414.063	171.353	0.413833	6.95271e-310	6.95271e-310	inf
20 <pt<25 	5<chiso range<10 	414.063	171.353	0.413833	6.95271e-310	6.95271e-310	inf
20 <pt<25 	5<chiso range<11 	414.063	171.353	0.413833	6.95271e-310	6.95271e-310	inf
20 <pt<25 	5<chiso range<12 	414.063	171.353	0.413833	6.95271e-310	6.95271e-310	inf
20 <pt<25 	5<chiso range<13 	414.063	171.353	0.413833	6.95271e-310	6.95271e-310	inf
20 <pt<25 	6<chiso range<11 	414.063	171.353	0.413833	6.95271e-310	6.95271e-310	inf
20 <pt<25 	6<chiso range<12 	414.063	171.353	0.413833	6.95271e-310	6.95271e-310	inf
20 <pt<25 	6<chiso range<13 	414.063	171.353	0.413833	6.95271e-310	6.95271e-310	inf
20 <pt<25 	7<chiso range<12 	414.063	171.353	0.413833	6.95271e-310	6.95271e-310	inf
20 <pt<25 	7<chiso range<13 	414.063	171.353	0.413833	6.95271e-310	6.95271e-310	inf
20 <pt<25 	8<chiso range<13 	414.063	171.353	0.413833	6.95271e-310	6.95271e-310	inf
#######################################################################################
25 <pt<30 	3<chiso range<8 	201.57	86.8512	0.430874	6.95271e-310	6.95271e-310	inf
25 <pt<30 	3<chiso range<9 	201.57	86.8512	0.430874	6.95271e-310	6.95271e-310	inf
25 <pt<30 	3<chiso range<10 	201.57	86.8512	0.430874	6.95271e-310	6.95271e-310	inf
25 <pt<30 	3<chiso range<11 	201.57	86.8512	0.430874	6.95271e-310	6.95271e-310	inf
25 <pt<30 	3<chiso range<12 	201.57	86.8512	0.430874	6.95271e-310	6.95271e-310	inf
25 <pt<30 	3<chiso range<13 	201.57	86.8512	0.430874	6.95271e-310	6.95271e-310	inf
25 <pt<30 	4<chiso range<9 	201.57	86.8512	0.430874	6.95271e-310	6.95271e-310	inf
25 <pt<30 	4<chiso range<10 	201.57	86.8512	0.430874	6.95271e-310	6.95271e-310	inf
25 <pt<30 	4<chiso range<11 	201.57	86.8512	0.430874	6.95271e-310	6.95271e-310	inf
25 <pt<30 	4<chiso range<12 	201.57	86.8512	0.430874	6.95271e-310	6.95271e-310	inf
25 <pt<30 	4<chiso range<13 	201.57	86.8512	0.430874	6.95271e-310	6.95271e-310	inf
25 <pt<30 	5<chiso range<10 	201.57	86.8512	0.430874	6.95271e-310	6.95271e-310	inf
25 <pt<30 	5<chiso range<11 	201.57	86.8512	0.430874	6.95271e-310	6.95271e-310	inf
25 <pt<30 	5<chiso range<12 	201.57	86.8512	0.430874	6.95271e-310	6.95271e-310	inf
25 <pt<30 	5<chiso range<13 	201.57	86.8512	0.430874	6.95271e-310	6.95271e-310	inf
25 <pt<30 	6<chiso range<11 	201.57	86.8512	0.430874	6.95271e-310	6.95271e-310	inf
25 <pt<30 	6<chiso range<12 	201.57	86.8512	0.430874	6.95271e-310	6.95271e-310	inf
25 <pt<30 	6<chiso range<13 	201.57	86.8512	0.430874	6.95271e-310	6.95271e-310	inf
25 <pt<30 	7<chiso range<12 	201.57	86.8512	0.430874	6.95271e-310	6.95271e-310	inf
25 <pt<30 	7<chiso range<13 	201.57	86.8512	0.430874	6.95271e-310	6.95271e-310	inf
25 <pt<30 	8<chiso range<13 	201.57	86.8512	0.430874	6.95271e-310	6.95271e-310	inf
