pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	171.353	163.138	12.1196	0.677828
20 <pt<25 	3<chiso range<9 	171.353	156.113	11.6383	1.30947
20 <pt<25 	3<chiso range<10 	171.353	152.655	11.4019	1.6399
20 <pt<25 	3<chiso range<11 	171.353	149.545	11.1553	1.95495
20 <pt<25 	3<chiso range<12 	171.353	146.215	10.9217	2.30166
20 <pt<25 	3<chiso range<13 	171.353	143.184	10.7154	2.62883
20 <pt<25 	4<chiso range<9 	171.353	156.596	11.7218	1.25894
20 <pt<25 	4<chiso range<10 	171.353	152.286	11.4154	1.67029
20 <pt<25 	4<chiso range<11 	171.353	148.656	11.1249	2.0402
20 <pt<25 	4<chiso range<12 	171.353	144.838	10.851	2.44355
20 <pt<25 	4<chiso range<13 	171.353	141.449	10.6196	2.81593
20 <pt<25 	5<chiso range<10 	171.353	146.703	10.9919	2.24256
20 <pt<25 	5<chiso range<11 	171.353	143.174	10.7125	2.63048
20 <pt<25 	5<chiso range<12 	171.353	139.396	10.4462	3.0592
20 <pt<25 	5<chiso range<13 	171.353	136.081	10.2181	3.45191
20 <pt<25 	6<chiso range<11 	171.353	138.502	10.3747	3.16645
20 <pt<25 	6<chiso range<12 	171.353	134.677	10.1013	3.63082
20 <pt<25 	6<chiso range<13 	171.353	131.377	9.87531	4.04808
20 <pt<25 	7<chiso range<12 	171.353	127.75	9.60582	4.53923
20 <pt<25 	7<chiso range<13 	171.353	124.836	9.40646	4.94522
20 <pt<25 	8<chiso range<13 	171.353	118.517	8.94036	5.90983
#######################################################################################
25 <pt<30 	3<chiso range<8 	86.8512	70.6908	7.80048	2.07172
25 <pt<30 	3<chiso range<9 	86.8512	69.1395	7.62693	2.32226
25 <pt<30 	3<chiso range<10 	86.8512	68.8014	7.58483	2.37972
25 <pt<30 	3<chiso range<11 	86.8512	67.8035	7.48012	2.54644
25 <pt<30 	3<chiso range<12 	86.8512	67.7987	7.47869	2.54757
25 <pt<30 	3<chiso range<13 	86.8512	65.8338	7.27353	2.88957
25 <pt<30 	4<chiso range<9 	86.8512	69.1353	7.62308	2.32398
25 <pt<30 	4<chiso range<10 	86.8512	68.7274	7.57261	2.39334
25 <pt<30 	4<chiso range<11 	86.8512	67.5623	7.45101	2.58876
25 <pt<30 	4<chiso range<12 	86.8512	67.5799	7.45211	2.58602
25 <pt<30 	4<chiso range<13 	86.8512	65.3532	7.22004	2.97755
25 <pt<30 	5<chiso range<10 	86.8512	68.1451	7.48327	2.49972
25 <pt<30 	5<chiso range<11 	86.8512	66.8407	7.35242	2.72162
25 <pt<30 	5<chiso range<12 	86.8512	66.9423	7.36477	2.70326
25 <pt<30 	5<chiso range<13 	86.8512	64.4452	7.10811	3.15217
25 <pt<30 	6<chiso range<11 	86.8512	63.6431	7.04369	3.29488
25 <pt<30 	6<chiso range<12 	86.8512	64.2012	7.1015	3.18947
25 <pt<30 	6<chiso range<13 	86.8512	61.6548	6.8329	3.68751
25 <pt<30 	7<chiso range<12 	86.8512	63.2739	6.99811	3.3691
25 <pt<30 	7<chiso range<13 	86.8512	60.394	6.69524	3.95164
25 <pt<30 	8<chiso range<13 	86.8512	59.6743	6.60397	4.11524
#######################################################################################
30 <pt<40 	3<chiso range<8 	69.7343	66.4203	8.6066	0.385053
30 <pt<40 	3<chiso range<9 	69.7343	63.5608	8.22373	0.750693
30 <pt<40 	3<chiso range<10 	69.7343	61.5886	7.97191	1.0218
30 <pt<40 	3<chiso range<11 	69.7343	60.0687	7.77176	1.24368
30 <pt<40 	3<chiso range<12 	69.7343	57.7843	7.49493	1.59441
30 <pt<40 	3<chiso range<13 	69.7343	57.8855	7.50846	1.57806
30 <pt<40 	4<chiso range<9 	69.7343	61.4771	7.98176	1.03451
30 <pt<40 	4<chiso range<10 	69.7343	59.4898	7.72347	1.32641
30 <pt<40 	4<chiso range<11 	69.7343	58.0084	7.5246	1.55834
30 <pt<40 	4<chiso range<12 	69.7343	55.6328	7.23375	1.9494
30 <pt<40 	4<chiso range<13 	69.7343	55.9394	7.27242	1.89688
30 <pt<40 	5<chiso range<10 	69.7343	59.5952	7.73685	1.31049
30 <pt<40 	5<chiso range<11 	69.7343	57.8398	7.50126	1.58567
30 <pt<40 	5<chiso range<12 	69.7343	55.127	7.16943	2.03744
30 <pt<40 	5<chiso range<13 	69.7343	55.527	7.21995	1.96778
30 <pt<40 	6<chiso range<11 	69.7343	55.5751	7.18202	1.97148
30 <pt<40 	6<chiso range<12 	69.7343	52.679	6.83309	2.49599
30 <pt<40 	6<chiso range<13 	69.7343	53.4278	6.93017	2.35297
30 <pt<40 	7<chiso range<12 	69.7343	48.7566	6.33031	3.31385
30 <pt<40 	7<chiso range<13 	69.7343	50.1989	6.51699	2.99761
30 <pt<40 	8<chiso range<13 	69.7343	48.2437	6.25673	3.4348
#######################################################################################
40 <pt<50 	3<chiso range<8 	27.8946	24.1996	5.06782	0.72911
40 <pt<50 	3<chiso range<9 	27.8946	23.6285	4.96225	0.859711
40 <pt<50 	3<chiso range<10 	27.8946	23.6948	4.98601	0.842317
40 <pt<50 	3<chiso range<11 	27.8946	23.3672	4.91019	0.922042
40 <pt<50 	3<chiso range<12 	27.8946	22.8994	4.81261	1.03794
40 <pt<50 	3<chiso range<13 	27.8946	22.3399	4.71083	1.17913
40 <pt<50 	4<chiso range<9 	27.8946	23.1576	4.88339	0.970023
40 <pt<50 	4<chiso range<10 	27.8946	23.3017	4.92087	0.933351
40 <pt<50 	4<chiso range<11 	27.8946	22.9925	4.84629	1.01152
40 <pt<50 	4<chiso range<12 	27.8946	22.5112	4.74404	1.13477
40 <pt<50 	4<chiso range<13 	27.8946	21.9283	4.63613	1.28691
40 <pt<50 	5<chiso range<10 	27.8946	23.472	4.95486	0.892578
40 <pt<50 	5<chiso range<11 	27.8946	23.0706	4.85916	0.992764
40 <pt<50 	5<chiso range<12 	27.8946	22.4941	4.73722	1.14001
40 <pt<50 	5<chiso range<13 	27.8946	21.8243	4.6138	1.31568
40 <pt<50 	6<chiso range<11 	27.8946	22.978	4.83542	1.01679
40 <pt<50 	6<chiso range<12 	27.8946	22.3088	4.69449	1.18986
40 <pt<50 	6<chiso range<13 	27.8946	21.5628	4.55844	1.38903
40 <pt<50 	7<chiso range<12 	27.8946	21.3645	4.50667	1.44899
40 <pt<50 	7<chiso range<13 	27.8946	20.6368	4.3742	1.65923
40 <pt<50 	8<chiso range<13 	27.8946	20.3027	4.30909	1.76183
#######################################################################################
50 <pt<65 	3<chiso range<8 	18.0492	14.9569	4.20194	0.735922
50 <pt<65 	3<chiso range<9 	18.0492	14.5189	4.08835	0.863502
50 <pt<65 	3<chiso range<10 	18.0492	14.6727	4.13686	0.816199
50 <pt<65 	3<chiso range<11 	18.0492	14.7734	4.16903	0.785746
50 <pt<65 	3<chiso range<12 	18.0492	14.5645	4.11435	0.846962
50 <pt<65 	3<chiso range<13 	18.0492	14.0635	3.97837	1.00184
50 <pt<65 	4<chiso range<9 	18.0492	14.2182	4.01991	0.953006
50 <pt<65 	4<chiso range<10 	18.0492	14.4351	4.08448	0.884837
50 <pt<65 	4<chiso range<11 	18.0492	14.5774	4.12726	0.841188
