pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	43.155	53.9391	19.0674	0.565578
20  <pt<25 	3<chiso range<9 	43.155	60.8273	18.8321	0.938414
20  <pt<25 	3<chiso range<10 	43.155	64.1956	18.7243	1.12371
20  <pt<25 	3<chiso range<11 	43.155	67.3518	18.532	1.30568
20  <pt<25 	3<chiso range<12 	43.155	70.48	18.4225	1.48324
20  <pt<25 	3<chiso range<13 	43.155	73.4622	18.3388	1.65263
20  <pt<25 	4<chiso range<9 	43.155	59.9542	19.0076	0.883815
20  <pt<25 	4<chiso range<10 	43.155	64.2493	18.8378	1.11979
20  <pt<25 	4<chiso range<11 	43.155	67.9661	18.6042	1.33363
20  <pt<25 	4<chiso range<12 	43.155	71.6041	18.4614	1.541
20  <pt<25 	4<chiso range<13 	43.155	74.9842	18.3614	1.73348
20  <pt<25 	5<chiso range<10 	43.155	69.7261	18.5557	1.43196
20  <pt<25 	5<chiso range<11 	43.155	73.5339	18.329	1.65742
20  <pt<25 	5<chiso range<12 	43.155	77.0785	18.2065	1.86326
20  <pt<25 	5<chiso range<13 	43.155	80.3643	18.1145	2.05412
20  <pt<25 	6<chiso range<11 	43.155	78.287	18.1369	1.93705
20  <pt<25 	6<chiso range<12 	43.155	81.8179	18.0141	2.14626
20  <pt<25 	6<chiso range<13 	43.155	85.0898	17.9311	2.33866
20  <pt<25 	7<chiso range<12 	43.155	88.64	17.7823	2.55788
20  <pt<25 	7<chiso range<13 	43.155	91.557	17.7151	2.73225
20  <pt<25 	8<chiso range<13 	43.155	97.9224	17.473	3.1344
#######################################################################################
25  <pt<30 	3<chiso range<8 	27.2365	44.8849	13.2295	1.33402
25  <pt<30 	3<chiso range<9 	27.2365	46.5184	13.1115	1.47061
25  <pt<30 	3<chiso range<10 	27.2365	46.9473	13.0695	1.50815
25  <pt<30 	3<chiso range<11 	27.2365	47.9192	13.019	1.58866
25  <pt<30 	3<chiso range<12 	27.2365	47.9569	13.014	1.59216
25  <pt<30 	3<chiso range<13 	27.2365	49.8647	12.9205	1.75134
25  <pt<30 	4<chiso range<9 	27.2365	46.547	13.1004	1.47404
25  <pt<30 	4<chiso range<10 	27.2365	47.0629	13.0507	1.51918
25  <pt<30 	4<chiso range<11 	27.2365	48.1911	12.9941	1.61262
25  <pt<30 	4<chiso range<12 	27.2365	48.209	12.9906	1.61444
25  <pt<30 	4<chiso range<13 	27.2365	50.3654	12.8867	1.79479
25  <pt<30 	5<chiso range<10 	27.2365	47.8931	12.9266	1.59799
25  <pt<30 	5<chiso range<11 	27.2365	49.1052	12.8815	1.69768
25  <pt<30 	5<chiso range<12 	27.2365	49.0259	12.8899	1.69042
25  <pt<30 	5<chiso range<13 	27.2365	51.4079	12.7869	1.89033
25  <pt<30 	6<chiso range<11 	27.2365	51.9152	12.8217	1.92476
25  <pt<30 	6<chiso range<12 	27.2365	51.4298	12.8423	1.88388
25  <pt<30 	6<chiso range<13 	27.2365	53.9156	12.7212	2.09722
25  <pt<30 	7<chiso range<12 	27.2365	52.469	12.7731	1.97544
25  <pt<30 	7<chiso range<13 	27.2365	55.2589	12.6433	2.21638
25  <pt<30 	8<chiso range<13 	27.2365	56.1956	12.5527	2.307
#######################################################################################
30  <pt<40 	3<chiso range<8 	30.6834	35.5316	13.2227	0.366657
30  <pt<40 	3<chiso range<9 	30.6834	38.5102	12.9313	0.60526
30  <pt<40 	3<chiso range<10 	30.6834	40.5138	12.7683	0.769907
30  <pt<40 	3<chiso range<11 	30.6834	42.0666	12.6301	0.901276
30  <pt<40 	3<chiso range<12 	30.6834	44.2871	12.4943	1.08879
30  <pt<40 	3<chiso range<13 	30.6834	44.1747	12.5043	1.07893
30  <pt<40 	4<chiso range<9 	30.6834	40.4835	12.8284	0.763938
30  <pt<40 	4<chiso range<10 	30.6834	42.5174	12.6566	0.935006
30  <pt<40 	4<chiso range<11 	30.6834	44.0437	12.5154	1.06751
30  <pt<40 	4<chiso range<12 	30.6834	46.3655	12.3721	1.26754
30  <pt<40 	4<chiso range<13 	30.6834	46.0532	12.394	1.2401
