pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	414.063	171.353	43.155	163.138	53.9391	0.677828	0.565578
20 <pt<25 	3<chiso range<9 	414.063	171.353	43.155	156.113	60.8273	1.30947	0.938414
20 <pt<25 	3<chiso range<10 	414.063	171.353	43.155	152.655	64.1956	1.6399	1.12371
20 <pt<25 	3<chiso range<11 	414.063	171.353	43.155	149.545	67.3518	1.95495	1.30568
20 <pt<25 	3<chiso range<12 	414.063	171.353	43.155	146.215	70.48	2.30166	1.48324
20 <pt<25 	3<chiso range<13 	414.063	171.353	43.155	143.184	73.4622	2.62883	1.65263
20 <pt<25 	4<chiso range<9 	414.063	171.353	43.155	156.596	59.9542	1.25894	0.883815
20 <pt<25 	4<chiso range<10 	414.063	171.353	43.155	152.286	64.2493	1.67029	1.11979
20 <pt<25 	4<chiso range<11 	414.063	171.353	43.155	148.656	67.9661	2.0402	1.33363
20 <pt<25 	4<chiso range<12 	414.063	171.353	43.155	144.838	71.6041	2.44355	1.541
20 <pt<25 	4<chiso range<13 	414.063	171.353	43.155	141.449	74.9842	2.81593	1.73348
20 <pt<25 	5<chiso range<10 	414.063	171.353	43.155	146.703	69.7261	2.24256	1.43196
20 <pt<25 	5<chiso range<11 	414.063	171.353	43.155	143.174	73.5339	2.63048	1.65742
20 <pt<25 	5<chiso range<12 	414.063	171.353	43.155	139.396	77.0785	3.0592	1.86326
20 <pt<25 	5<chiso range<13 	414.063	171.353	43.155	136.081	80.3643	3.45191	2.05412
20 <pt<25 	6<chiso range<11 	414.063	171.353	43.155	138.502	78.287	3.16645	1.93705
20 <pt<25 	6<chiso range<12 	414.063	171.353	43.155	134.677	81.8179	3.63082	2.14626
20 <pt<25 	6<chiso range<13 	414.063	171.353	43.155	131.377	85.0898	4.04808	2.33866
20 <pt<25 	7<chiso range<12 	414.063	171.353	43.155	127.75	88.64	4.53923	2.55788
20 <pt<25 	7<chiso range<13 	414.063	171.353	43.155	124.836	91.557	4.94522	2.73225
20 <pt<25 	8<chiso range<13 	414.063	171.353	43.155	118.517	97.9224	5.90983	3.1344
#######################################################################################
25 <pt<30 	3<chiso range<8 	201.57	86.8512	27.2365	70.6908	44.8849	2.07172	1.33402
25 <pt<30 	3<chiso range<9 	201.57	86.8512	27.2365	69.1395	46.5184	2.32226	1.47061
25 <pt<30 	3<chiso range<10 	201.57	86.8512	27.2365	68.8014	46.9473	2.37972	1.50815
25 <pt<30 	3<chiso range<11 	201.57	86.8512	27.2365	67.8035	47.9192	2.54644	1.58866
25 <pt<30 	3<chiso range<12 	201.57	86.8512	27.2365	67.7987	47.9569	2.54757	1.59216
25 <pt<30 	3<chiso range<13 	201.57	86.8512	27.2365	65.8338	49.8647	2.88957	1.75134
25 <pt<30 	4<chiso range<9 	201.57	86.8512	27.2365	69.1353	46.547	2.32398	1.47404
25 <pt<30 	4<chiso range<10 	201.57	86.8512	27.2365	68.7274	47.0629	2.39334	1.51918
25 <pt<30 	4<chiso range<11 	201.57	86.8512	27.2365	67.5623	48.1911	2.58876	1.61262
25 <pt<30 	4<chiso range<12 	201.57	86.8512	27.2365	67.5799	48.209	2.58602	1.61444
25 <pt<30 	4<chiso range<13 	201.57	86.8512	27.2365	65.3532	50.3654	2.97755	1.79479
25 <pt<30 	5<chiso range<10 	201.57	86.8512	27.2365	68.1451	47.8931	2.49972	1.59799
25 <pt<30 	5<chiso range<11 	201.57	86.8512	27.2365	66.8407	49.1052	2.72162	1.69768
25 <pt<30 	5<chiso range<12 	201.57	86.8512	27.2365	66.9423	49.0259	2.70326	1.69042
25 <pt<30 	5<chiso range<13 	201.57	86.8512	27.2365	64.4452	51.4079	3.15217	1.89033
25 <pt<30 	6<chiso range<11 	201.57	86.8512	27.2365	63.6431	51.9152	3.29488	1.92476
25 <pt<30 	6<chiso range<12 	201.57	86.8512	27.2365	64.2012	51.4298	3.18947	1.88388
25 <pt<30 	6<chiso range<13 	201.57	86.8512	27.2365	61.6548	53.9156	3.68751	2.09722
25 <pt<30 	7<chiso range<12 	201.57	86.8512	27.2365	63.2739	52.469	3.3691	1.97544
25 <pt<30 	7<chiso range<13 	201.57	86.8512	27.2365	60.394	55.2589	3.95164	2.21638
25 <pt<30 	8<chiso range<13 	201.57	86.8512	27.2365	59.6743	56.1956	4.11524	2.307
#######################################################################################
30 <pt<40 	3<chiso range<8 	162.937	69.7343	30.6834	66.4203	35.5316	0.385053	0.366657
30 <pt<40 	3<chiso range<9 	162.937	69.7343	30.6834	63.5608	38.5102	0.750693	0.60526
30 <pt<40 	3<chiso range<10 	162.937	69.7343	30.6834	61.5886	40.5138	1.0218	0.769907
