pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	190.457	48.2799	0.253495	0.337477	0.0429598	1.9549
20 <pt<25 	3<chiso range<9 	190.457	48.2799	0.253495	0.339078	0.0431288	1.98436
20 <pt<25 	3<chiso range<10 	190.457	48.2799	0.253495	0.336001	0.0427383	1.93049
20 <pt<25 	3<chiso range<11 	190.457	48.2799	0.253495	0.328832	0.0418312	1.80098
20 <pt<25 	3<chiso range<12 	190.457	48.2799	0.253495	0.323692	0.041172	1.70497
20 <pt<25 	3<chiso range<13 	190.457	48.2799	0.253495	0.319821	0.0407015	1.62957
20 <pt<25 	4<chiso range<9 	190.457	48.2799	0.253495	0.340587	0.0433191	2.01048
20 <pt<25 	4<chiso range<10 	190.457	48.2799	0.253495	0.336748	0.0428363	1.94351
20 <pt<25 	4<chiso range<11 	190.457	48.2799	0.253495	0.32841	0.041781	1.79304
20 <pt<25 	4<chiso range<12 	190.457	48.2799	0.253495	0.322632	0.041041	1.68458
20 <pt<25 	4<chiso range<13 	190.457	48.2799	0.253495	0.318384	0.0405249	1.60121
20 <pt<25 	5<chiso range<10 	190.457	48.2799	0.253495	0.347663	0.0441632	2.13227
20 <pt<25 	5<chiso range<11 	190.457	48.2799	0.253495	0.336	0.042707	1.93188
20 <pt<25 	5<chiso range<12 	190.457	48.2799	0.253495	0.328267	0.0417341	1.79163
20 <pt<25 	5<chiso range<13 	190.457	48.2799	0.253495	0.3228	0.0410603	1.68788
20 <pt<25 	6<chiso range<11 	190.457	48.2799	0.253495	0.333226	0.0423551	1.88244
20 <pt<25 	6<chiso range<12 	190.457	48.2799	0.253495	0.324393	0.0412417	1.71908
20 <pt<25 	6<chiso range<13 	190.457	48.2799	0.253495	0.318439	0.0405144	1.60299
20 <pt<25 	7<chiso range<12 	190.457	48.2799	0.253495	0.307048	0.0390402	1.37174
20 <pt<25 	7<chiso range<13 	190.457	48.2799	0.253495	0.302626	0.0385145	1.27565
20 <pt<25 	8<chiso range<13 	190.457	48.2799	0.253495	0.298957	0.0380471	1.19489
#######################################################################################
25 <pt<30 	3<chiso range<8 	105.576	23.1362	0.219143	0.272249	0.0541145	0.981371
25 <pt<30 	3<chiso range<9 	105.576	23.1362	0.219143	0.275422	0.0547802	1.02737
25 <pt<30 	3<chiso range<10 	105.576	23.1362	0.219143	0.272	0.0540753	0.977478
25 <pt<30 	3<chiso range<11 	105.576	23.1362	0.219143	0.26846	0.0533834	0.923834
25 <pt<30 	3<chiso range<12 	105.576	23.1362	0.219143	0.265368	0.0528163	0.875211
25 <pt<30 	3<chiso range<13 	105.576	23.1362	0.219143	0.258662	0.0515025	0.76733
25 <pt<30 	4<chiso range<9 	105.576	23.1362	0.219143	0.276354	0.0550574	1.03912
25 <pt<30 	4<chiso range<10 	105.576	23.1362	0.219143	0.272139	0.0541707	0.978322
25 <pt<30 	4<chiso range<11 	105.576	23.1362	0.219143	0.268017	0.0533602	0.915933
25 <pt<30 	4<chiso range<12 	105.576	23.1362	0.219143	0.264552	0.0527157	0.861402
25 <pt<30 	4<chiso range<13 	105.576	23.1362	0.219143	0.257047	0.0512362	0.739797
25 <pt<30 	5<chiso range<10 	105.576	23.1362	0.219143	0.263014	0.0523713	0.837699
25 <pt<30 	5<chiso range<11 	105.576	23.1362	0.219143	0.259436	0.0516715	0.779799
25 <pt<30 	5<chiso range<12 	105.576	23.1362	0.219143	0.256896	0.0511937	0.737462
25 <pt<30 	5<chiso range<13 	105.576	23.1362	0.219143	0.249282	0.0496934	0.606507
25 <pt<30 	6<chiso range<11 	105.576	23.1362	0.219143	0.260136	0.0518583	0.790489
25 <pt<30 	6<chiso range<12 	105.576	23.1362	0.219143	0.257	0.0512625	0.738501
25 <pt<30 	6<chiso range<13 	105.576	23.1362	0.219143	0.248144	0.0495105	0.585762
25 <pt<30 	7<chiso range<12 	105.576	23.1362	0.219143	0.263619	0.0526256	0.845147
25 <pt<30 	7<chiso range<13 	105.576	23.1362	0.219143	0.251746	0.0502651	0.648629
25 <pt<30 	8<chiso range<13 	105.576	23.1362	0.219143	0.242711	0.0484143	0.486806
#######################################################################################
30 <pt<40 	3<chiso range<8 	105.745	19.1044	0.180665	0.213	0.0544354	0.59401
30 <pt<40 	3<chiso range<9 	105.745	19.1044	0.180665	0.212638	0.0543747	0.588016
30 <pt<40 	3<chiso range<10 	105.745	19.1044	0.180665	0.201677	0.0516089	0.407143
30 <pt<40 	3<chiso range<11 	105.745	19.1044	0.180665	0.194829	0.0499167	0.283757
30 <pt<40 	3<chiso range<12 	105.745	19.1044	0.180665	0.194639	0.0498313	0.28043
30 <pt<40 	3<chiso range<13 	105.745	19.1044	0.180665	0.189398	0.0485032	0.180054
30 <pt<40 	4<chiso range<9 	105.745	19.1044	0.180665	0.219136	0.056072	0.686103
30 <pt<40 	4<chiso range<10 	105.745	19.1044	0.180665	0.204604	0.052396	0.45689
30 <pt<40 	4<chiso range<11 	105.745	19.1044	0.180665	0.196083	0.0502806	0.306643
30 <pt<40 	4<chiso range<12 	105.745	19.1044	0.180665	0.195733	0.0501417	0.300512
30 <pt<40 	4<chiso range<13 	105.745	19.1044	0.180665	0.189648	0.0485954	0.184857
30 <pt<40 	5<chiso range<10 	105.745	19.1044	0.180665	0.193242	0.0495479	0.253839
30 <pt<40 	5<chiso range<11 	105.745	19.1044	0.180665	0.185648	0.0476633	0.10455
30 <pt<40 	5<chiso range<12 	105.745	19.1044	0.180665	0.186542	0.0478328	0.12287
30 <pt<40 	5<chiso range<13 	105.745	19.1044	0.180665	0.180848	0.0463813	0.00394972
30 <pt<40 	6<chiso range<11 	105.745	19.1044	0.180665	0.181716	0.04667	0.022524
30 <pt<40 	6<chiso range<12 	105.745	19.1044	0.180665	0.183343	0.0470157	0.0569638
30 <pt<40 	6<chiso range<13 	105.745	19.1044	0.180665	0.177145	0.0454342	0.0774704
30 <pt<40 	7<chiso range<12 	105.745	19.1044	0.180665	0.176488	0.0451395	0.0925311
30 <pt<40 	7<chiso range<13 	105.745	19.1044	0.180665	0.170347	0.0435884	0.23671
30 <pt<40 	8<chiso range<13 	105.745	19.1044	0.180665	0.165701	0.0425039	0.352057
#######################################################################################
40 <pt<50 	3<chiso range<8 	46.2986	6.20321	0.133983	0.147495	0.0620692	0.217698
40 <pt<50 	3<chiso range<9 	46.2986	6.20321	0.133983	0.140328	0.0590255	0.107502
40 <pt<50 	3<chiso range<10 	46.2986	6.20321	0.133983	0.143079	0.0601054	0.15134
40 <pt<50 	3<chiso range<11 	46.2986	6.20321	0.133983	0.144084	0.060542	0.166848
40 <pt<50 	3<chiso range<12 	46.2986	6.20321	0.133983	0.141166	0.0593492	0.121035
40 <pt<50 	3<chiso range<13 	46.2986	6.20321	0.133983	0.141732	0.0595724	0.130083
40 <pt<50 	4<chiso range<9 	46.2986	6.20321	0.133983	0.139487	0.0585603	0.0939942
40 <pt<50 	4<chiso range<10 	46.2986	6.20321	0.133983	0.142804	0.0598814	0.147313
40 <pt<50 	4<chiso range<11 	46.2986	6.20321	0.133983	0.143998	0.0604122	0.165783
40 <pt<50 	4<chiso range<12 	46.2986	6.20321	0.133983	0.140711	0.0590791	0.113887
40 <pt<50 	4<chiso range<13 	46.2986	6.20321	0.133983	0.141394	0.0593592	0.124856
40 <pt<50 	5<chiso range<10 	46.2986	6.20321	0.133983	0.136284	0.0569886	0.0403823
40 <pt<50 	5<chiso range<11 	46.2986	6.20321	0.133983	0.138537	0.0579884	0.0785387
40 <pt<50 	5<chiso range<12 	46.2986	6.20321	0.133983	0.135619	0.0568232	0.0287969
40 <pt<50 	5<chiso range<13 	46.2986	6.20321	0.133983	0.13699	0.0574106	0.0523829
