pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	48.2799	65.3739	8.28305	2.06373
20 <pt<25 	3<chiso range<9 	48.2799	65.6839	8.31558	2.09294
20 <pt<25 	3<chiso range<10 	48.2799	65.0879	8.24028	2.03974
20 <pt<25 	3<chiso range<11 	48.2799	63.6991	8.06541	1.91177
20 <pt<25 	3<chiso range<12 	48.2799	62.7035	7.93829	1.81697
20 <pt<25 	3<chiso range<13 	48.2799	61.9537	7.84762	1.74241
20 <pt<25 	4<chiso range<9 	48.2799	65.9762	8.35226	2.11874
20 <pt<25 	4<chiso range<10 	48.2799	65.2325	8.25918	2.05258
20 <pt<25 	4<chiso range<11 	48.2799	63.6175	8.05573	1.90394
20 <pt<25 	4<chiso range<12 	48.2799	62.4983	7.91304	1.79683
20 <pt<25 	4<chiso range<13 	48.2799	61.6752	7.81358	1.71436
20 <pt<25 	5<chiso range<10 	48.2799	67.3469	8.51492	2.23925
20 <pt<25 	5<chiso range<11 	48.2799	65.0878	8.23419	2.04123
20 <pt<25 	5<chiso range<12 	48.2799	63.5897	8.04663	1.90264
20 <pt<25 	5<chiso range<13 	48.2799	62.5307	7.91676	1.80008
20 <pt<25 	6<chiso range<11 	48.2799	64.5505	8.16635	1.9924
20 <pt<25 	6<chiso range<12 	48.2799	62.8393	7.95169	1.83098
20 <pt<25 	6<chiso range<13 	48.2799	61.6859	7.81151	1.71619
20 <pt<25 	7<chiso range<12 	48.2799	59.4793	7.52724	1.48785
20 <pt<25 	7<chiso range<13 	48.2799	58.6228	7.42594	1.39281
20 <pt<25 	8<chiso range<13 	48.2799	57.912	7.33583	1.31302
#######################################################################################
25 <pt<30 	3<chiso range<8 	23.1362	29.123	5.76944	1.03767
25 <pt<30 	3<chiso range<9 	23.1362	29.4624	5.84043	1.08317
25 <pt<30 	3<chiso range<10 	23.1362	29.0963	5.76527	1.03379
25 <pt<30 	3<chiso range<11 	23.1362	28.7177	5.69151	0.980671
25 <pt<30 	3<chiso range<12 	23.1362	28.3869	5.63107	0.932452
25 <pt<30 	3<chiso range<13 	23.1362	27.6696	5.49102	0.825603
25 <pt<30 	4<chiso range<9 	23.1362	29.5622	5.87005	1.09471
25 <pt<30 	4<chiso range<10 	23.1362	29.1112	5.77549	1.03454
25 <pt<30 	4<chiso range<11 	23.1362	28.6703	5.68908	0.972758
25 <pt<30 	4<chiso range<12 	23.1362	28.2996	5.6204	0.918689
25 <pt<30 	4<chiso range<13 	23.1362	27.4968	5.46267	0.798254
25 <pt<30 	5<chiso range<10 	23.1362	28.1351	5.58365	0.895275
25 <pt<30 	5<chiso range<11 	23.1362	27.7524	5.50905	0.83793
25 <pt<30 	5<chiso range<12 	23.1362	27.4807	5.45813	0.795969
25 <pt<30 	5<chiso range<13 	23.1362	26.6662	5.29818	0.666267
25 <pt<30 	6<chiso range<11 	23.1362	27.8272	5.529	0.848436
25 <pt<30 	6<chiso range<12 	23.1362	27.4918	5.4655	0.796926
25 <pt<30 	6<chiso range<13 	23.1362	26.5444	5.27871	0.64565
25 <pt<30 	7<chiso range<12 	23.1362	28.1998	5.61086	0.902464
25 <pt<30 	7<chiso range<13 	23.1362	26.9297	5.35919	0.70785
25 <pt<30 	8<chiso range<13 	23.1362	25.9633	5.16183	0.547693
#######################################################################################
30 <pt<40 	3<chiso range<8 	19.1044	22.7274	5.79707	0.624971
30 <pt<40 	3<chiso range<9 	19.1044	22.6889	5.79062	0.619018
30 <pt<40 	3<chiso range<10 	19.1044	21.5193	5.49609	0.439385
30 <pt<40 	3<chiso range<11 	19.1044	20.7885	5.31591	0.316804
30 <pt<40 	3<chiso range<12 	19.1044	20.7683	5.3068	0.313541
30 <pt<40 	3<chiso range<13 	19.1044	20.209	5.16536	0.213848
30 <pt<40 	4<chiso range<9 	19.1044	23.3821	5.97138	0.716367
30 <pt<40 	4<chiso range<10 	19.1044	21.8316	5.57993	0.488752
30 <pt<40 	4<chiso range<11 	19.1044	20.9224	5.35467	0.339517
30 <pt<40 	4<chiso range<12 	19.1044	20.885	5.33987	0.333454
30 <pt<40 	4<chiso range<13 	19.1044	20.2358	5.17519	0.21862
30 <pt<40 	5<chiso range<10 	19.1044	20.6193	5.27665	0.287095
30 <pt<40 	5<chiso range<11 	19.1044	19.809	5.07596	0.138811
30 <pt<40 	5<chiso range<12 	19.1044	19.9044	5.09399	0.157048
30 <pt<40 	5<chiso range<13 	19.1044	19.2967	4.93942	0.0389317
30 <pt<40 	6<chiso range<11 	19.1044	19.3894	4.97019	0.0573419
30 <pt<40 	6<chiso range<12 	19.1044	19.563	5.00698	0.0915921
30 <pt<40 	6<chiso range<13 	19.1044	18.9017	4.83855	0.0418927
30 <pt<40 	7<chiso range<12 	19.1044	18.8315	4.80712	0.05677
30 <pt<40 	7<chiso range<13 	19.1044	18.1763	4.64194	0.199938
30 <pt<40 	8<chiso range<13 	19.1044	17.6806	4.5265	0.314548
#######################################################################################
40 <pt<50 	3<chiso range<8 	6.20321	6.90546	2.90176	0.242008
40 <pt<50 	3<chiso range<9 	6.20321	6.56993	2.75946	0.132896
40 <pt<50 	3<chiso range<10 	6.20321	6.6987	2.80993	0.176335
40 <pt<50 	3<chiso range<11 	6.20321	6.74575	2.83035	0.191687
40 <pt<50 	3<chiso range<12 	6.20321	6.60914	2.77459	0.146303
40 <pt<50 	3<chiso range<13 	6.20321	6.63566	2.78502	0.155277
40 <pt<50 	4<chiso range<9 	6.20321	6.53054	2.73769	0.119564
40 <pt<50 	4<chiso range<10 	6.20321	6.68584	2.79945	0.172402
40 <pt<50 	4<chiso range<11 	6.20321	6.74175	2.82426	0.190684
40 <pt<50 	4<chiso range<12 	6.20321	6.58787	2.76195	0.139271
40 <pt<50 	4<chiso range<13 	6.20321	6.61984	2.77504	0.150135
40 <pt<50 	5<chiso range<10 	6.20321	6.3806	2.66419	0.0665831
40 <pt<50 	5<chiso range<11 	6.20321	6.48605	2.71093	0.104333
40 <pt<50 	5<chiso range<12 	6.20321	6.34946	2.65647	0.0550543
40 <pt<50 	5<chiso range<13 	6.20321	6.41366	2.68393	0.0784111
40 <pt<50 	6<chiso range<11 	6.20321	6.327	2.64589	0.0467858
40 <pt<50 	6<chiso range<12 	6.20321	6.19104	2.59218	0.00469489
40 <pt<50 	6<chiso range<13 	6.20321	6.28772	2.63272	0.0320999
40 <pt<50 	7<chiso range<12 	6.20321	6.19531	2.59651	0.00304255
40 <pt<50 	7<chiso range<13 	6.20321	6.30799	2.64346	0.0396374
40 <pt<50 	8<chiso range<13 	6.20321	6.35147	2.66251	0.0556843
#######################################################################################
50 <pt<65 	3<chiso range<8 	3.32728	4.19694	2.19077	0.396965
50 <pt<65 	3<chiso range<9 	3.32728	3.94579	2.05719	0.300658
50 <pt<65 	3<chiso range<10 	3.32728	4.1006	2.13769	0.361755
50 <pt<65 	3<chiso range<11 	3.32728	3.97037	2.07027	0.310631
50 <pt<65 	3<chiso range<12 	3.32728	3.95157	2.05201	0.304233
50 <pt<65 	3<chiso range<13 	3.32728	3.93434	2.04354	0.297063
50 <pt<65 	4<chiso range<9 	3.32728	3.68589	1.93054	0.185756
50 <pt<65 	4<chiso range<10 	3.32728	3.89408	2.03779	0.278144
50 <pt<65 	4<chiso range<11 	3.32728	3.77914	1.97734	0.228519
50 <pt<65 	4<chiso range<12 	3.32728	3.78124	1.96803	0.230667
50 <pt<65 	4<chiso range<13 	3.32728	3.78131	1.9681	0.230695
50 <pt<65 	5<chiso range<10 	3.32728	3.88909	2.03077	0.276649
50 <pt<65 	5<chiso range<11 	3.32728	3.75594	1.96163	0.218522
50 <pt<65 	5<chiso range<12 	3.32728	3.75987	1.95322	0.221475
50 <pt<65 	5<chiso range<13 	3.32728	3.76267	1.95497	0.222709
50 <pt<65 	6<chiso range<11 	3.32728	3.70679	1.93844	0.195781
50 <pt<65 	6<chiso range<12 	3.32728	3.71953	1.93223	0.203004
50 <pt<65 	6<chiso range<13 	3.32728	3.72834	1.93734	0.207016
50 <pt<65 	7<chiso range<12 	3.32728	3.84325	1.99621	0.258475
50 <pt<65 	7<chiso range<13 	3.32728	3.83178	1.99094	0.253398
50 <pt<65 	8<chiso range<13 	3.32728	3.64788	1.88752	0.169853
#######################################################################################
65 <pt<100 	3<chiso range<8 	2.29969	2.08683	1.47956	0.143867
65 <pt<100 	3<chiso range<9 	2.29969	2.09672	1.48699	0.136497
65 <pt<100 	3<chiso range<10 	2.29969	2.16311	1.53457	0.0890021
65 <pt<100 	3<chiso range<11 	2.29969	2.01793	1.43236	0.19671
65 <pt<100 	3<chiso range<12 	2.29969	1.92327	1.37321	0.274117
65 <pt<100 	3<chiso range<13 	2.29969	1.83059	1.30751	0.358774
65 <pt<100 	4<chiso range<9 	2.29969	2.16675	1.54328	0.0861412
65 <pt<100 	4<chiso range<10 	2.29969	2.23139	1.58866	0.0429922
65 <pt<100 	4<chiso range<11 	2.29969	2.0577	1.46524	0.165154
65 <pt<100 	4<chiso range<12 	2.29969	1.94846	1.39584	0.251626
65 <pt<100 	4<chiso range<13 	2.29969	1.83312	1.31536	0.354709
65 <pt<100 	5<chiso range<10 	2.29969	2.30974	1.64138	0.0061229
65 <pt<100 	5<chiso range<11 	2.29969	2.09451	1.4891	0.137788
65 <pt<100 	5<chiso range<12 	2.29969	1.96405	1.40641	0.23865
65 <pt<100 	5<chiso range<13 	2.29969	1.8333	1.31513	0.354634
65 <pt<100 	6<chiso range<11 	2.29969	2.02095	1.43734	0.193928
65 <pt<100 	6<chiso range<12 	2.29969	1.89323	1.35607	0.299734
65 <pt<100 	6<chiso range<13 	2.29969	1.75696	1.26155	0.430209
65 <pt<100 	7<chiso range<12 	2.29969	1.8223	1.3109	0.36417
65 <pt<100 	7<chiso range<13 	2.29969	1.68674	1.21323	0.505222
65 <pt<100 	8<chiso range<13 	2.29969	1.60141	1.15277	0.605741
#######################################################################################
100 <pt<400 	3<chiso range<8 	0.706204	0.622709	0.651425	0.128173
100 <pt<400 	3<chiso range<9 	0.706204	0.579314	0.6045	0.209909
100 <pt<400 	3<chiso range<10 	0.706204	0.607568	0.637196	0.154797
100 <pt<400 	3<chiso range<11 	0.706204	0.571219	0.607458	0.222213
100 <pt<400 	3<chiso range<12 	0.706204	0.577785	0.609093	0.210836
100 <pt<400 	3<chiso range<13 	0.706204	0.579209	0.610693	0.207952
100 <pt<400 	4<chiso range<9 	0.706204	0.548442	0.572608	0.275515
100 <pt<400 	4<chiso range<10 	0.706204	0.58286	0.613475	0.201058
100 <pt<400 	4<chiso range<11 	0.706204	0.548658	0.585836	0.268925
100 <pt<400 	4<chiso range<12 	0.706204	0.560105	0.591451	0.247018
100 <pt<400 	4<chiso range<13 	0.706204	0.558878	0.591548	0.249052
100 <pt<400 	5<chiso range<10 	0.706204	0.57428	0.602887	0.21882
100 <pt<400 	5<chiso range<11 	0.706204	0.533816	0.571077	0.301865
100 <pt<400 	5<chiso range<12 	0.706204	0.550577	0.58104	0.267842
100 <pt<400 	5<chiso range<13 	0.706204	0.554604	0.585188	0.259062
100 <pt<400 	6<chiso range<11 	0.706204	0.602582	0.656472	0.157847
