pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	141.556	127.769	16.3881	0.841281
20  <pt<25 	3<chiso range<9 	141.556	127.415	16.3985	0.862335
20  <pt<25 	3<chiso range<10 	141.556	128.052	16.356	0.82563
20  <pt<25 	3<chiso range<11 	141.556	129.43	16.2647	0.745541
20  <pt<25 	3<chiso range<12 	141.556	130.397	16.1967	0.688968
20  <pt<25 	3<chiso range<13 	141.556	131.143	16.1543	0.644596
20  <pt<25 	4<chiso range<9 	141.556	127.137	16.4166	0.878318
20  <pt<25 	4<chiso range<10 	141.556	127.929	16.3654	0.832671
20  <pt<25 	4<chiso range<11 	141.556	129.528	16.2594	0.739757
20  <pt<25 	4<chiso range<12 	141.556	130.611	16.1836	0.676302
20  <pt<25 	4<chiso range<13 	141.556	131.427	16.1373	0.627676
20  <pt<25 	5<chiso range<10 	141.556	125.725	16.4897	0.960054
20  <pt<25 	5<chiso range<11 	141.556	128.005	16.347	0.828959
20  <pt<25 	5<chiso range<12 	141.556	129.481	16.2514	0.743013
20  <pt<25 	5<chiso range<13 	141.556	130.541	16.1876	0.680459
20  <pt<25 	6<chiso range<11 	141.556	128.565	16.3095	0.79653
20  <pt<25 	6<chiso range<12 	141.556	130.237	16.2001	0.698699
20  <pt<25 	6<chiso range<13 	141.556	131.383	16.1334	0.630555
20  <pt<25 	7<chiso range<12 	141.556	133.597	15.985	0.497904
20  <pt<25 	7<chiso range<13 	141.556	134.481	15.944	0.443741
20  <pt<25 	8<chiso range<13 	141.556	135.201	15.899	0.399711
#######################################################################################
25  <pt<30 	3<chiso range<8 	82.2279	77.5344	11.9146	0.393928
25  <pt<30 	3<chiso range<9 	82.2279	77.2126	11.9549	0.419518
25  <pt<30 	3<chiso range<10 	82.2279	77.552	11.9148	0.392445
25  <pt<30 	3<chiso range<11 	82.2279	77.9451	11.8761	0.360623
25  <pt<30 	3<chiso range<12 	82.2279	78.3217	11.854	0.329526
25  <pt<30 	3<chiso range<13 	82.2279	79.039	11.7865	0.270555
25  <pt<30 	4<chiso range<9 	82.2279	77.1521	11.9785	0.423743
25  <pt<30 	4<chiso range<10 	82.2279	77.5662	11.9261	0.390882
25  <pt<30 	4<chiso range<11 	82.2279	78.0185	11.8808	0.354303
25  <pt<30 	4<chiso range<12 	82.2279	78.4356	11.8542	0.319912
25  <pt<30 	4<chiso range<13 	82.2279	79.2374	11.7775	0.253916
25  <pt<30 	5<chiso range<10 	82.2279	78.5666	11.8339	0.309391
25  <pt<30 	5<chiso range<11 	82.2279	78.9705	11.7961	0.276142
25  <pt<30 	5<chiso range<12 	82.2279	79.2526	11.7737	0.252707
25  <pt<30 	5<chiso range<13 	82.2279	80.0661	11.6977	0.184806
25  <pt<30 	6<chiso range<11 	82.2279	78.9296	11.8092	0.279299
25  <pt<30 	6<chiso range<12 	82.2279	79.273	11.7808	0.250823
25  <pt<30 	6<chiso range<13 	82.2279	80.2147	11.6918	0.172189
25  <pt<30 	7<chiso range<12 	82.2279	78.5884	11.857	0.306949
25  <pt<30 	7<chiso range<13 	82.2279	79.85	11.7339	0.202652
25  <pt<30 	8<chiso range<13 	82.2279	80.783	11.6351	0.124185
#######################################################################################
30  <pt<40 	3<chiso range<8 	86.2831	83.9396	11.9087	0.196789
30  <pt<40 	3<chiso range<9 	86.2831	83.9501	11.9121	0.195851
30  <pt<40 	3<chiso range<10 	86.2831	85.1257	11.7623	0.0983991
30  <pt<40 	3<chiso range<11 	86.2831	85.8614	11.6761	0.0361165
30  <pt<40 	3<chiso range<12 	86.2831	85.8666	11.6698	0.0356904
30  <pt<40 	3<chiso range<13 	86.2831	86.4108	11.6023	0.0110064
30  <pt<40 	4<chiso range<9 	86.2831	83.2743	12.009	0.250545
30  <pt<40 	4<chiso range<10 	86.2831	84.8302	11.8068	0.123056
30  <pt<40 	4<chiso range<11 	86.2831	85.744	11.6978	0.0460856
30  <pt<40 	4<chiso range<12 	86.2831	85.7617	11.688	0.0446099
30  <pt<40 	4<chiso range<13 	86.2831	86.393	11.6089	0.00946687
30  <pt<40 	5<chiso range<10 	86.2831	86.0429	11.6586	0.0206028
30  <pt<40 	5<chiso range<11 	86.2831	86.8536	11.5648	0.0493307
30  <pt<40 	5<chiso range<12 	86.2831	86.7366	11.5704	0.0391948
30  <pt<40 	5<chiso range<13 	86.2831	87.3211	11.4981	0.0902758
30  <pt<40 	6<chiso range<11 	86.2831	87.2562	11.5165	0.0844962
30  <pt<40 	6<chiso range<12 	86.2831	87.0602	11.53	0.0673981
30  <pt<40 	6<chiso range<13 	86.2831	87.6969	11.4515	0.12346
30  <pt<40 	7<chiso range<12 	86.2831	87.8161	11.4465	0.133927
30  <pt<40 	7<chiso range<13 	86.2831	88.4761	11.3748	0.192795
30  <pt<40 	8<chiso range<13 	86.2831	89.0153	11.3313	0.24112
#######################################################################################
40  <pt<50 	3<chiso range<8 	40.0125	39.9234	7.3765	0.0120789
40  <pt<50 	3<chiso range<9 	40.0125	40.2564	7.31582	0.0333387
40  <pt<50 	3<chiso range<10 	40.0125	40.1242	7.33394	0.0152306
40  <pt<50 	3<chiso range<11 	40.0125	40.0775	7.34325	0.00885167
40  <pt<50 	3<chiso range<12 	40.0125	40.2194	7.32008	0.0282647
40  <pt<50 	3<chiso range<13 	40.0125	40.1903	7.3244	0.024275
40  <pt<50 	4<chiso range<9 	40.0125	40.2887	7.30255	0.0378224
40  <pt<50 	4<chiso range<10 	40.0125	40.1313	7.32529	0.0162178
40  <pt<50 	4<chiso range<11 	40.0125	40.0763	7.33717	0.00869545
40  <pt<50 	4<chiso range<12 	40.0125	40.2366	7.31158	0.03065
40  <pt<50 	4<chiso range<13 	40.0125	40.2022	7.31744	0.0259244
40  <pt<50 	5<chiso range<10 	40.0125	40.4188	7.26414	0.0559323
40  <pt<50 	5<chiso range<11 	40.0125	40.3169	7.28628	0.0417771
40  <pt<50 	5<chiso range<12 	40.0125	40.4613	7.26417	0.0617827
40  <pt<50 	5<chiso range<13 	40.0125	40.3964	7.27693	0.0527558
40  <pt<50 	6<chiso range<11 	40.0125	40.4725	7.26198	0.0633436
40  <pt<50 	6<chiso range<12 	40.0125	40.6182	7.24041	0.0836555
40  <pt<50 	6<chiso range<13 	40.0125	40.5212	7.25753	0.0700927
40  <pt<50 	7<chiso range<12 	40.0125	40.6274	7.24126	0.0849162
40  <pt<50 	7<chiso range<13 	40.0125	40.5121	7.26149	0.0688013
40  <pt<50 	8<chiso range<13 	40.0125	40.4725	7.26936	0.0632793
#######################################################################################
50  <pt<65 	3<chiso range<8 	31.0454	30.4954	6.16499	0.0892134
50  <pt<65 	3<chiso range<9 	31.0454	30.7231	6.10939	0.0527549
50  <pt<65 	3<chiso range<10 	31.0454	30.5792	6.14201	0.0759035
50  <pt<65 	3<chiso range<11 	31.0454	30.7016	6.1147	0.0562252
50  <pt<65 	3<chiso range<12 	31.0454	30.7028	6.10341	0.0561326
50  <pt<65 	3<chiso range<13 	31.0454	30.718	6.10053	0.0536675
50  <pt<65 	4<chiso range<9 	31.0454	31.0147	6.07314	0.00505505
50  <pt<65 	4<chiso range<10 	31.0454	30.7858	6.10476	0.0425242
50  <pt<65 	4<chiso range<11 	31.0454	30.92	6.0892	0.0205938
50  <pt<65 	4<chiso range<12 	31.0454	30.8965	6.08086	0.0244867
50  <pt<65 	4<chiso range<13 	31.0454	30.8953	6.08112	0.024683
50  <pt<65 	5<chiso range<10 	31.0454	30.8016	6.10657	0.0399242
50  <pt<65 	5<chiso range<11 	31.0454	30.9342	6.08224	0.0182827
50  <pt<65 	5<chiso range<12 	31.0454	30.9079	6.07428	0.0226364
50  <pt<65 	5<chiso range<13 	31.0454	30.9052	6.07515	0.0230776
50  <pt<65 	6<chiso range<11 	31.0454	30.9889	6.07521	0.00930009
50  <pt<65 	6<chiso range<12 	31.0454	30.9482	6.06692	0.0160213
50  <pt<65 	6<chiso range<13 	31.0454	30.9399	6.06909	0.0173832
50  <pt<65 	7<chiso range<12 	31.0454	30.8246	6.08918	0.036261
50  <pt<65 	7<chiso range<13 	31.0454	30.8366	6.08782	0.034298
50  <pt<65 	8<chiso range<13 	31.0454	31.0015	6.04671	0.00726015
#######################################################################################
65  <pt<100 	3<chiso range<8 	25.6173	26.133	5.29125	0.0974628
65  <pt<100 	3<chiso range<9 	25.6173	26.1191	5.29469	0.0947742
65  <pt<100 	3<chiso range<10 	25.6173	26.0519	5.31144	0.0818234
65  <pt<100 	3<chiso range<11 	25.6173	26.196	5.27742	0.109656
65  <pt<100 	3<chiso range<12 	25.6173	26.2688	5.24615	0.124186
65  <pt<100 	3<chiso range<13 	25.6173	26.4054	5.24162	0.150354
65  <pt<100 	4<chiso range<9 	25.6173	26.0583	5.31583	0.0829598
65  <pt<100 	4<chiso range<10 	25.6173	25.9921	5.33185	0.0702946
65  <pt<100 	4<chiso range<11 	25.6173	26.1635	5.28966	0.103258
65  <pt<100 	4<chiso range<12 	25.6173	26.288	5.26828	0.127309
65  <pt<100 	4<chiso range<13 	25.6173	26.3675	5.22905	0.143468
65  <pt<100 	5<chiso range<10 	25.6173	25.9101	5.35006	0.0547284
65  <pt<100 	5<chiso range<11 	25.6173	26.1232	5.29732	0.0955011
65  <pt<100 	5<chiso range<12 	25.6173	26.2704	5.27184	0.123885
65  <pt<100 	5<chiso range<13 	25.6173	26.3664	5.22937	0.143249
65  <pt<100 	6<chiso range<11 	25.6173	26.1967	5.28007	0.109733
65  <pt<100 	6<chiso range<12 	25.6173	26.3309	5.25062	0.135908
65  <pt<100 	6<chiso range<13 	25.6173	26.4532	5.21526	0.16028
65  <pt<100 	7<chiso range<12 	25.6173	26.3811	5.22605	0.146152
65  <pt<100 	7<chiso range<13 	25.6173	26.5564	5.21103	0.180214
65  <pt<100 	8<chiso range<13 	25.6173	26.6374	5.19239	0.196461
#######################################################################################
100  <pt<400 	3<chiso range<8 	15.0137	15.2287	3.60794	0.0595908
100  <pt<400 	3<chiso range<9 	15.0137	15.2898	3.59731	0.0767518
100  <pt<400 	3<chiso range<10 	15.0137	15.2539	3.60375	0.0666528
100  <pt<400 	3<chiso range<11 	15.0137	15.321	3.59592	0.085458
100  <pt<400 	3<chiso range<12 	15.0137	15.3047	3.59827	0.0808722
100  <pt<400 	3<chiso range<13 	15.0137	15.304	3.59906	0.08066
