pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	190.457	48.2799	141.556	65.3739	127.769	2.06373	0.841281
20 <pt<25 	3<chiso range<9 	190.457	48.2799	141.556	65.6839	127.415	2.09294	0.862335
20 <pt<25 	3<chiso range<10 	190.457	48.2799	141.556	65.0879	128.052	2.03974	0.82563
20 <pt<25 	3<chiso range<11 	190.457	48.2799	141.556	63.6991	129.43	1.91177	0.745541
20 <pt<25 	3<chiso range<12 	190.457	48.2799	141.556	62.7035	130.397	1.81697	0.688968
20 <pt<25 	3<chiso range<13 	190.457	48.2799	141.556	61.9537	131.143	1.74241	0.644596
20 <pt<25 	4<chiso range<9 	190.457	48.2799	141.556	65.9762	127.137	2.11874	0.878318
20 <pt<25 	4<chiso range<10 	190.457	48.2799	141.556	65.2325	127.929	2.05258	0.832671
20 <pt<25 	4<chiso range<11 	190.457	48.2799	141.556	63.6175	129.528	1.90394	0.739757
20 <pt<25 	4<chiso range<12 	190.457	48.2799	141.556	62.4983	130.611	1.79683	0.676302
20 <pt<25 	4<chiso range<13 	190.457	48.2799	141.556	61.6752	131.427	1.71436	0.627676
20 <pt<25 	5<chiso range<10 	190.457	48.2799	141.556	67.3469	125.725	2.23925	0.960054
20 <pt<25 	5<chiso range<11 	190.457	48.2799	141.556	65.0878	128.005	2.04123	0.828959
20 <pt<25 	5<chiso range<12 	190.457	48.2799	141.556	63.5897	129.481	1.90264	0.743013
20 <pt<25 	5<chiso range<13 	190.457	48.2799	141.556	62.5307	130.541	1.80008	0.680459
20 <pt<25 	6<chiso range<11 	190.457	48.2799	141.556	64.5505	128.565	1.9924	0.79653
20 <pt<25 	6<chiso range<12 	190.457	48.2799	141.556	62.8393	130.237	1.83098	0.698699
20 <pt<25 	6<chiso range<13 	190.457	48.2799	141.556	61.6859	131.383	1.71619	0.630555
20 <pt<25 	7<chiso range<12 	190.457	48.2799	141.556	59.4793	133.597	1.48785	0.497904
20 <pt<25 	7<chiso range<13 	190.457	48.2799	141.556	58.6228	134.481	1.39281	0.443741
20 <pt<25 	8<chiso range<13 	190.457	48.2799	141.556	57.912	135.201	1.31302	0.399711
#######################################################################################
25 <pt<30 	3<chiso range<8 	105.576	23.1362	82.2279	29.123	77.5344	1.03767	0.393928
25 <pt<30 	3<chiso range<9 	105.576	23.1362	82.2279	29.4624	77.2126	1.08317	0.419518
25 <pt<30 	3<chiso range<10 	105.576	23.1362	82.2279	29.0963	77.552	1.03379	0.392445
25 <pt<30 	3<chiso range<11 	105.576	23.1362	82.2279	28.7177	77.9451	0.980671	0.360623
25 <pt<30 	3<chiso range<12 	105.576	23.1362	82.2279	28.3869	78.3217	0.932452	0.329526
