pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	175.835	44.0361	0.25044	0.495218	0.0649679	3.76768
20 <pt<25 	3<chiso range<9 	175.835	44.0361	0.25044	0.493869	0.0647926	3.75705
20 <pt<25 	3<chiso range<10 	175.835	44.0361	0.25044	0.488568	0.0640866	3.71572
20 <pt<25 	3<chiso range<11 	175.835	44.0361	0.25044	0.478527	0.0627904	3.63252
20 <pt<25 	3<chiso range<12 	175.835	44.0361	0.25044	0.474772	0.0623118	3.60015
20 <pt<25 	3<chiso range<13 	175.835	44.0361	0.25044	0.471044	0.0618386	3.56742
20 <pt<25 	4<chiso range<9 	175.835	44.0361	0.25044	0.501487	0.0657822	3.81634
20 <pt<25 	4<chiso range<10 	175.835	44.0361	0.25044	0.494113	0.0648041	3.76015
20 <pt<25 	4<chiso range<11 	175.835	44.0361	0.25044	0.481809	0.0632164	3.65995
20 <pt<25 	4<chiso range<12 	175.835	44.0361	0.25044	0.477199	0.0626282	3.62072
20 <pt<25 	4<chiso range<13 	175.835	44.0361	0.25044	0.472792	0.0620678	3.58241
20 <pt<25 	5<chiso range<10 	175.835	44.0361	0.25044	0.505761	0.0663054	3.85068
20 <pt<25 	5<chiso range<11 	175.835	44.0361	0.25044	0.489196	0.0641713	3.72061
20 <pt<25 	5<chiso range<12 	175.835	44.0361	0.25044	0.482892	0.0633665	3.66838
20 <pt<25 	5<chiso range<13 	175.835	44.0361	0.25044	0.477231	0.0626457	3.62022
20 <pt<25 	6<chiso range<11 	175.835	44.0361	0.25044	0.483057	0.063371	3.67072
20 <pt<25 	6<chiso range<12 	175.835	44.0361	0.25044	0.476445	0.0625292	3.61439
20 <pt<25 	6<chiso range<13 	175.835	44.0361	0.25044	0.470581	0.061783	3.56313
20 <pt<25 	7<chiso range<12 	175.835	44.0361	0.25044	0.452337	0.0593995	3.39897
20 <pt<25 	7<chiso range<13 	175.835	44.0361	0.25044	0.448766	0.0589482	3.36441
20 <pt<25 	8<chiso range<13 	175.835	44.0361	0.25044	0.442081	0.0580755	3.29986
#######################################################################################
25 <pt<30 	3<chiso range<8 	97.9843	21.1523	0.215874	0.396063	0.0803246	2.24326
25 <pt<30 	3<chiso range<9 	97.9843	21.1523	0.215874	0.403309	0.0818078	2.29116
25 <pt<30 	3<chiso range<10 	97.9843	21.1523	0.215874	0.401006	0.0813601	2.27546
25 <pt<30 	3<chiso range<11 	97.9843	21.1523	0.215874	0.396199	0.0803562	2.24407
25 <pt<30 	3<chiso range<12 	97.9843	21.1523	0.215874	0.390577	0.0792483	2.2045
25 <pt<30 	3<chiso range<13 	97.9843	21.1523	0.215874	0.381265	0.0774166	2.13637
25 <pt<30 	4<chiso range<9 	97.9843	21.1523	0.215874	0.406831	0.0825445	2.31338
25 <pt<30 	4<chiso range<10 	97.9843	21.1523	0.215874	0.403581	0.0819145	2.29149
25 <pt<30 	4<chiso range<11 	97.9843	21.1523	0.215874	0.397654	0.0806702	2.25337
25 <pt<30 	4<chiso range<12 	97.9843	21.1523	0.215874	0.391017	0.0793566	2.20703
25 <pt<30 	4<chiso range<13 	97.9843	21.1523	0.215874	0.380395	0.0772589	2.12947
25 <pt<30 	5<chiso range<10 	97.9843	21.1523	0.215874	0.390492	0.0792925	2.2022
25 <pt<30 	5<chiso range<11 	97.9843	21.1523	0.215874	0.385554	0.078254	2.16832
25 <pt<30 	5<chiso range<12 	97.9843	21.1523	0.215874	0.379413	0.0770472	2.12258
25 <pt<30 	5<chiso range<13 	97.9843	21.1523	0.215874	0.36836	0.0748323	2.0377
25 <pt<30 	6<chiso range<11 	97.9843	21.1523	0.215874	0.389303	0.0789884	2.19562
25 <pt<30 	6<chiso range<12 	97.9843	21.1523	0.215874	0.381397	0.0774363	2.13753
25 <pt<30 	6<chiso range<13 	97.9843	21.1523	0.215874	0.368282	0.074814	2.03715
25 <pt<30 	7<chiso range<12 	97.9843	21.1523	0.215874	0.392832	0.0797381	2.21924
25 <pt<30 	7<chiso range<13 	97.9843	21.1523	0.215874	0.374919	0.0761619	2.08824
25 <pt<30 	8<chiso range<13 	97.9843	21.1523	0.215874	0.362827	0.0737318	1.99307
#######################################################################################
30 <pt<40 	3<chiso range<8 	98.175	17.4147	0.177384	0.31753	0.0828923	1.6907
30 <pt<40 	3<chiso range<9 	98.175	17.4147	0.177384	0.316031	0.0825596	1.67935
30 <pt<40 	3<chiso range<10 	98.175	17.4147	0.177384	0.299979	0.0783769	1.56417
30 <pt<40 	3<chiso range<11 	98.175	17.4147	0.177384	0.289868	0.0757602	1.48473
30 <pt<40 	3<chiso range<12 	98.175	17.4147	0.177384	0.287278	0.0750903	1.46349
30 <pt<40 	3<chiso range<13 	98.175	17.4147	0.177384	0.279777	0.0731479	1.3998
30 <pt<40 	4<chiso range<9 	98.175	17.4147	0.177384	0.323329	0.0844484	1.72821
30 <pt<40 	4<chiso range<10 	98.175	17.4147	0.177384	0.302606	0.0790623	1.58384
30 <pt<40 	4<chiso range<11 	98.175	17.4147	0.177384	0.290347	0.0758886	1.48853
30 <pt<40 	4<chiso range<12 	98.175	17.4147	0.177384	0.287308	0.0751011	1.46368
30 <pt<40 	4<chiso range<13 	98.175	17.4147	0.177384	0.278775	0.0728888	1.39103
30 <pt<40 	5<chiso range<10 	98.175	17.4147	0.177384	0.285502	0.0746282	1.44875
30 <pt<40 	5<chiso range<11 	98.175	17.4147	0.177384	0.274682	0.0718224	1.3547
30 <pt<40 	5<chiso range<12 	98.175	17.4147	0.177384	0.273281	0.0714593	1.34198
30 <pt<40 	5<chiso range<13 	98.175	17.4147	0.177384	0.264834	0.0692881	1.26212
30 <pt<40 	6<chiso range<11 	98.175	17.4147	0.177384	0.269464	0.0704702	1.30665
30 <pt<40 	6<chiso range<12 	98.175	17.4147	0.177384	0.268074	0.070129	1.29318
30 <pt<40 	6<chiso range<13 	98.175	17.4147	0.177384	0.259328	0.0678539	1.20765
30 <pt<40 	7<chiso range<12 	98.175	17.4147	0.177384	0.257393	0.0673411	1.18811
30 <pt<40 	7<chiso range<13 	98.175	17.4147	0.177384	0.248788	0.0650948	1.09692
30 <pt<40 	8<chiso range<13 	98.175	17.4147	0.177384	0.240475	0.0629337	1.0025
#######################################################################################
40 <pt<50 	3<chiso range<8 	43.3107	5.58748	0.129009	0.197428	0.0848677	0.806182
40 <pt<50 	3<chiso range<9 	43.3107	5.58748	0.129009	0.189891	0.0816271	0.745852
40 <pt<50 	3<chiso range<10 	43.3107	5.58748	0.129009	0.192201	0.0825868	0.765156
40 <pt<50 	3<chiso range<11 	43.3107	5.58748	0.129009	0.193658	0.0832256	0.776789
