pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	44.0361	56.0928	7.31612	1.64796
20 <pt<25 	3<chiso range<9 	44.0361	55.94	7.29638	1.63148
20 <pt<25 	3<chiso range<10 	44.0361	55.3396	7.21687	1.56626
20 <pt<25 	3<chiso range<11 	44.0361	54.2023	7.07092	1.43775
20 <pt<25 	3<chiso range<12 	44.0361	53.7769	7.01705	1.38816
20 <pt<25 	3<chiso range<13 	44.0361	53.3547	6.96378	1.33815
20 <pt<25 	4<chiso range<9 	44.0361	56.8029	7.40781	1.72342
20 <pt<25 	4<chiso range<10 	44.0361	55.9676	7.29766	1.63498
20 <pt<25 	4<chiso range<11 	44.0361	54.574	7.1189	1.48027
20 <pt<25 	4<chiso range<12 	44.0361	54.0518	7.05268	1.42013
20 <pt<25 	4<chiso range<13 	44.0361	53.5527	6.9896	1.36154
20 <pt<25 	5<chiso range<10 	44.0361	57.287	7.46668	1.77467
20 <pt<25 	5<chiso range<11 	44.0361	55.4108	7.22641	1.57405
20 <pt<25 	5<chiso range<12 	44.0361	54.6966	7.13581	1.49394
20 <pt<25 	5<chiso range<13 	44.0361	54.0555	7.05467	1.42025
20 <pt<25 	6<chiso range<11 	44.0361	54.7153	7.13629	1.49646
20 <pt<25 	6<chiso range<12 	44.0361	53.9665	7.04152	1.41026
20 <pt<25 	6<chiso range<13 	44.0361	53.3022	6.95753	1.33181
20 <pt<25 	7<chiso range<12 	44.0361	51.2358	6.68913	1.07633
20 <pt<25 	7<chiso range<13 	44.0361	50.8313	6.63834	1.02363
20 <pt<25 	8<chiso range<13 	44.0361	50.0741	6.54007	0.923232
#######################################################################################
25 <pt<30 	3<chiso range<8 	21.1523	24.9792	5.0457	0.758448
25 <pt<30 	3<chiso range<9 	21.1523	25.4362	5.13888	0.833625
25 <pt<30 	3<chiso range<10 	21.1523	25.291	5.11077	0.8098
25 <pt<30 	3<chiso range<11 	21.1523	24.9878	5.04769	0.759853
25 <pt<30 	3<chiso range<12 	21.1523	24.6332	4.97811	0.699241
25 <pt<30 	3<chiso range<13 	21.1523	24.0459	4.86308	0.595014
25 <pt<30 	4<chiso range<9 	21.1523	25.6583	5.18517	0.869017
25 <pt<30 	4<chiso range<10 	21.1523	25.4534	5.14561	0.835878
25 <pt<30 	4<chiso range<11 	21.1523	25.0795	5.06742	0.77499
25 <pt<30 	4<chiso range<12 	21.1523	24.661	4.98493	0.703861
25 <pt<30 	4<chiso range<13 	21.1523	23.9911	4.85318	0.584936
25 <pt<30 	5<chiso range<10 	21.1523	24.6279	4.98092	0.697783
