pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	190.457	48.2799	142.163	69.2551	123.904	2.39133	1.09626
20 <pt<25 	3<chiso range<9 	190.457	48.2799	142.163	69.1295	123.983	2.38316	1.09276
20 <pt<25 	3<chiso range<10 	190.457	48.2799	142.163	68.2057	124.931	2.30847	1.04004
20 <pt<25 	3<chiso range<11 	190.457	48.2799	142.163	66.4685	126.624	2.1622	0.944752
20 <pt<25 	3<chiso range<12 	190.457	48.2799	142.163	65.3084	127.782	2.05962	0.878234
20 <pt<25 	3<chiso range<13 	190.457	48.2799	142.163	64.422	128.683	1.97831	0.825874
20 <pt<25 	4<chiso range<9 	190.457	48.2799	142.163	68.5979	124.523	2.34013	1.06265
20 <pt<25 	4<chiso range<10 	190.457	48.2799	142.163	67.5602	125.544	2.25505	1.00605
20 <pt<25 	4<chiso range<11 	190.457	48.2799	142.163	65.6873	127.427	2.09343	0.898657
20 <pt<25 	4<chiso range<12 	190.457	48.2799	142.163	64.4531	128.649	1.98195	0.82817
20 <pt<25 	4<chiso range<13 	190.457	48.2799	142.163	63.5318	129.579	1.89512	0.773743
20 <pt<25 	5<chiso range<10 	190.457	48.2799	142.163	69.4135	123.701	2.40854	1.10969
20 <pt<25 	5<chiso range<11 	190.457	48.2799	142.163	66.8202	126.229	2.19433	0.968079
20 <pt<25 	5<chiso range<12 	190.457	48.2799	142.163	65.2309	127.822	2.05416	0.876573
20 <pt<25 	5<chiso range<13 	190.457	48.2799	142.163	64.0905	128.98	1.9487	0.809091
20 <pt<25 	6<chiso range<11 	190.457	48.2799	142.163	65.9965	127.09	2.12299	0.918973
20 <pt<25 	6<chiso range<12 	190.457	48.2799	142.163	64.2164	128.855	1.9616	0.816848
20 <pt<25 	6<chiso range<13 	190.457	48.2799	142.163	62.9983	130.08	1.84533	0.744908
20 <pt<25 	7<chiso range<12 	190.457	48.2799	142.163	60.6122	132.437	1.60821	0.605755
20 <pt<25 	7<chiso range<13 	190.457	48.2799	142.163	59.7061	133.373	1.51131	0.549028
20 <pt<25 	8<chiso range<13 	190.457	48.2799	142.163	58.6692	134.414	1.39846	0.48601
#######################################################################################
25 <pt<30 	3<chiso range<8 	105.576	23.1362	82.4326	31.7916	74.8879	1.37385	0.618372
25 <pt<30 	3<chiso range<9 	105.576	23.1362	82.4326	31.7414	74.9554	1.36717	0.61286
25 <pt<30 	3<chiso range<10 	105.576	23.1362	82.4326	31.1564	75.5162	1.29889	0.570035
25 <pt<30 	3<chiso range<11 	105.576	23.1362	82.4326	30.6344	76.0503	1.23465	0.528375
25 <pt<30 	3<chiso range<12 	105.576	23.1362	82.4326	30.1421	76.5437	1.17205	0.489526
25 <pt<30 	3<chiso range<13 	105.576	23.1362	82.4326	29.2841	77.3957	1.05828	0.421731
25 <pt<30 	4<chiso range<9 	105.576	23.1362	82.4326	31.0846	75.6506	1.28737	0.558534
