pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	90.0247	16.7758	0.186347	0.291561	0.067495	1.55885
20 <pt<25 	3<chiso range<9 	90.0247	16.7758	0.186347	0.289867	0.0671743	1.54107
20 <pt<25 	3<chiso range<10 	90.0247	16.7758	0.186347	0.283489	0.0657049	1.47846
20 <pt<25 	3<chiso range<11 	90.0247	16.7758	0.186347	0.270348	0.0626165	1.34152
20 <pt<25 	3<chiso range<12 	90.0247	16.7758	0.186347	0.267545	0.0619849	1.30997
20 <pt<25 	3<chiso range<13 	90.0247	16.7758	0.186347	0.260074	0.0602937	1.2228
20 <pt<25 	4<chiso range<9 	90.0247	16.7758	0.186347	0.296494	0.0686899	1.60355
20 <pt<25 	4<chiso range<10 	90.0247	16.7758	0.186347	0.287857	0.066704	1.5218
20 <pt<25 	4<chiso range<11 	90.0247	16.7758	0.186347	0.271886	0.062957	1.3587
20 <pt<25 	4<chiso range<12 	90.0247	16.7758	0.186347	0.268481	0.062188	1.32074
20 <pt<25 	4<chiso range<13 	90.0247	16.7758	0.186347	0.260028	0.06027	1.22252
20 <pt<25 	5<chiso range<10 	90.0247	16.7758	0.186347	0.294162	0.0681125	1.5829
20 <pt<25 	5<chiso range<11 	90.0247	16.7758	0.186347	0.273803	0.0633559	1.3804
20 <pt<25 	5<chiso range<12 	90.0247	16.7758	0.186347	0.269539	0.0623974	1.33327
20 <pt<25 	5<chiso range<13 	90.0247	16.7758	0.186347	0.259748	0.0601741	1.21982
20 <pt<25 	6<chiso range<11 	90.0247	16.7758	0.186347	0.273622	0.0632403	1.38006
20 <pt<25 	6<chiso range<12 	90.0247	16.7758	0.186347	0.268549	0.0621101	1.32349
20 <pt<25 	6<chiso range<13 	90.0247	16.7758	0.186347	0.257274	0.059553	1.191
20 <pt<25 	7<chiso range<12 	90.0247	16.7758	0.186347	0.249924	0.0579182	1.09771
20 <pt<25 	7<chiso range<13 	90.0247	16.7758	0.186347	0.239871	0.0555941	0.962771
20 <pt<25 	8<chiso range<13 	90.0247	16.7758	0.186347	0.2236	0.0518881	0.717956
#######################################################################################
25 <pt<30 	3<chiso range<8 	52.8732	8.43233	0.159482	0.193739	0.0692132	0.494947
25 <pt<30 	3<chiso range<9 	52.8732	8.43233	0.159482	0.193915	0.0693173	0.496743
