pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	16.7758	26.7782	6.18902	1.61615
20 <pt<25 	3<chiso range<9 	16.7758	26.6226	6.15964	1.5986
20 <pt<25 	3<chiso range<10 	16.7758	26.0369	6.0249	1.53714
20 <pt<25 	3<chiso range<11 	16.7758	24.8299	5.7417	1.40274
20 <pt<25 	3<chiso range<12 	16.7758	24.5724	5.68378	1.37173
20 <pt<25 	3<chiso range<13 	16.7758	23.8863	5.52872	1.2861
20 <pt<25 	4<chiso range<9 	16.7758	27.2312	6.29861	1.65995
20 <pt<25 	4<chiso range<10 	16.7758	26.438	6.11652	1.57969
20 <pt<25 	4<chiso range<11 	16.7758	24.9711	5.77291	1.41961
20 <pt<25 	4<chiso range<12 	16.7758	24.6584	5.70241	1.38233
20 <pt<25 	4<chiso range<13 	16.7758	23.882	5.52655	1.28583
20 <pt<25 	5<chiso range<10 	16.7758	27.0171	6.24566	1.63975
20 <pt<25 	5<chiso range<11 	16.7758	25.1472	5.80948	1.44099
20 <pt<25 	5<chiso range<12 	16.7758	24.7556	5.7216	1.39468
20 <pt<25 	5<chiso range<13 	16.7758	23.8563	5.51774	1.28322
20 <pt<25 	6<chiso range<11 	16.7758	25.1306	5.79886	1.44077
20 <pt<25 	6<chiso range<12 	16.7758	24.6646	5.69524	1.38516
20 <pt<25 	6<chiso range<13 	16.7758	23.6292	5.46077	1.25502
20 <pt<25 	7<chiso range<12 	16.7758	22.9541	5.31089	1.16333
20 <pt<25 	7<chiso range<13 	16.7758	22.0307	5.09778	1.03082
20 <pt<25 	8<chiso range<13 	16.7758	20.5363	4.75797	0.790358
#######################################################################################
25 <pt<30 	3<chiso range<8 	8.43233	10.3629	3.69811	0.522042
25 <pt<30 	3<chiso range<9 	8.43233	10.3723	3.70367	0.523797
25 <pt<30 	3<chiso range<10 	8.43233	10.3429	3.68384	0.518635
25 <pt<30 	3<chiso range<11 	8.43233	10.0706	3.5827	0.457272
25 <pt<30 	3<chiso range<12 	8.43233	9.76135	3.47957	0.381949
25 <pt<30 	3<chiso range<13 	8.43233	9.50253	3.3835	0.3163
25 <pt<30 	4<chiso range<9 	8.43233	10.4189	3.73133	0.532403
25 <pt<30 	4<chiso range<10 	8.43233	10.38	3.70423	0.525796
25 <pt<30 	4<chiso range<11 	8.43233	10.053	3.58175	0.45248
25 <pt<30 	4<chiso range<12 	8.43233	9.6983	3.46286	0.365585
25 <pt<30 	4<chiso range<13 	8.43233	9.41249	3.35599	0.292063
25 <pt<30 	5<chiso range<10 	8.43233	9.76777	3.48833	0.382831
25 <pt<30 	5<chiso range<11 	8.43233	9.49063	3.38082	0.313031
25 <pt<30 	5<chiso range<12 	8.43233	9.1698	3.27478	0.225197
25 <pt<30 	5<chiso range<13 	8.43233	8.92001	3.18066	0.153327
25 <pt<30 	6<chiso range<11 	8.43233	9.14133	3.24959	0.218181
25 <pt<30 	6<chiso range<12 	8.43233	8.82151	3.14512	0.123741
25 <pt<30 	6<chiso range<13 	8.43233	8.5782	3.0544	0.0477573
25 <pt<30 	7<chiso range<12 	8.43233	9.27584	3.30322	0.25536
25 <pt<30 	7<chiso range<13 	8.43233	8.89618	3.16343	0.146629
25 <pt<30 	8<chiso range<13 	8.43233	8.48884	3.01563	0.018739
#######################################################################################
30 <pt<40 	3<chiso range<8 	6.98801	8.30337	4.164	0.315889
30 <pt<40 	3<chiso range<9 	6.98801	8.45507	4.24127	0.345901
30 <pt<40 	3<chiso range<10 	6.98801	7.83694	3.95251	0.214783
30 <pt<40 	3<chiso range<11 	6.98801	7.13611	3.6331	0.0407641
30 <pt<40 	3<chiso range<12 	6.98801	7.06822	3.59791	0.0222935
