pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	73.2354	64.5317	11.6285	0.74848
20  <pt<25 	3<chiso range<9 	73.2354	64.6914	11.6172	0.735461
20  <pt<25 	3<chiso range<10 	73.2354	65.2631	11.5396	0.690865
20  <pt<25 	3<chiso range<11 	73.2354	66.4202	11.3759	0.599091
20  <pt<25 	3<chiso range<12 	73.2354	66.6568	11.347	0.579766
20  <pt<25 	3<chiso range<13 	73.2354	67.3742	11.2665	0.520233
20  <pt<25 	4<chiso range<9 	73.2354	64.0493	11.7038	0.784882
20  <pt<25 	4<chiso range<10 	73.2354	64.8331	11.5969	0.72453
20  <pt<25 	4<chiso range<11 	73.2354	66.2492	11.3964	0.613018
20  <pt<25 	4<chiso range<12 	73.2354	66.5435	11.36	0.589076
20  <pt<25 	4<chiso range<13 	73.2354	67.3516	11.2674	0.522197
20  <pt<25 	5<chiso range<10 	73.2354	64.2295	11.6729	0.771522
20  <pt<25 	5<chiso range<11 	73.2354	66.0465	11.4168	0.629677
20  <pt<25 	5<chiso range<12 	73.2354	66.4212	11.3709	0.599267
20  <pt<25 	5<chiso range<13 	73.2354	67.3533	11.2623	0.522282
20  <pt<25 	6<chiso range<11 	73.2354	66.0269	11.408	0.631881
20  <pt<25 	6<chiso range<12 	73.2354	66.4788	11.3541	0.59508
20  <pt<25 	6<chiso range<13 	73.2354	67.5522	11.2293	0.506105
20  <pt<25 	7<chiso range<12 	73.2354	68.2423	11.1524	0.447715
20  <pt<25 	7<chiso range<13 	73.2354	69.1712	11.038	0.368201
20  <pt<25 	8<chiso range<13 	73.2354	70.6691	10.8683	0.236127
#######################################################################################
25  <pt<30 	3<chiso range<8 	44.4341	42.8673	8.25277	0.189851
25  <pt<30 	3<chiso range<9 	44.4341	42.8629	8.25691	0.190289
25  <pt<30 	3<chiso range<10 	44.4341	42.8625	8.24296	0.19066
25  <pt<30 	3<chiso range<11 	44.4341	43.124	8.18839	0.159995
25  <pt<30 	3<chiso range<12 	44.4341	43.4449	8.14051	0.121516
25  <pt<30 	3<chiso range<13 	44.4341	43.6843	8.09144	0.0926658
25  <pt<30 	4<chiso range<9 	44.4341	42.8511	8.27559	0.191285
