pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	90.0247	16.7758	73.2354	26.7782	64.5317	1.61615	0.74848
20 <pt<25 	3<chiso range<9 	90.0247	16.7758	73.2354	26.6226	64.6914	1.5986	0.735461
20 <pt<25 	3<chiso range<10 	90.0247	16.7758	73.2354	26.0369	65.2631	1.53714	0.690865
20 <pt<25 	3<chiso range<11 	90.0247	16.7758	73.2354	24.8299	66.4202	1.40274	0.599091
20 <pt<25 	3<chiso range<12 	90.0247	16.7758	73.2354	24.5724	66.6568	1.37173	0.579766
20 <pt<25 	3<chiso range<13 	90.0247	16.7758	73.2354	23.8863	67.3742	1.2861	0.520233
20 <pt<25 	4<chiso range<9 	90.0247	16.7758	73.2354	27.2312	64.0493	1.65995	0.784882
20 <pt<25 	4<chiso range<10 	90.0247	16.7758	73.2354	26.438	64.8331	1.57969	0.72453
20 <pt<25 	4<chiso range<11 	90.0247	16.7758	73.2354	24.9711	66.2492	1.41961	0.613018
20 <pt<25 	4<chiso range<12 	90.0247	16.7758	73.2354	24.6584	66.5435	1.38233	0.589076
20 <pt<25 	4<chiso range<13 	90.0247	16.7758	73.2354	23.882	67.3516	1.28583	0.522197
20 <pt<25 	5<chiso range<10 	90.0247	16.7758	73.2354	27.0171	64.2295	1.63975	0.771522
20 <pt<25 	5<chiso range<11 	90.0247	16.7758	73.2354	25.1472	66.0465	1.44099	0.629677
20 <pt<25 	5<chiso range<12 	90.0247	16.7758	73.2354	24.7556	66.4212	1.39468	0.599267
20 <pt<25 	5<chiso range<13 	90.0247	16.7758	73.2354	23.8563	67.3533	1.28322	0.522282
20 <pt<25 	6<chiso range<11 	90.0247	16.7758	73.2354	25.1306	66.0269	1.44077	0.631881
20 <pt<25 	6<chiso range<12 	90.0247	16.7758	73.2354	24.6646	66.4788	1.38516	0.59508
20 <pt<25 	6<chiso range<13 	90.0247	16.7758	73.2354	23.6292	67.5522	1.25502	0.506105
20 <pt<25 	7<chiso range<12 	90.0247	16.7758	73.2354	22.9541	68.2423	1.16333	0.447715
20 <pt<25 	7<chiso range<13 	90.0247	16.7758	73.2354	22.0307	69.1712	1.03082	0.368201
20 <pt<25 	8<chiso range<13 	90.0247	16.7758	73.2354	20.5363	70.6691	0.790358	0.236127
#######################################################################################
25 <pt<30 	3<chiso range<8 	52.8732	8.43233	44.4341	10.3629	42.8673	0.522042	0.189851
25 <pt<30 	3<chiso range<9 	52.8732	8.43233	44.4341	10.3723	42.8629	0.523797	0.190289
25 <pt<30 	3<chiso range<10 	52.8732	8.43233	44.4341	10.3429	42.8625	0.518635	0.19066
25 <pt<30 	3<chiso range<11 	52.8732	8.43233	44.4341	10.0706	43.124	0.457272	0.159995
25 <pt<30 	3<chiso range<12 	52.8732	8.43233	44.4341	9.76135	43.4449	0.381949	0.121516
25 <pt<30 	3<chiso range<13 	52.8732	8.43233	44.4341	9.50253	43.6843	0.3163	0.0926658
25 <pt<30 	4<chiso range<9 	52.8732	8.43233	44.4341	10.4189	42.8511	0.532403	0.191285
25 <pt<30 	4<chiso range<10 	52.8732	8.43233	44.4341	10.38	42.848	0.525796	0.192105
25 <pt<30 	4<chiso range<11 	52.8732	8.43233	44.4341	10.053	43.1612	0.45248	0.155428
25 <pt<30 	4<chiso range<12 	52.8732	8.43233	44.4341	9.6983	43.5268	0.365585	0.111538
25 <pt<30 	4<chiso range<13 	52.8732	8.43233	44.4341	9.41249	43.787	0.292063	0.0800861
25 <pt<30 	5<chiso range<10 	52.8732	8.43233	44.4341	9.76777	43.4493	0.382831	0.120842
25 <pt<30 	5<chiso range<11 	52.8732	8.43233	44.4341	9.49063	43.7083	0.313031	0.0897215
25 <pt<30 	5<chiso range<12 	52.8732	8.43233	44.4341	9.1698	44.0405	0.225197	0.0489367
25 <pt<30 	5<chiso range<13 	52.8732	8.43233	44.4341	8.92001	44.2597	0.153327	0.0218093
25 <pt<30 	6<chiso range<11 	52.8732	8.43233	44.4341	9.14133	44.0284	0.218181	0.0505734
25 <pt<30 	6<chiso range<12 	52.8732	8.43233	44.4341	8.82151	44.3616	0.123741	0.00908748
25 <pt<30 	6<chiso range<13 	52.8732	8.43233	44.4341	8.5782	44.5752	0.0477573	0.0177831
25 <pt<30 	7<chiso range<12 	52.8732	8.43233	44.4341	9.27584	43.9148	0.25536	0.0645012
25 <pt<30 	7<chiso range<13 	52.8732	8.43233	44.4341	8.89618	44.2605	0.146629	0.0217465
25 <pt<30 	8<chiso range<13 	52.8732	8.43233	44.4341	8.48884	44.6377	0.018739	0.0257309
#######################################################################################
30 <pt<40 	3<chiso range<8 	55.6662	6.98801	48.6646	8.30337	47.4463	0.315889	0.142063
30 <pt<40 	3<chiso range<9 	55.6662	6.98801	48.6646	8.45507	47.2537	0.345901	0.163961
30 <pt<40 	3<chiso range<10 	55.6662	6.98801	48.6646	7.83694	47.9161	0.214783	0.0884404
30 <pt<40 	3<chiso range<11 	55.6662	6.98801	48.6646	7.13611	48.6559	0.0407641	0.00104689
30 <pt<40 	3<chiso range<12 	55.6662	6.98801	48.6646	7.06822	48.7179	0.0222935	0.0064269
30 <pt<40 	3<chiso range<13 	55.6662	6.98801	48.6646	6.71337	49.0865	0.0799879	0.0513553
30 <pt<40 	4<chiso range<9 	55.6662	6.98801	48.6646	8.97296	46.6992	0.43943	0.224838
30 <pt<40 	4<chiso range<10 	55.6662	6.98801	48.6646	8.11613	47.6604	0.274459	0.117502
30 <pt<40 	4<chiso range<11 	55.6662	6.98801	48.6646	7.22114	48.6104	0.0630401	0.00649343
30 <pt<40 	4<chiso range<12 	55.6662	6.98801	48.6646	7.1336	48.6862	0.0398894	0.00259528
30 <pt<40 	4<chiso range<13 	55.6662	6.98801	48.6646	6.71576	49.1187	0.0788219	0.0551834
30 <pt<40 	5<chiso range<10 	55.6662	6.98801	48.6646	7.31584	48.4576	0.0883753	0.0248042
30 <pt<40 	5<chiso range<11 	55.6662	6.98801	48.6646	6.4933	49.3132	0.148452	0.0793951
30 <pt<40 	5<chiso range<12 	55.6662	6.98801	48.6646	6.48574	49.3105	0.151064	0.0790993
30 <pt<40 	5<chiso range<13 	55.6662	6.98801	48.6646	6.10825	49.6933	0.279503	0.127292
30 <pt<40 	6<chiso range<11 	55.6662	6.98801	48.6646	6.20361	49.6206	0.244844	0.117888
30 <pt<40 	6<chiso range<12 	55.6662	6.98801	48.6646	6.23813	49.5711	0.233311	0.111717
30 <pt<40 	6<chiso range<13 	55.6662	6.98801	48.6646	5.83037	49.9782	0.383191	0.163728
30 <pt<40 	7<chiso range<12 	55.6662	6.98801	48.6646	5.81514	49.9618	0.39085	0.16189
30 <pt<40 	7<chiso range<13 	55.6662	6.98801	48.6646	5.40164	50.4682	0.565075	0.226845
30 <pt<40 	8<chiso range<13 	55.6662	6.98801	48.6646	5.14358	50.8191	0.684445	0.271979
#######################################################################################
40 <pt<50 	3<chiso range<8 	28.2564	1.97111	26.2853	2.5768	25.7853	0.294349	0.0909003
40 <pt<50 	3<chiso range<9 	28.2564	1.97111	26.2853	2.56732	25.8005	0.290709	0.0882096
40 <pt<50 	3<chiso range<10 	28.2564	1.97111	26.2853	2.56747	25.8002	0.290771	0.0882369
40 <pt<50 	3<chiso range<11 	28.2564	1.97111	26.2853	2.5904	25.7747	0.299621	0.0927905
40 <pt<50 	3<chiso range<12 	28.2564	1.97111	26.2853	2.67878	25.6855	0.331694	0.108455
40 <pt<50 	3<chiso range<13 	28.2564	1.97111	26.2853	2.58986	25.7797	0.299267	0.0918929
40 <pt<50 	4<chiso range<9 	28.2564	1.97111	26.2853	2.61703	25.7401	0.310415	0.0989847
40 <pt<50 	4<chiso range<10 	28.2564	1.97111	26.2853	2.60952	25.7489	0.307441	0.0973847
40 <pt<50 	4<chiso range<11 	28.2564	1.97111	26.2853	2.63249	25.7243	0.316005	0.101755
40 <pt<50 	4<chiso range<12 	28.2564	1.97111	26.2853	2.73313	25.6237	0.35126	0.119308
40 <pt<50 	4<chiso range<13 	28.2564	1.97111	26.2853	2.62315	25.7408	0.312148	0.0988074
40 <pt<50 	5<chiso range<10 	28.2564	1.97111	26.2853	2.68294	25.6648	0.334455	0.112214
40 <pt<50 	5<chiso range<11 	28.2564	1.97111	26.2853	2.70153	25.6481	0.341044	0.115138
40 <pt<50 	5<chiso range<12 	28.2564	1.97111	26.2853	2.81709	25.5332	0.379465	0.134994
40 <pt<50 	5<chiso range<13 	28.2564	1.97111	26.2853	2.67573	25.6835	0.331413	0.108894
40 <pt<50 	6<chiso range<11 	28.2564	1.97111	26.2853	2.6118	25.7582	0.307091	0.0956223
40 <pt<50 	6<chiso range<12 	28.2564	1.97111	26.2853	2.75957	25.6061	0.358812	0.1222
40 <pt<50 	6<chiso range<13 	28.2564	1.97111	26.2853	2.60458	25.77	0.304179	0.0935484
40 <pt<50 	7<chiso range<12 	28.2564	1.97111	26.2853	2.86845	25.4904	0.39522	0.142273
40 <pt<50 	7<chiso range<13 	28.2564	1.97111	26.2853	2.65519	25.7161	0.323462	0.103116
40 <pt<50 	8<chiso range<13 	28.2564	1.97111	26.2853	2.59821	25.7863	0.301781	0.0906678
#######################################################################################
50 <pt<65 	3<chiso range<8 	22.6036	1.3558	21.2477	1.66642	20.9988	0.1733	0.0524393
50 <pt<65 	3<chiso range<9 	22.6036	1.3558	21.2477	1.58174	21.1173	0.133393	0.0276276
50 <pt<65 	3<chiso range<10 	22.6036	1.3558	21.2477	1.54152	21.1523	0.11268	0.0203018
50 <pt<65 	3<chiso range<11 	22.6036	1.3558	21.2477	1.48788	21.2137	0.083377	0.0072667
50 <pt<65 	3<chiso range<12 	22.6036	1.3558	21.2477	1.42229	21.2569	0.0442968	0.00198164
50 <pt<65 	3<chiso range<13 	22.6036	1.3558	21.2477	1.32698	21.3562	0.0204974	0.0235609
50 <pt<65 	4<chiso range<9 	22.6036	1.3558	21.2477	1.44347	21.2604	0.0563899	0.00272592
50 <pt<65 	4<chiso range<10 	22.6036	1.3558	21.2477	1.4184	21.2837	0.0410761	0.00774695
50 <pt<65 	4<chiso range<11 	22.6036	1.3558	21.2477	1.38058	21.3122	0.016815	0.0139391
50 <pt<65 	4<chiso range<12 	22.6036	1.3558	21.2477	1.31949	21.3605	0.0260339	0.024526
50 <pt<65 	4<chiso range<13 	22.6036	1.3558	21.2477	1.23437	21.4456	0.0927053	0.0433529
50 <pt<65 	5<chiso range<10 	22.6036	1.3558	21.2477	1.28462	21.4009	0.05205	0.0333858
50 <pt<65 	5<chiso range<11 	22.6036	1.3558	21.2477	1.26097	21.4179	0.0709529	0.0371919
50 <pt<65 	5<chiso range<12 	22.6036	1.3558	21.2477	1.20258	21.4602	0.121184	0.0467156
50 <pt<65 	5<chiso range<13 	22.6036	1.3558	21.2477	1.12423	21.516	0.1946	0.059506
50 <pt<65 	6<chiso range<11 	22.6036	1.3558	21.2477	1.25098	21.4348	0.0788203	0.0409278
50 <pt<65 	6<chiso range<12 	22.6036	1.3558	21.2477	1.18047	21.4641	0.140977	0.0477611
50 <pt<65 	6<chiso range<13 	22.6036	1.3558	21.2477	1.10216	21.5406	0.217057	0.0650993
50 <pt<65 	7<chiso range<12 	22.6036	1.3558	21.2477	1.18245	21.4652	0.138985	0.0479938
50 <pt<65 	7<chiso range<13 	22.6036	1.3558	21.2477	1.08849	21.5568	0.231025	0.0687812
50 <pt<65 	8<chiso range<13 	22.6036	1.3558	21.2477	1.0184	21.636	0.315847	0.0868259
#######################################################################################
65 <pt<100 	3<chiso range<8 	20.5502	0.86216	19.688	0.755274	19.9324	0.111691	0.059284
65 <pt<100 	3<chiso range<9 	20.5502	0.86216	19.688	0.838634	19.843	0.0220529	0.0372287
65 <pt<100 	3<chiso range<10 	20.5502	0.86216	19.688	0.829802	19.8523	0.0306702	0.039499
65 <pt<100 	3<chiso range<11 	20.5502	0.86216	19.688	0.777495	19.8953	0.0858772	0.0502113
65 <pt<100 	3<chiso range<12 	20.5502	0.86216	19.688	0.704814	19.9787	0.173464	0.071132
65 <pt<100 	3<chiso range<13 	20.5502	0.86216	19.688	0.666606	20.0072	0.228545	0.0785292
65 <pt<100 	4<chiso range<9 	20.5502	0.86216	19.688	0.788607	19.8987	0.0727851	0.0509109
