pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	44.5013	59.3201	8.19854	1.80749
20 <pt<25 	3<chiso range<9 	44.5013	59.0629	8.15654	1.78527
20 <pt<25 	3<chiso range<10 	44.5013	58.3454	8.05688	1.7183
20 <pt<25 	3<chiso range<11 	44.5013	56.5655	7.8134	1.54404
20 <pt<25 	3<chiso range<12 	44.5013	55.5622	7.67677	1.44083
20 <pt<25 	3<chiso range<13 	44.5013	55.0323	7.60829	1.38415
20 <pt<25 	4<chiso range<9 	44.5013	58.7549	8.11572	1.7563
20 <pt<25 	4<chiso range<10 	44.5013	57.9551	8.00407	1.68087
20 <pt<25 	4<chiso range<11 	44.5013	55.9638	7.73165	1.48254
20 <pt<25 	4<chiso range<12 	44.5013	54.8951	7.58608	1.37011
20 <pt<25 	4<chiso range<13 	44.5013	54.3595	7.51728	1.31141
20 <pt<25 	5<chiso range<10 	44.5013	59.5254	8.20703	1.83064
20 <pt<25 	5<chiso range<11 	44.5013	56.8694	7.84664	1.57623
20 <pt<25 	5<chiso range<12 	44.5013	55.4918	7.6605	1.4347
20 <pt<25 	5<chiso range<13 	44.5013	54.8131	7.57342	1.36158
20 <pt<25 	6<chiso range<11 	44.5013	55.913	7.71644	1.47888
20 <pt<25 	6<chiso range<12 	44.5013	54.4229	7.51485	1.32027
20 <pt<25 	6<chiso range<13 	44.5013	53.7528	7.42934	1.24527
20 <pt<25 	7<chiso range<12 	44.5013	51.4922	7.11337	0.982783
20 <pt<25 	7<chiso range<13 	44.5013	51.1049	7.0678	0.934322
20 <pt<25 	8<chiso range<13 	44.5013	49.9249	6.90389	0.785586
#######################################################################################
25 <pt<30 	3<chiso range<8 	21.1648	26.4765	5.64267	0.941345
25 <pt<30 	3<chiso range<9 	21.1648	26.5775	5.66742	0.955055
25 <pt<30 	3<chiso range<10 	21.1648	26.3878	5.622	0.929029
25 <pt<30 	3<chiso range<11 	21.1648	26.1141	5.5625	0.889762
25 <pt<30 	3<chiso range<12 	21.1648	25.9079	5.52167	0.858997
25 <pt<30 	3<chiso range<13 	21.1648	25.0263	5.33831	0.723356
25 <pt<30 	4<chiso range<9 	21.1648	26.414	5.64758	0.92946
25 <pt<30 	4<chiso range<10 	21.1648	26.21	5.59467	0.901787
25 <pt<30 	4<chiso range<11 	21.1648	25.9498	5.5382	0.863999
25 <pt<30 	4<chiso range<12 	21.1648	25.7292	5.49341	0.830886
25 <pt<30 	4<chiso range<13 	21.1648	24.7473	5.28751	0.67754
25 <pt<30 	5<chiso range<10 	21.1648	25.2334	5.38343	0.755764
25 <pt<30 	5<chiso range<11 	21.1648	25.0729	5.34765	0.730807
25 <pt<30 	5<chiso range<12 	21.1648	24.9321	5.32063	0.708055
25 <pt<30 	5<chiso range<13 	21.1648	23.9209	5.10995	0.539359
25 <pt<30 	6<chiso range<11 	21.1648	24.971	5.32751	0.714443
