pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	48.2799	69.2551	8.77134	2.39133
20 <pt<25 	3<chiso range<9 	48.2799	69.1295	8.74873	2.38316
20 <pt<25 	3<chiso range<10 	48.2799	68.2057	8.6316	2.30847
20 <pt<25 	3<chiso range<11 	48.2799	66.4685	8.41207	2.1622
20 <pt<25 	3<chiso range<12 	48.2799	65.3084	8.26777	2.05962
20 <pt<25 	3<chiso range<13 	48.2799	64.422	8.15955	1.97831
20 <pt<25 	4<chiso range<9 	48.2799	68.5979	8.68243	2.34013
20 <pt<25 	4<chiso range<10 	48.2799	67.5602	8.54982	2.25505
20 <pt<25 	4<chiso range<11 	48.2799	65.6873	8.31525	2.09343
20 <pt<25 	4<chiso range<12 	48.2799	64.4531	8.16023	1.98195
20 <pt<25 	4<chiso range<13 	48.2799	63.5318	8.04798	1.89512
20 <pt<25 	5<chiso range<10 	48.2799	69.4135	8.77446	2.40854
20 <pt<25 	5<chiso range<11 	48.2799	66.8202	8.4492	2.19433
20 <pt<25 	5<chiso range<12 	48.2799	65.2309	8.25204	2.05416
20 <pt<25 	5<chiso range<13 	48.2799	64.0905	8.11339	1.9487
20 <pt<25 	6<chiso range<11 	48.2799	65.9965	8.3451	2.12299
20 <pt<25 	6<chiso range<12 	48.2799	64.2164	8.12423	1.9616
20 <pt<25 	6<chiso range<13 	48.2799	62.9983	7.97602	1.84533
20 <pt<25 	7<chiso range<12 	48.2799	60.6122	7.66835	1.60821
20 <pt<25 	7<chiso range<13 	48.2799	59.7061	7.56047	1.51131
20 <pt<25 	8<chiso range<13 	48.2799	58.6692	7.42909	1.39846
#######################################################################################
25 <pt<30 	3<chiso range<8 	23.1362	31.7916	6.30011	1.37385
25 <pt<30 	3<chiso range<9 	23.1362	31.7414	6.29417	1.36717
25 <pt<30 	3<chiso range<10 	23.1362	31.1564	6.17464	1.29889
25 <pt<30 	3<chiso range<11 	23.1362	30.6344	6.07313	1.23465
25 <pt<30 	3<chiso range<12 	23.1362	30.1421	5.97747	1.17205
25 <pt<30 	3<chiso range<13 	23.1362	29.2841	5.80935	1.05828
25 <pt<30 	4<chiso range<9 	23.1362	31.0846	6.17414	1.28737
25 <pt<30 	4<chiso range<10 	23.1362	30.4893	6.04988	1.21541
25 <pt<30 	4<chiso range<11 	23.1362	29.9723	5.94895	1.14913
25 <pt<30 	4<chiso range<12 	23.1362	29.485	5.8536	1.0846
25 <pt<30 	4<chiso range<13 	23.1362	28.5893	5.67727	0.960514
25 <pt<30 	5<chiso range<10 	23.1362	29.3355	5.82045	1.06509
25 <pt<30 	5<chiso range<11 	23.1362	28.9024	5.73605	1.00526
25 <pt<30 	5<chiso range<12 	23.1362	28.4399	5.64809	0.939025
25 <pt<30 	5<chiso range<13 	23.1362	27.5324	5.46987	0.803712
25 <pt<30 	6<chiso range<11 	23.1362	28.869	5.73527	0.999569
25 <pt<30 	6<chiso range<12 	23.1362	28.3312	5.63189	0.922426
25 <pt<30 	6<chiso range<13 	23.1362	27.295	5.42764	0.766226
25 <pt<30 	7<chiso range<12 	23.1362	28.9221	5.75058	1.00614
25 <pt<30 	7<chiso range<13 	23.1362	27.535	5.47829	0.802951
25 <pt<30 	8<chiso range<13 	23.1362	26.2615	5.21966	0.598755
#######################################################################################
30 <pt<40 	3<chiso range<8 	19.1044	24.7164	6.29704	0.891212
30 <pt<40 	3<chiso range<9 	19.1044	24.5053	6.24587	0.864715
30 <pt<40 	3<chiso range<10 	19.1044	23.2011	5.91929	0.692093
30 <pt<40 	3<chiso range<11 	19.1044	22.3601	5.71249	0.569927
30 <pt<40 	3<chiso range<12 	19.1044	22.2731	5.68652	0.55723
30 <pt<40 	3<chiso range<13 	19.1044	21.629	5.5238	0.45704
30 <pt<40 	4<chiso range<9 	19.1044	24.801	6.32513	0.90063
30 <pt<40 	4<chiso range<10 	19.1044	23.1678	5.91512	0.686951
30 <pt<40 	4<chiso range<11 	19.1044	22.1864	5.67312	0.543264
30 <pt<40 	4<chiso range<12 	19.1044	22.1057	5.64749	0.53144
30 <pt<40 	4<chiso range<13 	19.1044	21.3898	5.46621	0.418096
30 <pt<40 	5<chiso range<10 	19.1044	21.7358	5.55672	0.473553
30 <pt<40 	5<chiso range<11 	19.1044	20.8845	5.34711	0.332909
30 <pt<40 	5<chiso range<12 	19.1044	20.9534	5.35856	0.345055
30 <pt<40 	5<chiso range<13 	19.1044	20.2908	5.19022	0.228584
30 <pt<40 	6<chiso range<11 	19.1044	20.389	5.22281	0.24596
30 <pt<40 	6<chiso range<12 	19.1044	20.5423	5.25449	0.273652
30 <pt<40 	6<chiso range<13 	19.1044	19.8273	5.07267	0.142509
30 <pt<40 	7<chiso range<12 	19.1044	19.6572	5.0156	0.110216
30 <pt<40 	7<chiso range<13 	19.1044	18.9584	4.83993	0.0301657
30 <pt<40 	8<chiso range<13 	19.1044	18.5315	4.74371	0.12077
#######################################################################################
40 <pt<50 	3<chiso range<8 	6.20321	7.62425	3.2002	0.444047
40 <pt<50 	3<chiso range<9 	6.20321	7.25223	3.04269	0.344767
40 <pt<50 	3<chiso range<10 	6.20321	7.33932	3.07604	0.369342
40 <pt<50 	3<chiso range<11 	6.20321	7.35417	3.08288	0.373339
40 <pt<50 	3<chiso range<12 	6.20321	7.18762	3.01482	0.326524
40 <pt<50 	3<chiso range<13 	6.20321	7.17508	3.00919	0.322967
40 <pt<50 	4<chiso range<9 	6.20321	7.00862	2.93513	0.274404
40 <pt<50 	4<chiso range<10 	6.20321	7.14702	2.99043	0.31561
40 <pt<50 	4<chiso range<11 	6.20321	7.1866	3.0083	0.326892
40 <pt<50 	4<chiso range<12 	6.20321	7.01889	2.94042	0.277403
40 <pt<50 	4<chiso range<13 	6.20321	7.02318	2.94226	0.278687
40 <pt<50 	5<chiso range<10 	6.20321	6.7782	2.82875	0.203266
40 <pt<50 	5<chiso range<11 	6.20321	6.8733	2.87079	0.233417
40 <pt<50 	5<chiso range<12 	6.20321	6.72927	2.81362	0.186969
