pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	142.163	123.904	16.6557	1.09626
20  <pt<25 	3<chiso range<9 	142.163	123.983	16.6368	1.09276
20  <pt<25 	3<chiso range<10 	142.163	124.931	16.5686	1.04004
20  <pt<25 	3<chiso range<11 	142.163	126.624	16.4477	0.944752
20  <pt<25 	3<chiso range<12 	142.163	127.782	16.3749	0.878234
20  <pt<25 	3<chiso range<13 	142.163	128.683	16.3221	0.825874
20  <pt<25 	4<chiso range<9 	142.163	124.523	16.6	1.06265
20  <pt<25 	4<chiso range<10 	142.163	125.544	16.5191	1.00605
20  <pt<25 	4<chiso range<11 	142.163	127.427	16.3978	0.898657
20  <pt<25 	4<chiso range<12 	142.163	128.649	16.3179	0.82817
20  <pt<25 	4<chiso range<13 	142.163	129.579	16.2638	0.773743
20  <pt<25 	5<chiso range<10 	142.163	123.701	16.6371	1.10969
20  <pt<25 	5<chiso range<11 	142.163	126.229	16.4594	0.968079
20  <pt<25 	5<chiso range<12 	142.163	127.822	16.3603	0.876573
20  <pt<25 	5<chiso range<13 	142.163	128.98	16.2936	0.809091
20  <pt<25 	6<chiso range<11 	142.163	127.09	16.402	0.918973
20  <pt<25 	6<chiso range<12 	142.163	128.855	16.2919	0.816848
20  <pt<25 	6<chiso range<13 	142.163	130.08	16.2208	0.744908
20  <pt<25 	7<chiso range<12 	142.163	132.437	16.056	0.605755
20  <pt<25 	7<chiso range<13 	142.163	133.373	16.0101	0.549028
20  <pt<25 	8<chiso range<13 	142.163	134.414	15.9441	0.48601
#######################################################################################
25  <pt<30 	3<chiso range<8 	82.4326	74.8879	12.2009	0.618372
25  <pt<30 	3<chiso range<9 	82.4326	74.9554	12.2005	0.61286
25  <pt<30 	3<chiso range<10 	82.4326	75.5162	12.1333	0.570035
25  <pt<30 	3<chiso range<11 	82.4326	76.0503	12.0791	0.528375
25  <pt<30 	3<chiso range<12 	82.4326	76.5437	12.0298	0.489526
