pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	54.3018	44.1202	4.7935	2.12404
20 <pt<25 	3<chiso range<9 	54.3018	43.4606	4.73427	2.28994
20 <pt<25 	3<chiso range<10 	54.3018	40.49	4.44209	3.1093
20 <pt<25 	3<chiso range<11 	54.3018	41.2691	4.55199	2.86308
20 <pt<25 	3<chiso range<12 	54.3018	40.3054	4.45458	3.14202
20 <pt<25 	3<chiso range<13 	54.3018	39.1589	4.32631	3.50019
20 <pt<25 	4<chiso range<9 	54.3018	45.8642	5.00916	1.68443
20 <pt<25 	4<chiso range<10 	54.3018	41.8477	4.61458	2.69886
20 <pt<25 	4<chiso range<11 	54.3018	42.5697	4.72309	2.48399
20 <pt<25 	4<chiso range<12 	54.3018	41.3025	4.59238	2.83062
20 <pt<25 	4<chiso range<13 	54.3018	39.8796	4.4307	3.25506
20 <pt<25 	5<chiso range<10 	54.3018	43.6355	4.87461	2.18813
20 <pt<25 	5<chiso range<11 	54.3018	44.2316	4.97752	2.02314
20 <pt<25 	5<chiso range<12 	54.3018	42.5022	4.78896	2.46392
20 <pt<25 	5<chiso range<13 	54.3018	40.7066	4.57633	2.97076
20 <pt<25 	6<chiso range<11 	54.3018	39.9833	4.56483	3.1367
20 <pt<25 	6<chiso range<12 	54.3018	38.4632	4.388	3.60953
20 <pt<25 	6<chiso range<13 	54.3018	36.8371	4.18468	4.17349
20 <pt<25 	7<chiso range<12 	54.3018	36.5694	4.19379	4.22825
20 <pt<25 	7<chiso range<13 	54.3018	34.8105	3.96981	4.90988
20 <pt<25 	8<chiso range<13 	54.3018	31.2843	3.56583	6.45502
#######################################################################################
25 <pt<30 	3<chiso range<8 	25.7279	20.9085	3.41385	1.41172
25 <pt<30 	3<chiso range<9 	25.7279	21.0831	3.41188	1.36136
25 <pt<30 	3<chiso range<10 	25.7279	20.8904	3.384	1.42952
25 <pt<30 	3<chiso range<11 	25.7279	20.2893	3.2745	1.66089
25 <pt<30 	3<chiso range<12 	25.7279	20.172	3.25459	1.7071
25 <pt<30 	3<chiso range<13 	25.7279	20.5821	3.30738	1.55585
25 <pt<30 	4<chiso range<9 	25.7279	20.8262	3.36692	1.45584
25 <pt<30 	4<chiso range<10 	25.7279	20.6326	3.34018	1.52546
25 <pt<30 	4<chiso range<11 	25.7279	19.9658	3.219	1.79003
25 <pt<30 	4<chiso range<12 	25.7279	19.8596	3.20117	1.83317
25 <pt<30 	4<chiso range<13 	25.7279	20.3339	3.26319	1.65298
25 <pt<30 	5<chiso range<10 	25.7279	20.6762	3.33587	1.51436
25 <pt<30 	5<chiso range<11 	25.7279	19.8393	3.18819	1.847
25 <pt<30 	5<chiso range<12 	25.7279	19.7377	3.17131	1.88887
25 <pt<30 	5<chiso range<13 	25.7279	20.2831	3.24501	1.6779
25 <pt<30 	6<chiso range<11 	25.7279	20.8369	3.34742	1.46113
25 <pt<30 	6<chiso range<12 	25.7279	20.5717	3.30408	1.56056
25 <pt<30 	6<chiso range<13 	25.7279	21.2061	3.38846	1.33447
25 <pt<30 	7<chiso range<12 	25.7279	19.2365	3.07994	2.10764
25 <pt<30 	7<chiso range<13 	25.7279	20.0529	3.19755	1.7748
25 <pt<30 	8<chiso range<13 	25.7279	19.7587	3.12813	1.90823
#######################################################################################
30 <pt<40 	3<chiso range<8 	25.3195	16.6472	3.03384	2.85852
30 <pt<40 	3<chiso range<9 	25.3195	15.5654	2.84216	3.43193
30 <pt<40 	3<chiso range<10 	25.3195	15.5472	2.8424	3.43805
30 <pt<40 	3<chiso range<11 	25.3195	15.6606	2.87061	3.36476
30 <pt<40 	3<chiso range<12 	25.3195	15.7904	2.90061	3.28521
30 <pt<40 	3<chiso range<13 	25.3195	14.9276	2.74654	3.78363
30 <pt<40 	4<chiso range<9 	25.3195	15.3274	2.81314	3.55194
30 <pt<40 	4<chiso range<10 	25.3195	15.329	2.8162	3.54751
30 <pt<40 	4<chiso range<11 	25.3195	15.4796	2.85227	3.44985
30 <pt<40 	4<chiso range<12 	25.3195	15.64	2.88859	3.35094
30 <pt<40 	4<chiso range<13 	25.3195	14.6393	2.70801	3.94393
30 <pt<40 	5<chiso range<10 	25.3195	15.1075	2.77787	3.6762
30 <pt<40 	5<chiso range<11 	25.3195	15.3226	2.82785	3.53516
30 <pt<40 	5<chiso range<12 	25.3195	15.5369	2.87549	3.40206
30 <pt<40 	5<chiso range<13 	25.3195	14.3458	2.65975	4.12584
30 <pt<40 	6<chiso range<11 	25.3195	14.1163	2.61103	4.29072
30 <pt<40 	6<chiso range<12 	25.3195	14.4876	2.68881	4.02851
30 <pt<40 	6<chiso range<13 	25.3195	13.2833	2.47037	4.87223
30 <pt<40 	7<chiso range<12 	25.3195	14.0685	2.6233	4.28887
30 <pt<40 	7<chiso range<13 	25.3195	12.5832	2.35021	5.41922
30 <pt<40 	8<chiso range<13 	25.3195	11.9807	2.24925	5.93033
#######################################################################################
40 <pt<50 	3<chiso range<8 	7.75914	9.71449	2.90405	0.673318
40 <pt<50 	3<chiso range<9 	7.75914	8.6329	2.60652	0.335221
40 <pt<50 	3<chiso range<10 	7.75914	8.30731	2.52807	0.216833
