pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	6.9527e-310	6.9527e-310	-nan	0.627071	0.0826559	nan
20 <pt<25 	3<chiso range<9 	6.9527e-310	6.9527e-310	-nan	0.624707	0.0823084	nan
20 <pt<25 	3<chiso range<10 	6.9527e-310	6.9527e-310	-nan	0.615413	0.0811055	nan
20 <pt<25 	3<chiso range<11 	6.9527e-310	6.9527e-310	-nan	0.59741	0.0788199	nan
20 <pt<25 	3<chiso range<12 	6.9527e-310	6.9527e-310	-nan	0.580121	0.0766101	nan
20 <pt<25 	3<chiso range<13 	6.9527e-310	6.9527e-310	-nan	0.57334	0.07571	nan
20 <pt<25 	4<chiso range<9 	6.9527e-310	6.9527e-310	-nan	0.607147	0.0800868	nan
20 <pt<25 	4<chiso range<10 	6.9527e-310	6.9527e-310	-nan	0.598437	0.0789498	nan
20 <pt<25 	4<chiso range<11 	6.9527e-310	6.9527e-310	-nan	0.579436	0.0765089	nan
20 <pt<25 	4<chiso range<12 	6.9527e-310	6.9527e-310	-nan	0.561384	0.0741918	nan
20 <pt<25 	4<chiso range<13 	6.9527e-310	6.9527e-310	-nan	0.555218	0.0733679	nan
20 <pt<25 	5<chiso range<10 	6.9527e-310	6.9527e-310	-nan	0.576767	0.0761924	nan
20 <pt<25 	5<chiso range<11 	6.9527e-310	6.9527e-310	-nan	0.556894	0.0736196	nan
20 <pt<25 	5<chiso range<12 	6.9527e-310	6.9527e-310	-nan	0.538216	0.0712044	nan
20 <pt<25 	5<chiso range<13 	6.9527e-310	6.9527e-310	-nan	0.533288	0.0705402	nan
20 <pt<25 	6<chiso range<11 	6.9527e-310	6.9527e-310	-nan	0.541799	0.0716699	nan
20 <pt<25 	6<chiso range<12 	6.9527e-310	6.9527e-310	-nan	0.521783	0.0690716	nan
20 <pt<25 	6<chiso range<13 	6.9527e-310	6.9527e-310	-nan	0.517906	0.0685433	nan
20 <pt<25 	7<chiso range<12 	6.9527e-310	6.9527e-310	-nan	0.517249	0.0684792	nan
