pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	6.9527e-310	44.8849	5.84266	7.68227
20 <pt<25 	3<chiso range<9 	6.9527e-310	44.7157	5.81803	7.68571
20 <pt<25 	3<chiso range<10 	6.9527e-310	44.0505	5.73304	7.68362
20 <pt<25 	3<chiso range<11 	6.9527e-310	42.7618	5.57163	7.67492
20 <pt<25 	3<chiso range<12 	6.9527e-310	41.5243	5.41556	7.66759
20 <pt<25 	3<chiso range<13 	6.9527e-310	41.039	5.35192	7.66809
20 <pt<25 	4<chiso range<9 	6.9527e-310	43.4588	5.66116	7.67666
20 <pt<25 	4<chiso range<10 	6.9527e-310	42.8354	5.58081	7.67548
20 <pt<25 	4<chiso range<11 	6.9527e-310	41.4753	5.40839	7.6687
20 <pt<25 	4<chiso range<12 	6.9527e-310	40.1832	5.24471	7.66166
20 <pt<25 	4<chiso range<13 	6.9527e-310	39.7418	5.18645	7.66262
20 <pt<25 	5<chiso range<10 	6.9527e-310	41.2843	5.38608	7.665
20 <pt<25 	5<chiso range<11 	6.9527e-310	39.8618	5.20429	7.65941
20 <pt<25 	5<chiso range<12 	6.9527e-310	38.5248	5.03366	7.65344
20 <pt<25 	5<chiso range<13 	6.9527e-310	38.172	4.98668	7.65479
20 <pt<25 	6<chiso range<11 	6.9527e-310	38.7812	5.06655	7.65436
20 <pt<25 	6<chiso range<12 	6.9527e-310	37.3486	4.88296	7.64876
20 <pt<25 	6<chiso range<13 	6.9527e-310	37.0711	4.84558	7.6505
20 <pt<25 	7<chiso range<12 	6.9527e-310	37.024	4.84109	7.64786
20 <pt<25 	7<chiso range<13 	6.9527e-310	36.7307	4.80132	7.65013
20 <pt<25 	8<chiso range<13 	6.9527e-310	35.9295	4.69236	7.65702
#######################################################################################
25 <pt<30 	3<chiso range<8 	6.9527e-310	21.0491	4.28581	4.91135
25 <pt<30 	3<chiso range<9 	6.9527e-310	20.181	4.11527	4.90393
25 <pt<30 	3<chiso range<10 	6.9527e-310	20.1334	4.10294	4.90707
25 <pt<30 	3<chiso range<11 	6.9527e-310	18.9237	3.86337	4.89824
25 <pt<30 	3<chiso range<12 	6.9527e-310	18.6761	3.81584	4.89436
25 <pt<30 	3<chiso range<13 	6.9527e-310	18.0461	3.69095	4.88928
25 <pt<30 	4<chiso range<9 	6.9527e-310	19.4911	3.98507	4.89103
25 <pt<30 	4<chiso range<10 	6.9527e-310	19.5514	3.9933	4.89605
25 <pt<30 	4<chiso range<11 	6.9527e-310	18.2212	3.72774	4.888
25 <pt<30 	4<chiso range<12 	6.9527e-310	17.999	3.68459	4.88494
25 <pt<30 	4<chiso range<13 	6.9527e-310	17.3432	3.55358	4.88049
25 <pt<30 	5<chiso range<10 	6.9527e-310	18.6909	3.81525	4.899
25 <pt<30 	5<chiso range<11 	6.9527e-310	17.2766	3.53337	4.88955
25 <pt<30 	5<chiso range<12 	6.9527e-310	17.1214	3.50445	4.88562
25 <pt<30 	5<chiso range<13 	6.9527e-310	16.468	3.37421	4.88055
25 <pt<30 	6<chiso range<11 	6.9527e-310	16.1167	3.29214	4.89551
25 <pt<30 	6<chiso range<12 	6.9527e-310	16.0786	3.28851	4.88933
25 <pt<30 	6<chiso range<13 	6.9527e-310	15.4437	3.1629	4.88277
25 <pt<30 	7<chiso range<12 	6.9527e-310	15.5582	3.18532	4.88434
25 <pt<30 	7<chiso range<13 	6.9527e-310	14.8674	3.04827	4.87732
25 <pt<30 	8<chiso range<13 	6.9527e-310	14.4047	2.95871	4.86857
#######################################################################################
30 <pt<40 	3<chiso range<8 	6.9527e-310	17.8107	4.22551	4.21504
30 <pt<40 	3<chiso range<9 	6.9527e-310	17.297	4.10819	4.21037
30 <pt<40 	3<chiso range<10 	6.9527e-310	16.357	3.8924	4.20229
30 <pt<40 	3<chiso range<11 	6.9527e-310	15.9328	3.79721	4.19592
30 <pt<40 	3<chiso range<12 	6.9527e-310	15.4823	3.69169	4.19382
30 <pt<40 	3<chiso range<13 	6.9527e-310	14.8735	3.55021	4.18947
30 <pt<40 	4<chiso range<9 	6.9527e-310	17.1955	4.08034	4.21423
30 <pt<40 	4<chiso range<10 	6.9527e-310	16.1125	3.83301	4.20362
30 <pt<40 	4<chiso range<11 	6.9527e-310	15.6587	3.73204	4.19575
30 <pt<40 	4<chiso range<12 	6.9527e-310	15.1774	3.61962	4.19309
30 <pt<40 	4<chiso range<13 	6.9527e-310	14.531	3.46905	4.18875
30 <pt<40 	5<chiso range<10 	6.9527e-310	16.7301	3.97647	4.20727
30 <pt<40 	5<chiso range<11 	6.9527e-310	16.0816	3.83163	4.19706
30 <pt<40 	5<chiso range<12 	6.9527e-310	15.4566	3.68522	4.19421
30 <pt<40 	5<chiso range<13 	6.9527e-310	14.6697	3.50224	4.18866
30 <pt<40 	6<chiso range<11 	6.9527e-310	15.1773	3.6204	4.19216
30 <pt<40 	6<chiso range<12 	6.9527e-310	14.5801	3.47961	4.19015
30 <pt<40 	6<chiso range<13 	6.9527e-310	13.807	3.29879	4.18547
30 <pt<40 	7<chiso range<12 	6.9527e-310	13.3128	3.18469	4.18025
30 <pt<40 	7<chiso range<13 	6.9527e-310	12.6468	3.02772	4.177
30 <pt<40 	8<chiso range<13 	6.9527e-310	11.7848	2.82432	4.17262
#######################################################################################
40 <pt<50 	3<chiso range<8 	6.9527e-310	7.15605	2.82825	2.5302
40 <pt<50 	3<chiso range<9 	6.9527e-310	7.0373	2.78526	2.52662
40 <pt<50 	3<chiso range<10 	6.9527e-310	6.73282	2.67002	2.52164
40 <pt<50 	3<chiso range<11 	6.9527e-310	6.68622	2.64893	2.52412
40 <pt<50 	3<chiso range<12 	6.9527e-310	6.50476	2.58147	2.51979
40 <pt<50 	3<chiso range<13 	6.9527e-310	6.30924	2.50767	2.51598
40 <pt<50 	4<chiso range<9 	6.9527e-310	6.67402	2.64834	2.52008
40 <pt<50 	4<chiso range<10 	6.9527e-310	6.3813	2.5366	2.51569
40 <pt<50 	4<chiso range<11 	6.9527e-310	6.36844	2.52815	2.51901
40 <pt<50 	4<chiso range<12 	6.9527e-310	6.20297	2.46641	2.51498
40 <pt<50 	4<chiso range<13 	6.9527e-310	6.03182	2.4015	2.51169
40 <pt<50 	5<chiso range<10 	6.9527e-310	6.68385	2.6553	2.51717
40 <pt<50 	5<chiso range<11 	6.9527e-310	6.63007	2.63066	2.52031
40 <pt<50 	5<chiso range<12 	6.9527e-310	6.38122	2.53706	2.5152
40 <pt<50 	5<chiso range<13 	6.9527e-310	6.15894	2.45238	2.51141
40 <pt<50 	6<chiso range<11 	6.9527e-310	6.58824	2.61504	2.51936
40 <pt<50 	6<chiso range<12 	6.9527e-310	6.29418	2.50422	2.51343
40 <pt<50 	6<chiso range<13 	6.9527e-310	6.03992	2.40703	2.50928
40 <pt<50 	7<chiso range<12 	6.9527e-310	5.63394	2.24206	2.51284
40 <pt<50 	7<chiso range<13 	6.9527e-310	5.45771	2.17651	2.50755
40 <pt<50 	8<chiso range<13 	6.9527e-310	5.43085	2.16956	2.5032
#######################################################################################
50 <pt<65 	3<chiso range<8 	6.9527e-310	1.92559	3.11257	0.61865
50 <pt<65 	3<chiso range<9 	6.9527e-310	1.95135	3.15422	0.618647
50 <pt<65 	3<chiso range<10 	6.9527e-310	1.92998	3.11967	0.618649
50 <pt<65 	3<chiso range<11 	6.9527e-310	1.90036	3.07179	0.618649
50 <pt<65 	3<chiso range<12 	6.9527e-310	1.91013	3.08758	0.61865
50 <pt<65 	3<chiso range<13 	6.9527e-310	1.90262	3.07545	0.618648
50 <pt<65 	4<chiso range<9 	6.9527e-310	1.94906	3.15052	0.618647
50 <pt<65 	4<chiso range<10 	6.9527e-310	1.92507	3.11174	0.618647
50 <pt<65 	4<chiso range<11 	6.9527e-310	1.89261	3.05927	0.618648
50 <pt<65 	4<chiso range<12 	6.9527e-310	1.90425	3.07808	0.618649
50 <pt<65 	4<chiso range<13 	6.9527e-310	1.89649	3.06554	0.618648
50 <pt<65 	5<chiso range<10 	6.9527e-310	1.85226	2.99405	0.618647
50 <pt<65 	5<chiso range<11 	6.9527e-310	1.82512	2.95017	0.618649
50 <pt<65 	5<chiso range<12 	6.9527e-310	1.84753	2.98639	0.61865
50 <pt<65 	5<chiso range<13 	6.9527e-310	1.84386	2.98047	0.618647
50 <pt<65 	6<chiso range<11 	6.9527e-310	1.86547	3.01539	0.61865
50 <pt<65 	6<chiso range<12 	6.9527e-310	1.88555	3.04785	0.618649
50 <pt<65 	6<chiso range<13 	6.9527e-310	1.87721	3.03437	0.618649
50 <pt<65 	7<chiso range<12 	6.9527e-310	1.86585	3.01601	0.618648
50 <pt<65 	7<chiso range<13 	6.9527e-310	1.85853	3.00418	0.618648
50 <pt<65 	8<chiso range<13 	6.9527e-310	1.87498	3.03077	0.618648
#######################################################################################
65 <pt<400 	3<chiso range<8 	6.9527e-310	2.75551	1.94318	1.41804
65 <pt<400 	3<chiso range<9 	6.9527e-310	2.99805	2.1083	1.42202
65 <pt<400 	3<chiso range<10 	6.9527e-310	2.79995	1.97553	1.41732
65 <pt<400 	3<chiso range<11 	6.9527e-310	2.66233	1.88058	1.4157
65 <pt<400 	3<chiso range<12 	6.9527e-310	2.67857	1.89327	1.41479
65 <pt<400 	3<chiso range<13 	6.9527e-310	2.53429	1.79678	1.41046
65 <pt<400 	4<chiso range<9 	6.9527e-310	2.68947	1.90202	1.41401
65 <pt<400 	4<chiso range<10 	6.9527e-310	2.51807	1.7854	1.41037
65 <pt<400 	4<chiso range<11 	6.9527e-310	2.41576	1.71375	1.40963
65 <pt<400 	4<chiso range<12 	6.9527e-310	2.45337	1.74081	1.40933
65 <pt<400 	4<chiso range<13 	6.9527e-310	2.33335	1.65981	1.40579
65 <pt<400 	5<chiso range<10 	6.9527e-310	2.30002	1.63702	1.405
65 <pt<400 	5<chiso range<11 	6.9527e-310	2.23367	1.58847	1.40618
65 <pt<400 	5<chiso range<12 	6.9527e-310	2.28634	1.62703	1.40522
65 <pt<400 	5<chiso range<13 	6.9527e-310	2.19102	1.56102	1.40358
65 <pt<400 	6<chiso range<11 	6.9527e-310	2.1803	1.54884	1.4077
65 <pt<400 	6<chiso range<12 	6.9527e-310	2.25558	1.60268	1.40738
65 <pt<400 	6<chiso range<13 	6.9527e-310	2.14896	1.53074	1.40387
65 <pt<400 	7<chiso range<12 	6.9527e-310	2.26036	1.60884	1.40496
