pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	6.9527e-310	6.9527e-310	2.71736e-322	44.8849	26.6483	7.68227	2.60339
20 <pt<25 	3<chiso range<9 	6.9527e-310	6.9527e-310	2.71736e-322	44.7157	26.8469	7.68571	2.62896
20 <pt<25 	3<chiso range<10 	6.9527e-310	6.9527e-310	2.71736e-322	44.0505	27.5211	7.68362	2.70813
20 <pt<25 	3<chiso range<11 	6.9527e-310	6.9527e-310	2.71736e-322	42.7618	28.8014	7.67492	2.85734
20 <pt<25 	3<chiso range<12 	6.9527e-310	6.9527e-310	2.71736e-322	41.5243	30.0245	7.66759	3.00176
20 <pt<25 	3<chiso range<13 	6.9527e-310	6.9527e-310	2.71736e-322	41.039	30.5243	7.66809	3.06358
20 <pt<25 	4<chiso range<9 	6.9527e-310	6.9527e-310	2.71736e-322	43.4588	28.0956	7.67666	2.7732
20 <pt<25 	4<chiso range<10 	6.9527e-310	6.9527e-310	2.71736e-322	42.8354	28.7292	7.67548	2.84893
20 <pt<25 	4<chiso range<11 	6.9527e-310	6.9527e-310	2.71736e-322	41.4753	30.0811	7.6687	3.00943
20 <pt<25 	4<chiso range<12 	6.9527e-310	6.9527e-310	2.71736e-322	40.1832	31.3599	7.66166	3.16269
20 <pt<25 	4<chiso range<13 	6.9527e-310	6.9527e-310	2.71736e-322	39.7418	31.8133	7.66262	3.21995
20 <pt<25 	5<chiso range<10 	6.9527e-310	6.9527e-310	2.71736e-322	41.2843	30.2554	7.665	3.02838
20 <pt<25 	5<chiso range<11 	6.9527e-310	6.9527e-310	2.71736e-322	39.8618	31.6741	7.65941	3.20032
20 <pt<25 	5<chiso range<12 	6.9527e-310	6.9527e-310	2.71736e-322	38.5248	33.0069	7.65344	3.36336
20 <pt<25 	5<chiso range<13 	6.9527e-310	6.9527e-310	2.71736e-322	38.172	33.3687	7.65479	3.41014
20 <pt<25 	6<chiso range<11 	6.9527e-310	6.9527e-310	2.71736e-322	38.7812	32.7507	7.65436	3.33171
20 <pt<25 	6<chiso range<12 	6.9527e-310	6.9527e-310	2.71736e-322	37.3486	34.1839	7.64876	3.50937
20 <pt<25 	6<chiso range<13 	6.9527e-310	6.9527e-310	2.71736e-322	37.0711	34.466	7.6505	3.54675
20 <pt<25 	7<chiso range<12 	6.9527e-310	6.9527e-310	2.71736e-322	37.024	34.5089	7.64786	3.55024
20 <pt<25 	7<chiso range<13 	6.9527e-310	6.9527e-310	2.71736e-322	36.7307	34.8081	7.65013	3.59036
20 <pt<25 	8<chiso range<13 	6.9527e-310	6.9527e-310	2.71736e-322	35.9295	35.6606	7.65702	3.70577
#######################################################################################
25 <pt<30 	3<chiso range<8 	6.9527e-310	6.9527e-310	2.71736e-322	21.0491	19.8986	4.91135	2.60982
25 <pt<30 	3<chiso range<9 	6.9527e-310	6.9527e-310	2.71736e-322	20.181	20.7681	4.90393	2.75594
25 <pt<30 	3<chiso range<10 	6.9527e-310	6.9527e-310	2.71736e-322	20.1334	20.8232	4.90707	2.76813
25 <pt<30 	3<chiso range<11 	6.9527e-310	6.9527e-310	2.71736e-322	18.9237	22.0335	4.89824	2.97683
25 <pt<30 	3<chiso range<12 	6.9527e-310	6.9527e-310	2.71736e-322	18.6761	22.2774	4.89436	3.01764
25 <pt<30 	3<chiso range<13 	6.9527e-310	6.9527e-310	2.71736e-322	18.0461	22.9063	4.88928	3.12772
25 <pt<30 	4<chiso range<9 	6.9527e-310	6.9527e-310	2.71736e-322	19.4911	21.4487	4.89103	2.86614
25 <pt<30 	4<chiso range<10 	6.9527e-310	6.9527e-310	2.71736e-322	19.5514	21.3939	4.89605	2.86044
25 <pt<30 	4<chiso range<11 	6.9527e-310	6.9527e-310	2.71736e-322	18.2212	22.7272	4.888	3.09394
25 <pt<30 	4<chiso range<12 	6.9527e-310	6.9527e-310	2.71736e-322	17.999	22.9481	4.88494	3.13163
25 <pt<30 	4<chiso range<13 	6.9527e-310	6.9527e-310	2.71736e-322	17.3432	23.6046	4.88049	3.24841
25 <pt<30 	5<chiso range<10 	6.9527e-310	6.9527e-310	2.71736e-322	18.6909	22.2722	4.899	3.02059
25 <pt<30 	5<chiso range<11 	6.9527e-310	6.9527e-310	2.71736e-322	17.2766	23.6844	4.88955	3.27117
25 <pt<30 	5<chiso range<12 	6.9527e-310	6.9527e-310	2.71736e-322	17.1214	23.8347	4.88562	3.29555
25 <pt<30 	5<chiso range<13 	6.9527e-310	6.9527e-310	2.71736e-322	16.468	24.4861	4.88055	3.41244
25 <pt<30 	6<chiso range<11 	6.9527e-310	6.9527e-310	2.71736e-322	16.1167	24.8715	4.89551	3.49854
25 <pt<30 	6<chiso range<12 	6.9527e-310	6.9527e-310	2.71736e-322	16.0786	24.8953	4.88933	3.49735
25 <pt<30 	6<chiso range<13 	6.9527e-310	6.9527e-310	2.71736e-322	15.4437	25.5224	4.88277	3.60998
25 <pt<30 	7<chiso range<12 	6.9527e-310	6.9527e-310	2.71736e-322	15.5582	25.41	4.88434	3.59011
25 <pt<30 	7<chiso range<13 	6.9527e-310	6.9527e-310	2.71736e-322	14.8674	26.0937	4.87732	3.71378
25 <pt<30 	8<chiso range<13 	6.9527e-310	6.9527e-310	2.71736e-322	14.4047	26.5488	4.86857	3.79269
#######################################################################################
30 <pt<40 	3<chiso range<8 	6.9527e-310	6.9527e-310	2.71736e-322	17.8107	20.1772	4.21504	2.72404
30 <pt<40 	3<chiso range<9 	6.9527e-310	6.9527e-310	2.71736e-322	17.297	20.6913	4.21037	2.81711
30 <pt<40 	3<chiso range<10 	6.9527e-310	6.9527e-310	2.71736e-322	16.357	21.6332	4.20229	2.99082
30 <pt<40 	3<chiso range<11 	6.9527e-310	6.9527e-310	2.71736e-322	15.9328	22.0636	4.19592	3.069
30 <pt<40 	3<chiso range<12 	6.9527e-310	6.9527e-310	2.71736e-322	15.4823	22.5137	4.19382	3.15556
30 <pt<40 	3<chiso range<13 	6.9527e-310	6.9527e-310	2.71736e-322	14.8735	23.126	4.18947	3.27317
30 <pt<40 	4<chiso range<9 	6.9527e-310	6.9527e-310	2.71736e-322	17.1955	20.7961	4.21423	2.84028
30 <pt<40 	4<chiso range<10 	6.9527e-310	6.9527e-310	2.71736e-322	16.1125	21.8775	4.20362	3.03948
30 <pt<40 	4<chiso range<11 	6.9527e-310	6.9527e-310	2.71736e-322	15.6587	22.3358	4.19575	3.12218
30 <pt<40 	4<chiso range<12 	6.9527e-310	6.9527e-310	2.71736e-322	15.1774	22.8169	4.19309	3.21495
30 <pt<40 	4<chiso range<13 	6.9527e-310	6.9527e-310	2.71736e-322	14.531	23.4668	4.18875	3.34076
30 <pt<40 	5<chiso range<10 	6.9527e-310	6.9527e-310	2.71736e-322	16.7301	21.2592	4.20727	2.92296
