pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	96.7783	48.2206	0.498258	0.627071	0.0826559	1.55842
20 <pt<25 	3<chiso range<9 	96.7783	48.2206	0.498258	0.624707	0.0823084	1.53628
20 <pt<25 	3<chiso range<10 	96.7783	48.2206	0.498258	0.615413	0.0811055	1.44447
20 <pt<25 	3<chiso range<11 	96.7783	48.2206	0.498258	0.59741	0.0788199	1.25795
20 <pt<25 	3<chiso range<12 	96.7783	48.2206	0.498258	0.580121	0.0766101	1.06856
20 <pt<25 	3<chiso range<13 	96.7783	48.2206	0.498258	0.57334	0.07571	0.9917
20 <pt<25 	4<chiso range<9 	96.7783	48.2206	0.498258	0.607147	0.0800868	1.35963
20 <pt<25 	4<chiso range<10 	96.7783	48.2206	0.498258	0.598437	0.0789498	1.26889
20 <pt<25 	4<chiso range<11 	96.7783	48.2206	0.498258	0.579436	0.0765089	1.06102
20 <pt<25 	4<chiso range<12 	96.7783	48.2206	0.498258	0.561384	0.0741918	0.850843
20 <pt<25 	4<chiso range<13 	96.7783	48.2206	0.498258	0.555218	0.0733679	0.776356
20 <pt<25 	5<chiso range<10 	96.7783	48.2206	0.498258	0.576767	0.0761924	1.0304
20 <pt<25 	5<chiso range<11 	96.7783	48.2206	0.498258	0.556894	0.0736196	0.796467
20 <pt<25 	5<chiso range<12 	96.7783	48.2206	0.498258	0.538216	0.0712044	0.561168
20 <pt<25 	5<chiso range<13 	96.7783	48.2206	0.498258	0.533288	0.0705402	0.496591
20 <pt<25 	6<chiso range<11 	96.7783	48.2206	0.498258	0.541799	0.0716699	0.607516
20 <pt<25 	6<chiso range<12 	96.7783	48.2206	0.498258	0.521783	0.0690716	0.340583
20 <pt<25 	6<chiso range<13 	96.7783	48.2206	0.498258	0.517906	0.0685433	0.286645
20 <pt<25 	7<chiso range<12 	96.7783	48.2206	0.498258	0.517249	0.0684792	0.277319
20 <pt<25 	7<chiso range<13 	96.7783	48.2206	0.498258	0.513152	0.0679172	0.219291
20 <pt<25 	8<chiso range<13 	96.7783	48.2206	0.498258	0.501958	0.0663773	0.0557361
#######################################################################################
25 <pt<50 	3<chiso range<8 	132.424	56.3184	0.425288	0.480272	0.0704573	0.780381
25 <pt<50 	3<chiso range<9 	132.424	56.3184	0.425288	0.465231	0.0683044	0.584772
25 <pt<50 	3<chiso range<10 	132.424	56.3184	0.425288	0.451369	0.0663	0.393372
25 <pt<50 	3<chiso range<11 	132.424	56.3184	0.425288	0.434855	0.0639272	0.149647
25 <pt<50 	3<chiso range<12 	132.424	56.3184	0.425288	0.425548	0.0625845	0.00414692
25 <pt<50 	3<chiso range<13 	132.424	56.3184	0.425288	0.411046	0.0604908	0.235448
25 <pt<50 	4<chiso range<9 	132.424	56.3184	0.425288	0.453554	0.0666311	0.424209
25 <pt<50 	4<chiso range<10 	132.424	56.3184	0.425288	0.439299	0.0645636	0.217004
25 <pt<50 	4<chiso range<11 	132.424	56.3184	0.425288	0.4218	0.0620436	0.0562261
25 <pt<50 	4<chiso range<12 	132.424	56.3184	0.425288	0.412531	0.0607036	0.21016
25 <pt<50 	4<chiso range<13 	132.424	56.3184	0.425288	0.397569	0.0585435	0.473485
25 <pt<50 	5<chiso range<10 	132.424	56.3184	0.425288	0.440281	0.0646837	0.231782
25 <pt<50 	5<chiso range<11 	132.424	56.3184	0.425288	0.419291	0.0616663	0.0972568
25 <pt<50 	5<chiso range<12 	132.424	56.3184	0.425288	0.408754	0.0601448	0.274911
25 <pt<50 	5<chiso range<13 	132.424	56.3184	0.425288	0.392004	0.0577327	0.576527
25 <pt<50 	6<chiso range<11 	132.424	56.3184	0.425288	0.396922	0.0583631	0.486034
25 <pt<50 	6<chiso range<12 	132.424	56.3184	0.425288	0.387565	0.057028	0.66149
