pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	48.2206	44.8849	5.84266	0.570921
20 <pt<25 	3<chiso range<9 	48.2206	44.7157	5.81803	0.60242
20 <pt<25 	3<chiso range<10 	48.2206	44.0505	5.73304	0.72738
20 <pt<25 	3<chiso range<11 	48.2206	42.7618	5.57163	0.979749
20 <pt<25 	3<chiso range<12 	48.2206	41.5243	5.41556	1.23649
20 <pt<25 	3<chiso range<13 	48.2206	41.039	5.35192	1.34187
20 <pt<25 	4<chiso range<9 	48.2206	43.4588	5.66116	0.841135
20 <pt<25 	4<chiso range<10 	48.2206	42.8354	5.58081	0.96495
20 <pt<25 	4<chiso range<11 	48.2206	41.4753	5.40839	1.24719
20 <pt<25 	4<chiso range<12 	48.2206	40.1832	5.24471	1.53248
20 <pt<25 	4<chiso range<13 	48.2206	39.7418	5.18645	1.6348
20 <pt<25 	5<chiso range<10 	48.2206	41.2843	5.38608	1.28782
20 <pt<25 	5<chiso range<11 	48.2206	39.8618	5.20429	1.60614
20 <pt<25 	5<chiso range<12 	48.2206	38.5248	5.03366	1.92619
20 <pt<25 	5<chiso range<13 	48.2206	38.172	4.98668	2.01509
20 <pt<25 	6<chiso range<11 	48.2206	38.7812	5.06655	1.86308
20 <pt<25 	6<chiso range<12 	48.2206	37.3486	4.88296	2.22652
20 <pt<25 	6<chiso range<13 	48.2206	37.0711	4.84558	2.30096
20 <pt<25 	7<chiso range<12 	48.2206	37.024	4.84109	2.31283
20 <pt<25 	7<chiso range<13 	48.2206	36.7307	4.80132	2.39307
20 <pt<25 	8<chiso range<13 	48.2206	35.9295	4.69236	2.61939
#######################################################################################
25 <pt<50 	3<chiso range<8 	56.3184	46.4585	6.76902	1.45662
25 <pt<50 	3<chiso range<9 	56.3184	45.0035	6.56226	1.72424
25 <pt<50 	3<chiso range<10 	56.3184	43.6626	6.36973	1.98687
25 <pt<50 	3<chiso range<11 	56.3184	42.0651	6.14183	2.32069
25 <pt<50 	3<chiso range<12 	56.3184	41.1649	6.01287	2.52018
25 <pt<50 	3<chiso range<13 	56.3184	39.762	5.81177	2.84877
25 <pt<50 	4<chiso range<9 	56.3184	43.874	6.40155	1.94397
25 <pt<50 	4<chiso range<10 	56.3184	42.495	6.20296	2.22852
25 <pt<50 	4<chiso range<11 	56.3184	40.8022	5.96091	2.60299
25 <pt<50 	4<chiso range<12 	56.3184	39.9057	5.8322	2.81415
25 <pt<50 	4<chiso range<13 	56.3184	38.4583	5.62472	3.17529
25 <pt<50 	5<chiso range<10 	56.3184	42.59	6.21446	2.20911
25 <pt<50 	5<chiso range<11 	56.3184	40.5595	5.92465	2.65989
25 <pt<50 	5<chiso range<12 	56.3184	39.5403	5.77851	2.90353
25 <pt<50 	5<chiso range<13 	56.3184	37.92	5.54684	3.31692
25 <pt<50 	6<chiso range<11 	56.3184	38.3958	5.60728	3.19631
25 <pt<50 	6<chiso range<12 	56.3184	37.4906	5.47906	3.43632
25 <pt<50 	6<chiso range<13 	56.3184	35.8903	5.24984	3.89119
25 <pt<50 	7<chiso range<12 	56.3184	35.0999	5.13499	4.13214
25 <pt<50 	7<chiso range<13 	56.3184	33.6061	4.91988	4.61643
25 <pt<50 	8<chiso range<13 	56.3184	32.274	4.73035	5.08301
#######################################################################################
50 <pt<80 	3<chiso range<8 	5.91606	2.95907	4.78312	0.618214
50 <pt<80 	3<chiso range<9 	5.91606	2.99578	4.84246	0.603057
50 <pt<80 	3<chiso range<10 	5.91606	2.92631	4.73017	0.63206
50 <pt<80 	3<chiso range<11 	5.91606	2.8825	4.65935	0.651069
50 <pt<80 	3<chiso range<12 	5.91606	2.90436	4.69468	0.641513
50 <pt<80 	3<chiso range<13 	5.91606	2.87917	4.65398	0.652536
50 <pt<80 	4<chiso range<9 	5.91606	2.97999	4.81694	0.60953
50 <pt<80 	4<chiso range<10 	5.91606	2.90285	4.69225	0.642167
50 <pt<80 	4<chiso range<11 	5.91606	2.85695	4.61806	0.662423
50 <pt<80 	4<chiso range<12 	5.91606	2.88379	4.66144	0.650501
50 <pt<80 	4<chiso range<13 	5.91606	2.85821	4.62009	0.661859
50 <pt<80 	5<chiso range<10 	5.91606	2.77766	4.48988	0.698994
50 <pt<80 	5<chiso range<11 	5.91606	2.74346	4.43461	0.715418
50 <pt<80 	5<chiso range<12 	5.91606	2.78859	4.50755	0.693829
50 <pt<80 	5<chiso range<13 	5.91606	2.77018	4.47779	0.702552
50 <pt<80 	6<chiso range<11 	5.91606	2.79137	4.51205	0.692521
50 <pt<80 	6<chiso range<12 	5.91606	2.83746	4.58656	0.671222
50 <pt<80 	6<chiso range<13 	5.91606	2.80977	4.54179	0.683935
50 <pt<80 	7<chiso range<12 	5.91606	2.79387	4.51609	0.691348
50 <pt<80 	7<chiso range<13 	5.91606	2.768	4.47427	0.703592
50 <pt<80 	8<chiso range<13 	5.91606	2.78249	4.49769	0.696707
#######################################################################################
80 <pt<400 	3<chiso range<8 	1.72504	1.0927	1.23475	0.51212
80 <pt<400 	3<chiso range<9 	1.72504	1.24521	1.3993	0.342907
80 <pt<400 	3<chiso range<10 	1.72504	1.22849	1.38178	0.359355
80 <pt<400 	3<chiso range<11 	1.72504	1.14558	1.2923	0.448394
80 <pt<400 	3<chiso range<12 	1.72504	1.11908	1.26411	0.479357
80 <pt<400 	3<chiso range<13 	1.72504	1.05785	1.19803	0.556906
80 <pt<400 	4<chiso range<9 	1.72504	1.03472	1.17342	0.588297
80 <pt<400 	4<chiso range<10 	1.72504	1.04279	1.18231	0.577048
80 <pt<400 	4<chiso range<11 	1.72504	0.98599	1.12002	0.659854
80 <pt<400 	4<chiso range<12 	1.72504	0.974295	1.10735	0.677965
80 <pt<400 	4<chiso range<13 	1.72504	0.932745	1.06165	0.746286
80 <pt<400 	5<chiso range<10 	1.72504	1.46126	2.36202	0.111676
80 <pt<400 	5<chiso range<11 	1.72504	1.42734	2.3072	0.129031
80 <pt<400 	5<chiso range<12 	1.72504	1.42212	2.29875	0.131776
80 <pt<400 	5<chiso range<13 	1.72504	1.39477	2.25454	0.146491
80 <pt<400 	6<chiso range<11 	1.72504	1.38751	2.24281	0.150494
80 <pt<400 	6<chiso range<12 	1.72504	1.38683	2.24172	0.150871
80 <pt<400 	6<chiso range<13 	1.72504	1.36174	2.20116	0.165049
80 <pt<400 	7<chiso range<12 	1.72504	1.42535	2.30397	0.130075
80 <pt<400 	7<chiso range<13 	1.72504	1.38862	2.24461	0.149879
80 <pt<400 	8<chiso range<13 	1.72504	1.4756	2.38521	0.104578
#######################################################################################
