pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	46.2307	26.6483	10.236	1.91309
20  <pt<25 	3<chiso range<9 	46.2307	26.8469	10.212	1.89814
20  <pt<25 	3<chiso range<10 	46.2307	27.5211	10.1624	1.84106
20  <pt<25 	3<chiso range<11 	46.2307	28.8014	10.0798	1.72913
20  <pt<25 	3<chiso range<12 	46.2307	30.0245	10.0023	1.62025
20  <pt<25 	3<chiso range<13 	46.2307	30.5243	9.96362	1.57637
20  <pt<25 	4<chiso range<9 	46.2307	28.0956	10.1311	1.79004
20  <pt<25 	4<chiso range<10 	46.2307	28.7292	10.0842	1.73554
20  <pt<25 	4<chiso range<11 	46.2307	30.0811	9.9956	1.61567
20  <pt<25 	4<chiso range<12 	46.2307	31.3599	9.91557	1.49974
20  <pt<25 	4<chiso range<13 	46.2307	31.8133	9.88005	1.45924
20  <pt<25 	5<chiso range<10 	46.2307	30.2554	9.99062	1.59903
20  <pt<25 	5<chiso range<11 	46.2307	31.6741	9.89718	1.47078
20  <pt<25 	5<chiso range<12 	46.2307	33.0069	9.81368	1.34749
20  <pt<25 	5<chiso range<13 	46.2307	33.3687	9.78515	1.31444
20  <pt<25 	6<chiso range<11 	46.2307	32.7507	9.83001	1.37131
20  <pt<25 	6<chiso range<12 	46.2307	34.1839	9.74075	1.23674
20  <pt<25 	6<chiso range<13 	46.2307	34.466	9.71763	1.21066
20  <pt<25 	7<chiso range<12 	46.2307	34.5089	9.72015	1.20593
20  <pt<25 	7<chiso range<13 	46.2307	34.8081	9.69487	1.17821
20  <pt<25 	8<chiso range<13 	46.2307	35.6606	9.623	1.09842
#######################################################################################
25  <pt<50 	3<chiso range<8 	72.7354	50.0814	11.8564	1.9107
25  <pt<50 	3<chiso range<9 	72.7354	51.5301	11.7473	1.80512
25  <pt<50 	3<chiso range<10 	72.7354	52.8708	11.6444	1.70594
25  <pt<50 	3<chiso range<11 	72.7354	54.4607	11.5295	1.58504
25  <pt<50 	3<chiso range<12 	72.7354	55.3583	11.4651	1.51565
25  <pt<50 	3<chiso range<13 	72.7354	56.7568	11.3668	1.40573
25  <pt<50 	4<chiso range<9 	72.7354	52.6542	11.6643	1.72159
25  <pt<50 	4<chiso range<10 	72.7354	54.0339	11.5595	1.61785
25  <pt<50 	4<chiso range<11 	72.7354	55.7196	11.4395	1.48746
25  <pt<50 	4<chiso range<12 	72.7354	56.614	11.3763	1.4171
25  <pt<50 	4<chiso range<13 	72.7354	58.0579	11.2776	1.30147
25  <pt<50 	5<chiso range<10 	72.7354	53.9472	11.5609	1.62515
25  <pt<50 	5<chiso range<11 	72.7354	55.9664	11.4185	1.46858
25  <pt<50 	5<chiso range<12 	72.7354	56.9821	11.3477	1.38824
25  <pt<50 	5<chiso range<13 	72.7354	58.5976	11.2397	1.25784
25  <pt<50 	6<chiso range<11 	72.7354	58.1464	11.251	1.29668
25  <pt<50 	6<chiso range<12 	72.7354	59.0424	11.1951	1.22312
25  <pt<50 	6<chiso range<13 	72.7354	60.6325	11.0935	1.09099
25  <pt<50 	7<chiso range<12 	72.7354	61.4229	11.0405	1.02464
25  <pt<50 	7<chiso range<13 	72.7354	62.9149	10.9488	0.896948
25  <pt<50 	8<chiso range<13 	72.7354	64.2443	10.8752	0.780776
#######################################################################################
50  <pt<80 	3<chiso range<8 	15.9394	10.5401	8.86921	0.608769
50  <pt<80 	3<chiso range<9 	15.9394	10.5401	8.86921	0.608769
50  <pt<80 	3<chiso range<10 	15.9394	10.5401	8.86921	0.608769
50  <pt<80 	3<chiso range<11 	15.9394	10.5401	8.86921	0.608769
50  <pt<80 	3<chiso range<12 	15.9394	10.5401	8.86921	0.608769
50  <pt<80 	3<chiso range<13 	15.9394	10.5401	8.86921	0.608769
50  <pt<80 	4<chiso range<9 	15.9394	10.5401	8.86921	0.608769
50  <pt<80 	4<chiso range<10 	15.9394	10.5401	8.86921	0.608769
50  <pt<80 	4<chiso range<11 	15.9394	10.5401	8.86921	0.608769
50  <pt<80 	4<chiso range<12 	15.9394	10.5401	8.86921	0.608769
50  <pt<80 	4<chiso range<13 	15.9394	10.5401	8.86921	0.608769
50  <pt<80 	5<chiso range<10 	15.9394	10.5401	8.86921	0.608769
50  <pt<80 	5<chiso range<11 	15.9394	10.5401	8.86921	0.608769
50  <pt<80 	5<chiso range<12 	15.9394	10.5401	8.86921	0.608769
50  <pt<80 	5<chiso range<13 	15.9394	10.5401	8.86921	0.608769
50  <pt<80 	6<chiso range<11 	15.9394	10.5401	8.86921	0.608769
50  <pt<80 	6<chiso range<12 	15.9394	10.5401	8.86921	0.608769
50  <pt<80 	6<chiso range<13 	15.9394	10.5401	8.86921	0.608769
50  <pt<80 	7<chiso range<12 	15.9394	10.5401	8.86921	0.608769
50  <pt<80 	7<chiso range<13 	15.9394	10.5401	8.86921	0.608769
50  <pt<80 	8<chiso range<13 	15.9394	10.5401	8.86921	0.608769
#######################################################################################
