pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	69.4208	44.0031	25.3635	41.9351	27.1899	0.340497	0.172971
20 <pt<25 	3<chiso range<9 	69.4208	44.0031	25.3635	41.5934	27.5534	0.400341	0.208346
20 <pt<25 	3<chiso range<10 	69.4208	44.0031	25.3635	40.9798	28.1432	0.510026	0.266064
20 <pt<25 	3<chiso range<11 	69.4208	44.0031	25.3635	39.4967	29.5913	0.787491	0.409017
20 <pt<25 	3<chiso range<12 	69.4208	44.0031	25.3635	38.2232	30.851	1.04205	0.535648
20 <pt<25 	3<chiso range<13 	69.4208	44.0031	25.3635	37.6915	31.383	1.15441	0.590697
20 <pt<25 	4<chiso range<9 	69.4208	44.0031	25.3635	39.9422	29.2012	0.701019	0.369415
20 <pt<25 	4<chiso range<10 	69.4208	44.0031	25.3635	39.4299	29.6835	0.800381	0.418175
20 <pt<25 	4<chiso range<11 	69.4208	44.0031	25.3635	37.883	31.1967	1.11318	0.571054
20 <pt<25 	4<chiso range<12 	69.4208	44.0031	25.3635	36.5865	32.4833	1.39474	0.703412
20 <pt<25 	4<chiso range<13 	69.4208	44.0031	25.3635	36.1196	32.9477	1.50253	0.752954
20 <pt<25 	5<chiso range<10 	69.4208	44.0031	25.3635	37.7913	31.3438	1.13034	0.584476
20 <pt<25 	5<chiso range<11 	69.4208	44.0031	25.3635	36.1493	32.9526	1.49252	0.751158
20 <pt<25 	5<chiso range<12 	69.4208	44.0031	25.3635	34.7852	34.269	1.81931	0.890799
20 <pt<25 	5<chiso range<13 	69.4208	44.0031	25.3635	34.419	34.624	1.91324	0.930231
20 <pt<25 	6<chiso range<11 	69.4208	44.0031	25.3635	34.6501	34.3962	1.85257	0.904086
20 <pt<25 	6<chiso range<12 	69.4208	44.0031	25.3635	33.3035	35.7571	2.2025	1.05082
20 <pt<25 	6<chiso range<13 	69.4208	44.0031	25.3635	33.0502	35.988	2.27417	1.07779
20 <pt<25 	7<chiso range<12 	69.4208	44.0031	25.3635	32.97	36.073	2.29492	1.08621
