pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	229.886	54.3018	0.236212	0.510076	0.0583997	4.68948
20 <pt<25 	3<chiso range<9 	229.886	54.3018	0.236212	0.502465	0.0575873	4.62347
20 <pt<25 	3<chiso range<10 	229.886	54.3018	0.236212	0.469925	0.0541046	4.31965
20 <pt<25 	3<chiso range<11 	229.886	54.3018	0.236212	0.482089	0.0556113	4.42135
20 <pt<25 	3<chiso range<12 	229.886	54.3018	0.236212	0.471159	0.0543117	4.3259
20 <pt<25 	3<chiso range<13 	229.886	54.3018	0.236212	0.458811	0.0527892	4.21676
20 <pt<25 	4<chiso range<9 	229.886	54.3018	0.236212	0.535974	0.0614509	4.87808
20 <pt<25 	4<chiso range<10 	229.886	54.3018	0.236212	0.490716	0.0566221	4.49478
20 <pt<25 	4<chiso range<11 	229.886	54.3018	0.236212	0.503433	0.058184	4.59269
20 <pt<25 	4<chiso range<12 	229.886	54.3018	0.236212	0.488998	0.0564955	4.47445
20 <pt<25 	4<chiso range<13 	229.886	54.3018	0.236212	0.472694	0.0544502	4.34309
20 <pt<25 	5<chiso range<10 	229.886	54.3018	0.236212	0.51318	0.0599441	4.62044
20 <pt<25 	5<chiso range<11 	229.886	54.3018	0.236212	0.526736	0.0615846	4.71748
20 <pt<25 	5<chiso range<12 	229.886	54.3018	0.236212	0.506872	0.0591603	4.57503
20 <pt<25 	5<chiso range<13 	229.886	54.3018	0.236212	0.485952	0.0564518	4.42395
20 <pt<25 	6<chiso range<11 	229.886	54.3018	0.236212	0.471575	0.0561004	4.19539
20 <pt<25 	6<chiso range<12 	229.886	54.3018	0.236212	0.455205	0.0539092	4.06226
20 <pt<25 	6<chiso range<13 	229.886	54.3018	0.236212	0.43725	0.0514269	3.9092
20 <pt<25 	7<chiso range<12 	229.886	54.3018	0.236212	0.442368	0.052048	3.96088
20 <pt<25 	7<chiso range<13 	229.886	54.3018	0.236212	0.421042	0.0491795	3.75828
20 <pt<25 	8<chiso range<13 	229.886	54.3018	0.236212	0.38017	0.0441468	3.2609
#######################################################################################
25 <pt<30 	3<chiso range<8 	106.039	25.7279	0.242627	0.452814	0.0751762	2.79593
25 <pt<30 	3<chiso range<9 	106.039	25.7279	0.242627	0.448414	0.0745822	2.7592
