pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	54.3018	44.7091	4.93686	1.94308
20 <pt<25 	3<chiso range<9 	54.3018	44.042	4.86856	2.10736
20 <pt<25 	3<chiso range<10 	54.3018	41.1898	4.57568	2.86559
20 <pt<25 	3<chiso range<11 	54.3018	42.256	4.70377	2.56088
20 <pt<25 	3<chiso range<12 	54.3018	41.298	4.5936	2.83085
20 <pt<25 	3<chiso range<13 	54.3018	40.2156	4.46421	3.15536
20 <pt<25 	4<chiso range<9 	54.3018	46.9791	5.19534	1.40947
20 <pt<25 	4<chiso range<10 	54.3018	43.0122	4.78937	2.35722
20 <pt<25 	4<chiso range<11 	54.3018	44.1268	4.92206	2.06722
20 <pt<25 	4<chiso range<12 	54.3018	42.8615	4.77911	2.39381
20 <pt<25 	4<chiso range<13 	54.3018	41.4325	4.60508	2.79459
20 <pt<25 	5<chiso range<10 	54.3018	44.9811	5.07488	1.83663
20 <pt<25 	5<chiso range<11 	54.3018	46.1694	5.21412	1.55969
20 <pt<25 	5<chiso range<12 	54.3018	44.4283	5.00824	1.97145
20 <pt<25 	5<chiso range<13 	54.3018	42.5945	4.77732	2.4506
20 <pt<25 	6<chiso range<11 	54.3018	41.3344	4.7556	2.72676
20 <pt<25 	6<chiso range<12 	54.3018	39.8996	4.56842	3.15256
20 <pt<25 	6<chiso range<13 	54.3018	38.3258	4.35595	3.66763
20 <pt<25 	7<chiso range<12 	54.3018	38.7744	4.40868	3.52201
20 <pt<25 	7<chiso range<13 	54.3018	36.9051	4.16354	4.17834
20 <pt<25 	8<chiso range<13 	54.3018	33.3226	3.73588	5.6156
#######################################################################################
25 <pt<30 	3<chiso range<8 	25.7279	21.5824	3.47861	1.19171
25 <pt<30 	3<chiso range<9 	25.7279	21.3727	3.45151	1.26182
25 <pt<30 	3<chiso range<10 	25.7279	21.1239	3.40702	1.35133
25 <pt<30 	3<chiso range<11 	25.7279	20.4705	3.29887	1.5937
25 <pt<30 	3<chiso range<12 	25.7279	20.5075	3.29633	1.5837
25 <pt<30 	3<chiso range<13 	25.7279	20.7515	3.33792	1.49087
25 <pt<30 	4<chiso range<9 	25.7279	20.9099	3.37647	1.42693
25 <pt<30 	4<chiso range<10 	25.7279	20.6728	3.33358	1.51642
25 <pt<30 	4<chiso range<11 	25.7279	19.9741	3.21788	1.78807
25 <pt<30 	4<chiso range<12 	25.7279	20.0559	3.22204	1.76038
25 <pt<30 	4<chiso range<13 	25.7279	20.3538	3.27247	1.64222
25 <pt<30 	5<chiso range<10 	25.7279	20.4444	3.30726	1.59755
25 <pt<30 	5<chiso range<11 	25.7279	19.6333	3.1707	1.92216
25 <pt<30 	5<chiso range<12 	25.7279	19.7677	3.18053	1.87396
25 <pt<30 	5<chiso range<13 	25.7279	20.1336	3.24233	1.7254
25 <pt<30 	6<chiso range<11 	25.7279	20.4755	3.31251	1.58563
25 <pt<30 	6<chiso range<12 	25.7279	20.5393	3.30639	1.56926
25 <pt<30 	6<chiso range<13 	25.7279	20.9484	3.37578	1.41582
25 <pt<30 	7<chiso range<12 	25.7279	19.138	3.08883	2.13346
25 <pt<30 	7<chiso range<13 	25.7279	19.7418	3.1899	1.87658
25 <pt<30 	8<chiso range<13 	25.7279	19.4561	3.12092	2.0096
#######################################################################################
30 <pt<40 	3<chiso range<8 	25.3195	16.7475	3.10041	2.7648
30 <pt<40 	3<chiso range<9 	25.3195	15.6291	2.89653	3.34552
30 <pt<40 	3<chiso range<10 	25.3195	15.5852	2.88368	3.37565
30 <pt<40 	3<chiso range<11 	25.3195	15.6866	2.90776	3.31282
30 <pt<40 	3<chiso range<12 	25.3195	15.8418	2.93843	3.22543
30 <pt<40 	3<chiso range<13 	25.3195	15.0724	2.79218	3.66993
30 <pt<40 	4<chiso range<9 	25.3195	15.3919	2.86514	3.46496
30 <pt<40 	4<chiso range<10 	25.3195	15.3707	2.85354	3.48648
30 <pt<40 	4<chiso range<11 	25.3195	15.5112	2.88537	3.39932
30 <pt<40 	4<chiso range<12 	25.3195	15.7076	2.92346	3.28785
30 <pt<40 	4<chiso range<13 	25.3195	14.8212	2.75337	3.81289
30 <pt<40 	5<chiso range<10 	25.3195	15.0359	2.79919	3.67378
30 <pt<40 	5<chiso range<11 	25.3195	15.2495	2.84541	3.53903
30 <pt<40 	5<chiso range<12 	25.3195	15.5135	2.8957	3.3864
30 <pt<40 	5<chiso range<13 	25.3195	14.4713	2.69409	4.02667
30 <pt<40 	6<chiso range<11 	25.3195	14.0758	2.62797	4.27847
30 <pt<40 	6<chiso range<12 	25.3195	14.4969	2.70742	3.99738
30 <pt<40 	6<chiso range<13 	25.3195	13.4455	2.50358	4.74281
30 <pt<40 	7<chiso range<12 	25.3195	14.0227	2.62601	4.30189
30 <pt<40 	7<chiso range<13 	25.3195	12.7594	2.37934	5.27882
30 <pt<40 	8<chiso range<13 	25.3195	12.353	2.29095	5.65988
#######################################################################################
40 <pt<50 	3<chiso range<8 	7.75914	9.51984	2.87338	0.612763
40 <pt<50 	3<chiso range<9 	7.75914	8.46912	2.57233	0.276007
40 <pt<50 	3<chiso range<10 	7.75914	8.1726	2.49268	0.16587
40 <pt<50 	3<chiso range<11 	7.75914	7.74526	2.36598	0.00586649
40 <pt<50 	3<chiso range<12 	7.75914	7.41861	2.26584	0.150289
40 <pt<50 	3<chiso range<13 	7.75914	7.26732	2.21972	0.221568
40 <pt<50 	4<chiso range<9 	7.75914	8.65142	2.64344	0.337545
40 <pt<50 	4<chiso range<10 	7.75914	8.23468	2.52747	0.188149
40 <pt<50 	4<chiso range<11 	7.75914	7.70251	2.36604	0.0239345
40 <pt<50 	4<chiso range<12 	7.75914	7.31925	2.24599	0.195856
40 <pt<50 	4<chiso range<13 	7.75914	7.14996	2.1932	0.277759
40 <pt<50 	5<chiso range<10 	7.75914	7.23683	2.21288	0.236032
40 <pt<50 	5<chiso range<11 	7.75914	6.82574	2.09048	0.4465
40 <pt<50 	5<chiso range<12 	7.75914	6.53375	1.99976	0.612769
40 <pt<50 	5<chiso range<13 	7.75914	6.42295	1.96576	0.679732
40 <pt<50 	6<chiso range<11 	7.75914	6.07506	1.86286	0.904029
40 <pt<50 	6<chiso range<12 	7.75914	5.86017	1.79536	1.05771
40 <pt<50 	6<chiso range<13 	7.75914	5.8042	1.77774	1.09968
40 <pt<50 	7<chiso range<12 	7.75914	6.03077	1.85644	0.931013
40 <pt<50 	7<chiso range<13 	7.75914	5.94407	1.828	0.992927
40 <pt<50 	8<chiso range<13 	7.75914	5.0764	1.56785	1.71109
#######################################################################################
50 <pt<70 	3<chiso range<8 	7.08341	3.66565	1.52562	2.24024
50 <pt<70 	3<chiso range<9 	7.08341	3.80972	1.58083	2.07087
50 <pt<70 	3<chiso range<10 	7.08341	3.90158	1.62741	1.95515
50 <pt<70 	3<chiso range<11 	7.08341	3.77677	1.57467	2.09989
50 <pt<70 	3<chiso range<12 	7.08341	3.80764	1.5919	2.05777
50 <pt<70 	3<chiso range<13 	7.08341	4.07295	1.69369	1.77746
50 <pt<70 	4<chiso range<9 	7.08341	4.2375	1.75441	1.62215
50 <pt<70 	4<chiso range<10 	7.08341	4.26175	1.7765	1.58833
50 <pt<70 	4<chiso range<11 	7.08341	4.06215	1.6926	1.78498
50 <pt<70 	4<chiso range<12 	7.08341	4.06608	1.69985	1.77506
50 <pt<70 	4<chiso range<13 	7.08341	4.35713	1.81015	1.50611
50 <pt<70 	5<chiso range<10 	7.08341	4.47471	1.86355	1.39986
50 <pt<70 	5<chiso range<11 	7.08341	4.1901	1.74442	1.65861
50 <pt<70 	5<chiso range<12 	7.08341	4.17725	1.74625	1.66423
50 <pt<70 	5<chiso range<13 	7.08341	4.51458	1.87327	1.37131
50 <pt<70 	6<chiso range<11 	7.08341	4.2066	1.74603	1.64763
50 <pt<70 	6<chiso range<12 	7.08341	4.19002	1.7479	1.65535
50 <pt<70 	6<chiso range<13 	7.08341	4.57176	1.89205	1.32748
50 <pt<70 	7<chiso range<12 	7.08341	4.16046	1.74415	1.67586
50 <pt<70 	7<chiso range<13 	7.08341	4.61723	1.91544	1.28753
50 <pt<70 	8<chiso range<13 	7.08341	4.58695	1.90535	1.31024
#######################################################################################
70 <pt<100 	3<chiso range<8 	1.17537	1.15831	0.820337	0.0207963
70 <pt<100 	3<chiso range<9 	1.17537	1.35641	0.96117	0.188354
70 <pt<100 	3<chiso range<10 	1.17537	1.38906	0.982514	0.217493
70 <pt<100 	3<chiso range<11 	1.17537	1.35587	0.959599	0.188099
70 <pt<100 	3<chiso range<12 	1.17537	1.39855	0.98942	0.225566
70 <pt<100 	3<chiso range<13 	1.17537	1.31209	0.930014	0.147009
70 <pt<100 	4<chiso range<9 	1.17537	1.74851	1.22523	0.467782
70 <pt<100 	4<chiso range<10 	1.17537	1.71431	1.20123	0.448657
70 <pt<100 	4<chiso range<11 	1.17537	1.63462	1.14751	0.400214
70 <pt<100 	4<chiso range<12 	1.17537	1.66888	1.17156	0.421242
70 <pt<100 	4<chiso range<13 	1.17537	1.54807	1.08974	0.342008
70 <pt<100 	5<chiso range<10 	1.17537	1.3739	0.970598	0.204544
70 <pt<100 	5<chiso range<11 	1.17537	1.33104	0.941205	0.165394
70 <pt<100 	5<chiso range<12 	1.17537	1.38941	0.982025	0.217958
70 <pt<100 	5<chiso range<13 	1.17537	1.2772	0.904991	0.11252
70 <pt<100 	6<chiso range<11 	1.17537	1.35566	0.957186	0.188354
70 <pt<100 	6<chiso range<12 	1.17537	1.42287	1.0042	0.246465
70 <pt<100 	6<chiso range<13 	1.17537	1.28883	0.912378	0.124356
70 <pt<100 	7<chiso range<12 	1.17537	1.68221	1.1931	0.424809
70 <pt<100 	7<chiso range<13 	1.17537	1.49259	1.06231	0.298613
70 <pt<100 	8<chiso range<13 	1.17537	1.52688	1.08264	0.324679
#######################################################################################
100 <pt<120 	3<chiso range<8 	0.410672	0.151982	0.212343	1.21826
100 <pt<120 	3<chiso range<9 	0.410672	0.2328	0.319765	0.556259
100 <pt<120 	3<chiso range<10 	0.410672	0.202463	0.280894	0.741237
100 <pt<120 	3<chiso range<11 	0.410672	0.212559	0.293594	0.674786
100 <pt<120 	3<chiso range<12 	0.410672	0.201864	0.277842	0.751535
100 <pt<120 	3<chiso range<13 	0.410672	0.164188	0.226764	1.08696
100 <pt<120 	4<chiso range<9 	0.410672	0.25694	0.355602	0.432315
100 <pt<120 	4<chiso range<10 	0.410672	0.225058	0.312897	0.593211
100 <pt<120 	4<chiso range<11 	0.410672	0.231182	0.319038	0.562598
100 <pt<120 	4<chiso range<12 	0.410672	0.218257	0.300647	0.640003
100 <pt<120 	4<chiso range<13 	0.410672	0.173829	0.240433	0.985069
100 <pt<120 	5<chiso range<10 	0.410672	0.32944	0.469897	0.172872
100 <pt<120 	5<chiso range<11 	0.410672	0.299643	0.417479	0.265951
100 <pt<120 	5<chiso range<12 	0.410672	0.288855	0.398904	0.305379
100 <pt<120 	5<chiso range<13 	0.410672	0.221932	0.306864	0.615061
100 <pt<120 	6<chiso range<11 	0.410672	0.367888	0.505754	0.0845945
100 <pt<120 	6<chiso range<12 	0.410672	0.359068	0.487695	0.105812
100 <pt<120 	6<chiso range<13 	0.410672	0.259565	0.356629	0.423709
100 <pt<120 	7<chiso range<12 	0.410672	0.430867	0.609401	0.0331391
100 <pt<120 	7<chiso range<13 	0.410672	0.273308	0.383469	0.358214
100 <pt<120 	8<chiso range<13 	0.410672	0.188966	0.256046	0.865883
#######################################################################################
120 <pt<400 	3<chiso range<8 	0.196045	0.0601735	0.255151	0.532514
120 <pt<400 	3<chiso range<9 	0.196045	0.0733193	0.308363	0.397991
120 <pt<400 	3<chiso range<10 	0.196045	0.678193	1.09625	0.439816
120 <pt<400 	3<chiso range<11 	0.196045	0.0705029	0.293117	0.4283
120 <pt<400 	3<chiso range<12 	0.196045	0.060332	0.252561	0.537347
120 <pt<400 	3<chiso range<13 	0.196045	0.0792869	0.329689	0.354146
