pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	35.8359	44.4852	11.4802	0.75341
20  <pt<25 	3<chiso range<9 	35.8359	45.2341	11.4457	0.821112
20  <pt<25 	3<chiso range<10 	35.8359	48.4602	11.3013	1.11707
20  <pt<25 	3<chiso range<11 	35.8359	47.57	11.3964	1.02963
20  <pt<25 	3<chiso range<12 	35.8359	48.4401	11.3234	1.11311
20  <pt<25 	3<chiso range<13 	35.8359	49.3301	11.23	1.20162
20  <pt<25 	4<chiso range<9 	35.8359	42.3648	11.6576	0.560055
20  <pt<25 	4<chiso range<10 	35.8359	46.8549	11.4514	0.96224
20  <pt<25 	4<chiso range<11 	35.8359	45.8832	11.549	0.869971
20  <pt<25 	4<chiso range<12 	35.8359	47.0912	11.4571	0.982386
20  <pt<25 	4<chiso range<13 	35.8359	48.2193	11.3265	1.09331
20  <pt<25 	5<chiso range<10 	35.8359	46.0501	11.7263	0.871051
20  <pt<25 	5<chiso range<11 	35.8359	44.9341	11.8251	0.769397
20  <pt<25 	5<chiso range<12 	35.8359	46.4812	11.6806	0.911366
20  <pt<25 	5<chiso range<13 	35.8359	47.8463	11.4997	1.04441
20  <pt<25 	6<chiso range<11 	35.8359	51.309	11.6613	1.32688
20  <pt<25 	6<chiso range<12 	35.8359	52.2932	11.5142	1.4293
20  <pt<25 	6<chiso range<13 	35.8359	53.1981	11.3357	1.53164
20  <pt<25 	7<chiso range<12 	35.8359	52.749	11.3729	1.48714
20  <pt<25 	7<chiso range<13 	35.8359	53.9203	11.1726	1.61864
20  <pt<25 	8<chiso range<13 	35.8359	56.9305	10.8827	1.93836
#######################################################################################
25  <pt<30 	3<chiso range<8 	23.1041	26.5234	8.22771	0.415583
25  <pt<30 	3<chiso range<9 	23.1041	26.8069	8.22292	0.450302
25  <pt<30 	3<chiso range<10 	23.1041	26.9952	8.19021	0.475092
25  <pt<30 	3<chiso range<11 	23.1041	27.6034	8.12301	0.553896
25  <pt<30 	3<chiso range<12 	23.1041	27.4617	8.10696	0.537513
25  <pt<30 	3<chiso range<13 	23.1041	27.2521	8.13473	0.509912
25  <pt<30 	4<chiso range<9 	23.1041	27.2519	8.17925	0.507113
25  <pt<30 	4<chiso range<10 	23.1041	27.4234	8.14716	0.53016
25  <pt<30 	4<chiso range<11 	23.1041	28.0734	8.07579	0.615333
25  <pt<30 	4<chiso range<12 	23.1041	27.8785	8.06229	0.592189
25  <pt<30 	4<chiso range<13 	23.1041	27.6196	8.09517	0.557802
25  <pt<30 	5<chiso range<10 	23.1041	27.7776	8.15003	0.573433
25  <pt<30 	5<chiso range<11 	23.1041	28.5085	8.06307	0.670266
25  <pt<30 	5<chiso range<12 	23.1041	28.2242	8.04747	0.636237
25  <pt<30 	5<chiso range<13 	23.1041	27.9033	8.08725	0.593428
25  <pt<30 	6<chiso range<11 	23.1041	27.7428	8.15401	0.568886
25  <pt<30 	6<chiso range<12 	23.1041	27.4784	8.12244	0.538545
25  <pt<30 	6<chiso range<13 	23.1041	27.1227	8.16805	0.49199
25  <pt<30 	7<chiso range<12 	23.1041	28.9557	8.01557	0.730029
25  <pt<30 	7<chiso range<13 	23.1041	28.4123	8.07778	0.657136
25  <pt<30 	8<chiso range<13 	23.1041	28.4048	7.99724	0.662816
#######################################################################################
30  <pt<40 	3<chiso range<8 	27.9962	35.8226	8.14261	0.961166
30  <pt<40 	3<chiso range<9 	27.9962	36.9905	8.05143	1.11711
30  <pt<40 	3<chiso range<10 	27.9962	36.9832	8.03735	1.11815
30  <pt<40 	3<chiso range<11 	27.9962	36.9426	8.05761	1.1103
30  <pt<40 	3<chiso range<12 	27.9962	36.8111	8.07568	1.09154
30  <pt<40 	3<chiso range<13 	27.9962	37.5217	7.99951	1.19076
30  <pt<40 	4<chiso range<9 	27.9962	37.3615	8.05701	1.16238
30  <pt<40 	4<chiso range<10 	27.9962	37.2991	8.03867	1.15727
30  <pt<40 	4<chiso range<11 	27.9962	37.2256	8.06333	1.14461
30  <pt<40 	4<chiso range<12 	27.9962	37.0497	8.08438	1.11988
30  <pt<40 	4<chiso range<13 	27.9962	37.8568	7.99447	1.23343
30  <pt<40 	5<chiso range<10 	27.9962	37.7166	8.0258	1.21114
30  <pt<40 	5<chiso range<11 	27.9962	37.5799	8.05836	1.18929
30  <pt<40 	5<chiso range<12 	27.9962	37.3319	8.08433	1.15479
30  <pt<40 	5<chiso range<13 	27.9962	38.2684	7.97679	1.28776
30  <pt<40 	6<chiso range<11 	27.9962	38.7495	7.95971	1.35097
30  <pt<40 	6<chiso range<12 	27.9962	38.3447	7.99769	1.29394
30  <pt<40 	6<chiso range<13 	27.9962	39.2827	7.89184	1.43015
30  <pt<40 	7<chiso range<12 	27.9962	38.8986	7.97274	1.36746
30  <pt<40 	7<chiso range<13 	27.9962	40.0063	7.84491	1.53094
30  <pt<40 	8<chiso range<13 	27.9962	40.2074	7.77931	1.5697
#######################################################################################
40  <pt<50 	3<chiso range<8 	15.9602	14.2696	5.82027	0.290468
40  <pt<50 	3<chiso range<9 	15.9602	15.3812	5.67099	0.102099
40  <pt<50 	3<chiso range<10 	15.9602	15.7117	5.63938	0.0440651
40  <pt<50 	3<chiso range<11 	15.9602	16.139	5.57606	0.0320657
40  <pt<50 	3<chiso range<12 	15.9602	16.4526	5.52368	0.0891435
40  <pt<50 	3<chiso range<13 	15.9602	16.5996	5.50041	0.116246
40  <pt<50 	4<chiso range<9 	15.9602	15.2748	5.72852	0.119647
40  <pt<50 	4<chiso range<10 	15.9602	15.723	5.67679	0.0417842
40  <pt<50 	4<chiso range<11 	15.9602	16.243	5.59224	0.0505701
40  <pt<50 	4<chiso range<12 	15.9602	16.602	5.52715	0.116118
40  <pt<50 	4<chiso range<13 	15.9602	16.7619	5.49943	0.145779
40  <pt<50 	5<chiso range<10 	15.9602	16.6425	5.50012	0.124052
40  <pt<50 	5<chiso range<11 	15.9602	17.0505	5.44293	0.200315
40  <pt<50 	5<chiso range<12 	15.9602	17.3353	5.39922	0.254685
40  <pt<50 	5<chiso range<13 	15.9602	17.4431	5.38369	0.275443
40  <pt<50 	6<chiso range<11 	15.9602	17.8041	5.34183	0.345181
40  <pt<50 	6<chiso range<12 	15.9602	17.9988	5.30843	0.384031
40  <pt<50 	6<chiso range<13 	15.9602	18.0487	5.29962	0.394085
40  <pt<50 	7<chiso range<12 	15.9602	17.8897	5.3494	0.360695
40  <pt<50 	7<chiso range<13 	15.9602	17.9616	5.33364	0.375241
40  <pt<50 	8<chiso range<13 	15.9602	18.8689	5.23739	0.555372
#######################################################################################
50  <pt<70 	3<chiso range<8 	15.3726	18.5755	4.96137	0.645568
50  <pt<70 	3<chiso range<9 	15.3726	18.4159	4.97813	0.611334
50  <pt<70 	3<chiso range<10 	15.3726	18.3601	5.00558	0.596834
50  <pt<70 	3<chiso range<11 	15.3726	18.4789	4.98367	0.623296
50  <pt<70 	3<chiso range<12 	15.3726	18.4664	4.99511	0.619366
50  <pt<70 	3<chiso range<13 	15.3726	18.1729	5.0276	0.556985
50  <pt<70 	4<chiso range<9 	15.3726	17.9835	5.04548	0.517473
50  <pt<70 	4<chiso range<10 	15.3726	18.004	5.06664	0.519358
50  <pt<70 	4<chiso range<11 	15.3726	18.1964	5.03059	0.561326
50  <pt<70 	4<chiso range<12 	15.3726	18.2139	5.03921	0.563838
50  <pt<70 	4<chiso range<13 	15.3726	17.8888	5.07528	0.495776
50  <pt<70 	5<chiso range<10 	15.3726	17.7898	5.1028	0.473701
50  <pt<70 	5<chiso range<11 	15.3726	18.0659	5.05083	0.533239
50  <pt<70 	5<chiso range<12 	15.3726	18.1051	5.05864	0.540165
50  <pt<70 	5<chiso range<13 	15.3726	17.7267	5.10067	0.461528
50  <pt<70 	6<chiso range<11 	15.3726	18.0301	5.04634	0.526619
50  <pt<70 	6<chiso range<12 	15.3726	18.0789	5.05577	0.535289
50  <pt<70 	6<chiso range<13 	15.3726	17.6536	5.10437	0.446872
50  <pt<70 	7<chiso range<12 	15.3726	18.1395	5.06259	0.546538
50  <pt<70 	7<chiso range<13 	15.3726	17.6246	5.11905	0.439925
50  <pt<70 	8<chiso range<13 	15.3726	17.6628	5.11682	0.447583
#######################################################################################
70  <pt<100 	3<chiso range<8 	8.48005	8.34026	3.03006	0.0461344
70  <pt<100 	3<chiso range<9 	8.48005	8.13534	3.07519	0.112094
70  <pt<100 	3<chiso range<10 	8.48005	8.10139	3.08243	0.122845
70  <pt<100 	3<chiso range<11 	8.48005	8.13319	3.07375	0.112846
70  <pt<100 	3<chiso range<12 	8.48005	8.09305	3.08531	0.125433
70  <pt<100 	3<chiso range<13 	8.48005	8.17648	3.06314	0.0991042
70  <pt<100 	4<chiso range<9 	8.48005	7.74461	3.17697	0.231491
70  <pt<100 	4<chiso range<10 	8.48005	7.77689	3.16647	0.222064
70  <pt<100 	4<chiso range<11 	8.48005	7.85609	3.14479	0.198411
70  <pt<100 	4<chiso range<12 	8.48005	7.82378	3.15505	0.208006
