pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	229.886	54.3018	35.8359	44.7091	44.4852	1.94308	0.75341
20 <pt<25 	3<chiso range<9 	229.886	54.3018	35.8359	44.042	45.2341	2.10736	0.821112
20 <pt<25 	3<chiso range<10 	229.886	54.3018	35.8359	41.1898	48.4602	2.86559	1.11707
20 <pt<25 	3<chiso range<11 	229.886	54.3018	35.8359	42.256	47.57	2.56088	1.02963
20 <pt<25 	3<chiso range<12 	229.886	54.3018	35.8359	41.298	48.4401	2.83085	1.11311
20 <pt<25 	3<chiso range<13 	229.886	54.3018	35.8359	40.2156	49.3301	3.15536	1.20162
20 <pt<25 	4<chiso range<9 	229.886	54.3018	35.8359	46.9791	42.3648	1.40947	0.560055
20 <pt<25 	4<chiso range<10 	229.886	54.3018	35.8359	43.0122	46.8549	2.35722	0.96224
20 <pt<25 	4<chiso range<11 	229.886	54.3018	35.8359	44.1268	45.8832	2.06722	0.869971
20 <pt<25 	4<chiso range<12 	229.886	54.3018	35.8359	42.8615	47.0912	2.39381	0.982386
20 <pt<25 	4<chiso range<13 	229.886	54.3018	35.8359	41.4325	48.2193	2.79459	1.09331
20 <pt<25 	5<chiso range<10 	229.886	54.3018	35.8359	44.9811	46.0501	1.83663	0.871051
20 <pt<25 	5<chiso range<11 	229.886	54.3018	35.8359	46.1694	44.9341	1.55969	0.769397
20 <pt<25 	5<chiso range<12 	229.886	54.3018	35.8359	44.4283	46.4812	1.97145	0.911366
20 <pt<25 	5<chiso range<13 	229.886	54.3018	35.8359	42.5945	47.8463	2.4506	1.04441
20 <pt<25 	6<chiso range<11 	229.886	54.3018	35.8359	41.3344	51.309	2.72676	1.32688
20 <pt<25 	6<chiso range<12 	229.886	54.3018	35.8359	39.8996	52.2932	3.15256	1.4293
20 <pt<25 	6<chiso range<13 	229.886	54.3018	35.8359	38.3258	53.1981	3.66763	1.53164
20 <pt<25 	7<chiso range<12 	229.886	54.3018	35.8359	38.7744	52.749	3.52201	1.48714
20 <pt<25 	7<chiso range<13 	229.886	54.3018	35.8359	36.9051	53.9203	4.17834	1.61864
20 <pt<25 	8<chiso range<13 	229.886	54.3018	35.8359	33.3226	56.9305	5.6156	1.93836
#######################################################################################
25 <pt<30 	3<chiso range<8 	106.039	25.7279	23.1041	21.5824	26.5234	1.19171	0.415583
25 <pt<30 	3<chiso range<9 	106.039	25.7279	23.1041	21.3727	26.8069	1.26182	0.450302
25 <pt<30 	3<chiso range<10 	106.039	25.7279	23.1041	21.1239	26.9952	1.35133	0.475092
25 <pt<30 	3<chiso range<11 	106.039	25.7279	23.1041	20.4705	27.6034	1.5937	0.553896
25 <pt<30 	3<chiso range<12 	106.039	25.7279	23.1041	20.5075	27.4617	1.5837	0.537513
25 <pt<30 	3<chiso range<13 	106.039	25.7279	23.1041	20.7515	27.2521	1.49087	0.509912
25 <pt<30 	4<chiso range<9 	106.039	25.7279	23.1041	20.9099	27.2519	1.42693	0.507113
25 <pt<30 	4<chiso range<10 	106.039	25.7279	23.1041	20.6728	27.4234	1.51642	0.53016
25 <pt<30 	4<chiso range<11 	106.039	25.7279	23.1041	19.9741	28.0734	1.78807	0.615333
25 <pt<30 	4<chiso range<12 	106.039	25.7279	23.1041	20.0559	27.8785	1.76038	0.592189
25 <pt<30 	4<chiso range<13 	106.039	25.7279	23.1041	20.3538	27.6196	1.64222	0.557802
25 <pt<30 	5<chiso range<10 	106.039	25.7279	23.1041	20.4444	27.7776	1.59755	0.573433
25 <pt<30 	5<chiso range<11 	106.039	25.7279	23.1041	19.6333	28.5085	1.92216	0.670266
25 <pt<30 	5<chiso range<12 	106.039	25.7279	23.1041	19.7677	28.2242	1.87396	0.636237
25 <pt<30 	5<chiso range<13 	106.039	25.7279	23.1041	20.1336	27.9033	1.7254	0.593428
25 <pt<30 	6<chiso range<11 	106.039	25.7279	23.1041	20.4755	27.7428	1.58563	0.568886
25 <pt<30 	6<chiso range<12 	106.039	25.7279	23.1041	20.5393	27.4784	1.56926	0.538545
25 <pt<30 	6<chiso range<13 	106.039	25.7279	23.1041	20.9484	27.1227	1.41582	0.49199
25 <pt<30 	7<chiso range<12 	106.039	25.7279	23.1041	19.138	28.9557	2.13346	0.730029
25 <pt<30 	7<chiso range<13 	106.039	25.7279	23.1041	19.7418	28.4123	1.87658	0.657136
25 <pt<30 	8<chiso range<13 	106.039	25.7279	23.1041	19.4561	28.4048	2.0096	0.662816
#######################################################################################
30 <pt<40 	3<chiso range<8 	93.5394	25.3195	27.9962	16.7475	35.8226	2.7648	0.961166
