pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	40.6275	16.0311	0.394587	0.379436	0.0924184	0.163944
20 <pt<25 	3<chiso range<9 	40.6275	16.0311	0.394587	0.373871	0.091007	0.227635
20 <pt<25 	3<chiso range<10 	40.6275	16.0311	0.394587	0.37487	0.0910668	0.216516
20 <pt<25 	3<chiso range<11 	40.6275	16.0311	0.394587	0.366673	0.0888338	0.314232
20 <pt<25 	3<chiso range<12 	40.6275	16.0311	0.394587	0.350746	0.0849401	0.516145
20 <pt<25 	3<chiso range<13 	40.6275	16.0311	0.394587	0.351179	0.0850908	0.510142
20 <pt<25 	4<chiso range<9 	40.6275	16.0311	0.394587	0.359061	0.0874985	0.406023
20 <pt<25 	4<chiso range<10 	40.6275	16.0311	0.394587	0.361281	0.0878335	0.379199
20 <pt<25 	4<chiso range<11 	40.6275	16.0311	0.394587	0.353739	0.0857009	0.476639
20 <pt<25 	4<chiso range<12 	40.6275	16.0311	0.394587	0.336627	0.0815138	0.71105
20 <pt<25 	4<chiso range<13 	40.6275	16.0311	0.394587	0.33815	0.0819337	0.688818
20 <pt<25 	5<chiso range<10 	40.6275	16.0311	0.394587	0.353127	0.0862776	0.480547
20 <pt<25 	5<chiso range<11 	40.6275	16.0311	0.394587	0.345121	0.0838791	0.589735
20 <pt<25 	5<chiso range<12 	40.6275	16.0311	0.394587	0.325769	0.0790882	0.870148
20 <pt<25 	5<chiso range<13 	40.6275	16.0311	0.394587	0.328483	0.0797923	0.828456
20 <pt<25 	6<chiso range<11 	40.6275	16.0311	0.394587	0.343148	0.0832227	0.618094
20 <pt<25 	6<chiso range<12 	40.6275	16.0311	0.394587	0.319987	0.07753	0.962213
20 <pt<25 	6<chiso range<13 	40.6275	16.0311	0.394587	0.323821	0.0785266	0.901178
20 <pt<25 	7<chiso range<12 	40.6275	16.0311	0.394587	0.319268	0.0769311	0.97905
20 <pt<25 	7<chiso range<13 	40.6275	16.0311	0.394587	0.324268	0.0782649	0.89848
20 <pt<25 	8<chiso range<13 	40.6275	16.0311	0.394587	0.310228	0.0746509	1.13005
#######################################################################################
25 <pt<30 	3<chiso range<8 	24.2669	9.08246	0.374274	0.341552	0.128461	0.25472
25 <pt<30 	3<chiso range<9 	24.2669	9.08246	0.374274	0.316512	0.119301	0.484167
25 <pt<30 	3<chiso range<10 	24.2669	9.08246	0.374274	0.318491	0.120253	0.463877
25 <pt<30 	3<chiso range<11 	24.2669	9.08246	0.374274	0.294864	0.111438	0.71259
25 <pt<30 	3<chiso range<12 	24.2669	9.08246	0.374274	0.289675	0.109704	0.771153
25 <pt<30 	3<chiso range<13 	24.2669	9.08246	0.374274	0.275494	0.104669	0.943733
25 <pt<30 	4<chiso range<9 	24.2669	9.08246	0.374274	0.312471	0.118208	0.522829
25 <pt<30 	4<chiso range<10 	24.2669	9.08246	0.374274	0.315568	0.119555	0.491034
25 <pt<30 	4<chiso range<11 	24.2669	9.08246	0.374274	0.288831	0.109468	0.780526
25 <pt<30 	4<chiso range<12 	24.2669	9.08246	0.374274	0.283322	0.107601	0.845267
25 <pt<30 	4<chiso range<13 	24.2669	9.08246	0.374274	0.268091	0.102145	1.03953
25 <pt<30 	5<chiso range<10 	24.2669	9.08246	0.374274	0.287863	0.109204	0.791277
25 <pt<30 	5<chiso range<11 	24.2669	9.08246	0.374274	0.262326	0.0995126	1.12496
25 <pt<30 	5<chiso range<12 	24.2669	9.08246	0.374274	0.259415	0.0986189	1.16467
25 <pt<30 	5<chiso range<13 	24.2669	9.08246	0.374274	0.245924	0.0938061	1.36824
25 <pt<30 	6<chiso range<11 	24.2669	9.08246	0.374274	0.256881	0.0970542	1.20956
25 <pt<30 	6<chiso range<12 	24.2669	9.08246	0.374274	0.25367	0.0962052	1.25361
25 <pt<30 	6<chiso range<13 	24.2669	9.08246	0.374274	0.239168	0.0910925	1.48317
25 <pt<30 	7<chiso range<12 	24.2669	9.08246	0.374274	0.227109	0.0866644	1.6981
25 <pt<30 	7<chiso range<13 	24.2669	9.08246	0.374274	0.214367	0.0821283	1.94703
25 <pt<30 	8<chiso range<13 	24.2669	9.08246	0.374274	0.208807	0.0801895	2.06344
#######################################################################################
30 <pt<40 	3<chiso range<8 	24.6736	6.87837	0.278774	0.229275	0.0999296	0.495344
