pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	16.0311	15.3868	3.73048	0.172712
20 <pt<25 	3<chiso range<9 	16.0311	15.1611	3.67349	0.236832
20 <pt<25 	3<chiso range<10 	16.0311	15.2016	3.67584	0.225663
20 <pt<25 	3<chiso range<11 	16.0311	14.8692	3.58561	0.324045
20 <pt<25 	3<chiso range<12 	16.0311	14.2233	3.42844	0.527295
20 <pt<25 	3<chiso range<13 	16.0311	14.2409	3.43454	0.521234
20 <pt<25 	4<chiso range<9 	16.0311	14.5605	3.53191	0.416375
20 <pt<25 	4<chiso range<10 	16.0311	14.6506	3.54535	0.389383
20 <pt<25 	4<chiso range<11 	16.0311	14.3447	3.45916	0.487517
20 <pt<25 	4<chiso range<12 	16.0311	13.6508	3.29014	0.723465
20 <pt<25 	4<chiso range<13 	16.0311	13.7125	3.30711	0.701096
20 <pt<25 	5<chiso range<10 	16.0311	14.3199	3.48271	0.491342
20 <pt<25 	5<chiso range<11 	16.0311	13.9952	3.38573	0.601318
20 <pt<25 	5<chiso range<12 	16.0311	13.2105	3.19231	0.883561
20 <pt<25 	5<chiso range<13 	16.0311	13.3205	3.22075	0.841605
20 <pt<25 	6<chiso range<11 	16.0311	13.9152	3.35916	0.62989
20 <pt<25 	6<chiso range<12 	16.0311	12.976	3.12936	0.97627
20 <pt<25 	6<chiso range<13 	16.0311	13.1315	3.16961	0.914813
20 <pt<25 	7<chiso range<12 	16.0311	12.9469	3.10502	0.993295
20 <pt<25 	7<chiso range<13 	16.0311	13.1496	3.15891	0.912182
20 <pt<25 	8<chiso range<13 	16.0311	12.5803	3.01296	1.14532
#######################################################################################
25 <pt<30 	3<chiso range<8 	9.08246	8.26743	3.09932	0.262971
25 <pt<30 	3<chiso range<9 	9.08246	7.66131	2.87837	0.493734
25 <pt<30 	3<chiso range<10 	9.08246	7.70922	2.90137	0.473307
25 <pt<30 	3<chiso range<11 	9.08246	7.13731	2.68869	0.723456
25 <pt<30 	3<chiso range<12 	9.08246	7.01171	2.64689	0.782333
25 <pt<30 	3<chiso range<13 	9.08246	6.66845	2.52546	0.955869
25 <pt<30 	4<chiso range<9 	9.08246	7.5635	2.85205	0.532585
25 <pt<30 	4<chiso range<10 	9.08246	7.63847	2.88458	0.500589
25 <pt<30 	4<chiso range<11 	9.08246	6.99128	2.64121	0.791751
25 <pt<30 	4<chiso range<12 	9.08246	6.85794	2.5962	0.856837
25 <pt<30 	4<chiso range<13 	9.08246	6.48926	2.46461	1.05217
25 <pt<30 	5<chiso range<10 	9.08246	6.96785	2.63486	0.802551
25 <pt<30 	5<chiso range<11 	9.08246	6.34972	2.40102	1.13816
25 <pt<30 	5<chiso range<12 	9.08246	6.27925	2.37949	1.17807
25 <pt<30 	5<chiso range<13 	9.08246	5.9527	2.26342	1.38276
25 <pt<30 	6<chiso range<11 	9.08246	6.21792	2.34165	1.2233
25 <pt<30 	6<chiso range<12 	9.08246	6.1402	2.32122	1.26755
25 <pt<30 	6<chiso range<13 	9.08246	5.78917	2.19792	1.49837
25 <pt<30 	7<chiso range<12 	9.08246	5.49728	2.09111	1.71449
25 <pt<30 	7<chiso range<13 	9.08246	5.18885	1.9817	1.96478
25 <pt<30 	8<chiso range<13 	9.08246	5.05427	1.93495	2.08181
#######################################################################################
30 <pt<40 	3<chiso range<8 	6.87837	5.65392	2.45938	0.497869
30 <pt<40 	3<chiso range<9 	6.87837	5.61369	2.43837	0.518658
30 <pt<40 	3<chiso range<10 	6.87837	5.31229	2.31179	0.677432
30 <pt<40 	3<chiso range<11 	6.87837	5.25566	2.28799	0.709229
30 <pt<40 	3<chiso range<12 	6.87837	5.04819	2.19729	0.832926
30 <pt<40 	3<chiso range<13 	6.87837	4.80765	2.09253	0.989577
30 <pt<40 	4<chiso range<9 	6.87837	5.63038	2.44059	0.511348
30 <pt<40 	4<chiso range<10 	6.87837	5.28245	2.29543	0.69526
30 <pt<40 	4<chiso range<11 	6.87837	5.22227	2.27055	0.729383
30 <pt<40 	4<chiso range<12 	6.87837	4.99484	2.17159	0.867351
30 <pt<40 	4<chiso range<13 	6.87837	4.73473	2.05868	1.04127
30 <pt<40 	5<chiso range<10 	6.87837	5.5487	2.40919	0.551916
30 <pt<40 	5<chiso range<11 	6.87837	5.42953	2.35939	0.614074
30 <pt<40 	5<chiso range<12 	6.87837	5.12457	2.22687	0.787563
