pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	24.542	25.5518	7.64836	0.132028
20  <pt<25 	3<chiso range<9 	24.542	25.8306	7.61206	0.169284
20  <pt<25 	3<chiso range<10 	24.542	25.7077	7.60366	0.153308
20  <pt<25 	3<chiso range<11 	24.542	26.0001	7.54743	0.193192
20  <pt<25 	3<chiso range<12 	24.542	26.6051	7.45962	0.276569
20  <pt<25 	3<chiso range<13 	24.542	26.6015	7.46454	0.275904
20  <pt<25 	4<chiso range<9 	24.542	26.407	7.53906	0.247378
20  <pt<25 	4<chiso range<10 	24.542	26.268	7.53902	0.228942
20  <pt<25 	4<chiso range<11 	24.542	26.4878	7.47924	0.26016
20  <pt<25 	4<chiso range<12 	24.542	27.1426	7.38641	0.352079
20  <pt<25 	4<chiso range<13 	24.542	27.0985	7.39731	0.345599
20  <pt<25 	5<chiso range<10 	24.542	26.6636	7.52485	0.281946
20  <pt<25 	5<chiso range<11 	24.542	26.871	7.45287	0.312497
20  <pt<25 	5<chiso range<12 	24.542	27.6074	7.34589	0.417295
20  <pt<25 	5<chiso range<13 	24.542	27.5155	7.36236	0.403879
20  <pt<25 	6<chiso range<11 	24.542	26.8973	7.43197	0.316915
20  <pt<25 	6<chiso range<12 	24.542	27.7894	7.30681	0.444435
20  <pt<25 	6<chiso range<13 	24.542	27.659	7.33032	0.42522
20  <pt<25 	7<chiso range<12 	24.542	27.7027	7.27486	0.434469
20  <pt<25 	7<chiso range<13 	24.542	27.541	7.30841	0.410349
20  <pt<25 	8<chiso range<13 	24.542	28.0939	7.21555	0.492256
#######################################################################################
25  <pt<30 	3<chiso range<8 	15.1505	15.8919	5.81945	0.1274
25  <pt<30 	3<chiso range<9 	15.1505	16.5124	5.69935	0.238957
25  <pt<30 	3<chiso range<10 	15.1505	16.4794	5.71561	0.232504
25  <pt<30 	3<chiso range<11 	15.1505	17.0446	5.60538	0.337908
25  <pt<30 	3<chiso range<12 	15.1505	17.1685	5.59166	0.360895
25  <pt<30 	3<chiso range<13 	15.1505	17.5226	5.53909	0.428247
25  <pt<30 	4<chiso range<9 	15.1505	16.6077	5.69935	0.255678
25  <pt<30 	4<chiso range<10 	15.1505	16.5507	5.71921	0.244824
25  <pt<30 	4<chiso range<11 	15.1505	17.1902	5.59129	0.3648
25  <pt<30 	4<chiso range<12 	15.1505	17.325	5.5754	0.390017
25  <pt<30 	4<chiso range<13 	15.1505	17.7075	5.51788	0.463403
25  <pt<30 	5<chiso range<10 	15.1505	17.2694	5.58025	0.379714
25  <pt<30 	5<chiso range<11 	15.1505	17.8659	5.46657	0.496728
25  <pt<30 	5<chiso range<12 	15.1505	17.9081	5.46152	0.504914
25  <pt<30 	5<chiso range<13 	15.1505	18.2361	5.41517	0.569807
25  <pt<30 	6<chiso range<11 	15.1505	17.9748	5.41994	0.521094
25  <pt<30 	6<chiso range<12 	15.1505	18.0415	5.42513	0.53289
25  <pt<30 	6<chiso range<13 	15.1505	18.3927	5.37936	0.602711
25  <pt<30 	7<chiso range<12 	15.1505	18.6946	5.3399	0.663702
25  <pt<30 	7<chiso range<13 	15.1505	19.0148	5.30249	0.728771
25  <pt<30 	8<chiso range<13 	15.1505	19.1583	5.28838	0.75785
#######################################################################################
30  <pt<40 	3<chiso range<8 	17.7613	18.996	5.507	0.224206
30  <pt<40 	3<chiso range<9 	17.7613	19.0229	5.49536	0.229575
30  <pt<40 	3<chiso range<10 	17.7613	19.3286	5.43884	0.288168
30  <pt<40 	3<chiso range<11 	17.7613	19.3864	5.42842	0.299369
30  <pt<40 	3<chiso range<12 	17.7613	19.5883	5.38688	0.339157
30  <pt<40 	3<chiso range<13 	17.7613	19.8232	5.34049	0.386088
30  <pt<40 	4<chiso range<9 	17.7613	18.9961	5.49263	0.22481
30  <pt<40 	4<chiso range<10 	17.7613	19.3495	5.42881	0.29255
30  <pt<40 	4<chiso range<11 	17.7613	19.4122	5.41818	0.304696
30  <pt<40 	4<chiso range<12 	17.7613	19.6344	5.37343	0.348586
30  <pt<40 	4<chiso range<13 	17.7613	19.8891	5.32408	0.399656
30  <pt<40 	5<chiso range<10 	17.7613	19.0842	5.48076	0.241372
30  <pt<40 	5<chiso range<11 	17.7613	19.2067	5.45838	0.264804
30  <pt<40 	5<chiso range<12 	17.7613	19.5053	5.39729	0.323125
30  <pt<40 	5<chiso range<13 	17.7613	19.8236	5.33517	0.386548
30  <pt<40 	6<chiso range<11 	17.7613	19.253	5.44849	0.273782
30  <pt<40 	6<chiso range<12 	17.7613	19.5974	5.37894	0.34135
30  <pt<40 	6<chiso range<13 	17.7613	19.951	5.31095	0.412299
30  <pt<40 	7<chiso range<12 	17.7613	20.2013	5.27077	0.46293
30  <pt<40 	7<chiso range<13 	17.7613	20.4975	5.21641	0.524537
30  <pt<40 	8<chiso range<13 	17.7613	20.67	5.18573	0.560905
#######################################################################################
40  <pt<50 	3<chiso range<8 	9.39126	10.165	3.67186	0.210722
40  <pt<50 	3<chiso range<9 	9.39126	10.2466	3.64534	0.234639
40  <pt<50 	3<chiso range<10 	9.39126	10.2461	3.64447	0.234558
40  <pt<50 	3<chiso range<11 	9.39126	10.2089	3.6543	0.223747
40  <pt<50 	3<chiso range<12 	9.39126	10.2679	3.63343	0.241271
40  <pt<50 	3<chiso range<13 	9.39126	10.308	3.61771	0.253403
40  <pt<50 	4<chiso range<9 	9.39126	10.3243	3.62089	0.257683
40  <pt<50 	4<chiso range<10 	9.39126	10.3107	3.62442	0.253679
40  <pt<50 	4<chiso range<11 	9.39126	10.2602	3.63819	0.238839
40  <pt<50 	4<chiso range<12 	9.39126	10.3229	3.61595	0.257647
40  <pt<50 	4<chiso range<13 	9.39126	10.3614	3.60054	0.269443
40  <pt<50 	5<chiso range<10 	9.39126	10.2688	3.64441	0.240791
40  <pt<50 	5<chiso range<11 	9.39126	10.2093	3.66003	0.223506
40  <pt<50 	5<chiso range<12 	9.39126	10.2913	3.63029	0.247925
40  <pt<50 	5<chiso range<13 	9.39126	10.3411	3.61007	0.263108
40  <pt<50 	6<chiso range<11 	9.39126	10.2731	3.64003	0.242262
40  <pt<50 	6<chiso range<12 	9.39126	10.3686	3.60533	0.271082
40  <pt<50 	6<chiso range<13 	9.39126	10.4165	3.58517	0.285967
40  <pt<50 	7<chiso range<12 	9.39126	10.5788	3.54632	0.334865
40  <pt<50 	7<chiso range<13 	9.39126	10.5996	3.53716	0.341613
40  <pt<50 	8<chiso range<13 	9.39126	10.5089	3.56358	0.313628
#######################################################################################
50  <pt<65 	3<chiso range<8 	7.61272	7.34496	2.98166	0.0898023
50  <pt<65 	3<chiso range<9 	7.61272	7.2075	3.04016	0.133289
50  <pt<65 	3<chiso range<10 	7.61272	7.24728	3.02398	0.120847
50  <pt<65 	3<chiso range<11 	7.61272	7.32147	2.99375	0.097286
50  <pt<65 	3<chiso range<12 	7.61272	7.34723	2.98451	0.088956
50  <pt<65 	3<chiso range<13 	7.61272	7.40755	2.95884	0.0693414
50  <pt<65 	4<chiso range<9 	7.61272	7.17624	3.0549	0.142879
50  <pt<65 	4<chiso range<10 	7.61272	7.22218	3.03636	0.128621
50  <pt<65 	4<chiso range<11 	7.61272	7.30983	3.00055	0.100945
50  <pt<65 	4<chiso range<12 	7.61272	7.33924	2.98968	0.0914747
50  <pt<65 	4<chiso range<13 	7.61272	7.40444	2.96092	0.070343
