pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	40.6275	16.0311	24.542	15.3868	25.5518	0.172712	0.132028
20 <pt<25 	3<chiso range<9 	40.6275	16.0311	24.542	15.1611	25.8306	0.236832	0.169284
20 <pt<25 	3<chiso range<10 	40.6275	16.0311	24.542	15.2016	25.7077	0.225663	0.153308
20 <pt<25 	3<chiso range<11 	40.6275	16.0311	24.542	14.8692	26.0001	0.324045	0.193192
20 <pt<25 	3<chiso range<12 	40.6275	16.0311	24.542	14.2233	26.6051	0.527295	0.276569
20 <pt<25 	3<chiso range<13 	40.6275	16.0311	24.542	14.2409	26.6015	0.521234	0.275904
20 <pt<25 	4<chiso range<9 	40.6275	16.0311	24.542	14.5605	26.407	0.416375	0.247378
20 <pt<25 	4<chiso range<10 	40.6275	16.0311	24.542	14.6506	26.268	0.389383	0.228942
20 <pt<25 	4<chiso range<11 	40.6275	16.0311	24.542	14.3447	26.4878	0.487517	0.26016
20 <pt<25 	4<chiso range<12 	40.6275	16.0311	24.542	13.6508	27.1426	0.723465	0.352079
20 <pt<25 	4<chiso range<13 	40.6275	16.0311	24.542	13.7125	27.0985	0.701096	0.345599
20 <pt<25 	5<chiso range<10 	40.6275	16.0311	24.542	14.3199	26.6636	0.491342	0.281946
20 <pt<25 	5<chiso range<11 	40.6275	16.0311	24.542	13.9952	26.871	0.601318	0.312497
20 <pt<25 	5<chiso range<12 	40.6275	16.0311	24.542	13.2105	27.6074	0.883561	0.417295
20 <pt<25 	5<chiso range<13 	40.6275	16.0311	24.542	13.3205	27.5155	0.841605	0.403879
20 <pt<25 	6<chiso range<11 	40.6275	16.0311	24.542	13.9152	26.8973	0.62989	0.316915
20 <pt<25 	6<chiso range<12 	40.6275	16.0311	24.542	12.976	27.7894	0.97627	0.444435
20 <pt<25 	6<chiso range<13 	40.6275	16.0311	24.542	13.1315	27.659	0.914813	0.42522
20 <pt<25 	7<chiso range<12 	40.6275	16.0311	24.542	12.9469	27.7027	0.993295	0.434469
20 <pt<25 	7<chiso range<13 	40.6275	16.0311	24.542	13.1496	27.541	0.912182	0.410349
20 <pt<25 	8<chiso range<13 	40.6275	16.0311	24.542	12.5803	28.0939	1.14532	0.492256
#######################################################################################
25 <pt<30 	3<chiso range<8 	24.2669	9.08246	15.1505	8.26743	15.8919	0.262971	0.1274
25 <pt<30 	3<chiso range<9 	24.2669	9.08246	15.1505	7.66131	16.5124	0.493734	0.238957
25 <pt<30 	3<chiso range<10 	24.2669	9.08246	15.1505	7.70922	16.4794	0.473307	0.232504
25 <pt<30 	3<chiso range<11 	24.2669	9.08246	15.1505	7.13731	17.0446	0.723456	0.337908
25 <pt<30 	3<chiso range<12 	24.2669	9.08246	15.1505	7.01171	17.1685	0.782333	0.360895
25 <pt<30 	3<chiso range<13 	24.2669	9.08246	15.1505	6.66845	17.5226	0.955869	0.428247
25 <pt<30 	4<chiso range<9 	24.2669	9.08246	15.1505	7.5635	16.6077	0.532585	0.255678
25 <pt<30 	4<chiso range<10 	24.2669	9.08246	15.1505	7.63847	16.5507	0.500589	0.244824
25 <pt<30 	4<chiso range<11 	24.2669	9.08246	15.1505	6.99128	17.1902	0.791751	0.3648
25 <pt<30 	4<chiso range<12 	24.2669	9.08246	15.1505	6.85794	17.325	0.856837	0.390017
25 <pt<30 	4<chiso range<13 	24.2669	9.08246	15.1505	6.48926	17.7075	1.05217	0.463403
25 <pt<30 	5<chiso range<10 	24.2669	9.08246	15.1505	6.96785	17.2694	0.802551	0.379714
25 <pt<30 	5<chiso range<11 	24.2669	9.08246	15.1505	6.34972	17.8659	1.13816	0.496728
25 <pt<30 	5<chiso range<12 	24.2669	9.08246	15.1505	6.27925	17.9081	1.17807	0.504914
25 <pt<30 	5<chiso range<13 	24.2669	9.08246	15.1505	5.9527	18.2361	1.38276	0.569807
25 <pt<30 	6<chiso range<11 	24.2669	9.08246	15.1505	6.21792	17.9748	1.2233	0.521094
25 <pt<30 	6<chiso range<12 	24.2669	9.08246	15.1505	6.1402	18.0415	1.26755	0.53289
25 <pt<30 	6<chiso range<13 	24.2669	9.08246	15.1505	5.78917	18.3927	1.49837	0.602711
25 <pt<30 	7<chiso range<12 	24.2669	9.08246	15.1505	5.49728	18.6946	1.71449	0.663702
25 <pt<30 	7<chiso range<13 	24.2669	9.08246	15.1505	5.18885	19.0148	1.96478	0.728771
25 <pt<30 	8<chiso range<13 	24.2669	9.08246	15.1505	5.05427	19.1583	2.08181	0.75785
#######################################################################################
30 <pt<40 	3<chiso range<8 	24.6736	6.87837	17.7613	5.65392	18.996	0.497869	0.224206
