pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	96.7783	48.3978	0.500089	0.485292	0.065863	0.224669
20 <pt<25 	3<chiso range<9 	96.7783	48.3978	0.500089	0.482534	0.0654596	0.268186
20 <pt<25 	3<chiso range<10 	96.7783	48.3978	0.500089	0.475746	0.0645323	0.377228
20 <pt<25 	3<chiso range<11 	96.7783	48.3978	0.500089	0.460884	0.0625556	0.626729
20 <pt<25 	3<chiso range<12 	96.7783	48.3978	0.500089	0.44713	0.0607325	0.872011
20 <pt<25 	3<chiso range<13 	96.7783	48.3978	0.500089	0.441226	0.0599167	0.98242
20 <pt<25 	4<chiso range<9 	96.7783	48.3978	0.500089	0.466524	0.0633287	0.530018
20 <pt<25 	4<chiso range<10 	96.7783	48.3978	0.500089	0.460584	0.0625083	0.632002
20 <pt<25 	4<chiso range<11 	96.7783	48.3978	0.500089	0.445096	0.060444	0.909824
20 <pt<25 	4<chiso range<12 	96.7783	48.3978	0.500089	0.430929	0.0585621	1.18098
20 <pt<25 	4<chiso range<13 	96.7783	48.3978	0.500089	0.425563	0.0578162	1.28902
20 <pt<25 	5<chiso range<10 	96.7783	48.3978	0.500089	0.443575	0.0602873	0.937418
20 <pt<25 	5<chiso range<11 	96.7783	48.3978	0.500089	0.427328	0.0581064	1.25221
20 <pt<25 	5<chiso range<12 	96.7783	48.3978	0.500089	0.412709	0.0561523	1.55613
20 <pt<25 	5<chiso range<13 	96.7783	48.3978	0.500089	0.408248	0.0555231	1.65411
20 <pt<25 	6<chiso range<11 	96.7783	48.3978	0.500089	0.413758	0.0563147	1.53302
20 <pt<25 	6<chiso range<12 	96.7783	48.3978	0.500089	0.398397	0.0542514	1.87447
20 <pt<25 	6<chiso range<13 	96.7783	48.3978	0.500089	0.394848	0.0537404	1.95833
20 <pt<25 	7<chiso range<12 	96.7783	48.3978	0.500089	0.395333	0.0538223	1.94634
20 <pt<25 	7<chiso range<13 	96.7783	48.3978	0.500089	0.391429	0.0532589	2.04023
20 <pt<25 	8<chiso range<13 	96.7783	48.3978	0.500089	0.383044	0.0520418	2.24906
#######################################################################################
25 <pt<30 	3<chiso range<8 	56.098	26.7847	0.477463	0.390653	0.0815089	1.06503
25 <pt<30 	3<chiso range<9 	56.098	26.7847	0.477463	0.374437	0.0782073	1.31734
25 <pt<30 	3<chiso range<10 	56.098	26.7847	0.477463	0.373364	0.0779588	1.3353
25 <pt<30 	3<chiso range<11 	56.098	26.7847	0.477463	0.350651	0.0732899	1.73027
25 <pt<30 	3<chiso range<12 	56.098	26.7847	0.477463	0.346113	0.0724079	1.81402
25 <pt<30 	3<chiso range<13 	56.098	26.7847	0.477463	0.334949	0.0701349	2.03199
25 <pt<30 	4<chiso range<9 	56.098	26.7847	0.477463	0.360512	0.0754645	1.54974
25 <pt<30 	4<chiso range<10 	56.098	26.7847	0.477463	0.361495	0.0756234	1.53349
25 <pt<30 	4<chiso range<11 	56.098	26.7847	0.477463	0.337155	0.0705911	1.98761
25 <pt<30 	4<chiso range<12 	56.098	26.7847	0.477463	0.333125	0.0698072	2.06766
25 <pt<30 	4<chiso range<13 	56.098	26.7847	0.477463	0.321574	0.0674424	2.31143
25 <pt<30 	5<chiso range<10 	56.098	26.7847	0.477463	0.344689	0.0720992	1.84154
25 <pt<30 	5<chiso range<11 	56.098	26.7847	0.477463	0.31897	0.0667887	2.37305
25 <pt<30 	5<chiso range<12 	56.098	26.7847	0.477463	0.315959	0.0662259	2.43868
25 <pt<30 	5<chiso range<13 	56.098	26.7847	0.477463	0.304776	0.0639424	2.70066
25 <pt<30 	6<chiso range<11 	56.098	26.7847	0.477463	0.297243	0.0621618	2.8992
25 <pt<30 	6<chiso range<12 	56.098	26.7847	0.477463	0.296698	0.0621443	2.90879
25 <pt<30 	6<chiso range<13 	56.098	26.7847	0.477463	0.285756	0.0599227	3.19923
25 <pt<30 	7<chiso range<12 	56.098	26.7847	0.477463	0.286628	0.0600778	3.17646
