pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	96.7783	48.3978	48.2441	46.7895	49.6308	0.255669	0.117017
20 <pt<25 	3<chiso range<9 	96.7783	48.3978	48.2441	46.5235	49.908	0.299794	0.140752
20 <pt<25 	3<chiso range<10 	96.7783	48.3978	48.2441	45.869	50.5433	0.410294	0.195332
20 <pt<25 	3<chiso range<11 	96.7783	48.3978	48.2441	44.4361	51.9813	0.663083	0.320207
20 <pt<25 	3<chiso range<12 	96.7783	48.3978	48.2441	43.1101	53.3121	0.911573	0.43753
20 <pt<25 	3<chiso range<13 	96.7783	48.3978	48.2441	42.5408	53.8812	1.02347	0.488577
20 <pt<25 	4<chiso range<9 	96.7783	48.3978	48.2441	44.9799	51.4522	0.565079	0.273888
20 <pt<25 	4<chiso range<10 	96.7783	48.3978	48.2441	44.4072	52.0022	0.668427	0.322089
20 <pt<25 	4<chiso range<11 	96.7783	48.3978	48.2441	42.9139	53.5025	0.949914	0.454643
20 <pt<25 	4<chiso range<12 	96.7783	48.3978	48.2441	41.548	54.8763	1.22462	0.577864
20 <pt<25 	4<chiso range<13 	96.7783	48.3978	48.2441	41.0307	55.3909	1.33411	0.624955
20 <pt<25 	5<chiso range<10 	96.7783	48.3978	48.2441	42.7673	53.6689	0.977826	0.469002
20 <pt<25 	5<chiso range<11 	96.7783	48.3978	48.2441	41.2008	55.2432	1.29677	0.610763
20 <pt<25 	5<chiso range<12 	96.7783	48.3978	48.2441	39.7913	56.6655	1.60469	0.740818
20 <pt<25 	5<chiso range<13 	96.7783	48.3978	48.2441	39.3613	57.0823	1.70397	0.779892
20 <pt<25 	6<chiso range<11 	96.7783	48.3978	48.2441	39.8925	56.5827	1.58123	0.732819
20 <pt<25 	6<chiso range<12 	96.7783	48.3978	48.2441	38.4115	58.079	1.92716	0.871703
20 <pt<25 	6<chiso range<13 	96.7783	48.3978	48.2441	38.0692	58.3958	2.0122	0.902109
