pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	347.517	84.3725	0.242787	0.519625	0.00913089	30.3189
20 <pt<25 	3<chiso range<9 	347.517	84.3725	0.242787	0.514361	0.00994004	27.3212
20 <pt<25 	3<chiso range<10 	347.517	84.3725	0.242787	0.505174	0.0105612	24.8445
20 <pt<25 	3<chiso range<11 	347.517	84.3725	0.242787	0.496631	0.0110942	22.8808
20 <pt<25 	3<chiso range<12 	347.517	84.3725	0.242787	0.491595	0.0116067	21.4366
20 <pt<25 	3<chiso range<13 	347.517	84.3725	0.242787	0.479523	0.0119877	19.7483
20 <pt<25 	4<chiso range<9 	347.517	84.3725	0.242787	0.496466	0.00900123	28.1827
20 <pt<25 	4<chiso range<10 	347.517	84.3725	0.242787	0.488561	0.00968318	25.3816
20 <pt<25 	4<chiso range<11 	347.517	84.3725	0.242787	0.481034	0.0102625	23.2153
20 <pt<25 	4<chiso range<12 	347.517	84.3725	0.242787	0.477119	0.0108148	21.6677
20 <pt<25 	4<chiso range<13 	347.517	84.3725	0.242787	0.465093	0.0112224	19.8092
20 <pt<25 	5<chiso range<10 	347.517	84.3725	0.242787	0.482571	0.00874612	27.4161
20 <pt<25 	5<chiso range<11 	347.517	84.3725	0.242787	0.474391	0.00938301	24.6834
20 <pt<25 	5<chiso range<12 	347.517	84.3725	0.242787	0.470719	0.00998458	22.8284
20 <pt<25 	5<chiso range<13 	347.517	84.3725	0.242787	0.457592	0.010424	20.6068
20 <pt<25 	6<chiso range<11 	347.517	84.3725	0.242787	0.470073	0.00841281	27.0167
20 <pt<25 	6<chiso range<12 	347.517	84.3725	0.242787	0.466425	0.00907935	24.6315
20 <pt<25 	6<chiso range<13 	347.517	84.3725	0.242787	0.451543	0.00956018	21.836
20 <pt<25 	7<chiso range<12 	347.517	84.3725	0.242787	0.455052	0.00817097	25.978
20 <pt<25 	7<chiso range<13 	347.517	84.3725	0.242787	0.439182	0.00870161	22.57
20 <pt<25 	8<chiso range<13 	347.517	84.3725	0.242787	0.429619	0.00776675	24.0554
#######################################################################################
25 <pt<30 	3<chiso range<8 	183.945	41.9398	0.228002	0.403968	0.0127635	13.7867
25 <pt<30 	3<chiso range<9 	183.945	41.9398	0.228002	0.394412	0.0138158	12.0449
25 <pt<30 	3<chiso range<10 	183.945	41.9398	0.228002	0.386652	0.0147042	10.7894
25 <pt<30 	3<chiso range<11 	183.945	41.9398	0.228002	0.385943	0.0156061	10.1205
25 <pt<30 	3<chiso range<12 	183.945	41.9398	0.228002	0.382378	0.0163861	9.42116
25 <pt<30 	3<chiso range<13 	183.945	41.9398	0.228002	0.377061	0.0170337	8.75084
25 <pt<30 	4<chiso range<9 	183.945	41.9398	0.228002	0.388028	0.0124578	12.8455
25 <pt<30 	4<chiso range<10 	183.945	41.9398	0.228002	0.380073	0.0134384	11.3162
25 <pt<30 	4<chiso range<11 	183.945	41.9398	0.228002	0.379871	0.0144179	10.5334
25 <pt<30 	4<chiso range<12 	183.945	41.9398	0.228002	0.376483	0.0152586	9.73098
25 <pt<30 	4<chiso range<13 	183.945	41.9398	0.228002	0.371088	0.0159518	8.96991
25 <pt<30 	5<chiso range<10 	183.945	41.9398	0.228002	0.365281	0.0120195	11.4214
25 <pt<30 	5<chiso range<11 	183.945	41.9398	0.228002	0.367334	0.0131055	10.6316
25 <pt<30 	5<chiso range<12 	183.945	41.9398	0.228002	0.365089	0.0140248	9.77462
25 <pt<30 	5<chiso range<13 	183.945	41.9398	0.228002	0.360214	0.0147763	8.94758
25 <pt<30 	6<chiso range<11 	183.945	41.9398	0.228002	0.374225	0.0119448	12.2416
25 <pt<30 	6<chiso range<12 	183.945	41.9398	0.228002	0.370488	0.0129467	11.0056
25 <pt<30 	6<chiso range<13 	183.945	41.9398	0.228002	0.364138	0.0137573	9.89556
25 <pt<30 	7<chiso range<12 	183.945	41.9398	0.228002	0.362762	0.0116417	11.5756
25 <pt<30 	7<chiso range<13 	183.945	41.9398	0.228002	0.356705	0.0125396	10.2637
25 <pt<30 	8<chiso range<13 	183.945	41.9398	0.228002	0.344241	0.0112829	10.3022
#######################################################################################
30 <pt<40 	3<chiso range<8 	183.916	34.0901	0.185357	0.306891	0.0122666	9.90772
30 <pt<40 	3<chiso range<9 	183.916	34.0901	0.185357	0.299198	0.0133139	8.55054
30 <pt<40 	3<chiso range<10 	183.916	34.0901	0.185357	0.29957	0.0143268	7.97199
30 <pt<40 	3<chiso range<11 	183.916	34.0901	0.185357	0.297515	0.0151592	7.39868
30 <pt<40 	3<chiso range<12 	183.916	34.0901	0.185357	0.294284	0.0158502	6.87229
30 <pt<40 	3<chiso range<13 	183.916	34.0901	0.185357	0.288498	0.0164492	6.27028
30 <pt<40 	4<chiso range<9 	183.916	34.0901	0.185357	0.295224	0.0120177	9.14211
30 <pt<40 	4<chiso range<10 	183.916	34.0901	0.185357	0.295864	0.0131306	8.416
30 <pt<40 	4<chiso range<11 	183.916	34.0901	0.185357	0.295715	0.0140332	7.86407
30 <pt<40 	4<chiso range<12 	183.916	34.0901	0.185357	0.292281	0.0147776	7.23555
30 <pt<40 	4<chiso range<13 	183.916	34.0901	0.185357	0.28596	0.0154183	6.52492
30 <pt<40 	5<chiso range<10 	183.916	34.0901	0.185357	0.288936	0.0118088	8.77135
30 <pt<40 	5<chiso range<11 	183.916	34.0901	0.185357	0.289375	0.0128044	8.12362
30 <pt<40 	5<chiso range<12 	183.916	34.0901	0.185357	0.286248	0.0136167	7.40936
30 <pt<40 	5<chiso range<13 	183.916	34.0901	0.185357	0.279771	0.0143095	6.598
30 <pt<40 	6<chiso range<11 	183.916	34.0901	0.185357	0.285815	0.0117069	8.5811
30 <pt<40 	6<chiso range<12 	183.916	34.0901	0.185357	0.282726	0.0125905	7.73354
30 <pt<40 	6<chiso range<13 	183.916	34.0901	0.185357	0.275794	0.0133363	6.78127
30 <pt<40 	7<chiso range<12 	183.916	34.0901	0.185357	0.280186	0.0114109	8.3104
30 <pt<40 	7<chiso range<13 	183.916	34.0901	0.185357	0.272454	0.0122291	7.12212
30 <pt<40 	8<chiso range<13 	183.916	34.0901	0.185357	0.26572	0.0109524	7.33749
#######################################################################################
40 <pt<50 	3<chiso range<8 	84.5304	13.1859	0.15599	0.196915	0.0162634	2.51638
40 <pt<50 	3<chiso range<9 	84.5304	13.1859	0.15599	0.19811	0.017585	2.39522
40 <pt<50 	3<chiso range<10 	84.5304	13.1859	0.15599	0.19835	0.0188144	2.25147
40 <pt<50 	3<chiso range<11 	84.5304	13.1859	0.15599	0.197905	0.0198816	2.10823
40 <pt<50 	3<chiso range<12 	84.5304	13.1859	0.15599	0.196175	0.0209594	1.91728
40 <pt<50 	3<chiso range<13 	84.5304	13.1859	0.15599	0.192706	0.0218738	1.67854
40 <pt<50 	4<chiso range<9 	84.5304	13.1859	0.15599	0.195858	0.0160357	2.4862
40 <pt<50 	4<chiso range<10 	84.5304	13.1859	0.15599	0.196339	0.0173754	2.32219
40 <pt<50 	4<chiso range<11 	84.5304	13.1859	0.15599	0.196019	0.0185252	2.16078
40 <pt<50 	4<chiso range<12 	84.5304	13.1859	0.15599	0.19422	0.0196775	1.94283
40 <pt<50 	4<chiso range<13 	84.5304	13.1859	0.15599	0.190514	0.0206486	1.67198
40 <pt<50 	5<chiso range<10 	84.5304	13.1859	0.15599	0.203158	0.0158643	2.97321
