pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	84.3725	114.113	14.8999	1.99602
20 <pt<25 	3<chiso range<9 	84.3725	113.094	14.114	2.03497
20 <pt<25 	3<chiso range<10 	84.3725	111.131	13.4196	1.99399
20 <pt<25 	3<chiso range<11 	84.3725	109.313	12.8796	1.93643
20 <pt<25 	3<chiso range<12 	84.3725	108.249	12.4994	1.91021
20 <pt<25 	3<chiso range<13 	84.3725	105.63	12.0008	1.77134
20 <pt<25 	4<chiso range<9 	84.3725	109.078	14.1968	1.74022
20 <pt<25 	4<chiso range<10 	84.3725	107.402	13.4107	1.71725
20 <pt<25 	4<chiso range<11 	84.3725	105.829	12.8236	1.6732
20 <pt<25 	4<chiso range<12 	84.3725	105.019	12.42	1.66236
20 <pt<25 	4<chiso range<13 	84.3725	102.422	11.8809	1.5192
20 <pt<25 	5<chiso range<10 	84.3725	106.064	13.8993	1.56062
20 <pt<25 	5<chiso range<11 	84.3725	104.349	13.1481	1.51935
20 <pt<25 	5<chiso range<12 	84.3725	103.596	12.6576	1.51873
20 <pt<25 	5<chiso range<13 	84.3725	100.763	12.0182	1.36381
20 <pt<25 	6<chiso range<11 	84.3725	103.252	13.7226	1.3758
20 <pt<25 	6<chiso range<12 	84.3725	102.551	13.0826	1.38952
20 <pt<25 	6<chiso range<13 	84.3725	99.3664	12.2845	1.22055
20 <pt<25 	7<chiso range<12 	84.3725	99.9058	13.3801	1.16093
20 <pt<25 	7<chiso range<13 	84.3725	96.5557	12.4145	0.981369
20 <pt<25 	8<chiso range<13 	84.3725	94.3669	12.8226	0.779436
#######################################################################################
25 <pt<30 	3<chiso range<8 	41.9398	47.6454	9.3805	0.60824
25 <pt<30 	3<chiso range<9 	41.9398	46.5229	8.81134	0.520137
25 <pt<30 	3<chiso range<10 	41.9398	45.6005	8.38835	0.436403
25 <pt<30 	3<chiso range<11 	41.9398	45.5294	8.21584	0.436912
25 <pt<30 	3<chiso range<12 	41.9398	45.1111	8.00085	0.39637
25 <pt<30 	3<chiso range<13 	41.9398	44.4804	7.77548	0.326745
25 <pt<30 	4<chiso range<9 	41.9398	45.7679	9.0484	0.423069
25 <pt<30 	4<chiso range<10 	41.9398	44.8216	8.52753	0.337941
25 <pt<30 	4<chiso range<11 	41.9398	44.817	8.31278	0.346118
25 <pt<30 	4<chiso range<12 	41.9398	44.4212	8.0612	0.30782
25 <pt<30 	4<chiso range<13 	41.9398	43.7802	7.80409	0.235825
25 <pt<30 	5<chiso range<10 	41.9398	43.0559	8.51492	0.131076
25 <pt<30 	5<chiso range<11 	41.9398	43.3384	8.28966	0.168716
25 <pt<30 	5<chiso range<12 	41.9398	43.0847	8.01642	0.142819
25 <pt<30 	5<chiso range<13 	41.9398	42.5045	7.7366	0.0729907
25 <pt<30 	6<chiso range<11 	41.9398	44.1224	8.82355	0.247361
25 <pt<30 	6<chiso range<12 	41.9398	43.7102	8.4214	0.210226
25 <pt<30 	6<chiso range<13 	41.9398	42.9611	8.04525	0.126944
25 <pt<30 	7<chiso range<12 	41.9398	42.8472	8.64443	0.104969
25 <pt<30 	7<chiso range<13 	41.9398	42.1265	8.18645	0.022806
25 <pt<30 	8<chiso range<13 	41.9398	40.654	8.21888	0.156445
#######################################################################################
30 <pt<40 	3<chiso range<8 	34.0901	36.364	8.02957	0.283191
30 <pt<40 	3<chiso range<9 	34.0901	35.4508	7.55548	0.180094
30 <pt<40 	3<chiso range<10 	34.0901	35.4851	7.37517	0.189148
30 <pt<40 	3<chiso range<11 	34.0901	35.2429	7.20057	0.160098
30 <pt<40 	3<chiso range<12 	34.0901	34.8491	7.00781	0.108308
30 <pt<40 	3<chiso range<13 	34.0901	34.1584	6.78655	0.010064
30 <pt<40 	4<chiso range<9 	34.0901	34.9437	7.74383	0.11023
30 <pt<40 	4<chiso range<10 	34.0901	35.0135	7.50312	0.123069
30 <pt<40 	4<chiso range<11 	34.0901	35.0406	7.32745	0.129718
30 <pt<40 	4<chiso range<12 	34.0901	34.6197	7.09728	0.0746201
30 <pt<40 	4<chiso range<13 	34.0901	33.8658	6.83968	0.0327939
30 <pt<40 	5<chiso range<10 	34.0901	34.1924	7.59129	0.013476
30 <pt<40 	5<chiso range<11 	34.0901	34.302	7.37765	0.0287219
30 <pt<40 	5<chiso range<12 	34.0901	33.914	7.11303	0.0247574
30 <pt<40 	5<chiso range<13 	34.0901	33.142	6.8221	0.138975
30 <pt<40 	6<chiso range<11 	34.0901	33.8889	7.53034	0.0267186
30 <pt<40 	6<chiso range<12 	34.0901	33.5016	7.20855	0.0816392
30 <pt<40 	6<chiso range<13 	34.0901	32.677	6.86753	0.205765
30 <pt<40 	7<chiso range<12 	34.0901	33.2145	7.41616	0.118066
30 <pt<40 	7<chiso range<13 	34.0901	32.2966	6.98996	0.256582
30 <pt<40 	8<chiso range<13 	34.0901	31.5025	7.08762	0.365087
#######################################################################################
40 <pt<50 	3<chiso range<8 	13.1859	12.5998	4.68744	0.125036
40 <pt<50 	3<chiso range<9 	13.1859	12.5492	4.55066	0.139914
40 <pt<50 	3<chiso range<10 	13.1859	12.4625	4.42389	0.163521
40 <pt<50 	3<chiso range<11 	13.1859	12.3563	4.32052	0.192014
40 <pt<50 	3<chiso range<12 	13.1859	12.1779	4.20303	0.239827
40 <pt<50 	3<chiso range<13 	13.1859	11.9044	4.05929	0.315696
40 <pt<50 	4<chiso range<9 	13.1859	12.5637	4.69711	0.132464
40 <pt<50 	4<chiso range<10 	13.1859	12.4622	4.52984	0.159763
40 <pt<50 	4<chiso range<11 	13.1859	12.3437	4.40036	0.191393
40 <pt<50 	4<chiso range<12 	13.1859	12.1437	4.2582	0.244751
40 <pt<50 	4<chiso range<13 	13.1859	11.8416	4.09114	0.328588
40 <pt<50 	5<chiso range<10 	13.1859	13.0623	4.91916	0.0251262
40 <pt<50 	5<chiso range<11 	13.1859	12.8358	4.70471	0.0744148
40 <pt<50 	5<chiso range<12 	13.1859	12.5378	4.49438	0.144202
40 <pt<50 	5<chiso range<13 	13.1859	12.1421	4.27023	0.244436
40 <pt<50 	6<chiso range<11 	13.1859	12.5627	4.76345	0.13083
40 <pt<50 	6<chiso range<12 	13.1859	12.3122	4.52446	0.193106
40 <pt<50 	6<chiso range<13 	13.1859	11.8956	4.26571	0.302482
40 <pt<50 	7<chiso range<12 	13.1859	12.1133	4.59171	0.233595
40 <pt<50 	7<chiso range<13 	13.1859	11.6706	4.28451	0.353669
40 <pt<50 	8<chiso range<13 	13.1859	11.7751	4.48975	0.314227
#######################################################################################
50 <pt<65 	3<chiso range<8 	7.14823	7.08747	3.3602	0.0180823
50 <pt<65 	3<chiso range<9 	7.14823	7.03892	3.26865	0.0334419
50 <pt<65 	3<chiso range<10 	7.14823	6.79087	3.09721	0.115381
50 <pt<65 	3<chiso range<11 	7.14823	6.63087	2.9714	0.174113
50 <pt<65 	3<chiso range<12 	7.14823	6.37723	2.82308	0.273106
50 <pt<65 	3<chiso range<13 	7.14823	6.40625	2.81168	0.263892
50 <pt<65 	4<chiso range<9 	7.14823	6.61733	3.14559	0.168776
50 <pt<65 	4<chiso range<10 	7.14823	6.40889	2.97659	0.248385
50 <pt<65 	4<chiso range<11 	7.14823	6.26488	2.84953	0.309998
50 <pt<65 	4<chiso range<12 	7.14823	6.03666	2.70492	0.410944
50 <pt<65 	4<chiso range<13 	7.14823	6.1019	2.70606	0.386662
50 <pt<65 	5<chiso range<10 	7.14823	6.42329	3.06931	0.23619
50 <pt<65 	5<chiso range<11 	7.14823	6.23297	2.89955	0.315656
50 <pt<65 	5<chiso range<12 	7.14823	5.97614	2.72519	0.430095
50 <pt<65 	5<chiso range<13 	7.14823	6.05753	2.72616	0.400087
50 <pt<65 	6<chiso range<11 	7.14823	6.34927	3.04042	0.262779
