pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	136.307	6.95283e-310	6.95283e-310	inf
20  <pt<25 	3<chiso range<9 	136.307	6.95283e-310	6.95283e-310	inf
20  <pt<25 	3<chiso range<10 	136.307	6.95283e-310	6.95283e-310	inf
20  <pt<25 	3<chiso range<11 	136.307	6.95283e-310	6.95283e-310	inf
20  <pt<25 	3<chiso range<12 	136.307	6.95283e-310	6.95283e-310	inf
20  <pt<25 	3<chiso range<13 	136.307	6.95283e-310	6.95283e-310	inf
20  <pt<25 	4<chiso range<9 	136.307	6.95283e-310	6.95283e-310	inf
20  <pt<25 	4<chiso range<10 	136.307	6.95283e-310	6.95283e-310	inf
20  <pt<25 	4<chiso range<11 	136.307	6.95283e-310	6.95283e-310	inf
20  <pt<25 	4<chiso range<12 	136.307	6.95283e-310	6.95283e-310	inf
20  <pt<25 	4<chiso range<13 	136.307	6.95283e-310	6.95283e-310	inf
20  <pt<25 	5<chiso range<10 	136.307	6.95283e-310	6.95283e-310	inf
20  <pt<25 	5<chiso range<11 	136.307	6.95283e-310	6.95283e-310	inf
20  <pt<25 	5<chiso range<12 	136.307	6.95283e-310	6.95283e-310	inf
20  <pt<25 	5<chiso range<13 	136.307	6.95283e-310	6.95283e-310	inf
20  <pt<25 	6<chiso range<11 	136.307	6.95283e-310	6.95283e-310	inf
20  <pt<25 	6<chiso range<12 	136.307	6.95283e-310	6.95283e-310	inf
20  <pt<25 	6<chiso range<13 	136.307	6.95283e-310	6.95283e-310	inf
20  <pt<25 	7<chiso range<12 	136.307	6.95283e-310	6.95283e-310	inf
20  <pt<25 	7<chiso range<13 	136.307	6.95283e-310	6.95283e-310	inf
20  <pt<25 	8<chiso range<13 	136.307	6.95283e-310	6.95283e-310	inf
#######################################################################################
25  <pt<30 	3<chiso range<8 	76.1374	6.95283e-310	6.95283e-310	inf
25  <pt<30 	3<chiso range<9 	76.1374	6.95283e-310	6.95283e-310	inf
25  <pt<30 	3<chiso range<10 	76.1374	6.95283e-310	6.95283e-310	inf
25  <pt<30 	3<chiso range<11 	76.1374	6.95283e-310	6.95283e-310	inf
25  <pt<30 	3<chiso range<12 	76.1374	6.95283e-310	6.95283e-310	inf
25  <pt<30 	3<chiso range<13 	76.1374	6.95283e-310	6.95283e-310	inf
25  <pt<30 	4<chiso range<9 	76.1374	6.95283e-310	6.95283e-310	inf
25  <pt<30 	4<chiso range<10 	76.1374	6.95283e-310	6.95283e-310	inf
25  <pt<30 	4<chiso range<11 	76.1374	6.95283e-310	6.95283e-310	inf
25  <pt<30 	4<chiso range<12 	76.1374	6.95283e-310	6.95283e-310	inf
25  <pt<30 	4<chiso range<13 	76.1374	6.95283e-310	6.95283e-310	inf
25  <pt<30 	5<chiso range<10 	76.1374	6.95283e-310	6.95283e-310	inf
25  <pt<30 	5<chiso range<11 	76.1374	6.95283e-310	6.95283e-310	inf
25  <pt<30 	5<chiso range<12 	76.1374	6.95283e-310	6.95283e-310	inf
25  <pt<30 	5<chiso range<13 	76.1374	6.95283e-310	6.95283e-310	inf
25  <pt<30 	6<chiso range<11 	76.1374	6.95283e-310	6.95283e-310	inf
25  <pt<30 	6<chiso range<12 	76.1374	6.95283e-310	6.95283e-310	inf
25  <pt<30 	6<chiso range<13 	76.1374	6.95283e-310	6.95283e-310	inf
25  <pt<30 	7<chiso range<12 	76.1374	6.95283e-310	6.95283e-310	inf
25  <pt<30 	7<chiso range<13 	76.1374	6.95283e-310	6.95283e-310	inf
25  <pt<30 	8<chiso range<13 	76.1374	6.95283e-310	6.95283e-310	inf
#######################################################################################
30  <pt<40 	3<chiso range<8 	84.2651	6.95283e-310	6.95283e-310	inf
30  <pt<40 	3<chiso range<9 	84.2651	6.95283e-310	6.95283e-310	inf
30  <pt<40 	3<chiso range<10 	84.2651	6.95283e-310	6.95283e-310	inf
30  <pt<40 	3<chiso range<11 	84.2651	6.95283e-310	6.95283e-310	inf
30  <pt<40 	3<chiso range<12 	84.2651	6.95283e-310	6.95283e-310	inf
30  <pt<40 	3<chiso range<13 	84.2651	6.95283e-310	6.95283e-310	inf
30  <pt<40 	4<chiso range<9 	84.2651	6.95283e-310	6.95283e-310	inf
30  <pt<40 	4<chiso range<10 	84.2651	6.95283e-310	6.95283e-310	inf
30  <pt<40 	4<chiso range<11 	84.2651	6.95283e-310	6.95283e-310	inf
30  <pt<40 	4<chiso range<12 	84.2651	6.95283e-310	6.95283e-310	inf
30  <pt<40 	4<chiso range<13 	84.2651	6.95283e-310	6.95283e-310	inf
30  <pt<40 	5<chiso range<10 	84.2651	6.95283e-310	6.95283e-310	inf
30  <pt<40 	5<chiso range<11 	84.2651	6.95283e-310	6.95283e-310	inf
30  <pt<40 	5<chiso range<12 	84.2651	6.95283e-310	6.95283e-310	inf
30  <pt<40 	5<chiso range<13 	84.2651	6.95283e-310	6.95283e-310	inf
30  <pt<40 	6<chiso range<11 	84.2651	6.95283e-310	6.95283e-310	inf
30  <pt<40 	6<chiso range<12 	84.2651	6.95283e-310	6.95283e-310	inf
30  <pt<40 	6<chiso range<13 	84.2651	6.95283e-310	6.95283e-310	inf
30  <pt<40 	7<chiso range<12 	84.2651	6.95283e-310	6.95283e-310	inf
