pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	347.517	84.3725	136.307	114.113	6.95283e-310	1.99602	inf
20 <pt<25 	3<chiso range<9 	347.517	84.3725	136.307	113.094	6.95283e-310	2.03497	inf
20 <pt<25 	3<chiso range<10 	347.517	84.3725	136.307	111.131	6.95283e-310	1.99399	inf
20 <pt<25 	3<chiso range<11 	347.517	84.3725	136.307	109.313	6.95283e-310	1.93643	inf
20 <pt<25 	3<chiso range<12 	347.517	84.3725	136.307	108.249	6.95283e-310	1.91021	inf
20 <pt<25 	3<chiso range<13 	347.517	84.3725	136.307	105.63	6.95283e-310	1.77134	inf
20 <pt<25 	4<chiso range<9 	347.517	84.3725	136.307	109.078	6.95283e-310	1.74022	inf
20 <pt<25 	4<chiso range<10 	347.517	84.3725	136.307	107.402	6.95283e-310	1.71725	inf
20 <pt<25 	4<chiso range<11 	347.517	84.3725	136.307	105.829	6.95283e-310	1.6732	inf
20 <pt<25 	4<chiso range<12 	347.517	84.3725	136.307	105.019	6.95283e-310	1.66236	inf
20 <pt<25 	4<chiso range<13 	347.517	84.3725	136.307	102.422	6.95283e-310	1.5192	inf
20 <pt<25 	5<chiso range<10 	347.517	84.3725	136.307	106.064	6.95283e-310	1.56062	inf
20 <pt<25 	5<chiso range<11 	347.517	84.3725	136.307	104.349	6.95283e-310	1.51935	inf
20 <pt<25 	5<chiso range<12 	347.517	84.3725	136.307	103.596	6.95283e-310	1.51873	inf
20 <pt<25 	5<chiso range<13 	347.517	84.3725	136.307	100.763	6.95283e-310	1.36381	inf
20 <pt<25 	6<chiso range<11 	347.517	84.3725	136.307	103.252	6.95283e-310	1.3758	inf
20 <pt<25 	6<chiso range<12 	347.517	84.3725	136.307	102.551	6.95283e-310	1.38952	inf
20 <pt<25 	6<chiso range<13 	347.517	84.3725	136.307	99.3664	6.95283e-310	1.22055	inf
20 <pt<25 	7<chiso range<12 	347.517	84.3725	136.307	99.9058	6.95283e-310	1.16093	inf
20 <pt<25 	7<chiso range<13 	347.517	84.3725	136.307	96.5557	6.95283e-310	0.981369	inf
20 <pt<25 	8<chiso range<13 	347.517	84.3725	136.307	94.3669	6.95283e-310	0.779436	inf
#######################################################################################
25 <pt<30 	3<chiso range<8 	183.945	41.9398	76.1374	47.6454	6.95283e-310	0.60824	inf
25 <pt<30 	3<chiso range<9 	183.945	41.9398	76.1374	46.5229	6.95283e-310	0.520137	inf
25 <pt<30 	3<chiso range<10 	183.945	41.9398	76.1374	45.6005	6.95283e-310	0.436403	inf
25 <pt<30 	3<chiso range<11 	183.945	41.9398	76.1374	45.5294	6.95283e-310	0.436912	inf
25 <pt<30 	3<chiso range<12 	183.945	41.9398	76.1374	45.1111	6.95283e-310	0.39637	inf
25 <pt<30 	3<chiso range<13 	183.945	41.9398	76.1374	44.4804	6.95283e-310	0.326745	inf
25 <pt<30 	4<chiso range<9 	183.945	41.9398	76.1374	45.7679	6.95283e-310	0.423069	inf
25 <pt<30 	4<chiso range<10 	183.945	41.9398	76.1374	44.8216	6.95283e-310	0.337941	inf
25 <pt<30 	4<chiso range<11 	183.945	41.9398	76.1374	44.817	6.95283e-310	0.346118	inf
25 <pt<30 	4<chiso range<12 	183.945	41.9398	76.1374	44.4212	6.95283e-310	0.30782	inf
25 <pt<30 	4<chiso range<13 	183.945	41.9398	76.1374	43.7802	6.95283e-310	0.235825	inf
25 <pt<30 	5<chiso range<10 	183.945	41.9398	76.1374	43.0559	6.95283e-310	0.131076	inf
25 <pt<30 	5<chiso range<11 	183.945	41.9398	76.1374	43.3384	6.95283e-310	0.168716	inf
25 <pt<30 	5<chiso range<12 	183.945	41.9398	76.1374	43.0847	6.95283e-310	0.142819	inf
25 <pt<30 	5<chiso range<13 	183.945	41.9398	76.1374	42.5045	6.95283e-310	0.0729907	inf
25 <pt<30 	6<chiso range<11 	183.945	41.9398	76.1374	44.1224	6.95283e-310	0.247361	inf
25 <pt<30 	6<chiso range<12 	183.945	41.9398	76.1374	43.7102	6.95283e-310	0.210226	inf
25 <pt<30 	6<chiso range<13 	183.945	41.9398	76.1374	42.9611	6.95283e-310	0.126944	inf
25 <pt<30 	7<chiso range<12 	183.945	41.9398	76.1374	42.8472	6.95283e-310	0.104969	inf
25 <pt<30 	7<chiso range<13 	183.945	41.9398	76.1374	42.1265	6.95283e-310	0.022806	inf
25 <pt<30 	8<chiso range<13 	183.945	41.9398	76.1374	40.654	6.95283e-310	0.156445	inf
#######################################################################################
30 <pt<40 	3<chiso range<8 	183.916	34.0901	84.2651	36.364	6.95283e-310	0.283191	inf
30 <pt<40 	3<chiso range<9 	183.916	34.0901	84.2651	35.4508	6.95283e-310	0.180094	inf
30 <pt<40 	3<chiso range<10 	183.916	34.0901	84.2651	35.4851	6.95283e-310	0.189148	inf
30 <pt<40 	3<chiso range<11 	183.916	34.0901	84.2651	35.2429	6.95283e-310	0.160098	inf
30 <pt<40 	3<chiso range<12 	183.916	34.0901	84.2651	34.8491	6.95283e-310	0.108308	inf
30 <pt<40 	3<chiso range<13 	183.916	34.0901	84.2651	34.1584	6.95283e-310	0.010064	inf
30 <pt<40 	4<chiso range<9 	183.916	34.0901	84.2651	34.9437	6.95283e-310	0.11023	inf
30 <pt<40 	4<chiso range<10 	183.916	34.0901	84.2651	35.0135	6.95283e-310	0.123069	inf
30 <pt<40 	4<chiso range<11 	183.916	34.0901	84.2651	35.0406	6.95283e-310	0.129718	inf
30 <pt<40 	4<chiso range<12 	183.916	34.0901	84.2651	34.6197	6.95283e-310	0.0746201	inf
30 <pt<40 	4<chiso range<13 	183.916	34.0901	84.2651	33.8658	6.95283e-310	0.0327939	inf
30 <pt<40 	5<chiso range<10 	183.916	34.0901	84.2651	34.1924	6.95283e-310	0.013476	inf
30 <pt<40 	5<chiso range<11 	183.916	34.0901	84.2651	34.302	6.95283e-310	0.0287219	inf
30 <pt<40 	5<chiso range<12 	183.916	34.0901	84.2651	33.914	6.95283e-310	0.0247574	inf
30 <pt<40 	5<chiso range<13 	183.916	34.0901	84.2651	33.142	6.95283e-310	0.138975	inf
30 <pt<40 	6<chiso range<11 	183.916	34.0901	84.2651	33.8889	6.95283e-310	0.0267186	inf
30 <pt<40 	6<chiso range<12 	183.916	34.0901	84.2651	33.5016	6.95283e-310	0.0816392	inf
30 <pt<40 	6<chiso range<13 	183.916	34.0901	84.2651	32.677	6.95283e-310	0.205765	inf
30 <pt<40 	7<chiso range<12 	183.916	34.0901	84.2651	33.2145	6.95283e-310	0.118066	inf
30 <pt<40 	7<chiso range<13 	183.916	34.0901	84.2651	32.2966	6.95283e-310	0.256582	inf
30 <pt<40 	8<chiso range<13 	183.916	34.0901	84.2651	31.5025	6.95283e-310	0.365087	inf
#######################################################################################
40 <pt<50 	3<chiso range<8 	84.5304	13.1859	45.1201	12.5998	6.95283e-310	0.125036	inf
40 <pt<50 	3<chiso range<9 	84.5304	13.1859	45.1201	12.5492	6.95283e-310	0.139914	inf
40 <pt<50 	3<chiso range<10 	84.5304	13.1859	45.1201	12.4625	6.95283e-310	0.163521	inf
40 <pt<50 	3<chiso range<11 	84.5304	13.1859	45.1201	12.3563	6.95283e-310	0.192014	inf
40 <pt<50 	3<chiso range<12 	84.5304	13.1859	45.1201	12.1779	6.95283e-310	0.239827	inf
40 <pt<50 	3<chiso range<13 	84.5304	13.1859	45.1201	11.9044	6.95283e-310	0.315696	inf
40 <pt<50 	4<chiso range<9 	84.5304	13.1859	45.1201	12.5637	6.95283e-310	0.132464	inf
40 <pt<50 	4<chiso range<10 	84.5304	13.1859	45.1201	12.4622	6.95283e-310	0.159763	inf
40 <pt<50 	4<chiso range<11 	84.5304	13.1859	45.1201	12.3437	6.95283e-310	0.191393	inf
40 <pt<50 	4<chiso range<12 	84.5304	13.1859	45.1201	12.1437	6.95283e-310	0.244751	inf
40 <pt<50 	4<chiso range<13 	84.5304	13.1859	45.1201	11.8416	6.95283e-310	0.328588	inf
40 <pt<50 	5<chiso range<10 	84.5304	13.1859	45.1201	13.0623	6.95283e-310	0.0251262	inf
40 <pt<50 	5<chiso range<11 	84.5304	13.1859	45.1201	12.8358	6.95283e-310	0.0744148	inf
40 <pt<50 	5<chiso range<12 	84.5304	13.1859	45.1201	12.5378	6.95283e-310	0.144202	inf
40 <pt<50 	5<chiso range<13 	84.5304	13.1859	45.1201	12.1421	6.95283e-310	0.244436	inf
40 <pt<50 	6<chiso range<11 	84.5304	13.1859	45.1201	12.5627	6.95283e-310	0.13083	inf
40 <pt<50 	6<chiso range<12 	84.5304	13.1859	45.1201	12.3122	6.95283e-310	0.193106	inf
40 <pt<50 	6<chiso range<13 	84.5304	13.1859	45.1201	11.8956	6.95283e-310	0.302482	inf
40 <pt<50 	7<chiso range<12 	84.5304	13.1859	45.1201	12.1133	6.95283e-310	0.233595	inf
40 <pt<50 	7<chiso range<13 	84.5304	13.1859	45.1201	11.6706	6.95283e-310	0.353669	inf
40 <pt<50 	8<chiso range<13 	84.5304	13.1859	45.1201	11.7751	6.95283e-310	0.314227	inf
#######################################################################################
50 <pt<65 	3<chiso range<8 	58.4468	7.14823	36.1475	7.08747	6.95283e-310	0.0180823	inf
50 <pt<65 	3<chiso range<9 	58.4468	7.14823	36.1475	7.03892	6.95283e-310	0.0334419	inf
50 <pt<65 	3<chiso range<10 	58.4468	7.14823	36.1475	6.79087	6.95283e-310	0.115381	inf
50 <pt<65 	3<chiso range<11 	58.4468	7.14823	36.1475	6.63087	6.95283e-310	0.174113	inf
50 <pt<65 	3<chiso range<12 	58.4468	7.14823	36.1475	6.37723	6.95283e-310	0.273106	inf
50 <pt<65 	3<chiso range<13 	58.4468	7.14823	36.1475	6.40625	6.95283e-310	0.263892	inf
50 <pt<65 	4<chiso range<9 	58.4468	7.14823	36.1475	6.61733	6.95283e-310	0.168776	inf
50 <pt<65 	4<chiso range<10 	58.4468	7.14823	36.1475	6.40889	6.95283e-310	0.248385	inf
50 <pt<65 	4<chiso range<11 	58.4468	7.14823	36.1475	6.26488	6.95283e-310	0.309998	inf
50 <pt<65 	4<chiso range<12 	58.4468	7.14823	36.1475	6.03666	6.95283e-310	0.410944	inf
50 <pt<65 	4<chiso range<13 	58.4468	7.14823	36.1475	6.1019	6.95283e-310	0.386662	inf
50 <pt<65 	5<chiso range<10 	58.4468	7.14823	36.1475	6.42329	6.95283e-310	0.23619	inf
50 <pt<65 	5<chiso range<11 	58.4468	7.14823	36.1475	6.23297	6.95283e-310	0.315656	inf
50 <pt<65 	5<chiso range<12 	58.4468	7.14823	36.1475	5.97614	6.95283e-310	0.430095	inf
50 <pt<65 	5<chiso range<13 	58.4468	7.14823	36.1475	6.05753	6.95283e-310	0.400087	inf
50 <pt<65 	6<chiso range<11 	58.4468	7.14823	36.1475	6.34927	6.95283e-310	0.262779	inf
50 <pt<65 	6<chiso range<12 	58.4468	7.14823	36.1475	6.03538	6.95283e-310	0.3956	inf
