pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	421.179	92.8109	0.22036	0.762978	0.0519768	10.4396
20 <pt<25 	3<chiso range<9 	421.179	92.8109	0.22036	0.754395	0.051304	10.4092
20 <pt<25 	3<chiso range<10 	421.179	92.8109	0.22036	0.739445	0.0502988	10.32
20 <pt<25 	3<chiso range<11 	421.179	92.8109	0.22036	0.728689	0.0495712	10.2545
20 <pt<25 	3<chiso range<12 	421.179	92.8109	0.22036	0.719887	0.0490059	10.1932
20 <pt<25 	3<chiso range<13 	421.179	92.8109	0.22036	0.703547	0.0479063	10.0861
20 <pt<25 	4<chiso range<9 	421.179	92.8109	0.22036	0.727862	0.0495187	10.2487
20 <pt<25 	4<chiso range<10 	421.179	92.8109	0.22036	0.714515	0.048576	10.1728
20 <pt<25 	4<chiso range<11 	421.179	92.8109	0.22036	0.70529	0.0479519	10.1128
20 <pt<25 	4<chiso range<12 	421.179	92.8109	0.22036	0.698078	0.0475021	10.0568
20 <pt<25 	4<chiso range<13 	421.179	92.8109	0.22036	0.682081	0.0464371	9.94294
20 <pt<25 	5<chiso range<10 	421.179	92.8109	0.22036	0.708969	0.0482004	10.137
20 <pt<25 	5<chiso range<11 	421.179	92.8109	0.22036	0.698855	0.0475152	10.0704
20 <pt<25 	5<chiso range<12 	421.179	92.8109	0.22036	0.691353	0.0470529	10.0099
20 <pt<25 	5<chiso range<13 	421.179	92.8109	0.22036	0.673888	0.0458495	9.89167
20 <pt<25 	6<chiso range<11 	421.179	92.8109	0.22036	0.691248	0.0470444	10.0094
20 <pt<25 	6<chiso range<12 	421.179	92.8109	0.22036	0.683394	0.0465689	9.94299
20 <pt<25 	6<chiso range<13 	421.179	92.8109	0.22036	0.663795	0.0452079	9.8088
20 <pt<25 	7<chiso range<12 	421.179	92.8109	0.22036	0.668554	0.0455169	9.84677
20 <pt<25 	7<chiso range<13 	421.179	92.8109	0.22036	0.647544	0.0441018	9.68632
20 <pt<25 	8<chiso range<13 	421.179	92.8109	0.22036	0.63489	0.0431848	9.59899
#######################################################################################
25 <pt<30 	3<chiso range<8 	190.354	38.8913	0.20431	0.617937	0.0672564	6.15
25 <pt<30 	3<chiso range<9 	190.354	38.8913	0.20431	0.597674	0.0651345	6.03925
25 <pt<30 	3<chiso range<10 	190.354	38.8913	0.20431	0.582966	0.0635127	5.96189
25 <pt<30 	3<chiso range<11 	190.354	38.8913	0.20431	0.58107	0.063374	5.94502
25 <pt<30 	3<chiso range<12 	190.354	38.8913	0.20431	0.576956	0.0629459	5.92009
25 <pt<30 	3<chiso range<13 	190.354	38.8913	0.20431	0.564838	0.061662	5.84684
25 <pt<30 	4<chiso range<9 	190.354	38.8913	0.20431	0.583386	0.0636101	5.95936
25 <pt<30 	4<chiso range<10 	190.354	38.8913	0.20431	0.568393	0.0619479	5.87724
25 <pt<30 	4<chiso range<11 	190.354	38.8913	0.20431	0.568078	0.061982	5.86892
25 <pt<30 	4<chiso range<12 	190.354	38.8913	0.20431	0.564927	0.0616594	5.84853
25 <pt<30 	4<chiso range<13 	190.354	38.8913	0.20431	0.552624	0.0603576	5.77083
25 <pt<30 	5<chiso range<10 	190.354	38.8913	0.20431	0.541197	0.0589801	5.71187
25 <pt<30 	5<chiso range<11 	190.354	38.8913	0.20431	0.545155	0.0594961	5.72886
25 <pt<30 	5<chiso range<12 	190.354	38.8913	0.20431	0.54453	0.0594473	5.72305
25 <pt<30 	5<chiso range<13 	190.354	38.8913	0.20431	0.532943	0.0582209	5.64458
