pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	92.8109	213.025	14.3626	8.36994
20 <pt<25 	3<chiso range<9 	92.8109	210.629	14.1762	8.31098
20 <pt<25 	3<chiso range<10 	92.8109	206.455	13.8985	8.17672
20 <pt<25 	3<chiso range<11 	92.8109	203.451	13.6974	8.07745
20 <pt<25 	3<chiso range<12 	92.8109	200.994	13.5414	7.98906
20 <pt<25 	3<chiso range<13 	92.8109	196.432	13.2377	7.82773
20 <pt<25 	4<chiso range<9 	92.8109	203.22	13.683	8.06907
20 <pt<25 	4<chiso range<10 	92.8109	199.494	13.4223	7.9482
20 <pt<25 	4<chiso range<11 	92.8109	196.918	13.2499	7.8572
20 <pt<25 	4<chiso range<12 	92.8109	194.905	13.1258	7.77812
20 <pt<25 	4<chiso range<13 	92.8109	190.438	12.8317	7.60827
20 <pt<25 	5<chiso range<10 	92.8109	197.946	13.3185	7.89391
20 <pt<25 	5<chiso range<11 	92.8109	195.122	13.1292	7.79264
20 <pt<25 	5<chiso range<12 	92.8109	193.027	13.0017	7.70792
20 <pt<25 	5<chiso range<13 	92.8109	188.151	12.6691	7.5254
20 <pt<25 	6<chiso range<11 	92.8109	192.998	12.9994	7.70706
20 <pt<25 	6<chiso range<12 	92.8109	190.805	12.8683	7.61516
20 <pt<25 	6<chiso range<13 	92.8109	185.333	12.4921	7.40645
20 <pt<25 	7<chiso range<12 	92.8109	186.662	12.5774	7.46188
20 <pt<25 	7<chiso range<13 	92.8109	180.796	12.1865	7.21988
20 <pt<25 	8<chiso range<13 	92.8109	177.263	11.9327	7.07737
#######################################################################################
25 <pt<30 	3<chiso range<8 	38.8913	91.9506	9.93465	5.34083
25 <pt<30 	3<chiso range<9 	38.8913	88.9353	9.6214	5.20132
25 <pt<30 	3<chiso range<10 	38.8913	86.7468	9.38179	5.10089
25 <pt<30 	3<chiso range<11 	38.8913	86.4647	9.36145	5.08184
25 <pt<30 	3<chiso range<12 	38.8913	85.8525	9.29826	5.05054
25 <pt<30 	3<chiso range<13 	38.8913	84.0493	9.10869	4.95768
25 <pt<30 	4<chiso range<9 	38.8913	86.8094	9.3963	5.09968
25 <pt<30 	4<chiso range<10 	38.8913	84.5784	9.1507	4.99274
25 <pt<30 	4<chiso range<11 	38.8913	84.5314	9.15588	4.98479
25 <pt<30 	4<chiso range<12 	38.8913	84.0626	9.10828	4.95937
25 <pt<30 	4<chiso range<13 	38.8913	82.2319	8.91606	4.86096
25 <pt<30 	5<chiso range<10 	38.8913	80.5315	8.71229	4.77948
25 <pt<30 	5<chiso range<11 	38.8913	81.1204	8.7887	4.80493
25 <pt<30 	5<chiso range<12 	38.8913	81.0275	8.78155	4.79826
25 <pt<30 	5<chiso range<13 	38.8913	79.3033	8.60046	4.69882
25 <pt<30 	6<chiso range<11 	38.8913	81.9674	8.90664	4.8364
25 <pt<30 	6<chiso range<12 	38.8913	81.7347	8.88166	4.82381
25 <pt<30 	6<chiso range<13 	38.8913	79.6445	8.65963	4.70611
25 <pt<30 	7<chiso range<12 	38.8913	81.3616	8.84356	4.8024
25 <pt<30 	7<chiso range<13 	38.8913	78.9372	8.58546	4.66439
25 <pt<30 	8<chiso range<13 	38.8913	75.4591	8.19899	4.46004
#######################################################################################
30 <pt<40 	3<chiso range<8 	33.8124	69.6743	8.83965	4.05694
30 <pt<40 	3<chiso range<9 	33.8124	67.8119	8.61622	3.94599
30 <pt<40 	3<chiso range<10 	33.8124	67.2295	8.54581	3.91035
30 <pt<40 	3<chiso range<11 	33.8124	66.8287	8.49592	3.88614
30 <pt<40 	3<chiso range<12 	33.8124	65.4762	8.3228	3.80446
30 <pt<40 	3<chiso range<13 	33.8124	63.8249	8.11234	3.69961
30 <pt<40 	4<chiso range<9 	33.8124	67.2032	8.54223	3.90891
30 <pt<40 	4<chiso range<10 	33.8124	66.6206	8.47222	3.87244
30 <pt<40 	4<chiso range<11 	33.8124	66.2409	8.42502	3.84907
30 <pt<40 	4<chiso range<12 	33.8124	64.7642	8.23536	3.7584
30 <pt<40 	4<chiso range<13 	33.8124	62.9786	8.0073	3.64245
30 <pt<40 	5<chiso range<10 	33.8124	65.3485	8.33842	3.78202
30 <pt<40 	5<chiso range<11 	33.8124	65.0901	8.30219	3.7674
30 <pt<40 	5<chiso range<12 	33.8124	63.5379	8.09875	3.67038
30 <pt<40 	5<chiso range<13 	33.8124	61.6554	7.85646	3.54396
30 <pt<40 	6<chiso range<11 	33.8124	64.0034	8.17149	3.69468
30 <pt<40 	6<chiso range<12 	33.8124	62.3723	7.95569	3.58987
30 <pt<40 	6<chiso range<13 	33.8124	60.3906	7.69919	3.45208
30 <pt<40 	7<chiso range<12 	33.8124	62.1651	7.93222	3.57437
30 <pt<40 	7<chiso range<13 	33.8124	59.8619	7.63225	3.41308
30 <pt<40 	8<chiso range<13 	33.8124	57.5731	7.33358	3.23999
#######################################################################################
40 <pt<60 	3<chiso range<8 	33.8124	31.0957	5.92879	0.458222
40 <pt<60 	3<chiso range<9 	33.8124	31.4762	5.99068	0.389972
40 <pt<60 	3<chiso range<10 	33.8124	30.924	5.87725	0.491454
40 <pt<60 	3<chiso range<11 	33.8124	30.4515	5.79412	0.580054
40 <pt<60 	3<chiso range<12 	33.8124	29.8346	5.68312	0.699932
40 <pt<60 	3<chiso range<13 	33.8124	29.4411	5.6101	0.779184
40 <pt<60 	4<chiso range<9 	33.8124	30.4686	5.80197	0.576321
40 <pt<60 	4<chiso range<10 	33.8124	30.0059	5.70345	0.667403
