pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	128.459	61.0095	22.6203	2.98181
20  <pt<25 	3<chiso range<9 	128.459	62.9855	22.4815	2.91233
20  <pt<25 	3<chiso range<10 	128.459	66.993	22.28	2.7588
20  <pt<25 	3<chiso range<11 	128.459	70.0092	22.1369	2.64038
20  <pt<25 	3<chiso range<12 	128.459	72.5822	22.0392	2.53534
20  <pt<25 	3<chiso range<13 	128.459	77.1762	21.8326	2.34891
20  <pt<25 	4<chiso range<9 	128.459	70.2999	22.1258	2.62856
20  <pt<25 	4<chiso range<10 	128.459	73.8628	21.93	2.48957
20  <pt<25 	4<chiso range<11 	128.459	76.4704	21.8101	2.38369
20  <pt<25 	4<chiso range<12 	128.459	78.5791	21.743	2.29407
20  <pt<25 	4<chiso range<13 	128.459	83.1031	21.5481	2.10487
20  <pt<25 	5<chiso range<10 	128.459	75.4717	21.8555	2.42444
20  <pt<25 	5<chiso range<11 	128.459	78.3277	21.7243	2.30761
20  <pt<25 	5<chiso range<12 	128.459	80.509	21.6601	2.21375
20  <pt<25 	5<chiso range<13 	128.459	85.253	21.4367	2.01552
20  <pt<25 	6<chiso range<11 	128.459	80.6193	21.654	2.20928
20  <pt<25 	6<chiso range<12 	128.459	82.9328	21.5885	2.10882
20  <pt<25 	6<chiso range<13 	128.459	88.2517	21.335	1.88457
20  <pt<25 	7<chiso range<12 	128.459	86.8219	21.3884	1.94671
20  <pt<25 	7<chiso range<13 	128.459	92.7484	21.1331	1.68979
20  <pt<25 	8<chiso range<13 	128.459	95.8767	20.9504	1.55521
#######################################################################################
25  <pt<30 	3<chiso range<8 	73.9156	54.4901	16.0786	1.20816
25  <pt<30 	3<chiso range<9 	73.9156	57.5913	15.8778	1.02812
25  <pt<30 	3<chiso range<10 	73.9156	59.7261	15.7152	0.902916
25  <pt<30 	3<chiso range<11 	73.9156	60.0848	15.7135	0.880186
25  <pt<30 	3<chiso range<12 	73.9156	60.7263	15.6745	0.841449
25  <pt<30 	3<chiso range<13 	73.9156	62.5847	15.5551	0.728436
25  <pt<30 	4<chiso range<9 	73.9156	59.7213	15.7339	0.902148
25  <pt<30 	4<chiso range<10 	73.9156	61.8866	15.5681	0.77267
25  <pt<30 	4<chiso range<11 	73.9156	62.0331	15.5823	0.762564
25  <pt<30 	4<chiso range<12 	73.9156	62.5297	15.5545	0.732
25  <pt<30 	4<chiso range<13 	73.9156	64.4147	15.4359	0.615507
25  <pt<30 	5<chiso range<10 	73.9156	65.9254	15.2824	0.522837
25  <pt<30 	5<chiso range<11 	73.9156	65.438	15.3473	0.552384
25  <pt<30 	5<chiso range<12 	73.9156	65.5679	15.3453	0.543991
25  <pt<30 	5<chiso range<13 	73.9156	67.3613	15.2352	0.430208
25  <pt<30 	6<chiso range<11 	73.9156	64.8983	15.4486	0.583697
25  <pt<30 	6<chiso range<12 	73.9156	65.1157	15.434	0.570163
25  <pt<30 	6<chiso range<13 	73.9156	67.2374	15.2981	0.436538
25  <pt<30 	7<chiso range<12 	73.9156	65.5104	15.4122	0.54536
25  <pt<30 	7<chiso range<13 	73.9156	67.9716	15.254	0.389668
25  <pt<30 	8<chiso range<13 	73.9156	71.3235	15.0046	0.172754
#######################################################################################
30  <pt<40 	3<chiso range<8 	84.2649	73.509	15.2233	0.706542
30  <pt<40 	3<chiso range<9 	84.2649	75.4362	15.0959	0.584841
30  <pt<40 	3<chiso range<10 	84.2649	76.0561	15.0542	0.545283
30  <pt<40 	3<chiso range<11 	84.2649	76.4906	15.0219	0.517531
30  <pt<40 	3<chiso range<12 	84.2649	77.8191	14.9143	0.432189
30  <pt<40 	3<chiso range<13 	84.2649	79.4518	14.7859	0.32552
30  <pt<40 	4<chiso range<9 	84.2649	76.0601	15.0533	0.54505
30  <pt<40 	4<chiso range<10 	84.2649	76.6806	15.0128	0.505189
30  <pt<40 	4<chiso range<11 	84.2649	77.0918	14.9825	0.478765
30  <pt<40 	4<chiso range<12 	84.2649	78.5396	14.8647	0.385161
30  <pt<40 	4<chiso range<13 	84.2649	80.3032	14.726	0.269028
30  <pt<40 	5<chiso range<10 	84.2649	78.1973	14.9541	0.405748
30  <pt<40 	5<chiso range<11 	84.2649	78.4605	14.9262	0.388873
30  <pt<40 	5<chiso range<12 	84.2649	79.9472	14.7981	0.291774
30  <pt<40 	5<chiso range<13 	84.2649	81.7802	14.6517	0.169584
30  <pt<40 	6<chiso range<11 	84.2649	79.6253	14.8524	0.31238
30  <pt<40 	6<chiso range<12 	84.2649	81.1662	14.7164	0.210561
30  <pt<40 	6<chiso range<13 	84.2649	83.0827	14.562	0.0811839
30  <pt<40 	7<chiso range<12 	84.2649	81.3721	14.7067	0.196699
30  <pt<40 	7<chiso range<13 	84.2649	83.5998	14.5244	0.0457919
30  <pt<40 	8<chiso range<13 	84.2649	85.8006	14.3459	0.107048
#######################################################################################
40  <pt<60 	3<chiso range<8 	84.2649	72.4347	11.959	0.98923
40  <pt<60 	3<chiso range<9 	84.2649	72.0034	11.9832	1.02322
40  <pt<60 	3<chiso range<10 	84.2649	72.471	11.9204	0.989388
40  <pt<60 	3<chiso range<11 	84.2649	72.9771	11.8822	0.949976
40  <pt<60 	3<chiso range<12 	84.2649	73.5812	11.8229	0.903645
40  <pt<60 	3<chiso range<13 	84.2649	73.977	11.7867	0.87284
40  <pt<60 	4<chiso range<9 	84.2649	72.9999	11.8885	0.947554
40  <pt<60 	4<chiso range<10 	84.2649	73.3143	11.8269	0.925906
40  <pt<60 	4<chiso range<11 	84.2649	73.7756	11.7936	0.889406
40  <pt<60 	4<chiso range<12 	84.2649	74.4151	11.7382	0.839124
40  <pt<60 	4<chiso range<13 	84.2649	74.7619	11.7068	0.81175
40  <pt<60 	5<chiso range<10 	84.2649	72.0019	11.9477	1.02639
40  <pt<60 	5<chiso range<11 	84.2649	72.782	11.8885	0.965883
40  <pt<60 	5<chiso range<12 	84.2649	73.6255	11.8121	0.90072
40  <pt<60 	5<chiso range<13 	84.2649	74.1371	11.7659	0.860776
40  <pt<60 	6<chiso range<11 	84.2649	73.0652	11.843	0.945681
40  <pt<60 	6<chiso range<12 	84.2649	74.0098	11.7621	0.871877
40  <pt<60 	6<chiso range<13 	84.2649	74.5225	11.7138	0.831703
40  <pt<60 	7<chiso range<12 	84.2649	74.6352	11.7153	0.821976
40  <pt<60 	7<chiso range<13 	84.2649	75.1493	11.6691	0.781174
40  <pt<60 	8<chiso range<13 	84.2649	75.8545	11.5869	0.725854
#######################################################################################
60  <pt<80 	3<chiso range<8 	28.1957	26.8867	6.49926	0.201408
60  <pt<80 	3<chiso range<9 	28.1957	27.2747	6.47443	0.142252
60  <pt<80 	3<chiso range<10 	28.1957	27.3791	6.42882	0.127022
60  <pt<80 	3<chiso range<11 	28.1957	27.3134	6.43393	0.137132
60  <pt<80 	3<chiso range<12 	28.1957	27.6254	6.39315	0.0892049
60  <pt<80 	3<chiso range<13 	28.1957	27.781	6.38206	0.064979
60  <pt<80 	4<chiso range<9 	28.1957	27.4398	6.45594	0.117086
60  <pt<80 	4<chiso range<10 	28.1957	27.5366	6.40659	0.102878
60  <pt<80 	4<chiso range<11 	28.1957	27.4413	6.41544	0.117591
60  <pt<80 	4<chiso range<12 	28.1957	27.7624	6.37481	0.0679707
60  <pt<80 	4<chiso range<13 	28.1957	27.9221	6.36381	0.0429931
60  <pt<80 	5<chiso range<10 	28.1957	28.2414	6.30413	0.00724922
60  <pt<80 	5<chiso range<11 	28.1957	28.0289	6.32849	0.026357
60  <pt<80 	5<chiso range<12 	28.1957	28.2898	6.29983	0.0149369
60  <pt<80 	5<chiso range<13 	28.1957	28.4041	6.29645	0.033098
60  <pt<80 	6<chiso range<11 	28.1957	28.1126	6.30719	0.0131754
60  <pt<80 	6<chiso range<12 	28.1957	28.392	6.27968	0.0312596
60  <pt<80 	6<chiso range<13 	28.1957	28.5101	6.27775	0.0500816
60  <pt<80 	7<chiso range<12 	28.1957	28.3862	6.27052	0.0303803
60  <pt<80 	7<chiso range<13 	28.1957	28.5228	6.27046	0.0521652
60  <pt<80 	8<chiso range<13 	28.1957	28.6481	6.27421	0.0721047
#######################################################################################
80  <pt<400 	3<chiso range<8 	28.1957	32.9117	6.27363	0.751718
80  <pt<400 	3<chiso range<9 	28.1957	33.1988	6.25086	0.800386
80  <pt<400 	3<chiso range<10 	28.1957	33.0651	6.24259	0.780029
80  <pt<400 	3<chiso range<11 	28.1957	33.2777	6.22831	0.815952
80  <pt<400 	3<chiso range<12 	28.1957	33.2263	6.24132	0.806015
80  <pt<400 	3<chiso range<13 	28.1957	33.2499	6.24023	0.809938
80  <pt<400 	4<chiso range<9 	28.1957	33.4593	6.22162	0.846018
80  <pt<400 	4<chiso range<10 	28.1957	33.3311	6.2336	0.823826
80  <pt<400 	4<chiso range<11 	28.1957	33.4279	6.19381	0.844747
80  <pt<400 	4<chiso range<12 	28.1957	33.3889	6.22256	0.834576
80  <pt<400 	4<chiso range<13 	28.1957	33.392	6.22396	0.834886
80  <pt<400 	5<chiso range<10 	28.1957	33.3122	6.23751	0.820279
80  <pt<400 	5<chiso range<11 	28.1957	33.4305	6.1901	0.845673
80  <pt<400 	5<chiso range<12 	28.1957	33.3851	6.22327	0.83387
80  <pt<400 	5<chiso range<13 	28.1957	33.388	6.22506	0.834096
80  <pt<400 	6<chiso range<11 	28.1957	33.6201	6.18782	0.876625
80  <pt<400 	6<chiso range<12 	28.1957	33.4503	6.20222	0.847213
80  <pt<400 	6<chiso range<13 	28.1957	33.4697	6.21635	0.848408
80  <pt<400 	7<chiso range<12 	28.1957	33.3959	6.22152	0.835841
80  <pt<400 	7<chiso range<13 	28.1957	33.3972	6.22431	0.835675
80  <pt<400 	8<chiso range<13 	28.1957	33.4919	6.20034	0.854179
#######################################################################################
