pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	421.179	92.8109	128.459	213.025	61.0095	8.36994	2.98181
20 <pt<25 	3<chiso range<9 	421.179	92.8109	128.459	210.629	62.9855	8.31098	2.91233
20 <pt<25 	3<chiso range<10 	421.179	92.8109	128.459	206.455	66.993	8.17672	2.7588
20 <pt<25 	3<chiso range<11 	421.179	92.8109	128.459	203.451	70.0092	8.07745	2.64038
20 <pt<25 	3<chiso range<12 	421.179	92.8109	128.459	200.994	72.5822	7.98906	2.53534
20 <pt<25 	3<chiso range<13 	421.179	92.8109	128.459	196.432	77.1762	7.82773	2.34891
20 <pt<25 	4<chiso range<9 	421.179	92.8109	128.459	203.22	70.2999	8.06907	2.62856
20 <pt<25 	4<chiso range<10 	421.179	92.8109	128.459	199.494	73.8628	7.9482	2.48957
20 <pt<25 	4<chiso range<11 	421.179	92.8109	128.459	196.918	76.4704	7.8572	2.38369
20 <pt<25 	4<chiso range<12 	421.179	92.8109	128.459	194.905	78.5791	7.77812	2.29407
20 <pt<25 	4<chiso range<13 	421.179	92.8109	128.459	190.438	83.1031	7.60827	2.10487
20 <pt<25 	5<chiso range<10 	421.179	92.8109	128.459	197.946	75.4717	7.89391	2.42444
20 <pt<25 	5<chiso range<11 	421.179	92.8109	128.459	195.122	78.3277	7.79264	2.30761
20 <pt<25 	5<chiso range<12 	421.179	92.8109	128.459	193.027	80.509	7.70792	2.21375
20 <pt<25 	5<chiso range<13 	421.179	92.8109	128.459	188.151	85.253	7.5254	2.01552
20 <pt<25 	6<chiso range<11 	421.179	92.8109	128.459	192.998	80.6193	7.70706	2.20928
20 <pt<25 	6<chiso range<12 	421.179	92.8109	128.459	190.805	82.9328	7.61516	2.10882
20 <pt<25 	6<chiso range<13 	421.179	92.8109	128.459	185.333	88.2517	7.40645	1.88457
20 <pt<25 	7<chiso range<12 	421.179	92.8109	128.459	186.662	86.8219	7.46188	1.94671
20 <pt<25 	7<chiso range<13 	421.179	92.8109	128.459	180.796	92.7484	7.21988	1.68979
20 <pt<25 	8<chiso range<13 	421.179	92.8109	128.459	177.263	95.8767	7.07737	1.55521
#######################################################################################
25 <pt<30 	3<chiso range<8 	190.354	38.8913	73.9156	91.9506	54.4901	5.34083	1.20816
25 <pt<30 	3<chiso range<9 	190.354	38.8913	73.9156	88.9353	57.5913	5.20132	1.02812
25 <pt<30 	3<chiso range<10 	190.354	38.8913	73.9156	86.7468	59.7261	5.10089	0.902916
25 <pt<30 	3<chiso range<11 	190.354	38.8913	73.9156	86.4647	60.0848	5.08184	0.880186
25 <pt<30 	3<chiso range<12 	190.354	38.8913	73.9156	85.8525	60.7263	5.05054	0.841449
25 <pt<30 	3<chiso range<13 	190.354	38.8913	73.9156	84.0493	62.5847	4.95768	0.728436
25 <pt<30 	4<chiso range<9 	190.354	38.8913	73.9156	86.8094	59.7213	5.09968	0.902148
25 <pt<30 	4<chiso range<10 	190.354	38.8913	73.9156	84.5784	61.8866	4.99274	0.77267
25 <pt<30 	4<chiso range<11 	190.354	38.8913	73.9156	84.5314	62.0331	4.98479	0.762564
25 <pt<30 	4<chiso range<12 	190.354	38.8913	73.9156	84.0626	62.5297	4.95937	0.732
25 <pt<30 	4<chiso range<13 	190.354	38.8913	73.9156	82.2319	64.4147	4.86096	0.615507
25 <pt<30 	5<chiso range<10 	190.354	38.8913	73.9156	80.5315	65.9254	4.77948	0.522837
25 <pt<30 	5<chiso range<11 	190.354	38.8913	73.9156	81.1204	65.438	4.80493	0.552384
25 <pt<30 	5<chiso range<12 	190.354	38.8913	73.9156	81.0275	65.5679	4.79826	0.543991
25 <pt<30 	5<chiso range<13 	190.354	38.8913	73.9156	79.3033	67.3613	4.69882	0.430208
25 <pt<30 	6<chiso range<11 	190.354	38.8913	73.9156	81.9674	64.8983	4.8364	0.583697
25 <pt<30 	6<chiso range<12 	190.354	38.8913	73.9156	81.7347	65.1157	4.82381	0.570163
25 <pt<30 	6<chiso range<13 	190.354	38.8913	73.9156	79.6445	67.2374	4.70611	0.436538
25 <pt<30 	7<chiso range<12 	190.354	38.8913	73.9156	81.3616	65.5104	4.8024	0.54536
25 <pt<30 	7<chiso range<13 	190.354	38.8913	73.9156	78.9372	67.9716	4.66439	0.389668
25 <pt<30 	8<chiso range<13 	190.354	38.8913	73.9156	75.4591	71.3235	4.46004	0.172754
#######################################################################################
30 <pt<40 	3<chiso range<8 	166.097	33.8124	84.2649	69.6743	73.509	4.05694	0.706542
30 <pt<40 	3<chiso range<9 	166.097	33.8124	84.2649	67.8119	75.4362	3.94599	0.584841
30 <pt<40 	3<chiso range<10 	166.097	33.8124	84.2649	67.2295	76.0561	3.91035	0.545283
30 <pt<40 	3<chiso range<11 	166.097	33.8124	84.2649	66.8287	76.4906	3.88614	0.517531
30 <pt<40 	3<chiso range<12 	166.097	33.8124	84.2649	65.4762	77.8191	3.80446	0.432189
30 <pt<40 	3<chiso range<13 	166.097	33.8124	84.2649	63.8249	79.4518	3.69961	0.32552
30 <pt<40 	4<chiso range<9 	166.097	33.8124	84.2649	67.2032	76.0601	3.90891	0.54505
30 <pt<40 	4<chiso range<10 	166.097	33.8124	84.2649	66.6206	76.6806	3.87244	0.505189
30 <pt<40 	4<chiso range<11 	166.097	33.8124	84.2649	66.2409	77.0918	3.84907	0.478765
30 <pt<40 	4<chiso range<12 	166.097	33.8124	84.2649	64.7642	78.5396	3.7584	0.385161
30 <pt<40 	4<chiso range<13 	166.097	33.8124	84.2649	62.9786	80.3032	3.64245	0.269028
30 <pt<40 	5<chiso range<10 	166.097	33.8124	84.2649	65.3485	78.1973	3.78202	0.405748
30 <pt<40 	5<chiso range<11 	166.097	33.8124	84.2649	65.0901	78.4605	3.7674	0.388873
30 <pt<40 	5<chiso range<12 	166.097	33.8124	84.2649	63.5379	79.9472	3.67038	0.291774
30 <pt<40 	5<chiso range<13 	166.097	33.8124	84.2649	61.6554	81.7802	3.54396	0.169584
30 <pt<40 	6<chiso range<11 	166.097	33.8124	84.2649	64.0034	79.6253	3.69468	0.31238
30 <pt<40 	6<chiso range<12 	166.097	33.8124	84.2649	62.3723	81.1662	3.58987	0.210561
30 <pt<40 	6<chiso range<13 	166.097	33.8124	84.2649	60.3906	83.0827	3.45208	0.0811839
30 <pt<40 	7<chiso range<12 	166.097	33.8124	84.2649	62.1651	81.3721	3.57437	0.196699
30 <pt<40 	7<chiso range<13 	166.097	33.8124	84.2649	59.8619	83.5998	3.41308	0.0457919
30 <pt<40 	8<chiso range<13 	166.097	33.8124	84.2649	57.5731	85.8006	3.23999	0.107048
#######################################################################################
40 <pt<60 	3<chiso range<8 	166.097	33.8124	84.2649	31.0957	72.4347	0.458222	0.98923
40 <pt<60 	3<chiso range<9 	166.097	33.8124	84.2649	31.4762	72.0034	0.389972	1.02322
40 <pt<60 	3<chiso range<10 	166.097	33.8124	84.2649	30.924	72.471	0.491454	0.989388
40 <pt<60 	3<chiso range<11 	166.097	33.8124	84.2649	30.4515	72.9771	0.580054	0.949976
40 <pt<60 	3<chiso range<12 	166.097	33.8124	84.2649	29.8346	73.5812	0.699932	0.903645
40 <pt<60 	3<chiso range<13 	166.097	33.8124	84.2649	29.4411	73.977	0.779184	0.87284
40 <pt<60 	4<chiso range<9 	166.097	33.8124	84.2649	30.4686	72.9999	0.576321	0.947554
40 <pt<60 	4<chiso range<10 	166.097	33.8124	84.2649	30.0059	73.3143	0.667403	0.925906
40 <pt<60 	4<chiso range<11 	166.097	33.8124	84.2649	29.5807	73.7756	0.751689	0.889406
40 <pt<60 	4<chiso range<12 	166.097	33.8124	84.2649	28.9786	74.4151	0.875625	0.839124
40 <pt<60 	4<chiso range<13 	166.097	33.8124	84.2649	28.6348	74.7619	0.948861	0.81175
40 <pt<60 	5<chiso range<10 	166.097	33.8124	84.2649	31.3009	72.0019	0.422948	1.02639
