pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	347.517	84.3725	0.242787	0.539861	0.049822	5.96271
20 <pt<25 	3<chiso range<9 	347.517	84.3725	0.242787	0.532777	0.0491778	5.89677
20 <pt<25 	3<chiso range<10 	347.517	84.3725	0.242787	0.525034	0.048463	5.82398
20 <pt<25 	3<chiso range<11 	347.517	84.3725	0.242787	0.517442	0.047763	5.75038
20 <pt<25 	3<chiso range<12 	347.517	84.3725	0.242787	0.511751	0.047223	5.69562
20 <pt<25 	3<chiso range<13 	347.517	84.3725	0.242787	0.498946	0.0460497	5.56267
20 <pt<25 	4<chiso range<9 	347.517	84.3725	0.242787	0.515709	0.0476021	5.73341
20 <pt<25 	4<chiso range<10 	347.517	84.3725	0.242787	0.508923	0.0469535	5.66808
20 <pt<25 	4<chiso range<11 	347.517	84.3725	0.242787	0.502272	0.0463414	5.59943
20 <pt<25 	4<chiso range<12 	347.517	84.3725	0.242787	0.498009	0.045958	5.55338
20 <pt<25 	4<chiso range<13 	347.517	84.3725	0.242787	0.485129	0.0447768	5.41223
20 <pt<25 	5<chiso range<10 	347.517	84.3725	0.242787	0.501551	0.0462725	5.59218
20 <pt<25 	5<chiso range<11 	347.517	84.3725	0.242787	0.494774	0.0456484	5.52018
20 <pt<25 	5<chiso range<12 	347.517	84.3725	0.242787	0.490797	0.0452938	5.47559
20 <pt<25 	5<chiso range<13 	347.517	84.3725	0.242787	0.476915	0.0440204	5.31863
20 <pt<25 	6<chiso range<11 	347.517	84.3725	0.242787	0.491903	0.0453889	5.48849
20 <pt<25 	6<chiso range<12 	347.517	84.3725	0.242787	0.487533	0.0449985	5.43899
20 <pt<25 	6<chiso range<13 	347.517	84.3725	0.242787	0.471633	0.043539	5.25612
20 <pt<25 	7<chiso range<12 	347.517	84.3725	0.242787	0.476497	0.0439861	5.31328
20 <pt<25 	7<chiso range<13 	347.517	84.3725	0.242787	0.45945	0.04242	5.10757
20 <pt<25 	8<chiso range<13 	347.517	84.3725	0.242787	0.452672	0.0418046	5.02063
#######################################################################################
25 <pt<30 	3<chiso range<8 	183.945	41.9398	0.228002	0.415345	0.0624599	2.99941
25 <pt<30 	3<chiso range<9 	183.945	41.9398	0.228002	0.403282	0.0606468	2.89018
25 <pt<30 	3<chiso range<10 	183.945	41.9398	0.228002	0.398878	0.0599832	2.84873
25 <pt<30 	3<chiso range<11 	183.945	41.9398	0.228002	0.395194	0.0594523	2.81221
25 <pt<30 	3<chiso range<12 	183.945	41.9398	0.228002	0.391346	0.0588732	2.77451
25 <pt<30 	3<chiso range<13 	183.945	41.9398	0.228002	0.386118	0.0580916	2.72184
25 <pt<30 	4<chiso range<9 	183.945	41.9398	0.228002	0.394897	0.0594114	2.80914
25 <pt<30 	4<chiso range<10 	183.945	41.9398	0.228002	0.391014	0.0588228	2.77124
25 <pt<30 	4<chiso range<11 	183.945	41.9398	0.228002	0.38781	0.058369	2.73789
25 <pt<30 	4<chiso range<12 	183.945	41.9398	0.228002	0.384307	0.05784	2.70237
25 <pt<30 	4<chiso range<13 	183.945	41.9398	0.228002	0.379149	0.0570592	2.64895
25 <pt<30 	5<chiso range<10 	183.945	41.9398	0.228002	0.377198	0.0567402	2.62946
25 <pt<30 	5<chiso range<11 	183.945	41.9398	0.228002	0.375702	0.0565439	2.61213
25 <pt<30 	5<chiso range<12 	183.945	41.9398	0.228002	0.372971	0.0561175	2.58331
25 <pt<30 	5<chiso range<13 	183.945	41.9398	0.228002	0.36839	0.0554224	2.53306
25 <pt<30 	6<chiso range<11 	183.945	41.9398	0.228002	0.384411	0.0578741	2.70258
25 <pt<30 	6<chiso range<12 	183.945	41.9398	0.228002	0.380151	0.057229	2.6586
25 <pt<30 	6<chiso range<13 	183.945	41.9398	0.228002	0.37387	0.056277	2.59197
25 <pt<30 	7<chiso range<12 	183.945	41.9398	0.228002	0.371368	0.0559025	2.56457
25 <pt<30 	7<chiso range<13 	183.945	41.9398	0.228002	0.365343	0.0549878	2.49767
25 <pt<30 	8<chiso range<13 	183.945	41.9398	0.228002	0.354182	0.0533009	2.36732
#######################################################################################
30 <pt<40 	3<chiso range<8 	183.916	34.0901	0.185357	0.31861	0.0559118	2.38327
30 <pt<40 	3<chiso range<9 	183.916	34.0901	0.185357	0.308294	0.0541241	2.27139
30 <pt<40 	3<chiso range<10 	183.916	34.0901	0.185357	0.306969	0.0538871	2.25679
30 <pt<40 	3<chiso range<11 	183.916	34.0901	0.185357	0.305251	0.0535774	2.23777
