pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	84.3725	120.464	11.052	3.26561
20 <pt<25 	3<chiso range<9 	84.3725	118.883	10.9091	3.16346
20 <pt<25 	3<chiso range<10 	84.3725	117.156	10.7506	3.04946
20 <pt<25 	3<chiso range<11 	84.3725	115.462	10.5953	2.93427
20 <pt<25 	3<chiso range<12 	84.3725	114.192	10.4755	2.84659
20 <pt<25 	3<chiso range<13 	84.3725	111.335	10.2152	2.63945
20 <pt<25 	4<chiso range<9 	84.3725	115.075	10.5596	2.90754
20 <pt<25 	4<chiso range<10 	84.3725	113.561	10.4156	2.80238
20 <pt<25 	4<chiso range<11 	84.3725	112.077	10.2799	2.69502
20 <pt<25 	4<chiso range<12 	84.3725	111.125	10.1949	2.62411
20 <pt<25 	4<chiso range<13 	84.3725	108.251	9.93285	2.40399
20 <pt<25 	5<chiso range<10 	84.3725	111.916	10.2646	2.68335
20 <pt<25 	5<chiso range<11 	84.3725	110.403	10.1261	2.57063
20 <pt<25 	5<chiso range<12 	84.3725	109.516	10.0475	2.50246
20 <pt<25 	5<chiso range<13 	84.3725	106.419	9.76507	2.25769
20 <pt<25 	6<chiso range<11 	84.3725	109.763	10.0686	2.52175
20 <pt<25 	6<chiso range<12 	84.3725	108.788	9.98202	2.44595
20 <pt<25 	6<chiso range<13 	84.3725	105.24	9.65828	2.16058
20 <pt<25 	7<chiso range<12 	84.3725	106.325	9.75745	2.24982
20 <pt<25 	7<chiso range<13 	84.3725	102.521	9.41007	1.92863
20 <pt<25 	8<chiso range<13 	84.3725	101.009	9.27358	1.79397
#######################################################################################
25 <pt<30 	3<chiso range<8 	41.9398	49.649	7.43664	1.03665
25 <pt<30 	3<chiso range<9 	41.9398	48.2071	7.22077	0.867955
25 <pt<30 	3<chiso range<10 	41.9398	47.6807	7.14176	0.803849
25 <pt<30 	3<chiso range<11 	41.9398	47.2403	7.07857	0.748809
25 <pt<30 	3<chiso range<12 	41.9398	46.7802	7.00963	0.690536
25 <pt<30 	3<chiso range<13 	41.9398	46.1554	6.91657	0.609493
25 <pt<30 	4<chiso range<9 	41.9398	47.2048	7.07371	0.744305
25 <pt<30 	4<chiso range<10 	41.9398	46.7406	7.00363	0.685473
25 <pt<30 	4<chiso range<11 	41.9398	46.3576	6.94962	0.635689
25 <pt<30 	4<chiso range<12 	41.9398	45.9388	6.88663	0.58069
