pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	262.648	211.757	23.1495	2.19836
20  <pt<25 	3<chiso range<9 	262.648	214.414	22.9936	2.09771
20  <pt<25 	3<chiso range<10 	262.648	216.863	22.8494	2.00377
20  <pt<25 	3<chiso range<11 	262.648	219.346	22.7155	1.90628
20  <pt<25 	3<chiso range<12 	262.648	221.301	22.6276	1.82728
20  <pt<25 	3<chiso range<13 	262.648	224.853	22.441	1.68419
20  <pt<25 	4<chiso range<9 	262.648	220.961	22.6301	1.8421
20  <pt<25 	4<chiso range<10 	262.648	222.803	22.5208	1.76925
20  <pt<25 	4<chiso range<11 	262.648	224.87	22.4143	1.68544
20  <pt<25 	4<chiso range<12 	262.648	226.254	22.3567	1.62788
20  <pt<25 	4<chiso range<13 	262.648	229.741	22.1783	1.48375
20  <pt<25 	5<chiso range<10 	262.648	225.762	22.3641	1.64934
20  <pt<25 	5<chiso range<11 	262.648	227.779	22.2602	1.56643
20  <pt<25 	5<chiso range<12 	262.648	229.016	22.2141	1.51399
20  <pt<25 	5<chiso range<13 	262.648	232.689	22.0253	1.36021
20  <pt<25 	6<chiso range<11 	262.648	229.376	22.1948	1.49909
20  <pt<25 	6<chiso range<12 	262.648	230.643	22.1521	1.44478
20  <pt<25 	6<chiso range<13 	262.648	234.77	21.9451	1.27035
20  <pt<25 	7<chiso range<12 	262.648	233.58	21.9958	1.32153
20  <pt<25 	7<chiso range<13 	262.648	238.011	21.7831	1.13101
20  <pt<25 	8<chiso range<13 	262.648	239.681	21.686	1.05907
#######################################################################################
25  <pt<30 	3<chiso range<8 	141.821	128.036	16.3629	0.842455
25  <pt<30 	3<chiso range<9 	141.821	130.139	16.1895	0.721579
25  <pt<30 	3<chiso range<10 	141.821	131.165	16.1011	0.661818
25  <pt<30 	3<chiso range<11 	141.821	132.007	16.0368	0.611967
25  <pt<30 	3<chiso range<12 	141.821	132.659	15.9839	0.573202
25  <pt<30 	3<chiso range<13 	141.821	133.569	15.9172	0.518433
