pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	347.517	84.3725	136.307	120.464	102.689	3.26561	1.81205
20 <pt<25 	3<chiso range<9 	347.517	84.3725	136.307	118.883	104.25	3.16346	1.73548
20 <pt<25 	3<chiso range<10 	347.517	84.3725	136.307	117.156	105.991	3.04946	1.64973
20 <pt<25 	3<chiso range<11 	347.517	84.3725	136.307	115.462	107.695	2.93427	1.56483
20 <pt<25 	3<chiso range<12 	347.517	84.3725	136.307	114.192	108.868	2.84659	1.50654
20 <pt<25 	3<chiso range<13 	347.517	84.3725	136.307	111.335	111.742	2.63945	1.3598
20 <pt<25 	4<chiso range<9 	347.517	84.3725	136.307	115.075	108.088	2.90754	1.54516
20 <pt<25 	4<chiso range<10 	347.517	84.3725	136.307	113.561	109.54	2.80238	1.47292
20 <pt<25 	4<chiso range<11 	347.517	84.3725	136.307	112.077	111.044	2.69502	1.39623
20 <pt<25 	4<chiso range<12 	347.517	84.3725	136.307	111.125	111.973	2.62411	1.34813
20 <pt<25 	4<chiso range<13 	347.517	84.3725	136.307	108.251	114.861	2.40399	1.19783
20 <pt<25 	5<chiso range<10 	347.517	84.3725	136.307	111.916	111.216	2.68335	1.38752
20 <pt<25 	5<chiso range<11 	347.517	84.3725	136.307	110.403	112.748	2.57063	1.30858
20 <pt<25 	5<chiso range<12 	347.517	84.3725	136.307	109.516	113.602	2.50246	1.26379
20 <pt<25 	5<chiso range<13 	347.517	84.3725	136.307	106.419	116.712	2.25769	1.10021
20 <pt<25 	6<chiso range<11 	347.517	84.3725	136.307	109.763	113.378	2.52175	1.2757
20 <pt<25 	6<chiso range<12 	347.517	84.3725	136.307	108.788	114.319	2.44595	1.22619
20 <pt<25 	6<chiso range<13 	347.517	84.3725	136.307	105.24	117.883	2.16058	1.03772
20 <pt<25 	7<chiso range<12 	347.517	84.3725	136.307	106.325	116.791	2.24982	1.09588
20 <pt<25 	7<chiso range<13 	347.517	84.3725	136.307	102.521	120.611	1.92863	0.890745
20 <pt<25 	8<chiso range<13 	347.517	84.3725	136.307	101.009	122.098	1.79397	0.80945
#######################################################################################
25 <pt<30 	3<chiso range<8 	183.945	41.9398	76.1374	49.649	69.7917	1.03665	0.481366
25 <pt<30 	3<chiso range<9 	183.945	41.9398	76.1374	48.2071	71.2418	0.867955	0.374811
25 <pt<30 	3<chiso range<10 	183.945	41.9398	76.1374	47.6807	71.7674	0.803849	0.335712
25 <pt<30 	3<chiso range<11 	183.945	41.9398	76.1374	47.2403	72.2066	0.748809	0.302691
25 <pt<30 	3<chiso range<12 	183.945	41.9398	76.1374	46.7802	72.6656	0.690536	0.26813
25 <pt<30 	3<chiso range<13 	183.945	41.9398	76.1374	46.1554	73.2899	0.609493	0.220769
25 <pt<30 	4<chiso range<9 	183.945	41.9398	76.1374	47.2048	72.2423	0.744305	0.299988
25 <pt<30 	4<chiso range<10 	183.945	41.9398	76.1374	46.7406	72.7048	0.685473	0.26517
25 <pt<30 	4<chiso range<11 	183.945	41.9398	76.1374	46.3576	73.0907	0.635689	0.235815
25 <pt<30 	4<chiso range<12 	183.945	41.9398	76.1374	45.9388	73.5074	0.58069	0.204105
25 <pt<30 	4<chiso range<13 	183.945	41.9398	76.1374	45.3223	74.1221	0.497891	0.15702
25 <pt<30 	5<chiso range<10 	183.945	41.9398	76.1374	45.0891	74.3564	0.466172	0.139036
25 <pt<30 	5<chiso range<11 	183.945	41.9398	76.1374	44.9102	74.5334	0.441216	0.125287
25 <pt<30 	5<chiso range<12 	183.945	41.9398	76.1374	44.5838	74.9252	0.395718	0.0948684
25 <pt<30 	5<chiso range<13 	183.945	41.9398	76.1374	44.0362	75.4627	0.317696	0.0529916
25 <pt<30 	6<chiso range<11 	183.945	41.9398	76.1374	45.9512	73.5053	0.582147	0.204194
25 <pt<30 	6<chiso range<12 	183.945	41.9398	76.1374	45.4421	74.0088	0.513993	0.165669
25 <pt<30 	6<chiso range<13 	183.945	41.9398	76.1374	44.6913	74.7549	0.410638	0.108117
25 <pt<30 	7<chiso range<12 	183.945	41.9398	76.1374	44.3921	75.1214	0.368437	0.0795727
25 <pt<30 	7<chiso range<13 	183.945	41.9398	76.1374	43.672	75.8226	0.264578	0.0247697
25 <pt<30 	8<chiso range<13 	183.945	41.9398	76.1374	42.3379	77.1348	0.0627306	0.0791405
#######################################################################################
30 <pt<40 	3<chiso range<8 	183.916	34.0901	84.2651	37.9908	81.2798	0.586623	0.234369
30 <pt<40 	3<chiso range<9 	183.916	34.0901	84.2651	36.7606	82.5229	0.414879	0.137912
30 <pt<40 	3<chiso range<10 	183.916	34.0901	84.2651	36.6027	82.6848	0.392064	0.125246
