pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	219.928	83.1714	0.378176	0.567816	0.0555291	3.41515
20 <pt<25 	3<chiso range<9 	219.928	83.1714	0.378176	0.558097	0.0545459	3.29853
20 <pt<25 	3<chiso range<10 	219.928	83.1714	0.378176	0.548346	0.0535637	3.17697
20 <pt<25 	3<chiso range<11 	219.928	83.1714	0.378176	0.540366	0.0527791	3.073
20 <pt<25 	3<chiso range<12 	219.928	83.1714	0.378176	0.533163	0.0520795	2.97598
20 <pt<25 	3<chiso range<13 	219.928	83.1714	0.378176	0.518952	0.0506956	2.7769
20 <pt<25 	4<chiso range<9 	219.928	83.1714	0.378176	0.535782	0.0523216	3.01226
20 <pt<25 	4<chiso range<10 	219.928	83.1714	0.378176	0.527445	0.0514537	2.90104
20 <pt<25 	4<chiso range<11 	219.928	83.1714	0.378176	0.520917	0.0508166	2.80895
20 <pt<25 	4<chiso range<12 	219.928	83.1714	0.378176	0.515512	0.0503313	2.72865
20 <pt<25 	4<chiso range<13 	219.928	83.1714	0.378176	0.501472	0.0489656	2.51802
20 <pt<25 	5<chiso range<10 	219.928	83.1714	0.378176	0.517138	0.0504382	2.7551
20 <pt<25 	5<chiso range<11 	219.928	83.1714	0.378176	0.510912	0.0498306	2.66375
20 <pt<25 	5<chiso range<12 	219.928	83.1714	0.378176	0.505958	0.0493974	2.58682
20 <pt<25 	5<chiso range<13 	219.928	83.1714	0.378176	0.491027	0.0479445	2.35379
20 <pt<25 	6<chiso range<11 	219.928	83.1714	0.378176	0.505831	0.0493721	2.58558
20 <pt<25 	6<chiso range<12 	219.928	83.1714	0.378176	0.500602	0.0489151	2.50283
20 <pt<25 	6<chiso range<13 	219.928	83.1714	0.378176	0.483755	0.0472691	2.23358
20 <pt<25 	7<chiso range<12 	219.928	83.1714	0.378176	0.489178	0.047791	2.32266
20 <pt<25 	7<chiso range<13 	219.928	83.1714	0.378176	0.47108	0.0460237	2.01862
20 <pt<25 	8<chiso range<13 	219.928	83.1714	0.378176	0.463765	0.0452801	1.89022
#######################################################################################
25 <pt<30 	3<chiso range<8 	118.014	41.5009	0.351661	0.436476	0.0688867	1.23123
25 <pt<30 	3<chiso range<9 	118.014	41.5009	0.351661	0.422374	0.0666962	1.06023
25 <pt<30 	3<chiso range<10 	118.014	41.5009	0.351661	0.416336	0.065725	0.984027
25 <pt<30 	3<chiso range<11 	118.014	41.5009	0.351661	0.410574	0.0648558	0.908372
25 <pt<30 	3<chiso range<12 	118.014	41.5009	0.351661	0.405723	0.0640935	0.843489
25 <pt<30 	3<chiso range<13 	118.014	41.5009	0.351661	0.399402	0.0631427	0.756084
25 <pt<30 	4<chiso range<9 	118.014	41.5009	0.351661	0.411183	0.0649157	0.916915
25 <pt<30 	4<chiso range<10 	118.014	41.5009	0.351661	0.405864	0.0640704	0.845994
25 <pt<30 	4<chiso range<11 	118.014	41.5009	0.351661	0.400622	0.063296	0.773527
25 <pt<30 	4<chiso range<12 	118.014	41.5009	0.351661	0.396293	0.062617	0.712781
25 <pt<30 	4<chiso range<13 	118.014	41.5009	0.351661	0.390168	0.0616893	0.624212
25 <pt<30 	5<chiso range<10 	118.014	41.5009	0.351661	0.389801	0.0615261	0.619902
25 <pt<30 	5<chiso range<11 	118.014	41.5009	0.351661	0.386302	0.061029	0.567618
25 <pt<30 	5<chiso range<12 	118.014	41.5009	0.351661	0.383241	0.06055	0.521555
25 <pt<30 	5<chiso range<13 	118.014	41.5009	0.351661	0.377458	0.059665	0.432367
25 <pt<30 	6<chiso range<11 	118.014	41.5009	0.351661	0.39337	0.0622946	0.669547
25 <pt<30 	6<chiso range<12 	118.014	41.5009	0.351661	0.388623	0.0615267	0.60075
25 <pt<30 	6<chiso range<13 	118.014	41.5009	0.351661	0.381198	0.0603794	0.489193
