pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	83.1714	127.233	12.3788	3.55944
20 <pt<25 	3<chiso range<9 	83.1714	125.056	12.1595	3.4446
20 <pt<25 	3<chiso range<10 	83.1714	122.871	11.9405	3.32479
20 <pt<25 	3<chiso range<11 	83.1714	121.082	11.7656	3.22216
20 <pt<25 	3<chiso range<12 	83.1714	119.468	11.6096	3.12643
20 <pt<25 	3<chiso range<13 	83.1714	116.284	11.3011	2.93003
20 <pt<25 	4<chiso range<9 	83.1714	120.055	11.6636	3.16228
20 <pt<25 	4<chiso range<10 	83.1714	118.187	11.47	3.0528
20 <pt<25 	4<chiso range<11 	83.1714	116.724	11.3279	2.96194
20 <pt<25 	4<chiso range<12 	83.1714	115.513	11.2199	2.88252
20 <pt<25 	4<chiso range<13 	83.1714	112.367	10.9154	2.67472
20 <pt<25 	5<chiso range<10 	83.1714	115.878	11.2436	2.90891
20 <pt<25 	5<chiso range<11 	83.1714	114.483	11.1081	2.81881
20 <pt<25 	5<chiso range<12 	83.1714	113.372	11.0117	2.74259
20 <pt<25 	5<chiso range<13 	83.1714	110.027	10.6878	2.51273
20 <pt<25 	6<chiso range<11 	83.1714	113.344	11.006	2.74147
20 <pt<25 	6<chiso range<12 	83.1714	112.172	10.9042	2.65958
20 <pt<25 	6<chiso range<13 	83.1714	108.397	10.5373	2.39393
20 <pt<25 	7<chiso range<12 	83.1714	109.613	10.6537	2.48192
20 <pt<25 	7<chiso range<13 	83.1714	105.557	10.2597	2.1819
20 <pt<25 	8<chiso range<13 	83.1714	103.918	10.0939	2.05536
#######################################################################################
25 <pt<30 	3<chiso range<8 	41.5009	52.351	8.23288	1.3179
25 <pt<30 	3<chiso range<9 	41.5009	50.6595	7.97112	1.14897
25 <pt<30 	3<chiso range<10 	41.5009	49.9354	7.85503	1.07377
25 <pt<30 	3<chiso range<11 	41.5009	49.2443	7.75118	0.998996
25 <pt<30 	3<chiso range<12 	41.5009	48.6624	7.66008	0.934912
25 <pt<30 	3<chiso range<13 	41.5009	47.9043	7.54648	0.848528
25 <pt<30 	4<chiso range<9 	41.5009	49.3174	7.75831	1.0075
25 <pt<30 	4<chiso range<10 	41.5009	48.6793	7.65728	0.937461
25 <pt<30 	4<chiso range<11 	41.5009	48.0507	7.56477	0.865829
25 <pt<30 	4<chiso range<12 	41.5009	47.5315	7.48363	0.805839
25 <pt<30 	4<chiso range<13 	41.5009	46.7968	7.37279	0.718303
25 <pt<30 	5<chiso range<10 	41.5009	46.7528	7.3532	0.714233
25 <pt<30 	5<chiso range<11 	41.5009	46.3331	7.29383	0.662505
25 <pt<30 	5<chiso range<12 	41.5009	45.9659	7.23659	0.617003
25 <pt<30 	5<chiso range<13 	41.5009	45.2723	7.13085	0.528885
25 <pt<30 	6<chiso range<11 	41.5009	47.1809	7.44522	0.762906
25 <pt<30 	6<chiso range<12 	41.5009	46.6115	7.35343	0.694995
25 <pt<30 	6<chiso range<13 	41.5009	45.7209	7.21633	0.584785
25 <pt<30 	7<chiso range<12 	41.5009	45.4061	7.15958	0.545451
25 <pt<30 	7<chiso range<13 	41.5009	44.5951	7.0376	0.439667
25 <pt<30 	8<chiso range<13 	41.5009	43.0793	6.79781	0.232192
#######################################################################################
30 <pt<40 	3<chiso range<8 	33.9854	40.5711	7.4852	0.87983
30 <pt<40 	3<chiso range<9 	33.9854	39.0631	7.21248	0.704016
30 <pt<40 	3<chiso range<10 	33.9854	38.6616	7.13997	0.654933
30 <pt<40 	3<chiso range<11 	33.9854	38.2718	7.06696	0.606541
30 <pt<40 	3<chiso range<12 	33.9854	37.7554	6.97225	0.540715
30 <pt<40 	3<chiso range<13 	33.9854	37.0691	6.84687	0.450381
30 <pt<40 	4<chiso range<9 	33.9854	38.0758	7.03163	0.581714
30 <pt<40 	4<chiso range<10 	33.9854	37.7681	6.97671	0.54219
30 <pt<40 	4<chiso range<11 	33.9854	37.4758	6.92236	0.504221
30 <pt<40 	4<chiso range<12 	33.9854	36.9827	6.8316	0.438741
30 <pt<40 	4<chiso range<13 	33.9854	36.2539	6.69738	0.338715
30 <pt<40 	5<chiso range<10 	33.9854	36.5467	6.76507	0.378607
30 <pt<40 	5<chiso range<11 	33.9854	36.3559	6.7261	0.352433
30 <pt<40 	5<chiso range<12 	33.9854	35.9318	6.64656	0.292843
30 <pt<40 	5<chiso range<13 	33.9854	35.2306	6.51456	0.191141
30 <pt<40 	6<chiso range<11 	33.9854	35.7619	6.61986	0.268359
30 <pt<40 	6<chiso range<12 	33.9854	35.3543	6.54153	0.209263
30 <pt<40 	6<chiso range<13 	33.9854	34.6325	6.40658	0.101006
30 <pt<40 	7<chiso range<12 	33.9854	34.8506	6.44726	0.134197
30 <pt<40 	7<chiso range<13 	33.9854	34.0789	6.30316	0.0148338
30 <pt<40 	8<chiso range<13 	33.9854	33.3294	6.16066	0.106482
#######################################################################################
40 <pt<50 	3<chiso range<8 	13.1377	12.9172	4.14556	0.0531894
40 <pt<50 	3<chiso range<9 	13.1377	12.9163	4.13974	0.0534816
40 <pt<50 	3<chiso range<10 	13.1377	12.8258	4.10823	0.0759208
40 <pt<50 	3<chiso range<11 	13.1377	12.7093	4.07106	0.105231
40 <pt<50 	3<chiso range<12 	13.1377	12.4957	4.00241	0.160403
40 <pt<50 	3<chiso range<13 	13.1377	12.2358	3.92388	0.229849
40 <pt<50 	4<chiso range<9 	13.1377	12.7577	4.09097	0.0928875
40 <pt<50 	4<chiso range<10 	13.1377	12.6734	4.06043	0.114347
40 <pt<50 	4<chiso range<11 	13.1377	12.5565	4.02282	0.144476
40 <pt<50 	4<chiso range<12 	13.1377	12.3346	3.95144	0.203242
40 <pt<50 	4<chiso range<13 	13.1377	12.0618	3.86926	0.278064
40 <pt<50 	5<chiso range<10 	13.1377	13.2626	4.241	0.0294506
40 <pt<50 	5<chiso range<11 	13.1377	13.0316	4.16809	0.0254553
40 <pt<50 	5<chiso range<12 	13.1377	12.7007	4.06302	0.107555
40 <pt<50 	5<chiso range<13 	13.1377	12.3389	3.95391	0.202028
40 <pt<50 	6<chiso range<11 	13.1377	12.6573	4.03867	0.11895
40 <pt<50 	6<chiso range<12 	13.1377	12.3363	3.93872	0.203467
