pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	136.743	95.0094	19.8049	2.10724
20  <pt<25 	3<chiso range<9 	136.743	97.0534	19.6551	2.0193
20  <pt<25 	3<chiso range<10 	136.743	99.1789	19.503	1.92607
20  <pt<25 	3<chiso range<11 	136.743	100.965	19.3859	1.84557
20  <pt<25 	3<chiso range<12 	136.743	102.539	19.288	1.77333
20  <pt<25 	3<chiso range<13 	136.743	105.723	19.0891	1.62501
20  <pt<25 	4<chiso range<9 	136.743	101.977	19.3165	1.79981
20  <pt<25 	4<chiso range<10 	136.743	103.726	19.1793	1.72149
20  <pt<25 	4<chiso range<11 	136.743	105.206	19.0862	1.65235
20  <pt<25 	4<chiso range<12 	136.743	106.461	19.0289	1.59137
20  <pt<25 	4<chiso range<13 	136.743	109.61	18.8371	1.4404
20  <pt<25 	5<chiso range<10 	136.743	106.055	19.0283	1.61276
20  <pt<25 	5<chiso range<11 	136.743	107.471	18.9403	1.54549
20  <pt<25 	5<chiso range<12 	136.743	108.62	18.8947	1.48841
20  <pt<25 	5<chiso range<13 	136.743	111.966	18.6932	1.32546
20  <pt<25 	6<chiso range<11 	136.743	108.666	18.8854	1.4867
20  <pt<25 	6<chiso range<12 	136.743	109.885	18.8376	1.42577
20  <pt<25 	6<chiso range<13 	136.743	113.651	18.6096	1.24086
20  <pt<25 	7<chiso range<12 	136.743	112.399	18.6808	1.30316
20  <pt<25 	7<chiso range<13 	136.743	116.449	18.4397	1.10056
20  <pt<25 	8<chiso range<13 	136.743	117.949	18.3369	1.02493
#######################################################################################
25  <pt<30 	3<chiso range<8 	76.5061	66.7092	13.8739	0.706139
25  <pt<30 	3<chiso range<9 	76.5061	68.4158	13.7134	0.589956
25  <pt<30 	3<chiso range<10 	76.5061	69.1421	13.6398	0.539891
25  <pt<30 	3<chiso range<11 	76.5061	69.8346	13.582	0.491202
25  <pt<30 	3<chiso range<12 	76.5061	70.4179	13.5267	0.450088
25  <pt<30 	3<chiso range<13 	76.5061	71.2085	13.4622	0.393517
25  <pt<30 	4<chiso range<9 	76.5061	69.7382	13.5828	0.49827
25  <pt<30 	4<chiso range<10 	76.5061	70.3716	13.5205	0.453718
25  <pt<30 	4<chiso range<11 	76.5061	71.0097	13.4718	0.407993
25  <pt<30 	4<chiso range<12 	76.5061	71.5319	13.4234	0.370562
25  <pt<30 	4<chiso range<13 	76.5061	72.3027	13.3604	0.314616
25  <pt<30 	5<chiso range<10 	76.5061	72.2972	13.3359	0.315607
25  <pt<30 	5<chiso range<11 	76.5061	72.722	13.3095	0.284316
25  <pt<30 	5<chiso range<12 	76.5061	73.0948	13.276	0.256952
25  <pt<30 	5<chiso range<13 	76.5061	73.8876	13.2185	0.198094
25  <pt<30 	6<chiso range<11 	76.5061	71.9786	13.4142	0.337515
25  <pt<30 	6<chiso range<12 	76.5061	72.5334	13.3581	0.2974
25  <pt<30 	6<chiso range<13 	76.5061	73.5232	13.2823	0.224577
25  <pt<30 	7<chiso range<12 	76.5061	73.7726	13.2446	0.206386
25  <pt<30 	7<chiso range<13 	76.5061	74.6163	13.177	0.143417
25  <pt<30 	8<chiso range<13 	76.5061	76.1072	13.0385	0.030594
#######################################################################################
30  <pt<40 	3<chiso range<8 	84.5524	79.1829	13.4142	0.400285
30  <pt<40 	3<chiso range<9 	84.5524	80.7131	13.2619	0.289498
30  <pt<40 	3<chiso range<10 	84.5524	81.1313	13.2212	0.258759
30  <pt<40 	3<chiso range<11 	84.5524	81.5319	13.1781	0.229206
30  <pt<40 	3<chiso range<12 	84.5524	82.056	13.1257	0.190192
30  <pt<40 	3<chiso range<13 	84.5524	82.6792	13.0527	0.143511
30  <pt<40 	4<chiso range<9 	84.5524	81.7077	13.1617	0.216135
30  <pt<40 	4<chiso range<10 	84.5524	82.0329	13.1318	0.191863
30  <pt<40 	4<chiso range<11 	84.5524	82.2674	13.096	0.174481
30  <pt<40 	4<chiso range<12 	84.5524	82.7608	13.0455	0.137335
30  <pt<40 	4<chiso range<13 	84.5524	83.4889	12.9716	0.0819868
30  <pt<40 	5<chiso range<10 	84.5524	83.2555	13.0191	0.0996152
30  <pt<40 	5<chiso range<11 	84.5524	83.4416	12.9936	0.0854882
30  <pt<40 	5<chiso range<12 	84.5524	83.8552	12.949	0.053842
30  <pt<40 	5<chiso range<13 	84.5524	84.5461	12.8744	0.000489343
30  <pt<40 	6<chiso range<11 	84.5524	84.0583	12.9365	0.0381943
30  <pt<40 	6<chiso range<12 	84.5524	84.4516	12.8912	0.00781929
30  <pt<40 	6<chiso range<13 	84.5524	85.1579	12.8175	0.0472401
30  <pt<40 	7<chiso range<12 	84.5524	84.9366	12.8403	0.0299214
30  <pt<40 	7<chiso range<13 	84.5524	85.6927	12.7624	0.0893484
30  <pt<40 	8<chiso range<13 	84.5524	86.4152	12.6841	0.146861
#######################################################################################
40  <pt<50 	3<chiso range<8 	45.2641	45.6991	8.71043	0.0499401
40  <pt<50 	3<chiso range<9 	45.2641	45.6808	8.70517	0.0478681
40  <pt<50 	3<chiso range<10 	45.2641	45.755	8.6893	0.0564948
40  <pt<50 	3<chiso range<11 	45.2641	45.8658	8.67151	0.0693881
40  <pt<50 	3<chiso range<12 	45.2641	46.0772	8.63704	0.094141
40  <pt<50 	3<chiso range<13 	45.2641	46.347	8.60112	0.125902
40  <pt<50 	4<chiso range<9 	45.2641	45.8321	8.68358	0.0654108
40  <pt<50 	4<chiso range<10 	45.2641	45.9001	8.66724	0.0733798
40  <pt<50 	4<chiso range<11 	45.2641	46.0124	8.64886	0.0865201
40  <pt<50 	4<chiso range<12 	45.2641	46.2318	8.6133	0.11235
40  <pt<50 	4<chiso range<13 	45.2641	46.5159	8.57614	0.145963
40  <pt<50 	5<chiso range<10 	45.2641	45.2937	8.7546	0.00338108
40  <pt<50 	5<chiso range<11 	45.2641	45.523	8.7182	0.0296965
40  <pt<50 	5<chiso range<12 	45.2641	45.8527	8.66569	0.067923
40  <pt<50 	5<chiso range<13 	45.2641	46.2289	8.61538	0.111986
40  <pt<50 	6<chiso range<11 	45.2641	45.8641	8.64812	0.0693792
40  <pt<50 	6<chiso range<12 	45.2641	46.1879	8.60028	0.107415
40  <pt<50 	6<chiso range<13 	45.2641	46.5639	8.55318	0.151967
40  <pt<50 	7<chiso range<12 	45.2641	46.6742	8.52636	0.165381
40  <pt<50 	7<chiso range<13 	45.2641	47.0273	8.48538	0.207793
40  <pt<50 	8<chiso range<13 	45.2641	47.1029	8.47789	0.216894
#######################################################################################
50  <pt<65 	3<chiso range<8 	36.2908	35.9173	7.20542	0.051836
50  <pt<65 	3<chiso range<9 	36.2908	35.883	7.21104	0.0565522
