pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	219.928	83.1714	136.743	127.233	95.0094	3.55944	2.10724
20 <pt<25 	3<chiso range<9 	219.928	83.1714	136.743	125.056	97.0534	3.4446	2.0193
20 <pt<25 	3<chiso range<10 	219.928	83.1714	136.743	122.871	99.1789	3.32479	1.92607
20 <pt<25 	3<chiso range<11 	219.928	83.1714	136.743	121.082	100.965	3.22216	1.84557
20 <pt<25 	3<chiso range<12 	219.928	83.1714	136.743	119.468	102.539	3.12643	1.77333
20 <pt<25 	3<chiso range<13 	219.928	83.1714	136.743	116.284	105.723	2.93003	1.62501
20 <pt<25 	4<chiso range<9 	219.928	83.1714	136.743	120.055	101.977	3.16228	1.79981
20 <pt<25 	4<chiso range<10 	219.928	83.1714	136.743	118.187	103.726	3.0528	1.72149
20 <pt<25 	4<chiso range<11 	219.928	83.1714	136.743	116.724	105.206	2.96194	1.65235
20 <pt<25 	4<chiso range<12 	219.928	83.1714	136.743	115.513	106.461	2.88252	1.59137
20 <pt<25 	4<chiso range<13 	219.928	83.1714	136.743	112.367	109.61	2.67472	1.4404
20 <pt<25 	5<chiso range<10 	219.928	83.1714	136.743	115.878	106.055	2.90891	1.61276
20 <pt<25 	5<chiso range<11 	219.928	83.1714	136.743	114.483	107.471	2.81881	1.54549
20 <pt<25 	5<chiso range<12 	219.928	83.1714	136.743	113.372	108.62	2.74259	1.48841
20 <pt<25 	5<chiso range<13 	219.928	83.1714	136.743	110.027	111.966	2.51273	1.32546
20 <pt<25 	6<chiso range<11 	219.928	83.1714	136.743	113.344	108.666	2.74147	1.4867
20 <pt<25 	6<chiso range<12 	219.928	83.1714	136.743	112.172	109.885	2.65958	1.42577
20 <pt<25 	6<chiso range<13 	219.928	83.1714	136.743	108.397	113.651	2.39393	1.24086
20 <pt<25 	7<chiso range<12 	219.928	83.1714	136.743	109.613	112.399	2.48192	1.30316
20 <pt<25 	7<chiso range<13 	219.928	83.1714	136.743	105.557	116.449	2.1819	1.10056
20 <pt<25 	8<chiso range<13 	219.928	83.1714	136.743	103.918	117.949	2.05536	1.02493
#######################################################################################
25 <pt<30 	3<chiso range<8 	118.014	41.5009	76.5061	52.351	66.7092	1.3179	0.706139
25 <pt<30 	3<chiso range<9 	118.014	41.5009	76.5061	50.6595	68.4158	1.14897	0.589956
25 <pt<30 	3<chiso range<10 	118.014	41.5009	76.5061	49.9354	69.1421	1.07377	0.539891
25 <pt<30 	3<chiso range<11 	118.014	41.5009	76.5061	49.2443	69.8346	0.998996	0.491202
25 <pt<30 	3<chiso range<12 	118.014	41.5009	76.5061	48.6624	70.4179	0.934912	0.450088
25 <pt<30 	3<chiso range<13 	118.014	41.5009	76.5061	47.9043	71.2085	0.848528	0.393517
25 <pt<30 	4<chiso range<9 	118.014	41.5009	76.5061	49.3174	69.7382	1.0075	0.49827
25 <pt<30 	4<chiso range<10 	118.014	41.5009	76.5061	48.6793	70.3716	0.937461	0.453718
25 <pt<30 	4<chiso range<11 	118.014	41.5009	76.5061	48.0507	71.0097	0.865829	0.407993
25 <pt<30 	4<chiso range<12 	118.014	41.5009	76.5061	47.5315	71.5319	0.805839	0.370562
25 <pt<30 	4<chiso range<13 	118.014	41.5009	76.5061	46.7968	72.3027	0.718303	0.314616
25 <pt<30 	5<chiso range<10 	118.014	41.5009	76.5061	46.7528	72.2972	0.714233	0.315607
25 <pt<30 	5<chiso range<11 	118.014	41.5009	76.5061	46.3331	72.722	0.662505	0.284316
25 <pt<30 	5<chiso range<12 	118.014	41.5009	76.5061	45.9659	73.0948	0.617003	0.256952
25 <pt<30 	5<chiso range<13 	118.014	41.5009	76.5061	45.2723	73.8876	0.528885	0.198094
25 <pt<30 	6<chiso range<11 	118.014	41.5009	76.5061	47.1809	71.9786	0.762906	0.337515
25 <pt<30 	6<chiso range<12 	118.014	41.5009	76.5061	46.6115	72.5334	0.694995	0.2974
25 <pt<30 	6<chiso range<13 	118.014	41.5009	76.5061	45.7209	73.5232	0.584785	0.224577
25 <pt<30 	7<chiso range<12 	118.014	41.5009	76.5061	45.4061	73.7726	0.545451	0.206386
25 <pt<30 	7<chiso range<13 	118.014	41.5009	76.5061	44.5951	74.6163	0.439667	0.143417
25 <pt<30 	8<chiso range<13 	118.014	41.5009	76.5061	43.0793	76.1072	0.232192	0.030594
#######################################################################################
30 <pt<40 	3<chiso range<8 	118.551	33.9854	84.5524	40.5711	79.1829	0.87983	0.400285
30 <pt<40 	3<chiso range<9 	118.551	33.9854	84.5524	39.0631	80.7131	0.704016	0.289498
30 <pt<40 	3<chiso range<10 	118.551	33.9854	84.5524	38.6616	81.1313	0.654933	0.258759
30 <pt<40 	3<chiso range<11 	118.551	33.9854	84.5524	38.2718	81.5319	0.606541	0.229206
30 <pt<40 	3<chiso range<12 	118.551	33.9854	84.5524	37.7554	82.056	0.540715	0.190192
30 <pt<40 	3<chiso range<13 	118.551	33.9854	84.5524	37.0691	82.6792	0.450381	0.143511
30 <pt<40 	4<chiso range<9 	118.551	33.9854	84.5524	38.0758	81.7077	0.581714	0.216135
30 <pt<40 	4<chiso range<10 	118.551	33.9854	84.5524	37.7681	82.0329	0.54219	0.191863
30 <pt<40 	4<chiso range<11 	118.551	33.9854	84.5524	37.4758	82.2674	0.504221	0.174481
30 <pt<40 	4<chiso range<12 	118.551	33.9854	84.5524	36.9827	82.7608	0.438741	0.137335
30 <pt<40 	4<chiso range<13 	118.551	33.9854	84.5524	36.2539	83.4889	0.338715	0.0819868
30 <pt<40 	5<chiso range<10 	118.551	33.9854	84.5524	36.5467	83.2555	0.378607	0.0996152
30 <pt<40 	5<chiso range<11 	118.551	33.9854	84.5524	36.3559	83.4416	0.352433	0.0854882
30 <pt<40 	5<chiso range<12 	118.551	33.9854	84.5524	35.9318	83.8552	0.292843	0.053842
30 <pt<40 	5<chiso range<13 	118.551	33.9854	84.5524	35.2306	84.5461	0.191141	0.000489343
30 <pt<40 	6<chiso range<11 	118.551	33.9854	84.5524	35.7619	84.0583	0.268359	0.0381943
30 <pt<40 	6<chiso range<12 	118.551	33.9854	84.5524	35.3543	84.4516	0.209263	0.00781929
30 <pt<40 	6<chiso range<13 	118.551	33.9854	84.5524	34.6325	85.1579	0.101006	0.0472401
30 <pt<40 	7<chiso range<12 	118.551	33.9854	84.5524	34.8506	84.9366	0.134197	0.0299214
30 <pt<40 	7<chiso range<13 	118.551	33.9854	84.5524	34.0789	85.6927	0.0148338	0.0893484
30 <pt<40 	8<chiso range<13 	118.551	33.9854	84.5524	33.3294	86.4152	0.106482	0.146861
#######################################################################################
40 <pt<50 	3<chiso range<8 	58.4018	13.1377	45.2641	12.9172	45.6991	0.0531894	0.0499401
40 <pt<50 	3<chiso range<9 	58.4018	13.1377	45.2641	12.9163	45.6808	0.0534816	0.0478681
40 <pt<50 	3<chiso range<10 	58.4018	13.1377	45.2641	12.8258	45.755	0.0759208	0.0564948
40 <pt<50 	3<chiso range<11 	58.4018	13.1377	45.2641	12.7093	45.8658	0.105231	0.0693881
40 <pt<50 	3<chiso range<12 	58.4018	13.1377	45.2641	12.4957	46.0772	0.160403	0.094141
40 <pt<50 	3<chiso range<13 	58.4018	13.1377	45.2641	12.2358	46.347	0.229849	0.125902
40 <pt<50 	4<chiso range<9 	58.4018	13.1377	45.2641	12.7577	45.8321	0.0928875	0.0654108
40 <pt<50 	4<chiso range<10 	58.4018	13.1377	45.2641	12.6734	45.9001	0.114347	0.0733798
40 <pt<50 	4<chiso range<11 	58.4018	13.1377	45.2641	12.5565	46.0124	0.144476	0.0865201
40 <pt<50 	4<chiso range<12 	58.4018	13.1377	45.2641	12.3346	46.2318	0.203242	0.11235
40 <pt<50 	4<chiso range<13 	58.4018	13.1377	45.2641	12.0618	46.5159	0.278064	0.145963
40 <pt<50 	5<chiso range<10 	58.4018	13.1377	45.2641	13.2626	45.2937	0.0294506	0.00338108
