pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	347.517	84.8143	0.244058	0.397115	0.0369303	4.14448
20 <pt<25 	3<chiso range<9 	347.517	84.8143	0.244058	0.389232	0.0361821	4.01232
20 <pt<25 	3<chiso range<10 	347.517	84.8143	0.244058	0.382165	0.0355079	3.88947
20 <pt<25 	3<chiso range<11 	347.517	84.8143	0.244058	0.375138	0.0348527	3.76097
20 <pt<25 	3<chiso range<12 	347.517	84.8143	0.244058	0.36997	0.0343804	3.66232
20 <pt<25 	3<chiso range<13 	347.517	84.8143	0.244058	0.359762	0.0334347	3.4606
20 <pt<25 	4<chiso range<9 	347.517	84.8143	0.244058	0.370797	0.0344348	3.68055
20 <pt<25 	4<chiso range<10 	347.517	84.8143	0.244058	0.36541	0.0339191	3.57769
20 <pt<25 	4<chiso range<11 	347.517	84.8143	0.244058	0.359525	0.0333763	3.45955
20 <pt<25 	4<chiso range<12 	347.517	84.8143	0.244058	0.355651	0.0330369	3.37783
20 <pt<25 	4<chiso range<13 	347.517	84.8143	0.244058	0.345689	0.032112	3.16489
20 <pt<25 	5<chiso range<10 	347.517	84.8143	0.244058	0.356953	0.0331324	3.40739
20 <pt<25 	5<chiso range<11 	347.517	84.8143	0.244058	0.351234	0.0326017	3.28744
20 <pt<25 	5<chiso range<12 	347.517	84.8143	0.244058	0.34779	0.0323059	3.21093
20 <pt<25 	5<chiso range<13 	347.517	84.8143	0.244058	0.337234	0.0313234	2.97465
20 <pt<25 	6<chiso range<11 	347.517	84.8143	0.244058	0.346838	0.0322159	3.19035
20 <pt<25 	6<chiso range<12 	347.517	84.8143	0.244058	0.343331	0.03192	3.11006
20 <pt<25 	6<chiso range<13 	347.517	84.8143	0.244058	0.331552	0.0308227	2.83862
20 <pt<25 	7<chiso range<12 	347.517	84.8143	0.244058	0.334794	0.031115	2.91615
20 <pt<25 	7<chiso range<13 	347.517	84.8143	0.244058	0.322244	0.02995	2.61055
20 <pt<25 	8<chiso range<13 	347.517	84.8143	0.244058	0.317107	0.0294512	2.48034
#######################################################################################
25 <pt<30 	3<chiso range<8 	183.945	42.117	0.228965	0.310378	0.047044	1.73057
25 <pt<30 	3<chiso range<9 	183.945	42.117	0.228965	0.299138	0.0453541	1.54722
25 <pt<30 	3<chiso range<10 	183.945	42.117	0.228965	0.293602	0.0445063	1.45231
25 <pt<30 	3<chiso range<11 	183.945	42.117	0.228965	0.28906	0.0438335	1.37098
25 <pt<30 	3<chiso range<12 	183.945	42.117	0.228965	0.285556	0.0433038	1.30683
25 <pt<30 	3<chiso range<13 	183.945	42.117	0.228965	0.280792	0.0426036	1.21649
25 <pt<30 	4<chiso range<9 	183.945	42.117	0.228965	0.287938	0.0436499	1.35104
25 <pt<30 	4<chiso range<10 	183.945	42.117	0.228965	0.28319	0.0429291	1.26313
25 <pt<30 	4<chiso range<11 	183.945	42.117	0.228965	0.279369	0.0423646	1.18976
25 <pt<30 	4<chiso range<12 	183.945	42.117	0.228965	0.276538	0.0419374	1.13438
