pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	173.025	86.9995	0.502815	0.657991	0.0663772	2.3378
20 <pt<25 	3<chiso range<9 	173.025	86.9995	0.502815	0.629582	0.0636823	1.99062
20 <pt<25 	3<chiso range<10 	173.025	86.9995	0.502815	0.61451	0.0622228	1.79509
20 <pt<25 	3<chiso range<11 	173.025	86.9995	0.502815	0.601967	0.0609143	1.62774
20 <pt<25 	3<chiso range<12 	173.025	86.9995	0.502815	0.591262	0.0599076	1.4764
20 <pt<25 	3<chiso range<13 	173.025	86.9995	0.502815	0.579151	0.0587461	1.29943
20 <pt<25 	4<chiso range<9 	173.025	86.9995	0.502815	0.632364	0.0641479	2.01954
20 <pt<25 	4<chiso range<10 	173.025	86.9995	0.502815	0.613542	0.0622992	1.77735
20 <pt<25 	4<chiso range<11 	173.025	86.9995	0.502815	0.598838	0.0607445	1.58077
20 <pt<25 	4<chiso range<12 	173.025	86.9995	0.502815	0.586587	0.059571	1.40626
20 <pt<25 	4<chiso range<13 	173.025	86.9995	0.502815	0.572995	0.0582497	1.20482
20 <pt<25 	5<chiso range<10 	173.025	86.9995	0.502815	0.590032	0.0599213	1.45553
20 <pt<25 	5<chiso range<11 	173.025	86.9995	0.502815	0.576021	0.058423	1.25304
20 <pt<25 	5<chiso range<12 	173.025	86.9995	0.502815	0.564507	0.0573336	1.07602
20 <pt<25 	5<chiso range<13 	173.025	86.9995	0.502815	0.5512	0.0560458	0.863319
20 <pt<25 	6<chiso range<11 	173.025	86.9995	0.502815	0.549379	0.0557803	0.834782
20 <pt<25 	6<chiso range<12 	173.025	86.9995	0.502815	0.539557	0.0548611	0.669735
20 <pt<25 	6<chiso range<13 	173.025	86.9995	0.502815	0.527098	0.0536557	0.452578
20 <pt<25 	7<chiso range<12 	173.025	86.9995	0.502815	0.515797	0.0525199	0.24719
20 <pt<25 	7<chiso range<13 	173.025	86.9995	0.502815	0.504408	0.0514214	0.0309867
20 <pt<25 	8<chiso range<13 	173.025	86.9995	0.502815	0.481888	0.049136	0.425892
#######################################################################################
25 <pt<30 	3<chiso range<8 	96.5312	44.0723	0.45656	0.495848	0.0764779	0.513715
25 <pt<30 	3<chiso range<9 	96.5312	44.0723	0.45656	0.48586	0.0749041	0.391165
25 <pt<30 	3<chiso range<10 	96.5312	44.0723	0.45656	0.484736	0.074652	0.377429
25 <pt<30 	3<chiso range<11 	96.5312	44.0723	0.45656	0.481808	0.0741998	0.340268
25 <pt<30 	3<chiso range<12 	96.5312	44.0723	0.45656	0.483548	0.0744506	0.362493
25 <pt<30 	3<chiso range<13 	96.5312	44.0723	0.45656	0.471243	0.0725928	0.202263
25 <pt<30 	4<chiso range<9 	96.5312	44.0723	0.45656	0.488646	0.075308	0.426062
25 <pt<30 	4<chiso range<10 	96.5312	44.0723	0.45656	0.486902	0.0749462	0.404848
25 <pt<30 	4<chiso range<11 	96.5312	44.0723	0.45656	0.483189	0.0743778	0.358021
25 <pt<30 	4<chiso range<12 	96.5312	44.0723	0.45656	0.485074	0.074651	0.381962
25 <pt<30 	4<chiso range<13 	96.5312	44.0723	0.45656	0.470821	0.0725033	0.196692
25 <pt<30 	5<chiso range<10 	96.5312	44.0723	0.45656	0.480357	0.0738002	0.32245
25 <pt<30 	5<chiso range<11 	96.5312	44.0723	0.45656	0.476843	0.0732834	0.276773
25 <pt<30 	5<chiso range<12 	96.5312	44.0723	0.45656	0.479786	0.0737297	0.315013
25 <pt<30 	5<chiso range<13 	96.5312	44.0723	0.45656	0.46393	0.071357	0.103281
25 <pt<30 	6<chiso range<11 	96.5312	44.0723	0.45656	0.45536	0.0702399	0.0170866
25 <pt<30 	6<chiso range<12 	96.5312	44.0723	0.45656	0.461752	0.0711856	0.0729339
25 <pt<30 	6<chiso range<13 	96.5312	44.0723	0.45656	0.445822	0.0687677	0.156151
25 <pt<30 	7<chiso range<12 	96.5312	44.0723	0.45656	0.458026	0.0705898	0.0207656
25 <pt<30 	7<chiso range<13 	96.5312	44.0723	0.45656	0.439618	0.0678002	0.249884
25 <pt<30 	8<chiso range<13 	96.5312	44.0723	0.45656	0.439715	0.0676053	0.249169
#######################################################################################
30 <pt<40 	3<chiso range<8 	91.5874	35.6163	0.388878	0.534329	0.0948326	1.53377
30 <pt<40 	3<chiso range<9 	91.5874	35.6163	0.388878	0.51245	0.0908523	1.36014
30 <pt<40 	3<chiso range<10 	91.5874	35.6163	0.388878	0.497771	0.0883465	1.23257
30 <pt<40 	3<chiso range<11 	91.5874	35.6163	0.388878	0.490738	0.0870075	1.17071
30 <pt<40 	3<chiso range<12 	91.5874	35.6163	0.388878	0.470669	0.0836977	0.977222
30 <pt<40 	3<chiso range<13 	91.5874	35.6163	0.388878	0.468937	0.0834019	0.959921
30 <pt<40 	4<chiso range<9 	91.5874	35.6163	0.388878	0.498592	0.0886727	1.23729
30 <pt<40 	4<chiso range<10 	91.5874	35.6163	0.388878	0.483414	0.0860379	1.09877
30 <pt<40 	4<chiso range<11 	91.5874	35.6163	0.388878	0.477105	0.0847888	1.04055
30 <pt<40 	4<chiso range<12 	91.5874	35.6163	0.388878	0.455702	0.0812263	0.822693
30 <pt<40 	4<chiso range<13 	91.5874	35.6163	0.388878	0.455167	0.0811259	0.817116
30 <pt<40 	5<chiso range<10 	91.5874	35.6163	0.388878	0.485724	0.0863679	1.12132
30 <pt<40 	5<chiso range<11 	91.5874	35.6163	0.388878	0.477925	0.0848402	1.04959
30 <pt<40 	5<chiso range<12 	91.5874	35.6163	0.388878	0.453155	0.0807353	0.796148
30 <pt<40 	5<chiso range<13 	91.5874	35.6163	0.388878	0.452818	0.0806737	0.792579
30 <pt<40 	6<chiso range<11 	91.5874	35.6163	0.388878	0.458846	0.0813576	0.860009
30 <pt<40 	6<chiso range<12 	91.5874	35.6163	0.388878	0.432417	0.0770201	0.565298
30 <pt<40 	6<chiso range<13 	91.5874	35.6163	0.388878	0.434623	0.0774139	0.590918
30 <pt<40 	7<chiso range<12 	91.5874	35.6163	0.388878	0.402154	0.0715997	0.185424
30 <pt<40 	7<chiso range<13 	91.5874	35.6163	0.388878	0.409257	0.0728663	0.27968
30 <pt<40 	8<chiso range<13 	91.5874	35.6163	0.388878	0.394631	0.0703143	0.0818222
#######################################################################################
40 <pt<50 	3<chiso range<8 	41.709	14.1716	0.339773	0.405033	0.119846	0.544531
40 <pt<50 	3<chiso range<9 	41.709	14.1716	0.339773	0.396618	0.11754	0.483621
40 <pt<50 	3<chiso range<10 	41.709	14.1716	0.339773	0.395705	0.117194	0.477258
40 <pt<50 	3<chiso range<11 	41.709	14.1716	0.339773	0.394305	0.116598	0.467691
40 <pt<50 	3<chiso range<12 	41.709	14.1716	0.339773	0.386949	0.114412	0.412333
40 <pt<50 	3<chiso range<13 	41.709	14.1716	0.339773	0.374678	0.111024	0.31439
40 <pt<50 	4<chiso range<9 	41.709	14.1716	0.339773	0.38768	0.114887	0.416991
40 <pt<50 	4<chiso range<10 	41.709	14.1716	0.339773	0.388071	0.114918	0.420281
40 <pt<50 	4<chiso range<11 	41.709	14.1716	0.339773	0.387497	0.114543	0.416645
40 <pt<50 	4<chiso range<12 	41.709	14.1716	0.339773	0.380011	0.112321	0.358239
40 <pt<50 	4<chiso range<13 	41.709	14.1716	0.339773	0.367256	0.108817	0.25256
40 <pt<50 	5<chiso range<10 	41.709	14.1716	0.339773	0.389299	0.115407	0.42914
40 <pt<50 	5<chiso range<11 	41.709	14.1716	0.339773	0.388452	0.114896	0.423677
40 <pt<50 	5<chiso range<12 	41.709	14.1716	0.339773	0.379552	0.112245	0.354393
40 <pt<50 	5<chiso range<13 	41.709	14.1716	0.339773	0.364902	0.108206	0.232231
40 <pt<50 	6<chiso range<11 	41.709	14.1716	0.339773	0.384945	0.113681	0.397356
40 <pt<50 	6<chiso range<12 	41.709	14.1716	0.339773	0.374953	0.11073	0.317708
40 <pt<50 	6<chiso range<13 	41.709	14.1716	0.339773	0.358796	0.106321	0.178919
40 <pt<50 	7<chiso range<12 	41.709	14.1716	0.339773	0.360992	0.10664	0.198976
40 <pt<50 	7<chiso range<13 	41.709	14.1716	0.339773	0.343979	0.102022	0.0412245
40 <pt<50 	8<chiso range<13 	41.709	14.1716	0.339773	0.341488	0.101333	0.0169225
#######################################################################################
50 <pt<65 	3<chiso range<8 	28.3123	9.32834	0.32948	0.342143	0.135169	0.0936818
50 <pt<65 	3<chiso range<9 	28.3123	9.32834	0.32948	0.339868	0.1342	0.077406
50 <pt<65 	3<chiso range<10 	28.3123	9.32834	0.32948	0.3455	0.13631	0.117525
50 <pt<65 	3<chiso range<11 	28.3123	9.32834	0.32948	0.344077	0.136137	0.107222
50 <pt<65 	3<chiso range<12 	28.3123	9.32834	0.32948	0.341952	0.135329	0.0921597
50 <pt<65 	3<chiso range<13 	28.3123	9.32834	0.32948	0.328309	0.130171	0.00899678
50 <pt<65 	4<chiso range<9 	28.3123	9.32834	0.32948	0.33477	0.132412	0.0399502
50 <pt<65 	4<chiso range<10 	28.3123	9.32834	0.32948	0.341896	0.135075	0.0919184
50 <pt<65 	4<chiso range<11 	28.3123	9.32834	0.32948	0.340749	0.135018	0.0834621
50 <pt<65 	4<chiso range<12 	28.3123	9.32834	0.32948	0.338755	0.134241	0.0690913
50 <pt<65 	4<chiso range<13 	28.3123	9.32834	0.32948	0.324126	0.128683	0.041607
50 <pt<65 	5<chiso range<10 	28.3123	9.32834	0.32948	0.351882	0.138656	0.161564
50 <pt<65 	5<chiso range<11 	28.3123	9.32834	0.32948	0.34893	0.138046	0.140894
50 <pt<65 	5<chiso range<12 	28.3123	9.32834	0.32948	0.345581	0.136763	0.117728
50 <pt<65 	5<chiso range<13 	28.3123	9.32834	0.32948	0.327815	0.130044	0.0128043
50 <pt<65 	6<chiso range<11 	28.3123	9.32834	0.32948	0.332839	0.132683	0.0253151
50 <pt<65 	6<chiso range<12 	28.3123	9.32834	0.32948	0.331596	0.13209	0.0160185
50 <pt<65 	6<chiso range<13 	28.3123	9.32834	0.32948	0.31293	0.124877	0.132531
50 <pt<65 	7<chiso range<12 	28.3123	9.32834	0.32948	0.336189	0.133351	0.0503099
50 <pt<65 	7<chiso range<13 	28.3123	9.32834	0.32948	0.312849	0.124458	0.133628
50 <pt<65 	8<chiso range<13 	28.3123	9.32834	0.32948	0.311782	0.124117	0.142592
#######################################################################################
65 <pt<400 	3<chiso range<8 	29.6942	6.20357	0.208915	0.211404	0.113195	0.0219868
65 <pt<400 	3<chiso range<9 	29.6942	6.20357	0.208915	0.204385	0.109732	0.0412843
65 <pt<400 	3<chiso range<10 	29.6942	6.20357	0.208915	0.207896	0.11133	0.00915485
65 <pt<400 	3<chiso range<11 	29.6942	6.20357	0.208915	0.206393	0.110536	0.022818
65 <pt<400 	3<chiso range<12 	29.6942	6.20357	0.208915	0.22027	0.117428	0.0966958
65 <pt<400 	3<chiso range<13 	29.6942	6.20357	0.208915	0.220715	0.117467	0.100452
65 <pt<400 	4<chiso range<9 	29.6942	6.20357	0.208915	0.206894	0.111155	0.0181837
65 <pt<400 	4<chiso range<10 	29.6942	6.20357	0.208915	0.210784	0.11288	0.0165556
65 <pt<400 	4<chiso range<11 	29.6942	6.20357	0.208915	0.208505	0.111673	0.00367331
65 <pt<400 	4<chiso range<12 	29.6942	6.20357	0.208915	0.224582	0.119638	0.130952
65 <pt<400 	4<chiso range<13 	29.6942	6.20357	0.208915	0.224509	0.119377	0.130626
65 <pt<400 	5<chiso range<10 	29.6942	6.20357	0.208915	0.205841	0.109844	0.027987
65 <pt<400 	5<chiso range<11 	29.6942	6.20357	0.208915	0.204179	0.109053	0.0434303
65 <pt<400 	5<chiso range<12 	29.6942	6.20357	0.208915	0.222956	0.11833	0.118658
65 <pt<400 	5<chiso range<13 	29.6942	6.20357	0.208915	0.223047	0.118179	0.11958
65 <pt<400 	6<chiso range<11 	29.6942	6.20357	0.208915	0.208546	0.111318	0.00331671
65 <pt<400 	6<chiso range<12 	29.6942	6.20357	0.208915	0.230337	0.122026	0.175551
65 <pt<400 	6<chiso range<13 	29.6942	6.20357	0.208915	0.229137	0.121187	0.166864
65 <pt<400 	7<chiso range<12 	29.6942	6.20357	0.208915	0.236935	0.125057	0.224056
65 <pt<400 	7<chiso range<13 	29.6942	6.20357	0.208915	0.234109	0.123407	0.204152
65 <pt<400 	8<chiso range<13 	29.6942	6.20357	0.208915	0.229862	0.12149	0.172416
#######################################################################################
