pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	86.9995	87.5401	8.72751	0.0619421
20 <pt<25 	3<chiso range<9 	86.9995	83.7605	8.37371	0.386806
20 <pt<25 	3<chiso range<10 	86.9995	81.7553	8.18201	0.640943
20 <pt<25 	3<chiso range<11 	86.9995	80.0865	8.00982	0.863066
20 <pt<25 	3<chiso range<12 	86.9995	78.6623	7.87768	1.05833
20 <pt<25 	3<chiso range<13 	86.9995	77.0511	7.72515	1.28779
20 <pt<25 	4<chiso range<9 	86.9995	84.1306	8.43551	0.340098
20 <pt<25 	4<chiso range<10 	86.9995	81.6265	8.19259	0.655837
20 <pt<25 	4<chiso range<11 	86.9995	79.6702	7.98794	0.917546
20 <pt<25 	4<chiso range<12 	86.9995	78.0403	7.83385	1.14365
20 <pt<25 	4<chiso range<13 	86.9995	76.2321	7.66027	1.40562
20 <pt<25 	5<chiso range<10 	86.9995	78.4987	7.87992	1.07879
20 <pt<25 	5<chiso range<11 	86.9995	76.6346	7.68265	1.34913
20 <pt<25 	5<chiso range<12 	86.9995	75.1028	7.53963	1.57789
20 <pt<25 	5<chiso range<13 	86.9995	73.3324	7.37048	1.8543
20 <pt<25 	6<chiso range<11 	86.9995	73.0901	7.33531	1.89623
20 <pt<25 	6<chiso range<12 	86.9995	71.7834	7.21467	2.10905
20 <pt<25 	6<chiso range<13 	86.9995	70.1259	7.05634	2.39127
20 <pt<25 	7<chiso range<12 	86.9995	68.6223	6.90702	2.66066
20 <pt<25 	7<chiso range<13 	86.9995	67.1072	6.76274	2.94146
20 <pt<25 	8<chiso range<13 	86.9995	64.111	6.46221	3.5419
#######################################################################################
25 <pt<30 	3<chiso range<8 	44.0723	36.1281	5.52419	1.43808
25 <pt<30 	3<chiso range<9 	44.0723	35.4004	5.41046	1.6028
25 <pt<30 	3<chiso range<10 	44.0723	35.3185	5.39216	1.62343
25 <pt<30 	3<chiso range<11 	44.0723	35.1052	5.35949	1.67313
25 <pt<30 	3<chiso range<12 	44.0723	35.232	5.37759	1.64391
25 <pt<30 	3<chiso range<13 	44.0723	34.3354	5.24345	1.85696
25 <pt<30 	4<chiso range<9 	44.0723	35.6034	5.43961	1.55689
25 <pt<30 	4<chiso range<10 	44.0723	35.4763	5.41336	1.58792
25 <pt<30 	4<chiso range<11 	44.0723	35.2058	5.3723	1.65041
25 <pt<30 	4<chiso range<12 	44.0723	35.3431	5.39202	1.61891
25 <pt<30 	4<chiso range<13 	44.0723	34.3046	5.23695	1.86515
25 <pt<30 	5<chiso range<10 	44.0723	34.9994	5.33041	1.7021
25 <pt<30 	5<chiso range<11 	44.0723	34.7434	5.29311	1.76246
25 <pt<30 	5<chiso range<12 	44.0723	34.9579	5.32534	1.71152
25 <pt<30 	5<chiso range<13 	44.0723	33.8025	5.15405	1.99257
25 <pt<30 	6<chiso range<11 	44.0723	33.1781	5.07361	2.14723
25 <pt<30 	6<chiso range<12 	44.0723	33.6439	5.14187	2.02813
25 <pt<30 	6<chiso range<13 	44.0723	32.4831	4.96727	2.33311
25 <pt<30 	7<chiso range<12 	44.0723	33.3723	5.09881	2.09853
25 <pt<30 	7<chiso range<13 	44.0723	32.0311	4.89737	2.45871
25 <pt<30 	8<chiso range<13 	44.0723	32.0382	4.88303	2.46447
#######################################################################################
30 <pt<40 	3<chiso range<8 	35.6163	35.5889	6.27463	0.00436679
