pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	41.3864	45.074	14.0457	0.262543
20  <pt<25 	3<chiso range<9 	41.3864	48.7492	13.8814	0.530408
20  <pt<25 	3<chiso range<10 	41.3864	50.7108	13.7885	0.676245
20  <pt<25 	3<chiso range<11 	41.3864	52.45	13.6714	0.809251
20  <pt<25 	3<chiso range<12 	41.3864	53.7977	13.6225	0.911088
20  <pt<25 	3<chiso range<13 	41.3864	55.3503	13.5592	1.02985
20  <pt<25 	4<chiso range<9 	41.3864	48.152	13.9891	0.483634
20  <pt<25 	4<chiso range<10 	41.3864	50.6481	13.8582	0.668319
20  <pt<25 	4<chiso range<11 	41.3864	52.6995	13.7129	0.824997
20  <pt<25 	4<chiso range<12 	41.3864	54.2689	13.6483	0.94389
20  <pt<25 	4<chiso range<13 	41.3864	56.0319	13.5703	1.07923
20  <pt<25 	5<chiso range<10 	41.3864	53.8045	13.6753	0.908068
20  <pt<25 	5<chiso range<11 	41.3864	55.7783	13.5327	1.06349
20  <pt<25 	5<chiso range<12 	41.3864	57.2345	13.4816	1.17554
20  <pt<25 	5<chiso range<13 	41.3864	58.947	13.4119	1.30933
20  <pt<25 	6<chiso range<11 	41.3864	59.2863	13.3614	1.33967
20  <pt<25 	6<chiso range<12 	41.3864	60.5113	13.326	1.43516
20  <pt<25 	6<chiso range<13 	41.3864	62.1091	13.265	1.56221
20  <pt<25 	7<chiso range<12 	41.3864	63.6046	13.1918	1.68424
20  <pt<25 	7<chiso range<13 	41.3864	65.0636	13.1403	1.80188
20  <pt<25 	8<chiso range<13 	41.3864	68.0563	12.9929	2.05265
#######################################################################################
25  <pt<30 	3<chiso range<8 	26.3657	36.6692	9.98203	1.0322
25  <pt<30 	3<chiso range<9 	26.3657	37.4285	9.91138	1.11617
25  <pt<30 	3<chiso range<10 	26.3657	37.5531	9.88613	1.13163
25  <pt<30 	3<chiso range<11 	26.3657	37.7714	9.86773	1.15586
25  <pt<30 	3<chiso range<12 	26.3657	37.6512	9.87447	1.1429
25  <pt<30 	3<chiso range<13 	26.3657	38.5453	9.80808	1.24179
25  <pt<30 	4<chiso range<9 	26.3657	37.234	9.92293	1.09527
25  <pt<30 	4<chiso range<10 	26.3657	37.4124	9.89047	1.1169
25  <pt<30 	4<chiso range<11 	26.3657	37.6869	9.86819	1.14724
25  <pt<30 	4<chiso range<12 	26.3657	37.5559	9.87591	1.13308
25  <pt<30 	4<chiso range<13 	26.3657	38.5897	9.7998	1.24737
25  <pt<30 	5<chiso range<10 	26.3657	37.9745	9.81772	1.18243
25  <pt<30 	5<chiso range<11 	26.3657	38.2229	9.80184	1.20969
25  <pt<30 	5<chiso range<12 	26.3657	38.0077	9.81824	1.18575
25  <pt<30 	5<chiso range<13 	26.3657	39.1486	9.73852	1.31261
25  <pt<30 	6<chiso range<11 	26.3657	39.6704	9.73596	1.36655
25  <pt<30 	6<chiso range<12 	26.3657	39.2187	9.7643	1.31633
25  <pt<30 	6<chiso range<13 	26.3657	40.3775	9.68021	1.44747
25  <pt<30 	7<chiso range<12 	26.3657	39.5072	9.73718	1.34962
25  <pt<30 	7<chiso range<13 	26.3657	40.8431	9.64212	1.50147
25  <pt<30 	8<chiso range<13 	26.3657	40.9608	9.59229	1.52154
#######################################################################################
30  <pt<40 	3<chiso range<8 	29.4617	30.9403	10.0483	0.147149
30  <pt<40 	3<chiso range<9 	29.4617	32.459	9.86829	0.30373
30  <pt<40 	3<chiso range<10 	29.4617	33.4235	9.7807	0.405063
30  <pt<40 	3<chiso range<11 	29.4617	33.9305	9.71452	0.460012
30  <pt<40 	3<chiso range<12 	29.4617	35.2047	9.62249	0.596831
30  <pt<40 	3<chiso range<13 	29.4617	35.3176	9.61295	0.609168
30  <pt<40 	4<chiso range<9 	29.4617	33.312	9.81901	0.392127
30  <pt<40 	4<chiso range<10 	29.4617	34.319	9.72361	0.499537
30  <pt<40 	4<chiso range<11 	29.4617	34.7869	9.65678	0.551447
30  <pt<40 	4<chiso range<12 	29.4617	36.1526	9.55701	0.700104
30  <pt<40 	4<chiso range<13 	29.4617	36.1901	9.55255	0.704356
30  <pt<40 	5<chiso range<10 	29.4617	34.1879	9.72513	0.485978
30  <pt<40 	5<chiso range<11 	29.4617	34.7626	9.64521	0.549589
30  <pt<40 	5<chiso range<12 	29.4617	36.3365	9.53328	0.721137
30  <pt<40 	5<chiso range<13 	29.4617	36.3595	9.53075	0.723742
30  <pt<40 	6<chiso range<11 	29.4617	36.0862	9.49898	0.697391
30  <pt<40 	6<chiso range<12 	29.4617	37.7416	9.3947	0.881337
30  <pt<40 	6<chiso range<13 	29.4617	37.5924	9.40895	0.864145
30  <pt<40 	7<chiso range<12 	29.4617	39.7954	9.20142	1.12305
30  <pt<40 	7<chiso range<13 	29.4617	39.3141	9.24494	1.06571
30  <pt<40 	8<chiso range<13 	29.4617	40.2803	9.1673	1.18013
#######################################################################################
40  <pt<50 	3<chiso range<8 	16.2197	18.4381	6.55535	0.338411
40  <pt<50 	3<chiso range<9 	16.2197	18.6852	6.52301	0.37797
40  <pt<50 	3<chiso range<10 	16.2197	18.7177	6.51262	0.383563
40  <pt<50 	3<chiso range<11 	16.2197	18.7723	6.49173	0.393208
40  <pt<50 	3<chiso range<12 	16.2197	18.9998	6.45195	0.430893
40  <pt<50 	3<chiso range<13 	16.2197	19.3627	6.40636	0.490606
40  <pt<50 	4<chiso range<9 	16.2197	18.9603	6.47491	0.423265
40  <pt<50 	4<chiso range<10 	16.2197	18.9536	6.4707	0.422505
40  <pt<50 	4<chiso range<11 	16.2197	18.985	6.45255	0.428559
40  <pt<50 	4<chiso range<12 	16.2197	19.2172	6.41285	0.467421
40  <pt<50 	4<chiso range<13 	16.2197	19.5936	6.36802	0.529819
40  <pt<50 	5<chiso range<10 	16.2197	18.9081	6.48639	0.414468
40  <pt<50 	5<chiso range<11 	16.2197	18.9507	6.46282	0.422571
