pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	173.025	86.9995	41.3864	87.5401	45.074	0.0619421	0.262543
20 <pt<25 	3<chiso range<9 	173.025	86.9995	41.3864	83.7605	48.7492	0.386806	0.530408
20 <pt<25 	3<chiso range<10 	173.025	86.9995	41.3864	81.7553	50.7108	0.640943	0.676245
20 <pt<25 	3<chiso range<11 	173.025	86.9995	41.3864	80.0865	52.45	0.863066	0.809251
20 <pt<25 	3<chiso range<12 	173.025	86.9995	41.3864	78.6623	53.7977	1.05833	0.911088
20 <pt<25 	3<chiso range<13 	173.025	86.9995	41.3864	77.0511	55.3503	1.28779	1.02985
20 <pt<25 	4<chiso range<9 	173.025	86.9995	41.3864	84.1306	48.152	0.340098	0.483634
20 <pt<25 	4<chiso range<10 	173.025	86.9995	41.3864	81.6265	50.6481	0.655837	0.668319
20 <pt<25 	4<chiso range<11 	173.025	86.9995	41.3864	79.6702	52.6995	0.917546	0.824997
20 <pt<25 	4<chiso range<12 	173.025	86.9995	41.3864	78.0403	54.2689	1.14365	0.94389
20 <pt<25 	4<chiso range<13 	173.025	86.9995	41.3864	76.2321	56.0319	1.40562	1.07923
20 <pt<25 	5<chiso range<10 	173.025	86.9995	41.3864	78.4987	53.8045	1.07879	0.908068
20 <pt<25 	5<chiso range<11 	173.025	86.9995	41.3864	76.6346	55.7783	1.34913	1.06349
20 <pt<25 	5<chiso range<12 	173.025	86.9995	41.3864	75.1028	57.2345	1.57789	1.17554
20 <pt<25 	5<chiso range<13 	173.025	86.9995	41.3864	73.3324	58.947	1.8543	1.30933
20 <pt<25 	6<chiso range<11 	173.025	86.9995	41.3864	73.0901	59.2863	1.89623	1.33967
20 <pt<25 	6<chiso range<12 	173.025	86.9995	41.3864	71.7834	60.5113	2.10905	1.43516
20 <pt<25 	6<chiso range<13 	173.025	86.9995	41.3864	70.1259	62.1091	2.39127	1.56221
20 <pt<25 	7<chiso range<12 	173.025	86.9995	41.3864	68.6223	63.6046	2.66066	1.68424
20 <pt<25 	7<chiso range<13 	173.025	86.9995	41.3864	67.1072	65.0636	2.94146	1.80188
20 <pt<25 	8<chiso range<13 	173.025	86.9995	41.3864	64.111	68.0563	3.5419	2.05265
#######################################################################################
25 <pt<30 	3<chiso range<8 	96.5312	44.0723	26.3657	36.1281	36.6692	1.43808	1.0322
25 <pt<30 	3<chiso range<9 	96.5312	44.0723	26.3657	35.4004	37.4285	1.6028	1.11617
25 <pt<30 	3<chiso range<10 	96.5312	44.0723	26.3657	35.3185	37.5531	1.62343	1.13163
25 <pt<30 	3<chiso range<11 	96.5312	44.0723	26.3657	35.1052	37.7714	1.67313	1.15586
