pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	129.48	86.2166	0.665868	0.66905	0.0668462	0.0476005
20 <pt<25 	3<chiso range<9 	129.48	86.2166	0.665868	0.638052	0.0639194	0.435174
20 <pt<25 	3<chiso range<10 	129.48	86.2166	0.665868	0.622879	0.0624701	0.688155
20 <pt<25 	3<chiso range<11 	129.48	86.2166	0.665868	0.610631	0.0612076	0.902455
20 <pt<25 	3<chiso range<12 	129.48	86.2166	0.665868	0.599037	0.0601229	1.11157
20 <pt<25 	3<chiso range<13 	129.48	86.2166	0.665868	0.586998	0.0589825	1.33718
20 <pt<25 	4<chiso range<9 	129.48	86.2166	0.665868	0.63931	0.0642464	0.413379
20 <pt<25 	4<chiso range<10 	129.48	86.2166	0.665868	0.620633	0.0624192	0.724698
20 <pt<25 	4<chiso range<11 	129.48	86.2166	0.665868	0.606434	0.060934	0.975385
20 <pt<25 	4<chiso range<12 	129.48	86.2166	0.665868	0.593264	0.0596809	1.21654
20 <pt<25 	4<chiso range<13 	129.48	86.2166	0.665868	0.579842	0.0583922	1.47325
20 <pt<25 	5<chiso range<10 	129.48	86.2166	0.665868	0.595952	0.0599508	1.16622
20 <pt<25 	5<chiso range<11 	129.48	86.2166	0.665868	0.582725	0.0585492	1.42006
20 <pt<25 	5<chiso range<12 	129.48	86.2166	0.665868	0.570227	0.057372	1.66703
20 <pt<25 	5<chiso range<13 	129.48	86.2166	0.665868	0.557205	0.0561279	1.93599
20 <pt<25 	6<chiso range<11 	129.48	86.2166	0.665868	0.556354	0.0559477	1.95744
20 <pt<25 	6<chiso range<12 	129.48	86.2166	0.665868	0.545293	0.0549157	2.19564
20 <pt<25 	6<chiso range<13 	129.48	86.2166	0.665868	0.533144	0.0537575	2.46894
20 <pt<25 	7<chiso range<12 	129.48	86.2166	0.665868	0.521285	0.0525835	2.74959
20 <pt<25 	7<chiso range<13 	129.48	86.2166	0.665868	0.510265	0.051531	3.0196
20 <pt<25 	8<chiso range<13 	129.48	86.2166	0.665868	0.485505	0.0490448	3.67752
#######################################################################################
25 <pt<30 	3<chiso range<8 	70.902	43.5772	0.614612	0.50499	0.0773178	1.41781
25 <pt<30 	3<chiso range<9 	70.902	43.5772	0.614612	0.493706	0.0755692	1.59993
25 <pt<30 	3<chiso range<10 	70.902	43.5772	0.614612	0.492305	0.0752789	1.62471
25 <pt<30 	3<chiso range<11 	70.902	43.5772	0.614612	0.489611	0.0748593	1.66981
25 <pt<30 	3<chiso range<12 	70.902	43.5772	0.614612	0.491441	0.0751349	1.63933
25 <pt<30 	3<chiso range<13 	70.902	43.5772	0.614612	0.478621	0.0732243	1.85718
25 <pt<30 	4<chiso range<9 	70.902	43.5772	0.614612	0.493373	0.0754987	1.60584
25 <pt<30 	4<chiso range<10 	70.902	43.5772	0.614612	0.49172	0.0751561	1.63515
25 <pt<30 	4<chiso range<11 	70.902	43.5772	0.614612	0.488612	0.0746758	1.68729
25 <pt<30 	4<chiso range<12 	70.902	43.5772	0.614612	0.490834	0.0750134	1.65007
25 <pt<30 	4<chiso range<13 	70.902	43.5772	0.614612	0.47621	0.0728376	1.90014
25 <pt<30 	5<chiso range<10 	70.902	43.5772	0.614612	0.483726	0.0738012	1.77349
25 <pt<30 	5<chiso range<11 	70.902	43.5772	0.614612	0.48113	0.073417	1.81813
25 <pt<30 	5<chiso range<12 	70.902	43.5772	0.614612	0.484599	0.0739582	1.75792
25 <pt<30 	5<chiso range<13 	70.902	43.5772	0.614612	0.468412	0.0715665	2.04285
25 <pt<30 	6<chiso range<11 	70.902	43.5772	0.614612	0.460864	0.0705775	2.17842
25 <pt<30 	6<chiso range<12 	70.902	43.5772	0.614612	0.467656	0.071597	2.05254
25 <pt<30 	6<chiso range<13 	70.902	43.5772	0.614612	0.451128	0.0691208	2.36519
25 <pt<30 	7<chiso range<12 	70.902	43.5772	0.614612	0.464305	0.0710891	2.11434
